;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_PHG_desc;We've had a good run, but it's time to end our rulership of Pahang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRO_title;Grant Faroe Independence;;;;;;;;;;;;x,,
gtfo_FRO_desc;We've had a good run, but it's time to end our rulership of Faroe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NCT_title;Grant Neuchatel Independence;;;;;;;;;;;;x,,
gtfo_NCT_desc;We've had a good run, but it's time to end our rulership of Neuchatel: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HBY_title;Grant Hobyo Independence;;;;;;;;;;;;x,,
gtfo_HBY_desc;We've had a good run, but it's time to end our rulership of Hobyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QAT_title;Grant Qatar Independence;;;;;;;;;;;;x,,
gtfo_QAT_desc;We've had a good run, but it's time to end our rulership of Qatar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRY_title;Grant Buryatia Independence;;;;;;;;;;;;x,,
gtfo_BRY_desc;We've had a good run, but it's time to end our rulership of Buryatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLD_title;Grant Maldives Independence;;;;;;;;;;;;x,,
gtfo_MLD_desc;We've had a good run, but it's time to end our rulership of Maldives: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAR_title;Grant Karen Independence;;;;;;;;;;;;x,,
gtfo_KAR_desc;We've had a good run, but it's time to end our rulership of Karen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAK_title;Grant Pakistan Independence;;;;;;;;;;;;x,,
gtfo_PAK_desc;We've had a good run, but it's time to end our rulership of Pakistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRL_title;Grant Chitral Independence;;;;;;;;;;;;x,,
gtfo_CRL_desc;We've had a good run, but it's time to end our rulership of Chitral: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RDL_title;Grant Ardalan Independence;;;;;;;;;;;;x,,
gtfo_RDL_desc;We've had a good run, but it's time to end our rulership of Ardalan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BTL_title;Grant Bitlis Independence;;;;;;;;;;;;x,,
gtfo_BTL_desc;We've had a good run, but it's time to end our rulership of Bitlis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BDN_title;Grant Bahdinan Independence;;;;;;;;;;;;x,,
gtfo_BDN_desc;We've had a good run, but it's time to end our rulership of Bahdinan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNB_title;Grant Baban Independence;;;;;;;;;;;;x,,
gtfo_BNB_desc;We've had a good run, but it's time to end our rulership of Baban: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKN_title;Grant Mukriyan Independence;;;;;;;;;;;;x,,
gtfo_MKN_desc;We've had a good run, but it's time to end our rulership of Mukriyan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHT_title;Grant Bohtan Independence;;;;;;;;;;;;x,,
gtfo_BHT_desc;We've had a good run, but it's time to end our rulership of Bohtan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRN_title;Grant Soran Independence;;;;;;;;;;;;x,,
gtfo_SRN_desc;We've had a good run, but it's time to end our rulership of Soran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBG_title;Grant Limburg Independence;;;;;;;;;;;;x,,
gtfo_LBG_desc;We've had a good run, but it's time to end our rulership of Limburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PNB_title;Grant Pernambuco Independence;;;;;;;;;;;;x,,
gtfo_PNB_desc;We've had a good run, but it's time to end our rulership of Pernambuco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIU_title;Grant Fiume Independence;;;;;;;;;;;;x,,
gtfo_FIU_desc;We've had a good run, but it's time to end our rulership of Fiume: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDV_title;Grant Moldova Independence;;;;;;;;;;;;x,,
gtfo_MDV_desc;We've had a good run, but it's time to end our rulership of Moldova: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABK_title;Grant Abkhazia Independence;;;;;;;;;;;;x,,
gtfo_ABK_desc;We've had a good run, but it's time to end our rulership of Abkhazia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRT_title;Grant Corrientes Independence;;;;;;;;;;;;x,,
gtfo_CRT_desc;We've had a good run, but it's time to end our rulership of Corrientes: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SBA_title;Grant Buenos Aires Independence;;;;;;;;;;;;x,,
gtfo_SBA_desc;We've had a good run, but it's time to end our rulership of Buenos Aires: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARC_title;Grant Argentine Confederation Independence;;;;;;;;;;;;x,,
gtfo_ARC_desc;We've had a good run, but it's time to end our rulership of Argentine Confederation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LHJ_title;Grant Lahej Independence;;;;;;;;;;;;x,,
gtfo_LHJ_desc;We've had a good run, but it's time to end our rulership of Lahej: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FDL_title;Grant Fadhli Independence;;;;;;;;;;;;x,,
gtfo_FDL_desc;We've had a good run, but it's time to end our rulership of Fadhli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KTH_title;Grant Kathiri Independence;;;;;;;;;;;;x,,
gtfo_KTH_desc;We've had a good run, but it's time to end our rulership of Kathiri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHR_title;Grant Mahra Independence;;;;;;;;;;;;x,,
gtfo_MHR_desc;We've had a good run, but it's time to end our rulership of Mahra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KML_title;Grant Kumul Independence;;;;;;;;;;;;x,,
gtfo_KML_desc;We've had a good run, but it's time to end our rulership of Kumul: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHK_title;Grant Shilluk Independence;;;;;;;;;;;;x,,
gtfo_SHK_desc;We've had a good run, but it's time to end our rulership of Shilluk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WRL_title;Grant Warsangali Independence;;;;;;;;;;;;x,,
gtfo_WRL_desc;We've had a good run, but it's time to end our rulership of Warsangali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHP_title;Grant Bahawalpur Independence;;;;;;;;;;;;x,,
gtfo_BHP_desc;We've had a good run, but it's time to end our rulership of Bahawalpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EZO_title;Grant Ezo Independence;;;;;;;;;;;;x,,
gtfo_EZO_desc;We've had a good run, but it's time to end our rulership of Ezo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHY_title;Grant Chechnya Independence;;;;;;;;;;;;x,,
gtfo_CHY_desc;We've had a good run, but it's time to end our rulership of Chechnya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHK_title;Grant Champasak Independence;;;;;;;;;;;;x,,
gtfo_CHK_desc;We've had a good run, but it's time to end our rulership of Champasak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QNG_title;Grant Qing China Independence;;;;;;;;;;;;x,,
gtfo_QNG_desc;We've had a good run, but it's time to end our rulership of Qing China: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGH_title;Grant Maghreb Independence;;;;;;;;;;;;x,,
gtfo_MGH_desc;We've had a good run, but it's time to end our rulership of Maghreb: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAH_title;Grant Bahia Independence;;;;;;;;;;;;x,,
gtfo_BAH_desc;We've had a good run, but it's time to end our rulership of Bahia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHP_title;Grant Chiapas Independence;;;;;;;;;;;;x,,
gtfo_CHP_desc;We've had a good run, but it's time to end our rulership of Chiapas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CEQ_title;Grant Equador Confederation Independence;;;;;;;;;;;;x,,
gtfo_CEQ_desc;We've had a good run, but it's time to end our rulership of Equador Confederation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENT_title;Grant Entre Rios Independence;;;;;;;;;;;;x,,
gtfo_ENT_desc;We've had a good run, but it's time to end our rulership of Entre Rios: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GCO_title;Grant Gran Colombia Independence;;;;;;;;;;;;x,,
gtfo_GCO_desc;We've had a good run, but it's time to end our rulership of Gran Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUY_title;Grant Guyana Independence;;;;;;;;;;;;x,,
gtfo_GUY_desc;We've had a good run, but it's time to end our rulership of Guyana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOS_title;Grant Los Altos Independence;;;;;;;;;;;;x,,
gtfo_LOS_desc;We've had a good run, but it's time to end our rulership of Los Altos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LPL_title;Grant La Plata Independence;;;;;;;;;;;;x,,
gtfo_LPL_desc;We've had a good run, but it's time to end our rulership of La Plata: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OAX_title;Grant Oaxaca Independence;;;;;;;;;;;;x,,
gtfo_OAX_desc;We've had a good run, but it's time to end our rulership of Oaxaca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PBC_title;Grant Peru-Bolivia Confederation Independence;;;;;;;;;;;;x,,
gtfo_PBC_desc;We've had a good run, but it's time to end our rulership of Peru-Bolivia Confederation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTG_title;Grant Patagonia Independence;;;;;;;;;;;;x,,
gtfo_PTG_desc;We've had a good run, but it's time to end our rulership of Patagonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RGR_title;Grant Rio Grande Independence;;;;;;;;;;;;x,,
gtfo_RGR_desc;We've had a good run, but it's time to end our rulership of Rio Grande: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RGS_title;Grant Rio Grande do Sul Independence;;;;;;;;;;;;x,,
gtfo_RGS_desc;We've had a good run, but it's time to end our rulership of Rio Grande do Sul: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SON_title;Grant Sonora Independence;;;;;;;;;;;;x,,
gtfo_SON_desc;We've had a good run, but it's time to end our rulership of Sonora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPU_title;Grant South Peru Independence;;;;;;;;;;;;x,,
gtfo_SPU_desc;We've had a good run, but it's time to end our rulership of South Peru: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YUC_title;Grant Yucatan Independence;;;;;;;;;;;;x,,
gtfo_YUC_desc;We've had a good run, but it's time to end our rulership of Yucatan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLZ_title;Grant Belize Independence;;;;;;;;;;;;x,,
gtfo_BLZ_desc;We've had a good run, but it's time to end our rulership of Belize: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAK_title;Grant Dakota Independence;;;;;;;;;;;;x,,
gtfo_DAK_desc;We've had a good run, but it's time to end our rulership of Dakota: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FSA_title;Grant Free States of America Independence;;;;;;;;;;;;x,,
gtfo_FSA_desc;We've had a good run, but it's time to end our rulership of Free States of America: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRN_title;Grant Greenland Independence;;;;;;;;;;;;x,,
gtfo_GRN_desc;We've had a good run, but it's time to end our rulership of Greenland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAM_title;Grant Jamaica Independence;;;;;;;;;;;;x,,
gtfo_JAM_desc;We've had a good run, but it's time to end our rulership of Jamaica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LSK_title;Grant Alaska Independence;;;;;;;;;;;;x,,
gtfo_LSK_desc;We've had a good run, but it's time to end our rulership of Alaska: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRU_title;Grant Maritime Union Independence;;;;;;;;;;;;x,,
gtfo_MRU_desc;We've had a good run, but it's time to end our rulership of Maritime Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRI_title;Grant Puerto Rico Independence;;;;;;;;;;;;x,,
gtfo_PRI_desc;We've had a good run, but it's time to end our rulership of Puerto Rico: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RPL_title;Grant Rupert's Land Independence;;;;;;;;;;;;x,,
gtfo_RPL_desc;We've had a good run, but it's time to end our rulership of Rupert's Land: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRS_title;Grant Tarasco Independence;;;;;;;;;;;;x,,
gtfo_TRS_desc;We've had a good run, but it's time to end our rulership of Tarasco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTB_title;Grant Trinidad Independence;;;;;;;;;;;;x,,
gtfo_TTB_desc;We've had a good run, but it's time to end our rulership of Trinidad: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UIL_title;Grant Illinois Independence;;;;;;;;;;;;x,,
gtfo_UIL_desc;We've had a good run, but it's time to end our rulership of Illinois: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UNB_title;Grant Nebraska Independence;;;;;;;;;;;;x,,
gtfo_UNB_desc;We've had a good run, but it's time to end our rulership of Nebraska: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UNM_title;Grant New Mexico Independence;;;;;;;;;;;;x,,
gtfo_UNM_desc;We've had a good run, but it's time to end our rulership of New Mexico: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UOR_title;Grant Oregon Independence;;;;;;;;;;;;x,,
gtfo_UOR_desc;We've had a good run, but it's time to end our rulership of Oregon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALS_title;Grant Elsass Independence;;;;;;;;;;;;x,,
gtfo_ALS_desc;We've had a good run, but it's time to end our rulership of Elsass: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATR_title;Grant Asturias Independence;;;;;;;;;;;;x,,
gtfo_ATR_desc;We've had a good run, but it's time to end our rulership of Asturias: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAN_title;Grant Banat Independence;;;;;;;;;;;;x,,
gtfo_BAN_desc;We've had a good run, but it's time to end our rulership of Banat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BKV_title;Grant Bukovina Independence;;;;;;;;;;;;x,,
gtfo_BKV_desc;We've had a good run, but it's time to end our rulership of Bukovina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRT_title;Grant Brittany Independence;;;;;;;;;;;;x,,
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BSQ_title;Grant Basqueland Independence;;;;;;;;;;;;x,,
gtfo_BSQ_desc;We've had a good run, but it's time to end our rulership of Basqueland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRS_title;Grant Corsica Independence;;;;;;;;;;;;x,,
gtfo_CRS_desc;We've had a good run, but it's time to end our rulership of Corsica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLM_title;Grant Dalmatia Independence;;;;;;;;;;;;x,,
gtfo_DLM_desc;We've had a good run, but it's time to end our rulership of Dalmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENL_title;Grant England Independence;;;;;;;;;;;;x,,
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of England: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLC_title;Grant Galicia Independence;;;;;;;;;;;;x,,
gtfo_GLC_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLM_title;Grant Galicia-Lodomeria Independence;;;;;;;;;;;;x,,
gtfo_GLM_desc;We've had a good run, but it's time to end our rulership of Galicia-Lodomeria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOR_title;Grant Lorraine Independence;;;;;;;;;;;;x,,
gtfo_LOR_desc;We've had a good run, but it's time to end our rulership of Lorraine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCD_title;Grant Macedonia Independence;;;;;;;;;;;;x,,
gtfo_MCD_desc;We've had a good run, but it's time to end our rulership of Macedonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLT_title;Grant Malta Independence;;;;;;;;;;;;x,,
gtfo_MLT_desc;We've had a good run, but it's time to end our rulership of Malta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OCC_title;Grant Occitania Independence;;;;;;;;;;;;x,,
gtfo_OCC_desc;We've had a good run, but it's time to end our rulership of Occitania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RMG_title;Grant Romagna Independence;;;;;;;;;;;;x,,
gtfo_RMG_desc;We've had a good run, but it's time to end our rulership of Romagna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPC_title;Grant Carlist Spain Independence;;;;;;;;;;;;x,,
gtfo_SPC_desc;We've had a good run, but it's time to end our rulership of Carlist Spain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRD_title;Grant Sardinia Independence;;;;;;;;;;;;x,,
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWH_title;Grant Schleswig-Holstein Independence;;;;;;;;;;;;x,,
gtfo_SWH_desc;We've had a good run, but it's time to end our rulership of Schleswig-Holstein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WHA_title;Grant Wales Independence;;;;;;;;;;;;x,,
gtfo_WHA_desc;We've had a good run, but it's time to end our rulership of Wales: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DNB_title;Grant Danubian Federation Independence;;;;;;;;;;;;x,,
gtfo_DNB_desc;We've had a good run, but it's time to end our rulership of Danubian Federation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUZ_title;Grant Luzica Independence;;;;;;;;;;;;x,,
gtfo_LUZ_desc;We've had a good run, but it's time to end our rulership of Luzica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RHI_title;Grant Rhineland Independence;;;;;;;;;;;;x,,
gtfo_RHI_desc;We've had a good run, but it's time to end our rulership of Rhineland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PML_title;Grant Pomerelia Independence;;;;;;;;;;;;x,,
gtfo_PML_desc;We've had a good run, but it's time to end our rulership of Pomerelia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PZN_title;Grant Poznan Independence;;;;;;;;;;;;x,,
gtfo_PZN_desc;We've had a good run, but it's time to end our rulership of Poznan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLS_title;Grant Silesia Independence;;;;;;;;;;;;x,,
gtfo_SLS_desc;We've had a good run, but it's time to end our rulership of Silesia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WES_title;Grant Westfalen Independence;;;;;;;;;;;;x,,
gtfo_WES_desc;We've had a good run, but it's time to end our rulership of Westfalen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AKH_title;Grant Astrakhan Independence;;;;;;;;;;;;x,,
gtfo_AKH_desc;We've had a good run, but it's time to end our rulership of Astrakhan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALT_title;Grant Altai Republic Independence;;;;;;;;;;;;x,,
gtfo_ALT_desc;We've had a good run, but it's time to end our rulership of Altai Republic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CPL_title;Grant Congress Poland Independence;;;;;;;;;;;;x,,
gtfo_CPL_desc;We've had a good run, but it's time to end our rulership of Congress Poland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DON_title;Grant Cossackia Independence;;;;;;;;;;;;x,,
gtfo_DON_desc;We've had a good run, but it's time to end our rulership of Cossackia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IZH_title;Grant Ingria Independence;;;;;;;;;;;;x,,
gtfo_IZH_desc;We've had a good run, but it's time to end our rulership of Ingria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAZ_title;Grant Kazakhstan Independence;;;;;;;;;;;;x,,
gtfo_KAZ_desc;We've had a good run, but it's time to end our rulership of Kazakhstan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAM_title;Grant Kamchatka Independence;;;;;;;;;;;;x,,
gtfo_KAM_desc;We've had a good run, but it's time to end our rulership of Kamchatka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KMK_title;Grant Kalmykia Independence;;;;;;;;;;;;x,,
gtfo_KMK_desc;We've had a good run, but it's time to end our rulership of Kalmykia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRL_title;Grant Karelia Independence;;;;;;;;;;;;x,,
gtfo_KRL_desc;We've had a good run, but it's time to end our rulership of Karelia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIB_title;Grant Siberian Republic Independence;;;;;;;;;;;;x,,
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Siberian Republic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAR_title;Grant Tatarstan Independence;;;;;;;;;;;;x,,
gtfo_TAR_desc;We've had a good run, but it's time to end our rulership of Tatarstan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TNT_title;Grant Tannu Tuva Independence;;;;;;;;;;;;x,,
gtfo_TNT_desc;We've had a good run, but it's time to end our rulership of Tannu Tuva: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URA_title;Grant Ural Republic Independence;;;;;;;;;;;;x,,
gtfo_URA_desc;We've had a good run, but it's time to end our rulership of Ural Republic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAK_title;Grant Yakutia Independence;;;;;;;;;;;;x,,
gtfo_YAK_desc;We've had a good run, but it's time to end our rulership of Yakutia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARU_title;Grant Arab Union Independence;;;;;;;;;;;;x,,
gtfo_ARU_desc;We've had a good run, but it's time to end our rulership of Arab Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASY_title;Grant Assyria Independence;;;;;;;;;;;;x,,
gtfo_ASY_desc;We've had a good run, but it's time to end our rulership of Assyria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BHR_title;Grant Bahrain Independence;;;;;;;;;;;;x,,
gtfo_BHR_desc;We've had a good run, but it's time to end our rulership of Bahrain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CIR_title;Grant Circassia Independence;;;;;;;;;;;;x,,
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLC_title;Grant Cilicia Independence;;;;;;;;;;;;x,,
gtfo_CLC_desc;We've had a good run, but it's time to end our rulership of Cilicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAG_title;Grant Dagestan Independence;;;;;;;;;;;;x,,
gtfo_DAG_desc;We've had a good run, but it's time to end our rulership of Dagestan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DUR_title;Grant Durrani Empire Independence;;;;;;;;;;;;x,,
gtfo_DUR_desc;We've had a good run, but it's time to end our rulership of Durrani Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAL_title;Grant Hail Independence;;;;;;;;;;;;x,,
gtfo_HAL_desc;We've had a good run, but it's time to end our rulership of Hail: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JOR_title;Grant Jordan Independence;;;;;;;;;;;;x,,
gtfo_JOR_desc;We've had a good run, but it's time to end our rulership of Jordan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KDS_title;Grant Kurdistan Independence;;;;;;;;;;;;x,,
gtfo_KDS_desc;We've had a good run, but it's time to end our rulership of Kurdistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KWT_title;Grant Kuwait Independence;;;;;;;;;;;;x,,
gtfo_KWT_desc;We've had a good run, but it's time to end our rulership of Kuwait: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KYR_title;Grant Kyrgyzstan Independence;;;;;;;;;;;;x,,
gtfo_KYR_desc;We've had a good run, but it's time to end our rulership of Kyrgyzstan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBN_title;Grant Lebanon Independence;;;;;;;;;;;;x,,
gtfo_LBN_desc;We've had a good run, but it's time to end our rulership of Lebanon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NYE_title;Grant North Yemen Independence;;;;;;;;;;;;x,,
gtfo_NYE_desc;We've had a good run, but it's time to end our rulership of North Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PLS_title;Grant Palestine Independence;;;;;;;;;;;;x,,
gtfo_PLS_desc;We've had a good run, but it's time to end our rulership of Palestine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PNT_title;Grant Pontus Independence;;;;;;;;;;;;x,,
gtfo_PNT_desc;We've had a good run, but it's time to end our rulership of Pontus: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;x,,
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAJ_title;Grant Tajikstan Independence;;;;;;;;;;;;x,,
gtfo_TAJ_desc;We've had a good run, but it's time to end our rulership of Tajikstan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TCA_title;Grant Transcaucasia Independence;;;;;;;;;;;;x,,
gtfo_TCA_desc;We've had a good run, but it's time to end our rulership of Transcaucasia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TKM_title;Grant Turkmenistan Independence;;;;;;;;;;;;x,,
gtfo_TKM_desc;We've had a good run, but it's time to end our rulership of Turkmenistan: if you love something, let it go!;;;;;;;;;;;;x
