;;;;;;;;;;;;;x,,,,,,,,
EVTDESC10229_NEWS_MEDIUM;With the $COUNTRY_ADJ$ people seemingly ready to break down the government’s doors, demanding constitutional reform, the $COUNTRY_ADJ$ Kaiser has pondered the wisdom in perhaps giving them at least some moderate freedoms to appease them.;;;;;;;;;;;;x,,,,,,
EVTDESC10229_NEWS_SHORT;With the $COUNTRY_ADJ$ people demanding constitutional reform, the $COUNTRY_ADJ$ Kaiser has pondered the wisdom in perhaps giving them at least some moderate freedoms to appease them.;;;;;;;;;;;;x,,,,,,,
EVTDESC10400_NEWS_LONG;The unrest in France hit its height recently, with crowds streaming through the streets of Paris and erecting barricades. In what was widely regarded as an accident, a French guardsman fired his musket on the citizens and set off a massacre. The resulting conflagration swept the city, with crowds chanting 'Long live the Reform!' and 'Down with the King!'. Despite assurances that everything is under control, the king has abdicated and fled the country… leaving a provisional government to step in and declare the Second Republic.;;;;;;;;;;;;x,,,,
EVTDESC10400_NEWS_MEDIUM;The unrest in France hit its height recently, with crowds streaming through the streets of Paris and erecting barricades. Despite assurances that everything is under control, the king abdicated and fled the country… leaving a provisional government to declare the Second Republic.;;;;;;;;;;;;x,,,,,,
EVTDESC10400_NEWS_SHORT;After months of unrest sweeping through Paris, the King of France abdicated and fled the country… leaving a provisional government to declare the Second Republic.;;;;;;;;;;;;x,,,,,,,
EVTDESC10405_NEWS_MEDIUM;Unable to force the Upper House to repeal its prohibition against presidential re-election and facing removal from power, the popular Louis-Napoleon has overthrown the French government. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;x,,,,,,
EVTDESC10405_NEWS_SHORT;The popular Louis-Napoleon has overthrown the French government and been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;x,,,,,,,
EVTDESC10410_NEWS_LONG;The popularity of Louis-Napoleon has waned. Where once it was expected that his ascension would return France to the greatness it experienced during the reign of his uncle, instead France sees itself being eclipsed by its neighbours. The Emperor has cultivated many enemies among the liberals in Paris, and now they have chosen their moment to strike. Napoleon has been deposed, and the only question remains as to what form France shall now take.;;;;;;;;;;;;x,,,,,
EVTDESC10410_NEWS_MEDIUM;The popularity of Louis-Napoleon has waned. The Emperor has cultivated many enemies among the liberals in Paris, and now they have chosen their moment to strike. Napoleon has been deposed, and the only question remains as to what form France shall now take.;;;;;;;;;;;;x,,,,,,
EVTDESC10410_NEWS_SHORT;Emperor Napoleon III of France has been deposed by his enemies in Paris, and the only question remains as to what form the French government shall now take.;;;;;;;;;;;;x,,,,,,,
EVTDESC10411_NEWS_MEDIUM;Louis-Napoleon has grown ill in recent months, slowly surrendering more and more ground to the Upper House. Thus his death comes with no surprise to many. Mourned by the entire nation, and by his beloved Empress Eugénie, the question now turns to who will follow him.;;;;;;;;;;;;x,,,,,
EVTDESC10411_NEWS_SHORT;The death of Napoleon III comes with no surprise to many. Mourned by the entire nation, and by his beloved Empress Eugénie, the question now turns to who will follow him.;;;;;;;;;;;;x,,,,,,
EVTNAME13021_NEWS_TITLE;$COUNTRY_ADJ$ Missionaries Executed;;;;;;;;;;;;x,,,,,,,,
EVTDESC13021_NEWS_LONG;A number of $COUNTRY_ADJ$ missionaries have been summarily executed in $FROMCOUNTRY$, without trial-- part of a $FROMCOUNTRY_ADJ$ action to round up all unwanted foreigners. The missionaries were peaceful, and though $FROMCOUNTRY$ has made it very clear that all outsiders are unwelcome in their nation the $COUNTRY_ADJ$ public is understandably still enraged. Many believe that war is necessary, while others believe the potential for war with $FROMCOUNTRY$ simply isn't worth it-- the missionaries new the risks, after all.;;;;;;;;;;;;x,,,,
EVTDESC13021_NEWS_MEDIUM;A number of $COUNTRY_ADJ$ missionaries have been executed in $FROMCOUNTRY$-- part of a $FROMCOUNTRY_ADJ$ action to round up all unwanted foreigners. The missionaries were peaceful, and the $COUNTRY_ADJ$ public is understandably enraged.;;;;;;;;;;;;x,,,,,,,
EVTDESC13021_NEWS_SHORT;A number of $COUNTRY_ADJ$ missionaries have been executed in $FROMCOUNTRY$-- part of a $FROMCOUNTRY_ADJ$ action to round up all unwanted foreigners.;;;;;;;;;;;;x,,,,,,,,
EVTNAME13201_NEWS_TITLE;$COUNTRY_ADJ$ Mission Under Siege!;;;;;;;;;;;;x,,,,,,,,
EVTDESC13201_NEWS_LONG;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown the $COUNTRY_ADJ$ ambassador out of $FROMCOUNTRY$, claiming that the $COUNTRY_ADJ$ barbarians behave unacceptably and in contrary to $FROMCOUNTRY_ADJ$ traditions. This affair is developing into an enormous loss of international face, one which many in the $COUNTRY_ADJ$ government believe can only be avoided through a formal declaration of war against $FROMCOUNTRY$.;;;;;;;;;;;;x,,,,,
EVTDESC13201_NEWS_MEDIUM;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador, claiming that the foreign barbarians behave unacceptably and in contrary to their traditions.;;;;;;;;;;;;x,,,,,,
EVTDESC13201_NEWS_SHORT;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador.;;;;;;;;;;;;x,,,,,,,
EVTNAME16001_NEWS_TITLE;The American Slavery Debate;;;;;;;;;;;;x,,,,,,,,
EVTDESC16001_NEWS_LONG;The one issue that the Founding Fathers of $COUNTRY$ were never able to answer conclusively was the question concerning the status of slavery within the union. This inflamed debate has only gained traction in the years since the revolution, and it is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel that there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated into emancipation by the central power in Washington.;;;;;;;;;;;;x,,,,,,
EVTDESC16001_NEWS_MEDIUM;This debate on slavery is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated by the central government.;;;;;;;;;;;;x,,,,,,,
EVTDESC16001_NEWS_SHORT;This debate on slavery is the singular most important $COUNTRY_ADJ$ political issue, with some radical southerners feeling the only alternative to being dominated by the government is secession.;;;;;;;;;;;;x,,,,,,,
EVTDESC16010_NEWS_LONG;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. Supposedly, Brown had planned to use the arsenal's weapons to arm slaves and incite an open slave rebellion across the entire south. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue, and in some slave-states there is now even talk of secession from the Union.;;;;;;;;;;;;x
EVTDESC16010_NEWS_MEDIUM;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue.;;;;;;;;;;;;x,,
EVTDESC16010_NEWS_SHORT;$COUNTRY$: John Brown was hanged in Charles Town, Virginia, today after a failed raid on a military armory, further escalating southern tension over the slavery issue.;;;;;;;;;;;;x,,,,,
EVTDESC16020_NEWS_LONG;$COUNTRY$: Dred Scott, born a slave in Virginia, has, with the help of abolitionist legal advisers, sued his 'owner', claiming that his present residency in a free state requires his emancipation. The United States Supreme Court has not yet ruled on the case—but seems inclined to rule that the property of slave-owners are protected regardless of where in the Union the slave resides. The case has caused enormous alarm among northern abolitionists, who see it as the first step to a full extension of the institution of slavery to the whole Union.;;;;;;;;;;;;x,,
EVTDESC16020_NEWS_MEDIUM;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused enormous alarm among northern abolitionists, who see it as the first step to a full extension of the institution of slavery to the whole Union.;;;;;;;;;;;;x,,,,,,
EVTDESC16020_NEWS_SHORT;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused enormous alarm among northern abolitionists.;;;;;;;;;;;;x,,,,,,,
EVTDESC16401_NEWS_MEDIUM;The $COUNTRY_ADJ$ government has recieved a petition from $FROMCOUNTRY$, requesting statehood in the United States of Central America. A constitution has been submitted, along with maps defining the state's territorial boundaries.;;;;;;;;;;;;x,,,,,,
EVTDESC16401_NEWS_SHORT;The $COUNTRY_ADJ$ government has recieved a petition from $FROMCOUNTRY$, requesting statehood in the United States of Central America.;;;;;;;;;;;;x,,,,,,,
EVTDESC16500_NEWS_LONG;$COUNTRY$: Delegates from the northern states are growing increasingly impatient with the deadlock in the American senate on the issue of slavery, citing what they see as an unreasonable balance of power currently controlled by southern interests. This has led to demands for a second constitutional convention and a change to a more proportional system of government based on population-- a demand adamantly opposed by the south, and not universally supported even in the north.;;;;;;;;;;;;x,,,,,,
EVTDESC16500_NEWS_MEDIUM;$COUNTRY$: Delegates from the northern states are growing increasingly impatient with the deadlock in the American senate on the issue of slavery, and have demanded a second constitutional convention and a change to a more proportional system of government based on population.;;;;;;;;;;;;x,,,,,,,
EVTDESC16500_NEWS_SHORT;$COUNTRY$: Frustrated northern delegates have demanded a second constitutional convention and a change to a more proportional system of government based on population rather than by state.;;;;;;;;;;;;x,,,,,,,,
EVTDESC16510_NEWS_LONG;A convention of northern delegates in $COUNTRY$ have convened in Philadelphia to announce the formation of a new union: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has decreed this an act of traitors, and is considering whether a peaceful resolution through negotiation is even possible. The so-called Free American government, however, is calling on patriots to rebel against a government held hostage to southern aristocrats and hidebound thinking—and this means war.;;;;;;;;;;;;x,,,,
EVTDESC16510_NEWS_MEDIUM;A convention of northern delegates have convened in Philadelphia to announce the formation of a new union: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has decreed this an act of traitors, and declared war.;;;;;;;;;;;;x,,,,,,
EVTDESC16510_NEWS_SHORT;A new union has been created: the Free States of America, free of slavery and dedicated to true freedom for all men. The 'true' American government has declared this an act of traitors.;;;;;;;;;;;;x,,,,,,,
EVTDESC19200_NEWS_LONG;‘His Majesty the King thereupon refused to receive the Ambassador again and had the latter informed by the Adjutant of the day that His Majesty had no further communication to make to the Ambassador.’ This reads the dispatch to the French government, resulting in a diplomatic incident between France and $FROMCOUNTRY$-- a perceived snubbing of the French ambassador, by the Prussian King, at the Monarch's vacation resort at Bad Ems, Hesse-Nassau, Prussia. Rumors claim that the dispatch might have been purposely engineered by German officials to provoke a war.;;;;;;;;;;;;x,,,
EVTDESC19200_NEWS_MEDIUM;A diplomatic conflict has erupted between France and Germany following a perceived snubbing of the French ambassador, by the Prussian King, at the Monarch's vacation resort at Bad Ems. Rumors claim this might have been purposely engineered to provoke a war.;;;;;;;;;;;;x,,,,,,
EVTDESC19200_NEWS_SHORT;A diplomatic conflict has erupted between France and Germany following a perceived snubbing of the French ambassador, by the Prussian King, at the Monarch's vacation resort at Bad Ems.;;;;;;;;;;;;x,,,,,,
EVTDESC19300_NEWS_LONG;The people of France have presented to the American people a spectacular gift. An enormous copper statue, 151 ft. tall, depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The design has been carried out by one Frederic Auguste Bartholdi, and a place has been set aside for the statue on an island in the New York harbor. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;;;;;;;;;x,,
EVTDESC19300_NEWS_MEDIUM;The people of France have presented to the American people a spectacular gift. An enormous copper statue depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;;;;;;;;;x,,,,,
EVTDESC19300_NEWS_SHORT;The people of France have presented to the American people a spectacular gift. An enormous copper statue depicting a woman carrying a torch, known as ‘the Statue of Liberty’.;;;;;;;;;;;;x,,,,,,,
EVTDESC19370_NEWS_LONG;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government. Already the $COUNTRY_ADJ$ people are up in arms over this imposition by a foreign power, though some are clearly questioning whether there is anything to be done. $COUNTRY$ did not submit willingly, after all, and if a rebellion breaks them free of $FROMCOUNTRY_ADJ$ control would $FROMCOUNTRY$ not simply invade once again?;;;;;;;;;;;;x,,,,
EVTDESC19370_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government. Already the $COUNTRY_ADJ$ people are up in arms over this imposition by a foreign power.;;;;;;;;;;;;x,,,,,,,
EVTDESC19370_NEWS_SHORT;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government.;;;;;;;;;;;;x,,,,,,,
EVTDESC20002_NEWS_LONG;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage. The $COUNTRY_ADJ$ army stood by, waiting for the orders to attack the crowds, but some in $COUNTRY$ are considering whether it might be better to accede to the public’s demands.;;;;;;;;;;;;x,,,,,
EVTDESC20002_NEWS_MEDIUM;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage.;;;;;;;;;;;;x,,,,,,,
EVTDESC20002_NEWS_SHORT;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage.;;;;;;;;;;;;x,,,,,,,
EVTNAME20006_NEWS_TITLE;$COUNTRY_ADJ$ Dictator Assassinated!;;;;;;;;;;;;x,,,,,,,,
EVTDESC20006_NEWS_LONG;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radical liberals. The country has been thrown into mourning, though even now there is word that factions are maneuvering to either find a successor to take the president's place… or overthrow the $COUNTRY_ADJ$ dictatorship once and for all.;;;;;;;;;;;;x,,,,,,
EVTDESC20006_NEWS_MEDIUM;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. The country has been thrown into mourning, though even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;x,,,,,,
EVTDESC20006_NEWS_SHORT;The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. Even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;x,,,,,,,
EVTNAME31510_NEWS_TITLE;A Greater $COUNTRY_ADJ$ Destiny?;;;;;;;;;;;;x,,,,,,,,
EVTDESC31510_NEWS_LONG;$COUNTRY$ has always walked a path slightly apart from those of its fellow Germans, and a 'German Unification' has never caught that much attention in $COUNTRY$ as it has in other German states. Lately however, powerful voices in $CAPITAL$ are arguing that $COUNTRY$'s dominance would oblige it to form a 'Greater Germany' under a single flag. But there are still doubts on whether to embark upon this path. Also, should the non-German peoples be released to scatter the worldwide fears of a coming super-state? Does $COUNTRY$ really have a greater destiny?;;;;;;;;;;;;x,,,,,
EVTDESC31510_NEWS_MEDIUM;Powerful voices in $CAPITAL$ are arguing that $COUNTRY$'s dominance in German territories would oblige it to form a 'Greater Germany'. But there are still doubts on wether to embark upon this path. Does $COUNTRY$ really have a greater destiny?;;;;;;;;;;;;x,,,,,,,,
EVTDESC31510_NEWS_SHORT;Powerful voices in $CAPITAL$ are arguing that $COUNTRY$'s dominance in German territories would oblige it to form a unified 'Greater Germany'. Does $COUNTRY$ really have a greater destiny?;;;;;;;;;;;;x,,,,,,,,
EVTDESC31518_NEWS_LONG;In recent days there has been much talk among $COUNTRY_ADJ$ politicians of a possible unification with $FROMCOUNTRY$ into a 'Greater Germany'. This talk now has been finally shot down by the $FROMCOUNTRY_ADJ$ government, which stated that $FROMCOUNTRY$'s path is separate from $COUNTRY$'s. While the $COUNTRY_ADJ$ government hasn’t formally responded yet there seem to be doubts in $CAPITAL$ about the next steps in this matter. Laying claims to the German-speaking parts of $FROMCOUNTRY$ remains an option but might likely lead to a war.;;;;;;;;;;;;x,,,,,,,
EVTDESC31518_NEWS_MEDIUM;Talks of a possible unification between $COUNTRY$ and $FROMCOUNTRY$ into a 'Greater Germany' have been finally shot down as the $FROMCOUNTRY_ADJ$ government stated that their path is separate from $COUNTRY$'s. The $COUNTRY_ADJ$ government hasn’t formally responded yet.;;;;;;;;;;;;x,,,,,,,,
EVTDESC31518_NEWS_SHORT;Unification-talks between $COUNTRY$ and $FROMCOUNTRY$ into a 'Greater Germany' have ended as the $FROMCOUNTRY_ADJ$ government stated 'our path is separate from $COUNTRY$'s'.;;;;;;;;;;;;x,,,,,,,,
EVTNAME31520_NEWS_TITLE;The 'Greater Germany' Deal;;;;;;;;;;;;;x,,,,,,,,
EVTDESC31520_NEWS_LONG;The $COUNTRY_ADJ$ government has met with the $FROMCOUNTRY_ADJ$ government today to finally ratify the forming charta of 'Greater Germany' and thus ending $COUNTRY$‘s independent path apart from the other German states. They do so with the full intent of incorporating their German-speaking territories, but releasing those belonging to other cultures. While such a 'Greater Germany' will undoubtedly become a natural super-power in the coming future, the world's great powers have already objected this unification by sending formal letters of protest.;;;;;;;;;;;;;x,,,,,,
EVTDESC31520_NEWS_MEDIUM;The $COUNTRY_ADJ$ and $FROMCOUNTRY_ADJ$ government have met today to finally ratify the forming charta of 'Greater Germany', incorporating their German-speaking territories and releasing those belonging to other cultures. The world's great powers have sent formal letters of protest.;;;;;;;;;;;;;x,,,,,,,
EVTDESC31520_NEWS_SHORT;The $COUNTRY_ADJ$ and $FROMCOUNTRY_ADJ$ government have met today to ratify the forming charta of 'Greater Germany'. The world's great powers have sent formal letters of protest.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC31521_NEWS_LONG;'Bella gerant alii, tu felix Austria nube'. $COUNTRY$ has now filed for divorce, leaving behind its long-lasting growth through heritage. With the former capital Vienna gone and the remaining controlled regions of the once glorious Empire in utter disarray, the nation has finally split apart at the seams. As the $COUNTRY_ADJ$ government was unwilling to maintain the country’s cohesion und thus to hold the last regions together whole portions of the former Empire have either declared their outright independence or their intention to reunite with their homelands.;;;;;;;;;;;;;x,,,,,
EVTDESC31521_NEWS_MEDIUM;With the former capital Vienna gone and the remaining regions of the once glorious Empire in disarray, $COUNTRY$ has finally split apart at the seams. Whole portions of the former Empire have either declared their independence or their intention to reunite with their homelands.;;;;;;;;;;;;;x,,,,,,,
EVTDESC31521_NEWS_SHORT;$COUNTRY$ is no more! With the former capital Vienna gone and the remaining regions of the once glorious Empire in utter disarray, the nation has finally split apart at the seams.;;;;;;;;;;;;;x,,,,,,,
EVTDESC31531_NEWS_LONG;The $FROMCOUNTRY_ADJ$ government has met with the $COUNTRY_ADJ$ government today, expressing their desire to unite into a 'Greater Germany' and thus ending $FROMCOUNTRY$‘s independent path. Powerful voices in both states have argued that $COUNTRY$'s dominance would already demand a unification under a single flag. While a unified nation would undoubtedly be a power unheard-of in the world, there are certain voices who do express caution: the world's great powers will likely object to such a union. Is 'Greater Germany' really worth a 'Greater War'?;;;;;;;;;;;;;x,,,,,,
EVTDESC31531_NEWS_MEDIUM;The $FROMCOUNTRY_ADJ$ government has met with the $COUNTRY_ADJ$ government today, expressing their desire to unite into a 'Greater Germany' and thus ending its independent path. Certain voices express caution as the world's great powers would likely object to such a union.;;;;;;;;;;;;;x,,,,,,,
EVTDESC31531_NEWS_SHORT;The $FROMCOUNTRY_ADJ$ and $COUNTRY_ADJ$ government have met today, expressing their desire to unite into a 'Greater Germany'. The great powers would likely object to such a union.;;;;;;;;;;;;;x,,,,,,,
EVTNAME32511_NEWS_TITLE;The Alaskan Purchase;;;;;;;;;;;;x,,,,,,,,
EVTDESC32511_NEWS_LONG;Distant Alaska has become a burden to the Russian government, and so recently they began quietly approaching powers around the Pacific Rim in the interest of selling it. They found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control for an undisclosed sum. Already the $COUNTRY_ADJ$ governor has arrived in Sitka to begin the new administration.;;;;;;;;;;;;x,,,,,,
EVTDESC32511_NEWS_MEDIUM;Distant Alaska has become a burden to the Russian government—now they have found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;;;;;;;;;x,,,,,,,
EVTDESC32511_NEWS_SHORT;A deal has been concluded between Russia and $COUNTRY$ where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;;;;;;;;;x,,,,,,,,
EVTDESC36711_NEWS_LONG;With the aid of British mediation, Belgium and the Netherlands have signed the Treaty of London. The treaty guarantees Belgium`s independence in exchange for some territorial concessions and the vassalization of Luxembourg to the Dutch crown.;;;;;;;;;;;;x,,,,,,,
EVTDESC36711_NEWS_MEDIUM;With the aid of British mediation, Belgium and the Netherlands have signed the Treaty of London. The treaty guarantees Belgium`s independence in exchange for some territorial concessions and the vassalization of Luxembourg to the Dutch crown.;;;;;;;;;;;;x,,,,,,,
EVTDESC36711_NEWS_SHORT;With the aid of British mediation, Belgium and the Netherlands have signed the Treaty of London, guaranteeing Belgium`s independence in exchange for some territorial concessions.;;;;;;;;;;;;x,,,,,,
EVTDESC36716_NEWS_LONG;Belgian forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch government has little choice but to accept any terms they dictate. The European powers have pushed for peace and conciliation-- they wish to see that Belgium keeps what it has and be satisfied with its independence-- though the Belgian government is said to be considering territorial demands. Doing so will almost certainly anger the powers of Europe.;;;;;;;;;;;;x,,,,,,,
EVTDESC36716_NEWS_MEDIUM;Belgian forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch government has little choice but to accept any terms they dictate. The Belgian government is said to be considering territorial demands.;;;;;;;;;;;;x,,,,,,,
EVTDESC36716_NEWS_SHORT;Belgian forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch have little choice but to accept any terms they dictate.;;;;;;;;;;;;x,,,,,,,
EVTNAME36955_NEWS_TITLE;The Burmese Conflict;;;;;;;;;;;;x,,,,,,,,
EVTDESC36955_NEWS_LONG;A British Commodore who was recently dispatched to Burma to negotiate several matters regarding the Treaty of Yandabo, signed in 1826 after the First Anglo-Burmese War, has initiated a naval confrontation with the Burmese under questionable circumstances. While many are calling this Commodore an 'irrational jingoist', the British cannot let this matter drop without losing a great deal of prestige—they will be forced to follow through with a war against a country that has been, up until now, a staunch British ally.;;;;;;;;;;;;x,,,
EVTDESC36955_NEWS_MEDIUM;A British Commodore who was recently dispatched to Burma to negotiate several matters regarding the Treaty of Yandabo, signed in 1826 after the First Anglo-Burmese War, has initiated a naval confrontation with the Burmese under questionable circumstances.;;;;;;;;;;;;x,,,,,,
EVTDESC36955_NEWS_SHORT;A British Commodore who was recently dispatched to Burma to negotiate several matters has initiated a naval confrontation with the Burmese under questionable circumstances.;;;;;;;;;;;;x,,,,,,,,
EVTNAME36961_NEWS_TITLE;The Gold Coast Treaty;;;;;;;;;;;;x,,,,,,,,
EVTDESC36961_NEWS_LONG;The Gold Coast Treaty was recently signed between $COUNTRY$ and $FROMCOUNTRY$, resulting in an exchange of sorts-- $COUNTRY$ has agreed to relinquish influence in the uncivilized nations of Indonesia, while $FROMCOUNTRY$ has agreed to turn over the province of Sekondi to $COUNTRY$... effectively surrendering their presence in the Ashanti Gold Coast region.;;;;;;;;;;;;x,,,,,,
EVTDESC36961_NEWS_MEDIUM;The Gold Coast Treaty was recently signed between $COUNTRY$ and $FROMCOUNTRY$ -- $COUNTRY$ has agreed to relinquish influence in the uncivilized nations of Indonesia, while $FROMCOUNTRY$ has agreed to turn over the province of Sekondi to $COUNTRY$.;;;;;;;;;;;;x,,,,,,,
EVTDESC36961_NEWS_SHORT;$COUNTRY$ has agreed to relinquish influence in Indonesia, while $FROMCOUNTRY$ has agreed to turn over the Gold Coast province of Sekondi to $COUNTRY$.;;;;;;;;;;;;x,,,,,,,
EVTDESC36966_NEWS_LONG;$COUNTRY$ outlawed the slave trade many years ago, but it continues in many African nations-- the coastal city of Lagos in particular. Lagos has been a haven for slavers, providing unwilling natives to the trade on markets in defiance of all decent conventions. $COUNTRY$ recently sent ships in to liberate the natives of Lagos, establishing a colony where they can receive civilized treatment—much to the outrage of the native government, who feel this is but a first step in $COUNTRY_ADJ$ conquest.;;;;;;;;;;;;x,,,,
EVTDESC36966_NEWS_MEDIUM;$COUNTRY$ recently sent ships in to liberate the natives of Lagos from the slave trade, establishing a colony where they can receive civilized treatment—much to the outrage of the native government, who feel this is but a first step in $COUNTRY_ADJ$ conquest.;;;;;;;;;;;;x,,,,,,
