#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTDESC200005;A debate is held in the parliament of our newborn nation. Nationalists, liberals, monarchists and conservatives argued in an open tumoil regarding the new anthem of Germany. Several songs were nominated, but each has a different meaning for different political groups. Intellectuals are convinced, that the new anthem will have a heavy influence on our people, and will be a symbol of Germany in the world. The struggle between monarchists and liberals was settled by some moderate conservatives, who proposed other suggestions for the anthem. In the end, we have now four nominations, the first proposed by the monarchists, the second by the liberals, and the other two as a way to strike a balance.;;;;;;;;;;;;x;
EVTOPTA200005;Heil dir im Siegerkranz' sounds good.;;;;;;;;;;;;x;
EVTOPTB200005;Deutschland, Deutschland über alles' - seems to be a classic.;;;;;;;;;;;;x;
EVTOPTC200005;Was ist des Deutschen Vaterland?' is clearly the best!;;;;;;;;;;;;x;
EVTOPTD200005;I like 'Die Wacht am Rhein'…;;;;;;;;;;;;x;
EVTNAME200006;The first 'Beethovenfest';;;;;;;;;;;;x;
EVTDESC200006;In 1845, the greatest living musicians of Germany fullfilled their project to erect a monument in memory of Ludwig van Beethoven, born in the city of Bonn in 1770. Beethoven is viewed by many as the most influential compositor of the 19th century. The inauguration of the monument was celebrated with a great music feast, in which Franz Liszt took part. High ranking monarchs of the german states and whole europe joint the festivity, which was marked by unbelieveable musical mastership, scandals and diplomatic issues between the great powers. Anyway, Beethoven was a symbol of the unresting german nation spirit, and the values of liberty and democracy.;;;;;;;;;;;;x;
EVTOPTA200006;Ta-ta-ta-daaa!;;;;;;;;;;;;x;
EVTNAME200007;The Constitution of Hanover;;;;;;;;;;;;x;
EVTDESC200007;When King William died, Princess Victoria became Queen of the United Kingdom. Ernest Augustus became the King of Hanover. Many Hanoverians were of a liberal perspective, and would have preferred the popular viceroy, the Duke of Cambridge, to become king, but both of Ernest's younger brothers refused to lend themselves to any movement by which they would become king rather than their elder brother. Hanover had received its first constitution, granted by the Prince Regent, in 1819. This did little more than denote Hanover's change from an electorate to a kingdom, granted by the Congress of Vienna. The Duke of Cambridge, as King William's viceroy in Hanover, recommended a thorough reorganisation of the Hanoverian government. William IV had given his consent to a new constitution in 1833. The Duke of Cumberland's consent was neither asked nor received, and he had formally protested against the constitution's adoption without his consent.;;;;;;;;;;;;x;
EVTNAME200008;The Göttinger Seven Protest;;;;;;;;;;;;x;
EVTDESC200008;About one month after he succeeded to the throne, King Ernest addressed the matter of the Constitution. He stated that he was not bound by it, as his consent had not been asked to it. He also indicated that it would have been different, or perhaps even non-existent, had he been in power at the time of its composition. He declared that it was his aim and ambition to make the necessary changes to the constitution and rewrite it to reflect his values. Hearing this, Friedrich Christoph Dahlmann - a famous german historian -, made an attempt to persuade his colleagues at the University of Göttingen senate to disapprove of the king's intent to change the constitution, and take some form of action. At first, none of his colleagues were willing to support him. But when King Ernest annulled the constitution, Dahlmann again appealed to the university, and composed a protestation in regards to opposing Augustus' decision. This time, he received a better response, six other professors were now willing to sign as opposers. These six, plus Dahlmann, would become known as the Göttingen Seven.;;;;;;;;;;;;x;
EVTNAME200009;The Göttinger Seven;;;;;;;;;;;;x;
EVTDESC200009;Immediately upon his arrival in Hanover, the new King Ernest August dissolved the parliament which had been convened under the disputed constitution. He proclaimed the suspension of the constitution, on the ground that his consent had not been asked, and that it did not meet the kingdom's needs. The King issued a patent, declaring the constitution void, but upholding all laws passed under it. The 1819 constitution was restored. In carrying the King's patent into effect, the Cabinet required all officeholders (including professors at Göttingen University) to renew their oaths of allegiance to the King. Seven professors (including the two Brothers Grimm) refused to take the oaths, and agitated for others to protest against the King's decree. Since they did not take the oaths, the seven lost their positions, and the King expelled the three most responsible (including Jacob Grimm) from Hanover. However, he was widely criticised in other parts of Germany and Europe.;;;;;;;;;;;;x;
EVTNAME200010;The Göttinger Seven in Hanover;;;;;;;;;;;;x;
EVTDESC200010;Immediately upon his arrival in Hanover, the new King Ernest August dissolved the parliament which had been convened under the disputed constitution. He proclaimed the suspension of the constitution, on the ground that his consent had not been asked, and that it did not meet the kingdom's needs. The King issued a patent, declaring the constitution void, but upholding all laws passed under it. The 1819 constitution was restored. In carrying the King's patent into effect, the Cabinet required all officeholders (including professors at Göttingen University) to renew their oaths of allegiance to the King. Seven professors (including the two Brothers Grimm) refused to take the oaths, and agitated for others to protest against the King's decree. In the House of Commons, MP Colonel Thomas Perronet Thompson proposed to Parliament that if the as-yet-childless Queen Victoria died, making Ernest the British King, the Parliament should declare that King Ernest had forfeited all rights to the British Throne by his actions.;;;;;;;;;;;;x;
EVTNAME200011;The Famous Göttinger Seven;;;;;;;;;;;;x;
EVTDESC200011;Remember our heroes! Remember the Göttinger Seven! Praise their virtues!' When Professor Dahlmann published his documents against the King of Hanover, it received popular support by german students and liberals. It had an explosive influence in the german states of the German Confederation. The students at the university of Göttingen produced many hundreds, or even thousands, of copies and disseminated them across Germany.;;;;;;;;;;;;x;
EVTNAME200012;The Göttinger Seven Seek Refuge;;;;;;;;;;;;x;
EVTDESC200012;History shows us noble and free men, who dared to say the full truth in the face of the King. The permission has one, who has courage.' After their struggle in Hanover, some of the Göttinger Seven searched a new university where they could continue their work, namely Dahlmann, Gervinus and Jacob Grimm.;;;;;;;;;;;;x;
EVTNAME200013;Aftermath of the Göttinger Seven;;;;;;;;;;;;x;
EVTDESC200013;Now, that Germany is united and liberal thoughts are not more seen as a thread, but a basis of our values, the Göttinger Seven are viewed as national heroes. They are remembered by the politicans as spearheads of our liberal constitution and the people see them as upright Germans, who fought for their rights.;;;;;;;;;;;;x;
EVTNAME200014;Vormärz;;;;;;;;;;;;x;
EVTDESC200014;In 1836, the states of the German Confederation were in the middle of the so-called 'Vormärz' (pre-March). The name derived from the later (failed) revolution in the march of 1848, and was a period which was shaped by the Austrian and Prussian police states, the censorship of the press and restricted freedoms. But it was also the time of german romanticism, evolving nationalism and great personalities, which made germany to the land of poets and thinkers. German culture blossomed, intellectuals stood up against reactionary governments, and such ideas as national unity and wider suffrage became topics of a new liberal and democratic movement.;;;;;;;;;;;;x;
EVTNAME200015;The kneeling controversy;;;;;;;;;;;;x;
EVTDESC200015;Traditionally, Bavaria was a catholic state. But with the foundation of the kingdom and the annexations of surrounding lands in the Napoleonic age, Bavaria gained large territories which were protestant. In this time, the king promoted a more tolerant politic toward his subjects. An example was the edict, that protestant soldiers had not to knee in front of a catholic mass or procession. However, Minister Karl von Abel has proposed to change this.;;;;;;;;;;;;x;
EVTNAME200016;The Blittersdorf Era;;;;;;;;;;;;x;
EVTDESC200016;Baden was one of the most liberal states in the German Confederation. However, in the late 1830s and beginning 1840s, minister Friedrich von Blittersdorf went against the liberal and democratic traditions of Baden. He promoted monarchic traditions, which lead to much discontent among the liberal society of this south german country. Especially the bureaucrats and officials were upset by his reactionary politics.;;;;;;;;;;;;x;
EVTNAME200017;Baden Ends Government Censorship;;;;;;;;;;;;x;
EVTDESC200017;It seems that the government in Baden has decided to reestablish free press rights. That is against the Carlsbad Decrees, which were enforced by us and should save the monarchical order in this region. Maybe we should protest against this step.;;;;;;;;;;;;x;
EVTNAME200018;Austrian and Prussian Protests!;;;;;;;;;;;;x;
EVTDESC200018;Austria and Prussia have protested against our reestablished press rights. We can still go on, but it will ruin our relationship with these great powers.;;;;;;;;;;;;x;
EVTNAME200019;Deutsches Wörterbuch;;;;;;;;;;;;x;
EVTDESC200019;Das Deutsche Wörterbuch (The German Dictionary) is one of the most important dictionaries of the German language. It is for German what the Oxford English Dictionary is for English, containing detailed historical information about the origin and use over time of German words, with examples taken from actual documents. In German the dictionary is also known as 'Der Grimm'. It was started by the Grimm brothers (known also for Grimms' Fairy Tales) in 1838.  Initially the Grimm brothers expected the project to take ten years and produce 6–7 volumes. In fact, the first volume was not published until 1854. Wilhelm Grimm died in 1859, and Jacob in 1863, while working on the entry for 'Frucht' (fruit). After their deaths multiple institutions were involved in the work, including the Prussian Academy of Sciences and the Berlin Academy, with a center in Goettingen also involved. Finally completed in 1961, the dictionary will contain 32 volumes and include about 350,000 main entries. The 'Grimm' was not only a scientific, but also national work.;;;;;;;;;;;;x;
EVTNAME200021;Deutschland. Ein Wintermärchen;;;;;;;;;;;;x;
EVTDESC200021;In 1843, the german poet Heinrich Heine, who left Germany 1831 for France, went back for a few weeks, visiting his mother and publisher Julius Campe in Hamburg. Heine was not a typical romantic author, but more a satirical one who criticized the reactionary policy and censorship of the authoritarian german states, but also his nationalistic and chauvinistic compatriots. On the return journey to Paris, the first draft of 'Deutschland. Ein Wintermärchen' (Germany: A Winter's Tale) took shape. The verse epic appeared in 1844 published by Hoffmann and Campe, Hamburg. According to the censorship regulations of the Carlsbad Conference of 1819, manuscripts of more than twenty folios did not fall under the scrutiny of the censor. Therefore it was published together with other poems in a volume called ‘New Poems’. The work showed Heine’s world of images and his folk-song-like poetic diction in a compact gathering, with cutting, ironic criticisms of the circumstances in his homeland. Heine’s verse-epic was much debated in Germany.;;;;;;;;;;;;x;
EVTNAME200023;Heine and Prussia;;;;;;;;;;;;x;
EVTDESC200023;Still always that wooden pedantic race/ Still always a right angle/ In every movement and every face/ The frozen conceit.' Heine, a former Prussian citizen (he was born in Düsseldorf), was against the militarism in his own country. In his verse-epic he critized the 'Prussian behaviour', but went also against the transfiguring german romanticism. In fact, he made fun of the anachronistic Germans, who prefered to finish a medieval cathedral, instead of looking forward.;;;;;;;;;;;;x;
EVTNAME200025;Scandals at the Beethoven Festival;;;;;;;;;;;;x;
EVTDESC200025;The ceremony was not without its awkward moments. Beethoven monument turned its back on the most important guests, King Frederick William IV of Prussia and the British Queen Victoria, who had taken their places on the balcony of the Fürstenberg Palace. Alexander von Humboldt saved the day by remarking that Beethoven had always been a rude fellow. Even more embarrassed was the fact that, during the toasts at the festival banquet in the 'Goldene Stern', Liszt snubbed the French contingent led by Berlioz and nearly caused a riot. Also, the Spanish dancer, Lola Montez, the famous mistress of the popular tragic-romantic King Ludwig I of Bavaria, made a scandalous guest appearance by dancing wildly on the tables. The king was later forced to end his affair.;;;;;;;;;;;;x;
EVTNAME200029;Germanistentag 1846;;;;;;;;;;;;x;
EVTDESC200029;In 1846, a conference of german historians, philologists and lawyers was held in Frankfurt. German history, law and language were debated topics, but also political issues like the question regarding a national state. Prominent personalities of this remarkable meeting of german thinkers were Jacob and Wilhelm Grimm, Friedrich Christoph Dahlmann, Georg Waitz and Johann Gustav Droysen. Venue was the old townhall of Frankfurt, the 'Römer'.;;;;;;;;;;;;x;
EVTNAME200031;Germanistentag 1847;;;;;;;;;;;;x;
EVTDESC200031;In 1847, a conference of german historians, philologists and lawyers was held in Frankfurt. 170 academics under the leadership of Jacob Grimm debated on history, law and language, but also political issues. The conference was described as an 'intellectual assembly of the German people'. On the last day, when a banquet was held in the old townshall of Lubeck, Heinrich Carl Jaup demanded a general citizenship as a first step towards a unified nation state.;;;;;;;;;;;;x;
EVTNAME200033;Goethe Monument;;;;;;;;;;;;x;
EVTDESC200033;The citizens of Frankfurt have edified a monument to honour Johann Wolfgang von Goethe, perhaps the most important german-speaking author and a symbol of german culture in general. This event is regarded as a national sensation among liberals and patriots.;;;;;;;;;;;;x;
EVTNAME200034;The Constitutional Conflict;;;;;;;;;;;;x;
EVTDESC200034;Like Baden, Hesse-Kassel had a rather liberal constitution. But after the liberal revolution, Elector Friedrich Wilhelm assigned a reactionary government and conducted an unpopular policy against the traditional liberties. The most radical step were his decrees, which were against the constitution. A conflict between the elector and the parliament evolved, ending in the suspension of the constitution.;;;;;;;;;;;;x;
free_press_in_baden_title;Abolish Censorship of the Press!;;;;;;;;;;;;x;
free_press_in_baden_desc;As one of the pioneers of liberalism and constitutionalism, until 1832 Baden had been one of the few states with the freedom of the press. However, under immense pressure of the reactionary governments in the German Confederation - namely Prussia and Austria - we were forced to abolish this fundamental right. We can try to reintroduce free press rights, but we will face the wrath of these two great powers once again.;;;;;;;;;;;;x;
build_goethe_denkmal_title;The Goethe monument;;;;;;;;;;;;x;
build_goethe_denkmal_desc;Goethe is the greatest son of Frankfurt. It is time to edify a monument for this german hero of literature - it will be an event which will be notified in the whole Confederation!;;;;;;;;;;;;x;
EVTNAME200035;Humboldt's Kosmos;;;;;;;;;;;;x;
EVTDESC200035;Kosmos (usually referred to in English as 'Cosmos') was an influential treatise on science and nature written by the German scientist and explorer Alexander von Humboldt. Kosmos began as a lecture series delivered by Humboldt at the University of Berlin, and was published in five volumes between 1845 and 1862 (the fifth was posthumous and incomplete). Widely read by academics and laymen alike, it applied the ancient Greek view of the orderliness of the cosmos (the universe) to the Earth, suggesting that universal laws applied as well to the apparent chaos of the terrestrial world. Controversially for the time, Humboldt in Kosmos spoke of the spirituality of the natural world only in general terms, avoiding the notion of a creator.;;;;;;;;;;;;x;
EVTNAME200036;Robert Schumann;;;;;;;;;;;;x;
EVTDESC200036;Robert Schumann is regarded as one of the most representative composers of the Romantic era. In 1850, he suceeded Ferdinand Hiller as musical director and moved to Düsseldorf. Although criticized regarding his poor conductor skills and scoffed because of his 'creative decay', Schumann composed his last symphony, the 'Rhenish'. He used Beethoven's and Mendelssohn's symphonies as a model, but was also inspired by his impressions of the Rhineland. Schumann himself stated, that his journey to Cologne and the sight of the cathedral were his main inspiration for this composition, which became one of his most famous works.;;;;;;;;;;;;x;
EVTNAME200037;Felix Mendelssohn Bartholdy;;;;;;;;;;;;x;
EVTDESC200037;Felix Mendelssohn Bartholdy was a German composer, pianist, organist and conductor of the early Romantic period. Early success in Germany, where he also revived interest in the music of Johann Sebastian Bach, was followed by travel throughout Europe. His essentially conservative musical tastes, however, set him apart from many of his more adventurous musical contemporaries such as Franz Liszt, Richard Wagner and Hector Berlioz. The Leipzig Conservatoire (now the University of Music and Theatre Leipzig), which he founded, became a bastion of this anti-radical outlook. His Violin Concerto was his last large orchestral work and is one of the most popular and most frequently performed violin concertos of all time. The concerto was first performed in Leipzig on 13 March 1845 with Ferdinand David as soloist. Mendelssohn was unable to conduct due to illness and the premiere was conducted by the Danish composer Niels Gade.;;;;;;;;;;;;x;
EVTNAME200038;Franz Liszt;;;;;;;;;;;;x;
EVTDESC200038;Franz Liszt became renowned in Europe during the nineteenth century for his virtuosic skill as a pianist. He was said by his contemporaries to have been the most technically advanced pianist of his age. In the 1840s he was considered by some to be perhaps the greatest pianist of all time. He was also a well-known composer, piano teacher, and conductor. He was a benefactor to other composers, including Richard Wagner, Hector Berlioz, Camille Saint-Saëns, Edvard Grieg and Alexander Borodin. He left behind an extensive and diverse body of work in which he influenced his forward-looking contemporaries and anticipated some 20th-century ideas and trends. When Liszt took up a long-standing invitation of Grand Duchess Maria Pavlovna of Russia to settle at Weimar, the most important period of his creative work began. Liszt had ample time to compose and during the next 12 years revised or produced those orchestral and choral pieces upon which his reputation as a composer mainly rested.;;;;;;;;;;;;x;
EVTNAME200039;Johannes Brahms;;;;;;;;;;;;x;
EVTDESC200039;Johannes Brahms was a German composer and pianist, and one of the leading musicians of the Romantic period. Born in Hamburg, Brahms spent much of his professional life in Vienna, Austria, where he was a leader of the musical scene. In his lifetime, Brahms's popularity and influence were considerable. Following a comment by the nineteenth-century conductor Hans von Bülow, he is sometimes grouped with Johann Sebastian Bach and Ludwig van Beethoven as one of the Three Bs. Brahms composed for piano, chamber ensembles, symphony orchestra, and for voice and chorus. A virtuoso pianist, he premiered many of his own works and worked with some of the leading performers of his time. It was the premiere of A German Requiem, his largest choral work, in Bremen, in 1868, that confirmed Brahms's European reputation and led many to accept that he had conquered Beethoven and the symphony. This gave him the confidence finally to complete a number of works that he had wrestled with over many years.;;;;;;;;;;;;x;
EVTNAME200040;Schubert's 'Unfinished';;;;;;;;;;;;x;
EVTDESC200040;Franz Schubert's Symphony No. 8 in B minor, commonly known as the 'Unfinished Symphony' (German: Unvollendete), was started in 1822 but left with only two movements known to be complete, even though Schubert would live for another six years. After his death, the work fell into oblivion, until Johann von Herbeck found it in the possession of Schubert's friend Anselm Hüttenbrenner in 1865. Herbeck conducted the symphony in the same year, and the performance was met with great enthusiams by the audience. The work is often referred to as Schubert’s first romantic symphony owing to its emphasis on expressive melody, vivid harmony, and creative combinations of orchestral tone color. ;;;;;;;;;;;;x;
EVTNAME200041;Johann Strauss;;;;;;;;;;;;x;
EVTDESC200041;Johann Strauss (son) was an Austrian composer of light music, particularly dance music and operettas. He composed over 500 waltzes, polkas, quadrilles, and other types of dance music, as well as several operettas and a ballet. In his lifetime, he was known as 'The Waltz King', and was largely then responsible for the popularity of the waltz in Vienna during the 19th century. Some of Johann Strauss's most famous works include The Blue Danube, Kaiser-Walzer, Tales from the Vienna Woods, the Tritsch-Tratsch-Polka, and the Pizzicato Polka. Among his operettas, Die Fledermaus and Der Zigeunerbaron are the most well-known. The operetta 'Die Fledermaus' premièred on 5 April 1874 at the Theater an der Wien in Vienna, and has been part of the regular operetta repertoire ever since.;;;;;;;;;;;;x;
EVTNAME200042;Gustav Mahler;;;;;;;;;;;;x;
EVTDESC200042;Gustav Mahler was a late-Romantic Austrian composer and one of the leading conductors of his generation. As a composer, he acted as a bridge between the 19th century Austro-German tradition and the modernism of the early 20th century. While in his lifetime his status as a conductor was established beyond question, his own music gained wide popularity only after periods of relative neglect which included a ban on its performance in much of Europe during the Nazi era. After graduating from the Vienna Conservatory in 1878, he held a succession of conducting posts of rising importance in the opera houses of Europe, culminating in his appointment in 1897 as director of the Vienna Court Opera (Hofoper). His innovative productions and insistence on the highest performance standards ensured his reputation as one of the greatest of opera conductors, particularly as an interpreter of the stage works of Wagner and Mozart.;;;;;;;;;;;;x;
EVTNAME200043;Richard Strauss;;;;;;;;;;;;x;
EVTDESC200043;Richard Georg Strauss was a leading German composer of the late Romantic and early modern eras. He is known for his operas, which include Der Rosenkavalier and Salome, his Lieder - especially his Four Last Songs - and his tone poems and other orchestral works, such as Death and Transfiguration, Till Eulenspiegel's Merry Pranks, Also sprach Zarathustra, An Alpine Symphony, and Metamorphosen. Strauss was also a prominent conductor throughout Germany and Austria. Strauss, along with Gustav Mahler, represents the late flowering of German Romanticism after Richard Wagner, in which pioneering subtleties of orchestration are combined with an advanced harmonic style. In 1905, Strauss produced Salome, a somewhat dissonant modernist opera based on the play by Oscar Wilde, in 1909 followd Elektra. Both were performed in Dresden for the first time.;;;;;;;;;;;;x;
EVTNAME200044;Anton Bruckner;;;;;;;;;;;;x;
EVTDESC200044;Anton Bruckner was an Austrian composer known for his symphonies, masses, and motets. The first are considered emblematic of the final stage of Austro-German Romanticism because of their rich harmonic language, strongly polyphonic character, and considerable length. Bruckner's compositions helped to define contemporary musical radicalism, owing to their dissonances, unprepared modulations, and roving harmonies. Unlike other musical radicals, such as Richard Wagner or Hugo Wolf who fit the enfant terrible mould, Bruckner showed extreme humility before other musicians, Wagner in particular. The apparent dichotomy between Bruckner the man and Bruckner the composer hampers efforts to describe his life in a way that gives a straightforward context for his music. His works, the symphonies in particular, had detractors, most notably the influential Austrian critic Eduard Hanslick, and other supporters of Johannes Brahms. He died in 1896.;;;;;;;;;;;;x;
EVTNAME200045;Arnold Schönberg;;;;;;;;;;;;x;
EVTDESC200045;Arnold Schönberg was an Austrian composer and painter, associated with the expressionist movement in German poetry and art, and leader of the Second Viennese School. In the 1920s, Schönberg developed the twelve-tone technique, a widely influential compositional method of manipulating an ordered series of all twelve notes in the chromatic scale. He also coined the term developing variation, and was the first modern composer to embrace ways of developing motifs without resorting to the dominance of a centralized melodic idea. Schönberg was also a painter, an important music theorist, and an influential teacher of compo...;;;;;;;;;;;;x;
EVTNAME200046;Mondnacht;;;;;;;;;;;;x;
EVTDESC200046;Joseph Freiherr von Eichendorff was a German poet and novelist of the later German romantic school. Eichendorff's guiding poetic theme was that Man should find happiness in full absorption of the beauties and changing moods of Nature. The lyricism of Eichendorff's poetry is much praised, and his poems have been set by many composers, including Schubert, Schumann, Mendelssohn, Brahms, Hugo Wolf, Richard Strauss, Friedrich Nietzsche, Hans Pfitzner, and Alexander Zemlinsky. In 1837, his poem 'Mondnacht' (Night of the Moon) was published, which is often seen as the 'pearl of pearls' of german romantic lyricism.;;;;;;;;;;;;x;
EVTNAME200047;Carl Spitzweg;;;;;;;;;;;;x;
EVTDESC200047;Carl Spitzweg was a German romanticist painter and poet. He is considered to be one of the most important artists of the Biedermeier era. His father, a wealthy merchant, had Carl trained as a pharmacist. He attained his qualification from the University of Munich, but while recovering from an illness he also took up painting. Spitzweg was self-taught as an artist, and began by copying the works of Flemish masters. He contributed his first work to satiric magazines. Upon receiving an inheritance in 1833, he was able to dedicate himself to painting. His later paintings and drawings were often humorous genre works. In 1839, his first painting 'The Poor Poet' was published. ;;;;;;;;;;;;x;
EVTNAME200048;Clemens Brentano;;;;;;;;;;;;x;
EVTDESC200048;Clemens Brentano was a German poet and novelist, born in Ehrenbreitstein, near Koblenz. Brentano, whose early writings were published under the pseudonym Maria, belonged to the Heidelberg group of German romantic writers, and his works are marked by excess of fantastic imagery and by abrupt, bizarre modes of expression. On the whole his finest work is the collection of Romanzen vom Rosenkranz (published posthumously in 1852). His short stories were very popular. The latter part of his life he spent in Regensburg, Frankfurt and Munich, actively engaged in promoting the Catholic faith. Against his will, his works were often seen as devotional literature.;;;;;;;;;;;;x;
EVTNAME200049;The Weavers of $PROVINCENAME$;;;;;;;;;;;;x;
EVTDESC200049;In $PROVINCENAME$, social, economical and political problems are evident. Upcoming liberal ideals and emerging poverty among the traditional artisans have created a menacing conflict situation. Rumours do the rounds, that a rebellion will take place, headed by the local weavers.;;;;;;;;;;;;x;
EVTNAME200050;Weavers’ Uprising;;;;;;;;;;;;x;
EVTDESC200050;In $YEAR$, an uprising of weavers took place in $COUNTRY$. The revolt was crushed by the $COUNTRY_ADJ$ military, but was closely observed by the German society and treated by several artists, among them Heinrich Heine (poem Die armen Weber). It was seen as a symbol of the unsettled problems in Germany, regarding political and social reforms.;;;;;;;;;;;;x;
EVTDESC200051;In $YEAR$, an uprising of weavers took place in $FROMCOUNTRY$. The revolt was crushed by the $FROMCOUNTRY_ADJ$ military, but was closely observed by the German society and treated by several artists, among them Heinrich Heine (poem Die armen Weber). It was seen as a symbol of the unsettled problems in Germany, regarding political and social reforms.;;;;;;;;;;;;x;
EVTNAME200052;The Weavers;;;;;;;;;;;;x;
EVTDESC200052;In $YEAR$, Gerhart Hauptmann's play The Weavers was first performed. Most of the characters are proletarians struggling for their rights. Unlike most plays of any period, as pointed out many times in literature criticism and introductions, the play has no true central character, providing ample opportunities for ensemble acting. Instead of a hero, Hauptmann created a mob. This mob is therefore the protagonist - or chief character - and if individuals emerge from the rank and file they are not thrust into the foreground to stay long. The historical background was the Weavers' Uprising in the 1840s.;;;;;;;;;;;;x;
the_grunderzeit2_title;Gründerzeit' Architecture;L'architecture du Gründerzeit;Gründerzeit-Architektur;;Arquitectura 'Gründerzeit';;;;;;;;x;
the_grunderzeit2_desc;The 'Gründerzeit', 'The Founding Era', refers to a period, stretching roughly from 1840 to the mid 1870s, of rapid economic modernization and industrialization of Germany and eastern Europe in general, and Vienna in particular. The era became know among other things for a its particular style of architecture, inspired by neo-gothic themes and imagery and the new building styles that industrialization had made possible, as well as for the rising tide of political liberalism that came with it. Support these new trends, and watch our capital blossom.;"Le ""Gründerzeit"" (époque des fondateurs) désigne une période comprise entre 1840 et le milieu des années 1870 qui se caractérise par la modernisation économique et l'industrialisation rapides de l'Allemagne et l'Europe de l'est en général, et de Vienne en particulier. Cette période est notamment connue pour son style architectural (inspiré par les thèmes et l'imagerie néogothiques ainsi que par les nouveaux styles de bâtiments que l'industrialisation avait rendu possibles) et pour la vague montante de libéralisme politique qui l'accompagna. Soutenez ces nouvelles tendances et assistez à la floraison de Vienne.";Der Ausdruck 'Gründerzeit' bezieht sich auf eine Periode, die sich grob von 1840 bis Mitte der 1870er Jahre erstreckte. In dieser Phase war Deutschland und Osteuropa, besonders Wien, Schauplatz rascher wirtschaftlicher Modernisierung und Industrialisierung. Die Ära wurde unter anderem für ihren besonderen architektonischen Stil berühmt, der von neugotischen Themen und von der Industrialisierung ermöglichten Baustilen sowie dem damit einhergehenden Aufstieg des politischen Liberalismus inspiriert wurde. Dies war besonders in Wien der Fall. Wenn wir diese neuen Trends unterstützen, wird Wien aufblühen.;;La 'Gründerzeit' o 'era de los fundadores' hace referencia a un período que va más o menos de la década de 1840 a mediados de la década de 1870 que se caracterizó por una rápida modernización económica de Alemania y Europa Oriental en general, especialmente de Viena. Esta era fue conocida entre otras cosas por su particular estilo de arquitectura inspirado por temas e imaginería neogótica y por los nuevos estilos de construcción que la industrialización había hecho posible. También fue conocida por la oleada de liberalismo político que al acompañó. Viena, en esta era, apoyaría esas nuevas tendencias y experimentaría un gran florecimiento.;;;;;;;;x;
build_schiller_denkmal_title;Honour Schiller;;;;;;;;;;;;x;
build_schiller_denkmal_desc;Friedrich Schiller was the greatest son of Württemberg. He was a poet, philosopher, historian, and playwright. Schiller stands in one row with Goethe, and both were the leaders of the period which is known as Weimar Classicism. It is time to build a monument for him. This will reassure a little bit the liberal elite in the short term, but may have influence on the national movement in the long term.;;;;;;;;;;;;x;
build_neuschwanstein_title;Neuschwanstein Castle;;;;;;;;;;;;x;
build_neuschwanstein_desc;Neuschwanstein Castle is a 19th-century Romanesque Revival palace on a rugged hill above the village of Hohenschwangau near Füssen in southwest Bavaria, Germany. The palace was commissioned by Ludwig II of Bavaria as a retreat and as a homage to Richard Wagner. The palace was intended as a personal refuge for the reclusive king, but it was opened to the paying public immediately after his death in 1886. Later, Neuschwanstein became a global of the era of the era of Romanticism. ;;;;;;;;;;;;x;
build_maximilianstrasse_title;Maximilianstraße;;;;;;;;;;;;x;
