;;;;;;;;;;;;;;x,,,
jung_desc;Carl Gustav Jung was a Swiss psychiatrist, an influential thinker, and the founder of analytical psychology. Jung is often considered the first modern psychologist to state that the human psyche is 'by nature religious' and to explore it in depth. Those not the first to analyze dreams, he has become perhaps one of the most well-known pioneers in the field of dream analysis. Unlike Freud, he was a self-described natural scientist and not a theoretical psychologist. For Jung this salient distinction revolved around his initial process of deep observation followed by categorizations rather than the reverse process of imagining what categories exist and then proceeding to seek for proof of and then discover that one was correct.;;;;;;;;;;;;x,,,
david_ricardo;David Ricardo;;;;;;;;;;;;x,,,,,,,
david_ricardo_desc;David Ricardo was an English political economist who followed the theories of Adam Smith. He wrote his most important work in 1817, titled Principles of Political Economy and Taxation. A great promoter of free trade, his major contribution to classical economics was his Law of Comparative Advantage, where he argued that mutual advantage in trade was always possible if each country concentrated on its resource advantages.;;;;;;;;;;;;x,,,,
alexander_bain;Alexander Bain;;;;;;;;;;;;x,,,,,,,
alexander_bain_desc;An associate of J.S. Mill, Alexander Bain added connections from physiology to associationist psychology, adding the laws of compound and constructive association to those of contiguity, similarity, and frequency. He was known for writing two of the earliest textbooks in psychology in 1855 and 1859, which were used by later experimental psychologists such as William James. His Spencer-Bain principle concerning probability of behavior recalls the later Behaviorist school in its conclusions.;;;;;;;;;;;;x,,
thomas_brown;Thomas Brown;;;;;;;;;;;;x,,,,,,,
thomas_brown_desc;Thomas Brown was an associationist of the Scottish School, he added a secondary set of laws to complete the associationist philosophy. He built upon earlier work by broadening associationism to consider it as an active process of an active mind. This active process considered the effects of other associations, temperament and state of mind of the individual, the state of health of the body, as well as the circumstances of the moment.;;;;;;;;;;;;x,,,
francis_galton;Francis Galton;;;;;;;;;;;;x,,,,,,,
francis_galton_desc;Sir Francis Galton was a British aristocrat who wrote extensively on the measurement of an individual's mental abilities using sensory and motor tests. His 1869 work 'Hereditary Genius:  An Inquiry into its Laws and Consequences' argued that the children of geniuses tended to become geniuses themselves. He surveyed thousands of fellow academics, publishing in 1874 his findings that intelligence was primarily a heritable trait, although there was some necessity for environmental nurturance of that trait. He was the first to use identical and fraternal twins to measure the effects of nature versus nurture, and established in 1888 the theoretical basis for correlation, scatterplots, and regression as measurement tools.;;;;;;;;;;;;x,,
alfred_binet;Alfred Binet;;;;;;;;;;;;x,,,,,,,
alfred_binet_desc;Alfred Binet was a French psychologist who pioneered the use of standardized testing to measure individual differences in intelligence. The French government commissioned Binet and his student Theodore Simon to develop a test in 1899 to differentiate 'retarded' from 'normal' children. The Simon-Binet test divided intelligence into several areas and measured each with a battery of questions. Questions considered to measure higher ability were those answered more often by students whom their teachers had rated highly. Binet also believed that intelligences were inherited, but improvable by education. His test assigned a single 'mental-level' score to each subject based on their test results.;;;;;;;;;;;;x,,,,,,
charles_spearman;Charles Spearman;;;;;;;;;;;;x,,,,,,,
charles_spearman_desc;Charles Spearman was a British psychologist and mathematician. Spearman criticized Galton's tests as being too simple to measure intelligence. He preferred Binet's test, but criticized the use of a universal number to characterize different areas of intelligence. He developed the process of factor analysis, measuring correlations between performance in different test areas. He proposed two underlying factors 'g' for general intelligence to explain the correlations and 's' for specific abilities to explain the imperfections in his correlations. His 'g' factor was not a concrete number, but he too believed in the heritability of intelligence.;;;;;;;;;;;;x,,,,
eugenics;Eugenics;;;;;;;;;;;;x,,,,,,,
eugenics_desc;An outgrowth from Darwinistic ideas on natural selection and trait theories and from the studies in intelligence measurement, Eugenics was concerned with the mental and physical traits found in society and a response to the weaknesses found. Positive eugenics encouraged family programs, social welfare, and the importance of education in the desirability of breeding to increase the appearance of positive traits. Negative eugenics argued for the need to remove weak traits by removing undesirable elements, leading to sterilization and even extermination of target groups.;;;;;;;;;;;;x,,,
wilhelm_wundt;Wilhelm Wundt;;;;;;;;;;;;x,,,,,,,
wilhelm_wundt_desc;Wilhelm Wundt was a German physiologist who opened the first university-based psychological laborator in Leipzig in 1879. Wundt published the first textbook to identify psychology as a science. His 'two reaction-time' tasks demonstrated that complex sequences are the combination of more elementary processes. This was the foundation of Cognitive Psychology.;;;;;;;;;;;;x,,,,,,,
edward_titchener;Edward Titchener;;;;;;;;;;;;x,,,,,,,
edward_titchener_desc;Edward Titchener was an English psychologist who studied under Wundt at Leipzig. Titchener headed the psychology department at Cornell University and founded the Structuralist school, which relied heavily on introspection to perform analysis on the structure of the mind. His attempts to break down experiences into four basic elements was discredited because it was possible for different subjects to identify different elements from the same experiences.;;;;;;;;;;;;x,,,,,,
william_james;William James;;;;;;;;;;;;x,,,,,,,
william_james_desc;William James was an American psychologist and philosopher at Harvard University. James emphasized the the study of the purposes and functions of the mind, rather than its structure. James is considered the founder of the Functionalist school. He used experiments and introspection, but disclaimed introspection as scientific proof.;;;;;;;;;;;;x,,,,,
gs_hall;G. Stanley Hall;;;;;;;;;;;;x,,,,,,,
gs_hall_desc;G. Stanley Hall was the first President of the American Psychological Association. Hall founded the American Journal of Psychology in 1887. His research focused on educational psychology and adolescence. He adapted the term 'Storm and Stress' to characterize the period of adolescence. Hall believed in the heritability of behavior and supported the Eugenics program. His views on child development were later largely refuted by Piaget and Vygotsky.;;;;;;;;;;;;x,,,,,,,
hermann_ebbinghaus;Hermann Ebbinghaus;;;;;;;;;;;;x,,,,,,,
hermann_ebbinghaus_desc;Hermann Ebbinghaus was a German psychologist who pioneered studies in memory. Ebbinghaus used himself as subject in thousands of repetitions of his 'nonsense syllables.' Among his contributions to the field were the learning curve, the forgetting curve, and the serial position effect, which demonstrated that individuals remember the most recent information first presented. He documented 'savings': information relearned a second time is memorized faster.;;;;;;;;;;;;x,,,,
mary_calkins;Mary Calkins;;;;;;;;;;;;x,,,,,,,
mary_calkins_desc;Mary Calkins was an American teacher who became the first female President of the American Psychological Association. A student of James' in 1890, Calkins completed the requirements for a PhD at Harvard only to be refused. She went on to a distinguished tenure at Wellesley College, writing about the psychology of the self: 'a totality, a one of many characters... a unique being in the sense that I am I and you are you'....;;;;;;;;;;;;x,,,,
alfred_adler;Alfred Adler;;;;;;;;;;;;x,,,,,,,
alfred_adler_desc;Alfred Adler was an Austrian doctor and psychtherapist. Adler diverged from Freud in arguing that unconscious motivation could be better explained by teleological goals rather than instinctual drives. According to Adler, people are born with a feeling of Inferiority. People attempt to overcome these feelings of inferiority. Adler posited one of three outcomes. An 'inferiority complex' develops in people who are overwhelmed by these feelings. Some of these will develop a superiority complex to mask their true feelings. Psychologically healthy people manifest the concept of self-esteem and satsify their goals through a sense of personal achievement.;;;;;;;;;;;;x,,,,,,
anna_freud;Anna Freud;;;;;;;;;;;;x,,,,,,,
anna_freud_desc;The daughter of Sigmund Freud, Anna began her psychoanalytic practice in 1923. She served as secretary of the International Psychoanalytical Association between 1925 and 1934. Freud became known for her work on the social importance of the ego in childhood development. She wrote 'Ego and the Mechanisms of Defense' (1936) in which she further developed the concept of defense mechanisms such as repression, displacement, reaction formation and rationalization. These are mental processes to reduce consciousness of wishes, memories and thoughts that prove threatening to self-esteem and security of the individual.;;;;;;;;;;;;x,,,
karen_horney;Karen Horney;;;;;;;;;;;;x,,,,,,,
karen_horney_desc;Karen Horney was a German psychoanalyst. She came to criticize Freud's emphasis on sex and aggressive as motivating drives. Horney (1937) focused on security instead as the central, inborn human need. In her view, child development was contingent upon parental fulfillment of the child's 'basic anxiety' emotion. Success would result in a trusting individual, while failure would result in insecurity. Insecurity and distrust manifests itself in personality as either avoidance, submission or dominance.;;;;;;;;;;;;x,,,
ivan_pavlov;Ivan Pavlov;;;;;;;;;;;;x,,,,,,,
ivan_pavlov_desc;Ivan Pavlov was a Russian physiologist and winner of the Nobel Prize for his work on reflexes in digestion. In the course of studies with dogs and salivation, Pavlov observed that the dogs elicited a certain type of salivation with certain signals that preceeded the arrival of food. In his 1927 study, Pavlov laid out the basic principles of classical conditioning in Behaviorism. The food was the unconditioned stimulus for salivation. The signal became associated with salivation as a conditioned stimulus, with salivation to the sound of the signal alone becoming the new conditioned response. Extinction, recovery, generalization and discrimination were identified in subsequent studies.;;;;;;;;;;;;x,,
el_thorndike;Edward L. Thorndike;;;;;;;;;;;;x,,,,,,,
el_thorndike_desc;Edward Lee Thorndike was an American researcher who also conducted experiments in animal learning. He was known for his puzzle-box procedure (1898), in which a hungry cat was placed inside a small cage and observed to see how long it took the cat to learn to pull the lever and escape, where food was waiting. He observed that after 20-30 trials, the cats had become efficient at escaping almost instantaneously. Thorndike formulated the law of effect, stating that responses producing a positive effect became more likely to occur again, and those producing discomfort were less likely to occur again. These observations were later transformed by B.F. Skinner into the concept of operant conditioning in psychology.;;;;;;;;;;;;x,,
jb_watson;John B. Watson;;;;;;;;;;;;x,,,,,,,
jb_watson_desc;John Broadus Watson was an American psychologist who studied Pavlovian conditioning in humans. Watson's most famous experiment involved conditioning an 11-year old child named Albert to associate a conditioned stimulus (fear of rats) to an unconditioned stimulus (fear of a loud hammering sound). Watson's research later led to clinical treatments extinguishing irrational fears in people. After being dismissed from Harvard over an affair and marriage with a graduate student, Watson brought his research experience to a prominent advertising firm. Modern advertising owed much to behaviorist psychology and conditioning concepts.;;;;;;;;;;;;x,,,,,,
ec_tolman;Edward C. Tolman;;;;;;;;;;;;x,,,,,,,
ec_tolman_desc;Edward C. Tolman was another prominent American psychologist in the field of Behaviorism. Tolman performed maze experiments to demonstrate latent learning in animals. He showed that a rat could run the maze on the first try, if it was previously allowed to explore the maze while not hungry. Tolman evinced that the subject learned useful stimulus information about the world without reference to a reinforcing stimulus (the food). The ability to run the maze correctly on trial one demonstrated flexibility in the use of the learned information. Tolman's stimulus-stimulus (S-S) learning was opposed by the stimulus-response (S-R) orthodoxy of Skinner.;;;;;;;;;;;;x,,,,,,
dmitri_mendeleev;Dmitri Mendeleev;;;;;;;;;;;;x,,,,,,,
dmitri_mendeleev_desc;Dmitri Ivanovich Mendeleev was a Russian chemist and inventory. He is credited as being the creator of the first version of the periodic table of elements. Using the table, he predicted the properties of elements yet to be discovered.;;;;;;;;;;;;x,,,,,,
the_periodic_table;The Periodic Table;;;;;;;;;;;;x,,,,,,,
the_periodic_table_desc;The periodic table of the chemical elements is a tabular display of the chemical elements. Although precursors to this table exist, its invention is generally credited to Russian chemist Dmitri Mendeleev, who intended the table to illustrate recorring trends in properties of the elements.;;;;;;;;;;;;x,,,,,
anaesthesia;Anaesthesia;;;;;;;;;;;;x,,,,,,,
anaesthesia_desc;Anaesthesia (from greek "without sensation") is a state of temporary induced loss of sensation or awareness. Anesthesia enables the painless performance of medical procedures that would cause severe or intolerable pain to an unanesthetized patient.;;;;;;;;;;;;x,,,,,,,
antitoxins;Antitoxins;;;;;;;;;;;;x,,,,,,,
antitoxins_desc;An Antitoxin is an antibody with the ability to neutralize a specific toxin. Antitoxins are produced by certain animals, plants, and bacteria. Although they are most effective in neutralizing toxins, they can kill bacteria and other microorganisms. Antitoxins are made within organisms, but can be injected into other organisms, including humans. This procedure involves injecting an animal with a safe amount of a particular toxin. Then, the animalâ€™s body makes the antitoxin needed to neutralize the toxin. Later, the blood is withdrawn from the animal. When the antitoxin is obtained from the blood, it is purified and injected into a human or other animal, inducing passive immunity.;;;;;;;;;;;;x,,,,,,
vitamins;Vitamins;;;;;;;;;;;;x,,,,,,,
vitamins_desc;A Vitamin is an organic compound and an essential nutrient that an organism requires in limited amounts. An organic chemical compound is called a vitamin when the organism cannot make the compound in sufficient quantities, and it must be obtained through the diet; thus, the term vitamin is conditional upon the circumstances and the particular organism.;;;;;;;;;;;;x,,,,,,
robert_koch;Robert Koch;;;;;;;;;;;;x,,,,,,,
robert_koch_desc;Rpbert Koch was a German physician and microbiologist. He is considered to be one of the founders of microbiology, he identified the specific causative agents of tuberculosis, cholera, and anthrax and gave experimental support for the concept of infectious disease, which included experiments on humans. Koch created and improved laboratory technologies and techniques in the field of microbiology, and made key discoveries in public health.;;;;;;;;;;;;x,,,,,,
joseph_lister;Joseph Lister;;;;;;;;;;;;x,,,,,,,
joseph_lister_desc;Joseph Lister was a British surgeon and a pioneer of antiseptic surgery, who promoted the idea of sterile surgery while working at the Glasgow Royal Infirmary. Lister successfully introduced carbolic acide to sterilise surgical instruments and to clean wounds, which led to reducing post-operative infections and made surgery safer for patients.;;;;;;;;;;;;x,,,,,
louis_pasteur;Louis Pasteur;;;;;;;;;;;;x,,,,,,,
louis_pasteur_desc;Louis Pasteur was a French chemist and microbiologist who is remembered for his remarkable breakthroughs in the causes and preventions of diseases. His discoveries reduced mortality from puerperal fever, and he created the first vaccine for rabies and anthrax. He was best known to the public for inventing a method to stop milk and wine from causing sickness, a process that came to be called pasteurization.;;;;;;;;;;;;x,,,,,
alfred_nobel;Alfred Nobel;;;;;;;;;;;;x,,,,,,,
alfred_nobel_desc;Alfred Bernhard Nobel was a Swedish chemist, engineer, innovator, and armaments manufacturer. Known for inventing dynamite, Nobel also owned Bofors, which he had redirected from its previous role as primarily an iron and steel producer to a major manufacturer of cannon and other armaments. Nobel held 355 different patents, dynamite being the most famous. After reading a premature obituary which condemned him for profiting from the sales of arms, he bequeathed his fortune to institute the Nobel Prizes.;;;;;;;;;;;;x,,,
archibald_scott_couper;Archibald Scott Couper;;;;;;;;;;;;x,,,,,,,
archibald_scott_couper_desc;Archibald Scott Couper was a Scottish chemist who proposed an early theory of chemical structure and bonding. He developed the concepts of tetravalent carbon atoms linking together to form large molecules, and that the bonding order of the atoms in a molecule can be determined from chemical evidence.;;;;;;;;;;;;x,,,,,,
florence_nightingale;Florence Nightingale;;;;;;;;;;;;x,,,,,,,
florence_nightingale_desc;Florence Nightingale was a celebrated English nurse, writer and statistician. A Christian universalist, Nightingale believed that God had called her to be a nurse. She came to prominence for her pioneering work in nursing during the Crimean War, where she tended to wounded soldiers. She was dubbed 'The Lady with the Lamp' after her habit of making rounds at night.;;;;;;;;;;;;x,,,,
franz_boas;Franz Boas;;;;;;;;;;;;x,,,,,,,
franz_boas_desc;Franz Boas was a German-American anthropologist, a pioneer of modern anthropology who has been called the 'Father of Modern Anthropology'. He applied the scientific method to the study of human cultures and societies. Previously this discipline was based on the formulation of grand theories around anecdotal knowledge.;;;;;;;;;;;;x,,,,,,
marcel_mauss;Marcel Mauss;;;;;;;;;;;;x,,,,,,,
marcel_mauss_desc;Marcel Mauss was a French sociologst. Mauss' academic work traversed the boundaries between sociology and anthropology. Today, he is perhaps better recognised for his influence on the latter discipline, particularly with respect to his analyses of topics such as magic, sacrifice and gift exchange in primitive cultures.;;;;;;;;;;;;x,,,,
branislaw_malinowski;Bronislaw Malinowski;;;;;;;;;;;;x,,,,,,,
branislaw_malinowski_desc;Bronislaw Kasper Malinowski was a Polish anthropologist, widely considered one of the most important modern anthropoligists, and also influential in structural functionalist sociology. His pioneering ethnographic fieldwork made a major contribution to the study of Melanesia and of phenomena relating to reciprocity.;;;;;;;;;;;;x,,,,,
flinders_petrie;Flinders Petrie;;;;;;;;;;;;x,,,,,,,
flinders_petrie_desc;Professor Sir William Flinders Petrie was an English Egyptologist and a pioneer of systematic methodology in archaeology. He held the first chair of Egyptology in the United Kingdom, and excavated at many of the most important archaeological sites in Egypt, such as Naukratis, Tanis, Abydos and Amarna. Some consider his most famous discovery to be that of the Mernetaph Stele.;;;;;;;;;;;;x,,,
jg_taylor;John George Taylor;;;;;;;;;;;;x,,,,,,,
jg_taylor_desc;A noted British mathematical physicist who pioneered work in artificial intelligence.;;;;;;;;;;;;x,,,,,,,
cl_wooley;Charles Leonard Woolley;;;;;;;;;;;;x,,,,,,,
cl_wooley_desc;Sir Charles Leonard Woolley was a British archaeologist best known for his excavations at Ur in Mesopotamia. He is considered to have been one of the first 'modern' archaeologists.;;;;;;;;;;;;x,,,,,,,
arthur_evans;Arthur Evans;;;;;;;;;;;;x,,,,,,,
arthur_evans_desc;Sir Arthur John Evans was a British archaeologist most famous for unearthing the palace of Knossos on the Greek island of Crete and for developing the concept of Minoan civilization from the structures of the artifacts found there and elsewhere throughout the eastern Mediterranean.;;;;;;;;;;;;x,,,,,,,
heinrich_schliemann;Heinrich Schliemann;;;;;;;;;;;;x,,,,,,,
heinrich_schliemann_desc;Heinrich Schliemann was a German businessman and archaeologist, and an advocate of the historical reality of places mentioned in the works of Homer. Schliemann was an archaeological excavator of Troy, along with the Mycenaean sites of Mycenae and Tiryns. His work lent weight to the idea that Homer's Iliad and Virgil's Aeneid reflect actual historical events.;;;;;;;;;;;;x,,,,,
emile_dirkheim;Emile Durkheim;;;;;;;;;;;;x,,,,,,,
emile_dirkheim_desc;David Emile Durkheim was a French sociologist. He formally established the academic discipline and, with Karl Marx and Max Weber, is commonly cited as the principal architect of modern social science.;;;;;;;;;;;;x,,,,,
max_weber;Max Weber;;;;;;;;;;;;x,,,,,,,
max_weber_desc;Karl Emil Maximilian Weber was a German sociologist and political economist who profoundly influenced social theory, social research, and the discipline of sociology itself. Weber's major works dealt with the rationalization and 'disenchantment' he associated with the rise of capitalism and modernity.;;;;;;;;;;;;x,,,,,
ferdinand_de_saussure;Ferdinand de Saussure;;;;;;;;;;;;x,,,,,,,
ferdinand_de_saussure_desc;Ferdinand de Saussure was a Swiss linguist whose ideas laid a foundation for many significant developments in linguistics in the 20th century. Saussure is widely considered to be one of the fathers of modern linguistics.;;;;;;;;;;;;x,,,,,,,
william_hamilton;William Hamilton;;;;;;;;;;;;x,,,,,,,
william_hamilton_desc;Sir William Rowan Hamilton (4 August 1805 – 2 September 1865) was an Irish physicist, astronomer, and mathematician, who made important contributions to classical mechanics, optics, and algebra. His studies of mechanical and optical systems led him to discover new mathematical concepts and techniques.;;;;;;;;;;;;x,,
soren_kierkegaard;Søren Kierkegaard;;;;;;;;;;;;x,,,,,,,
soren_kierkegaard_desc;Søren Aabye Kierkegaard was a Danish philosopher, theologian and religious author interested in human psychology. He strongly criticized many modern philosophers and the Christianity of the State Church versus the Free Church. Much of his philosophical work deals with the issues of how one lives as a 'single individual', giving priority to concrete human reality over abstract thinking, and highlighting the importance of personal choice and commitment.;;;;;;;;;;;;x,,,,
emile_coue;Émile Coué;;;;;;;;;;;;x,,,,,,,
emile_coue_desc;Émile Coué was a French psychologist and pharmacist who introduced a method of psychotherapy and self-improvement based on optimistic autosuggestion. Coue maintained that curing some of our troubles requires a change in our unconscious thought, which can only be achieved by using our imagination.;;;;;;;;;;;;x,,,,,,
neurology;Neurology;;;;;;;;;;;;x,,,,,,,
neurology_desc;Neurology is a medical specialty dealing with disorders of the nervous system. Specifically, it deals with the diagnosis and treatment of all categories of disease involving the central,peripheral, and autonomic nervous systems.;;;;;;;;;;;;x,,,,
gendarmerie;Gendarmerie;;;;;;;;;;;;x,,,,,,,
neurology_desc;A gendarmerie is a military component with jurisdiction in civil law enforcement. The term "gendarmerie" is derived from the medieval French expression gens d'armes, which translates to "armed people". Gendarmeries may bear other titles, for instance the Carabinieri in Italy, the Guardia Civil in Spain or the Royal Marechaussee in the Netherlands.;;;;;;;;;;;;x,,,,
mountain_warfare;Mountain Warfare;;;;;;;;;;;;x,,,,,,,
mountain_warfare_desc;Mountain warfare refers to warfare in the mountains or similarly rough terrain. This type of warfare is also called Alpine warfare, after the Alps mountains. Mountain warfare is one of the most dangerous types of combat as it involves surviving not only combat with the enemy but also the extreme weather and dangerous terrain. Mountain ranges are of strategic importance since they often act as a natural border, and may also be the origin of a water source. Attacking a prepared enemy position in mountain terrain requires a greater ratio of attacking soldiers to defending soldiers than a war conducted on level ground.;;;;;;;;;;;;x,,,,
barrage_fire;Barrage Fire;;;;;;;;;;;;x,,,,,,,
barrage_fire_desc;A barrage is massed artillery fire aimed at points, typically 20–30 yards (18–27 m) apart, along one or more lines that can be from a few hundred to several thousand yards long. The lines are usually 100 yards (91 m) apart and fire is lifted from one line to the next and one or several lines may be simultaneously engaged by different firing units. The artillery usually fires at a continuous steady rate, using high explosive or, historically, shrapnel shells. A barrage might be from a few or many batteries, or even (rarely) from a single gun. Barrage fire may be defensive to deny or hamper enemy passage through an area or offensive to provide covering fire that neutralises the enemy in an area through or towards which friendly forces are advancing.;;;;;;;;;;;;x,,,,
counter_battery_fire;Counter-Battery Fire;;;;;;;;;;;;x,,,,,,,
counter_battery_fire_desc;Counter-battery fire is a battlefield military activity to defeat the enemy's indirect fire elements, including their target acquisition, command and control components. Counter-battery arrangements and responsibilities vary between nations but involve target acquisition, planning and control, and counter-fire.;;;;;;;;;;;;x,,,,
