EVTNAME110090;The Trentino Compromise.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC110090;Ever since we established our control of the Trentino area there has been discontent. Nationalist troubles agitate the region and riots are more and more common. In a spirit of appeasement, some advisors think it could be wise to cede part of the land... for a price. We'd agree to relish our claims on their share as they would for ours. A German north and an Italian south. Let's hope this resolves tensions amongst our nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT110090OPTA;The land is rightfully theirs.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT110090OPTB;The land is rightfully ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME110091;The Allahdad;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC110091;In $YEAR$, violent riots and forced conversions started taking place against the Jews of Mashhad. It is still unclear what started it: some blame a Jewish doctor who offended the clergy on the month of Muharram, others claim it was due to a financial conflict between the community an a local Sayyid. The city's ruler wish to order his men to enter Jewish homes and mobs attacked the Jewish community, burning down the synagogues while foreign elements are outraged at how their brethen are being treated. What should we do?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT110091OPTA;It is the will of Allah.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT110091OPTB;They are also our subjects.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME110092;Race Riots;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC110092;The situation in $PROVINCE$ has degraded lately: due to poverty, unemployment and the post-war tensions riots have taken place against some of our national minorities. Looting, lynching and pillaging took place by a mass of furious protesters. This will be a black mark in our history...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT110092OPTA;A sad state of affair...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
FRA_404;Artois;;;;;;;;;x;;;;
amir_kabir;Amir Kabir;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
desc_amir_kabir;Amir Kabir Mirza Taghi Khan Farahani is overseeing great works of reform in our country, to the anger of some.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
racial_tensions;Racial tensions;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
desc_racial_tensions;Following racial riots targeting minorities, tension and hatred are high in the local community.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB110083;A king's place is in his country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA110083;We could learn a lot.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA110092;A sad state of affairs.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB110082;No thanks.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA110082;Wonderful initiative!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
