EVTDESC9990007;Recent events in Calcutta have undermined the East India Company's loyalty to the Crown in matters of trade and the British monopoly on Indian goods is in danger, swift action must be taken to mend this.;;;;;;;;;;;;x
EVTNAME9990008;The End of the East India Company;;;;;;;;;;;;x
EVTDESC9990008;Parliament is understandably displeased with our recent change in policy and they now seek to undermine our rights and liquidate the company, clearly it is time for us to reevaluate our loyalties.;;;;;;;;;;;;x
EVTNAME9990009;A New Toy;;;;;;;;;;;;x
EVTDESC9990009;A Ship has arrived in Calcutta today carrying some delightful fruits of British ingenuity, we must put it to use straight away.;;;;;;;;;;;;x
government_of_india_act;The Government of India Act;;;;;;;;;;;;x
government_of_india_act_title;The Government of India Act ($YEAR$);;;;;;;;;;;;x
government_of_india_act_desc;The recent rebellion in India has exposed structural weaknesses and inefficiencies in Company rule, for the good of the Indians and Empire we must liquidate the East India Company and bring their holdings under Crown rule. \n\n We hold ourselves bound to the natives of our Indian territories by the same obligation of duty which bind us to all our other subjects.;;;;;;;;;;;;x
colonial_company;Autonomous Dependency;;;;;;;;;;;;x
colonial_company_ruler;Governor;;;;;;;;;;;;x
EIC_reactionary;Company Court of Directors;;;;;;;;;;;;x
eic_balance;The East India Company;;;;;;;;;;;;x
eic_balance_desc;The East India Company since it's founding in 1600, eventually came to rule large areas of India with its own private armies, exercising military power and assuming administrative functionns of these areas.;;;;;;;;;;;;x
eic_balance2;The East India Company;;;;;;;;;;;;x
eic_balance2_desc;The East India Company since it's founding in 1600, eventually came to rule large areas of India with its own private armies, exercising military power and assuming administrative functionns of these areas.;;;;;;;;;;;;x
eic_balance2_ai;The East India Company;;;;;;;;;;;;x
eic_balance2_ai_desc;The East India Company since it's founding in 1600, eventually came to rule large areas of India with its own private armies, exercising military power and assuming administrative functionns of these areas.;;;;;;;;;;;;x
EVTNAME9990005;The End of British India;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC9990006;The East India Company has defeated the British government and has asserted their rule of India an independent state. The company has restyled itself as $FROMCOUNTRY$ with the former Governer-General of India crowning himself as the 'Honourable Emperor of the East Indies' and has demanded that the former princely states under British influence now recognize $FROMCOUNTRY_ADJ$ suzerainty in India.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
nepali_treaty_title;Renew the Treaty of Sugauli;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
nepali_treaty_desc;The Treaty of Sugauli (also spelled Sugowlee, Sagauli and Segqulee), was the treaty that established the boundary line of Nepal, was signed on 2 December 1815 and ratified by 4 March 1816 between the East India Company and King of Nepal following the Anglo-Nepalese War of 1814-16. Among the terms of the treaty were that 'There shall be perpetual peace and friendship between the East India company and Nepal. \n\nNow with British influence is out of India, we should pressure the Nepalese government to recognize our new empire.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_nepali_title;Embrace the Nepali;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_nepali_desc;Ruling over such a huge population with a minority government is becoming increasingly difficult, one ethnic group we could look to for support is the Nepali people, many of which serve loyally in our Gurkha units. We could begin to reward the Nepali people for their services in our armies and to make them more loyal to our rule.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sarawak_treaty_title;The Sarawak Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sarawak_treaty_desc;The White Rajahs were a dynastic monarchy of the English Brooke family, who founded and ruled the Kingdom of Sarawak, located on the island of Borneo and founded in 1841. The first ruler was Englishman James Brooke. As a reward for helping the Sultanate of Brunei fight piracy and insurgency among the indigenous peoples, he was granted the landmass of Sarawak in 1841 and received independent kingdom status. \n\nNominally under British influence up till now, but with the withdrawal of the British from India their ability to influence the Kingdom has been severely limited. In order to protect Sarawak from any Dutch incursions, as well as to gain a foothold in Borneo, we should pressure the Brooke government to become a vassal of $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
attract_british_settlers_title;Attract Settlers to the East;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
attract_british_settlers_desc;Prior to our successful rebellion from the British Crown, it has become increasingly difficult to govern India with a extremely limited pool of British settlers and former employees of the East India Company. Up till now our rule has been maintained through the support of the local aristocracy, but if we realistically  wish to have a long term minority-rule in India, it is imperative that we find ways to attract more white settlers to India.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME9990011;$FROMCOUNTRY$ has refused $COUNTRY_ADJ$ suzerainty!;;;;;;;;;;;;x
EVTDESC9990011;The $FROMCOUNTRY_ADJ$ have remained defiant and have declared independence from both foreign rule altogether! We must respond to this act immediately!;;;;;;;;;;;;x
india_civil_service_title;Found the Imperial Civil Service;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
india_civil_service_desc;The Indian Civil Service (ICS) for part of the 19th century officially known as the Imperial Civil Service, was the elite higher civil service of the British Empire in India during British rule in the period between 1858 and 1947. Up to 1853, the Directors of the East India Company made appointments of covenanted civil servants by nominations. This nomination system was abolished and it was decided that the induction would be through competitive examinations of all subjects, without distinction of race.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EIC_independent_conservative;Imperial Conservative Party;;;;;;;;;;;;x
EIC_independent_liberal;Responsible Rule Party;;;;;;;;;;;;x
EIC_independent_anarcho_liberal;National Alliance Party;;;;;;;;;;;;x
EIC_independent_reactionary;Imperial Governance League;;;;;;;;;;;;x
EIC_independent_socialist;Indian National Congress;Congrès national indien;Indischer Nationalkongress;;Congreso Nacional Indio;;;;;;;;;x;;
EIC_independent_communist;Indian Socialist Patriotic Front;;;;;;;;;;;;x
EIC_independent_fascist;United Imperial Alliance;;;;;;;;;;;;x
EVT9990001OPTA;Excellent.;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990002OPTA;Let's see them try it!;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990002OPTB;We will abide by their wishes.;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990003OPTA;So be it then.;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990004OPTA;Excellent.;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990005OPTA;Glorious!;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990006OPTA;A dark day...;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990011OPTA;Unruly vassals must be put in their place!;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990007OPTA;This is the End.;;;;;;;;;;;;x,,,,,,,,,,,
EVT9990006OPTB;We shall declare our independence from British rule!;;;;;;;;;;;;x,,,,,,,,,,,
