##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Country Events;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
##### Setup #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999998;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999998;Due to usage of the practical steam engine consumption in our country has started growing. Science owes more to the steam engine than the steam engine owes to science. -Lawrence Joseph Henderson;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999997;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999997;Due to improvement of our steam engines consumption in our country has started growing. I've got a soul: don't tell me I haven't. Cut me up and you can't find it. Cut up a steam engine and you can't find the steam. But, by George, it makes the engine go. -George Bernard Shaw;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999996;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999996;Due to usage of steam turbines consumption in our country has started growing. Why can't we make these things run on wind and you know.. place em in peoples backyards to annoy them. -A state-employed idiot;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999995;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999995;Due to the usage of the combustion engine consumption in our country has started growing. The substitution of the internal combustion engine for the horse marked a very gloomy milestone in the progress of mankind. -Winston Churchill;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999994;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999994;Due to usage of electrical power consumption in our country has started growing. Electricity is really just organized lightning. -George Carlin;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999993;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999993;Due to advancement in our ways of generating electricity consumption in our country has started growing. When Thomas Edison worked late into the night on the electric light, he had to do it by gas lamp or candle. I'm sure it made the work seem that much more urgent. -George Carlin;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999992;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999992;Due to our pressing industry consumption in our country has started growing. Our liberty depends on the freedom of the press, and that cannot be limited without being lost. -Thomas Jefferson;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999991;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999991;Due to mechanical production consumption in our country has started growing. I am a mechanical engineer. To save time lets just assume that I am never wrong. -Every engineer ever;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999990;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999990;Due to usage of interchangeable parts consumption in our country has started growing. Interchangeable parts don't, leakproof seals aren't, and self-starters won't.  -Anonymous;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999989;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999989;Due to our industry getting semi-automatized consumption in our country has started growing. The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency. -Bill Gates;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999988;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999988;Due to usage of the assembly line consumption in our country has started growing. People can have the model T in any color, so long as it's black. -Henry Ford;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999987;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999987;Due to shift working consumption in our country has started growing. I feel so energized after that 12-hour shift. -No one, ever;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999986;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999986;Due to mechanized manufacturing consumption in our country has started growing. Mechanization best serves mediocriy. -Frank Lloyd Wright;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999985;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999985;Due to electricity consumption in our country has started growing, and so has our electricity bill. If your hate could be turned into electricity, it would light up the whole world. -Nikola Tesla;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999984;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999984;Due to freedom of trade consumption in our country has started growing. You don't need a treaty to have free trade. -Murray Rothbard;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999983;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999983;Due to market structure consumption in our country has started growing. I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next day and not reopen it for five years. -Warren Buffet;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999982;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999982;Due to business regulations revolution consumption in our country has started growing. If you have ten thousand regulations you destroy all respect for the law. -Winston Churchill;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999981;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999981;Due to market regulations consumption in our country has started growing. Corruption is government intrusion into market efficiencies in the form of regulations. -Milton Friedman;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999980;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999980;Due to economic responsibility consumption in our country has started growing. The price of greatness is responsibility. -Winston Churchill;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999979;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999979;Due to government interventionism consumption in our country has started growing. America goes not abroad, in search of monsters to destroy. She is the well-wisher to the freedom and independence of all. -John Quincy Adams;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999978;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999978;Due to globalized markets consumption in our country has started growing. Globalisation is not something that we can hold off or turn off: it is the economic equivalent of a force of nature, like wind or water. -William J. Clinton;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999977;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999977;Due to belief in the early classical theory consumption in our country has started growing. The real tragedy of the poor is the poverty of their aspirations. -Adam Smith;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999976;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999976;Due to belief in the late classical theory consumption in our country has started growing. All money is a matter of belief. -Adam Smith;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999975;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999975;Due to belief in the collectivist theory consumption in our country has started growing. Every collectivist revolution rides in on a Trojan horse of EMERGENCY. -Herbert Hoover;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999974;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999974;Due to belief in the historical theory consumption in our country has started growing. Either one lives for politics or one lives off politics. -Max Weber;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999973;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999973;Due to belief in the neo-classical theory consumption in our country has started growing. 1. People have rational preferences between outcomes that can be identified and associated with values. 2. Individuals maximize utility and firms maximize profits. 3. People act independently on the basis of full and relevant information. -E. Roy Weintraub;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999972;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999972;Due to belief in Keynesian economics consumption in our country has started growing. The difficulty lies not so much in developing new ideas as in escaping from old ones. -John Maynard Keynes;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME999971;Growing Consumption!;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC999971;Due to blief in the neo-liberal theory consumption in our country started growing. Modern liberalism: a heartless steam engine. -Samuel Wilberforce;;;;;;;;;;;;;;x,,,,,,,,
###Slavery###;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500000;Slave population remains stable;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500000;The slave population in our country has remained just about the same over the year.;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500001;Minor growth in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500001;The slave population in our country has experienced a minor growth over the year.;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500002;Significant growth in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500002;The slave population in our country has experienced a significant growth over the year.;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500003;Minor decline in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500003;The slave population in our country has experienced a minor decline over the year.;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500004;Major decline in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500004;The slave population in our country has experienced a major decline over the year.;;;;;;;;;;;;;;x,,,,,,,,
