Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
russo_japanese_war_title;Ambush the Russian Fleet at Port Arthur;;;;;;;;;;;;;
expel_russians_from_far_east_desc;The Far East has taken on a distinctly Russian character after centuries of settlement. Though the population remains sparse, even a small rebellion is unacceptable. The Russian inhabitants must be expelled and replaced with Japanese settlers.;;;;;;;;;;;;;
EVTNAME666606;Russians Expelled from the Far East;;;;;;;;;;;;;
EVTDESC666606;\n\nThe Japanese Far East is now almost entirely emptied of Russian inhabitants, leaving behind barren settlements and little trace of human life. From Irkutsk to Kamchatka, Russian citizens were rounded up and escorted toward Russian territory—at least in theory. In practice, many who resisted were killed, and only skilled workers were spared, who were promptly consigned to labor camps. Meanwhile, Yakutsk, Nizheudinsk, and Kansk overflow with refugees. They die by the scores: Siberia cannot feed them all.;;;;;;;;;;;;;
EVTNAME666607;$COUNTRY_ADJ$ Forces Fail to Expel Russians;;;;;;;;;;;;;
EVTDESC666607;\n\nRussian inhabitants in the Far East have quickly mounted armed resistance and so far have largely thwarted our efforts at mass expulsion. Skirmishes between our soldiers and embattled civilians have been frequent, with Russian subjects crossing the border to lend support. The violence has also meant casualties for Japanese settlers, whom the Russian population has targeted in retaliatory killings.\n\nShould we continue with expulsion, it will have to be done piecemeal, avoiding face-on confrontation with armed resistance.;;;;;;;;;;;;;
EVTNAME666608;We Shall Grant Military Access to Japan and Russia;;;;;;;;;;;;;
EVTDESC666608;\n\nThis would be the historically accurate decision. We will follow it.;;;;;;;;;;;;;
EVTNAME666609;You Canceled Our Military Access;;;;;;;;;;;;;
EVTDESC666609;\n\nThat was not appreciated. Restore it.;;;;;;;;;;;;;
EVTNAME666610;$FROMCOUNTRY$ Grants Us Military Access;;;;;;;;;;;;;
EVTDESC666610;\n\nSince we are contesting control of Korea and northern China, it is only natural that $FROMCOUNTRY$ grants us military access during this conflict.;;;;;;;;;;;;;
remove_jap_and_rus_military_access_title;Cancel Japanese and Russian Military Access;;;;;;;;;;;;;
remove_jap_and_rus_military_access_desc;The Russo-Japanese War has ended. Russian and Japanese forces must now return to their own borders.;;;;;;;;;;;;;
EVTNAME666611;$FROMCOUNTRY$ Cancels Our Military Access;;;;;;;;;;;;;
EVTDESC666611;\n\nThe war has ended, and our forces must now depart. Our military access in $FROMCOUNTRY$ has been revoked.;;;;;;;;;;;;;
invade_manchuria_title;Invade Manchuria;;;;;;;;;;;;;
invade_manchuria_desc;China has always been a coveted objective for powers with the strength to seize it. Manchuria, in the northeast, is vast and resource-rich, and our recent Far Eastern gains make an invasion of it far easier. (This begins a war to disarm whichever Chinese-cultured state controlling Manchuria. After victory, a decision will appear allowing annexation of Manchuria.);;;;;;;;;;;;;
annex_manchuria_title;Annex Manchuria;;;;;;;;;;;;;
annex_manchuria_desc;Our Manchurian campaign has succeeded. Annexation can now begin.;;;;;;;;;;;;;
