Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
MEROEPLUNDER;\n\nAt Wad ban Naqa near the Ethiopian border, there stand the ancient pyramids of Meroe. Long ago, the kings of Meroe mined vast quantities of gold, which has long since been exhausted. These kings used their great wealth to build dozens of monumental pyramids in the desert as their burial grounds. These imposing structures have survived several millennia almost entirely unscathed--until now. Giuseppe Ferlini, an Italian adventurer who joined the Egyptian army and then deserted in Khartoum to hunt for treasure, heard local rumors of the pyramids and their ancient riches. Setting out, he swore to "return penniless or carry unprecedented riches". Armed with heavy explosives, Ferlini levelled over 40 pyramids by blowing open the top and working his way down. Having looted vast hordes of gold and jewelry, Ferlini has returned to Italy with great wealth, leaving the pyramids in ruins.;;;;;;;;;;;;;
FORTCRAMPEL;\n\nA report from the outpost of Fort Crampel in Oubangui-Chari has caused a momentous scandal in the French colonial administration. Fort Crampel is run by Georges Toqué, who is known to be especially authoritarian and violent to natives. The fort recently imprisoned 3 suspicious natives in a grain silo, including Pakpa, a local guide, who, accidentally or intentially, led soldiers into an ambush. On Bastille Day, Toqué's subordinate Fernand Gaud was instructed to do what he will with Pakpa and release the other two. Gaud then executed Pakpa by strapping dynamite to his torso and blowing him to bits. Upon being questioned about the incident, Toqué and Gaud tell different stories, blaming each other and alleging many further cruelties, including beatings and throwing natives down waterfalls. Sweeping the incident under the rug would mean saving face in the French public but angering the natives, whereas prosecuting Gaud and Toqué would cause outrage in France.;;;;;;;;;;;;;
MUNICHBEERREV;\n\nDue to ongoing resource shortages, King Ludwig recently imposed a one-penny increase in the beer price set by the Bavarian government. He evidently could not conceive in the slightest of this decision's grave consequences. The Bavarian populace was already angered by an increase of the price of bread preceding that of beer. Thus, as news of the king's decree spread, tensions boiled over and riots broke out across Munich. A rabble of over two thousand angry men stormed the city's breweries, destroyed windows and wrecked furniture. In response, Ludwig attempted to send the military to put out the unrest, but the soldiers, sympathizing with the rioters, refused to obey their orders, leaving the king no choice but to reduce the price of beer once more, lest the already dangerous situation deteriorate any further.;;;;;;;;;;;;;
POTATOREV;\n\nBerlin has been rocked by riots! The catalyst for the uprising was the skyrocketing of food prices in our capital due to bad harvests. An estimated 40% of the usual annual production of potatoes has been lost due to blight caused by the Phytophthora infestans fungus from North America which is concurrently creating a famine in Ireland. In addition, bad weather has resulted in additional declines in rye and wheat production. With thousands of paupers seeking employment in Berlin and thereby depressing wages, hunger became widespread as food prices rose. The situation finally boiled over into riots, in which the hungry looted bakeries, warehouses and butcheries, damaging public property and attacking merchants. Reinforcing the overwhelmed 30 police officers, the military has finally restored order in the capital.;;;;;;;;;;;;;
wet_method;The Wet Method;;;;;;;;;;;;;
wet_method_desc;As opposed to the previously practiced dry method, the newly introduced wet method of coffee bean processing is significantly faster and has many advantages. It involves softening the beans by placing them in water, mechanically de-pulping them using a pulper and then putting them into a fermentation device for about a day to remove the resulting mucilage. The coffee beans are then washed and dried, whereupon their processing is complete. The resulting brew is of higher quality due to containing fewer faulty beans as their inner qualities are better preserved.;;;;;;;;;;;;;
SPEEDEXPLAINED;\n\nIn case you've been having problems with game speed, this event is for you. You may have already seen the performance submod that decreases terrain texture resolution for that purpose. If you're using the Terrains Submod, deleting history/provinces from base GFM and subsequently merging the submod's folders into the former can make it more stable. Another thing can be done to increase performance, but it's a bit more difficult. \n 1. Go to Documents\Paradox Interactive\Victoria II\GFM\settings.txt \n 2. Find and change "update_time = 1.00000" in the file to "update_time = 100.00000" \n The issue with this is that it undoes itself every time you restart the game, so you either need to do it every time you start, or you can set the file to read only (unstable).;;;;;;;;;;;;;
SUPPLYEXPLAINED;\n\nCurrently, if you switch to the supply limit mapmode, you will notice that the entire map will turn red whilst your capital will remain green. This is because GFM has implemented a capital supply modifier that lets you to place your troop gathering point in your capital and never suffer attrition there, allowing for less stressful organization and reorganization of the army. The downside of this is that it makes the supply limit mapmode no longer work the way it used to, as the supply limit of your capital completely overshadows all other provinces. A vote among GFM players determined that people prefer having the capital supply modifier despite this negative side effect. You can, however, still select an army with the supply limit mapmode active, showing where that unit would suffer attrition.;;;;;;;;;;;;;
VASSALCBSEXPLAINED;\n\nIn vanilla Victoria 2, adding casus bellis onto vassals directly is impossible due to limitations of the wargoal code. GFM has, however, removed this unnecessary restriction, allowing you to, once you have declared war on the vassal's overlord and garnered enough warscore, add wargoals directly on vassal countries via the 'Add Wargoal' button on their country screen. In addition, there are two unique wargoals, namely take puppet and release puppet, which respectively make another country's puppet your own or free another country's puppet. These are, similar to conquest CBs and normal puppet CBs, tied to the vassal's population and therefore cost less for smaller countries.;;;;;;;;;;;;;
STRAITSEXPLAINED;\n\nGFM has added a mechanic for straits that prevents passing them if both sides are controlled by a country you are at war with. For example, to the left there's the Strait of Gibraltar. Movement from sea tile A to sea tile C and vice versa is impossible if both control tiles, Tetouan and Gibraltar, labeled with a modifier, are controlled by an enemy country. However, a side effect of this system is that ships will, unless the strait is blocked by enemy control tiles, not actually pass through the province in the middle of the strait, in this case B. So, if you want to place a navy to engage enemy fleets, do so in front of or behind the strait, in this case on tile A or C.;;;;;;;;;;;;;
PROSPECTINGEXPLAINED;\n\nMultiple mods including HFM and its submods had events to prospect Africa for its natural resources and agricultural production. In GFM, this mechanic has been slightly reworked to fit the Africa Rework, and you can change any African province's goods no matter who owns the rest of the state. To get the event to prospect, you need to be westernized and have researched 'Market Regulations', no matter if your country is from Africa or from the rest of the world. These events will give you access to goods ranging from fruit and cattle to coffee or gold. If you want even more natural resources, some prospecting events have an option labelled 'We must focus on mineral resources. §R(Pay 100,000¤ once)§!', which will make you pay when the provinces you own can be turned into mineral resources, only once per game per colonial nation, as you can get the event again if you gain more provinces in the same colonial nation that you didn't own before.;;;;;;;;;;;;;
Greater_Alaska_title;Greater Alaska;;;;;;;;;;;;;
Greater_Alaska_desc;§RGain 4 infamy§! We must expand to secure our position! To this end we must officially stake claim to lands surrounding us.;;;;;;;;;;;;;
claim_lorraine_als_title;Claim Lorraine;;;;;;;;;;;;;
claim_lorraine_als_desc;§RGain 4 infamy§! We must claim Lorraine if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Luxemburg_title;Claim Luxemburg;;;;;;;;;;;;;
Claim_Luxemburg_desc;§RGain 4 infamy§! We must claim Luxemburg if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Borderlands_title;Claim Borderlands;;;;;;;;;;;;;
Claim_Borderlands_desc;§RGain 10 infamy§! We must claim the Borderlands if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Rheinland_title;Claim Rheinland;;;;;;;;;;;;;
Claim_Rheinland_desc;§RGain 6 infamy§! We must claim the Rheinland if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Coast_title;Claim Coast;;;;;;;;;;;;;
Claim_Coast_desc;§RGain 10 infamy§! We must claim Coast if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Claim_Northern_France_title;Claim Northern France;;;;;;;;;;;;;
Claim_Northern_France_desc;§RGain 4 infamy§! We must claim Northern France if we wish to survive! Sandwiched between two great powers, we must expand quickly to defend ourselves.;;;;;;;;;;;;;
Accept_Belgians_title;Accept the Belgians;;;;;;;;;;;;;
Accept_Belgians_desc;We must accept the Belgians if we wish to survive! Sandwiched between two great powers, we must pacify our minorities to defend ourselves.;;;;;;;;;;;;;
Accept_French_title;Accept the French;;;;;;;;;;;;;
Accept_French_desc;We must accept the French if we wish to survive! Sandwiched between two great powers, we must pacify our minorities to defend ourselves.;;;;;;;;;;;;;
Greater_Korea_title;Claim Greater Korea;;;;;;;;;;;;;
Greater_Korea_desc;§RGain 10 infamy§! Now that we are independent from Chinese oppression, we must reclaim the land of the old Gojoseon, Goguryeo and Balhae empires.;;;;;;;;;;;;;
Western_Banatia_title;Claim Land in the West;;;;;;;;;;;;;
Western_Banatia_desc;§RGain 6 infamy§! Now that we have established Banatia, we must claim land in the West to secure our position.;;;;;;;;;;;;;
Eastern_Banatia_title;Claim Land in the East;;;;;;;;;;;;;
Eastern_Banatia_desc;§RGain 15 infamy§! Now that we have established Banatia, we must claim land in the East to secure our position.;;;;;;;;;;;;;
Claim_Belgrade_title;Claim Belgrade;;;;;;;;;;;;;
Claim_Belgrade_desc;§RGain 6 infamy§! To weaken the Serbs who continue to claim our Land in the Vojvodina one of our politicians has proposed claiming their capital, namely Belgrade.;;;;;;;;;;;;;
Claim_Forte_title;Claim Forte Sao Joaquim;;;;;;;;;;;;;
Claim_Forte_desc;§RGain 1 infamy§! To connect our lands in former British Guayana with Venezuela we must claim Forte Sao Joaquim;;;;;;;;;;;;;
Claim_ABC_title;Claim the ABC Islands;;;;;;;;;;;;;
Claim_ABC_desc;§RGain 1 infamy§! The ABC Islands are a foreign base just off our northern coast and as such a threat to us. We must seize them for our own safety.;;;;;;;;;;;;;
Claim_TRT_title;Claim Trinidad and Tobago;;;;;;;;;;;;;
Claim_TRT_desc;§RGain 1 infamy§! Trinidad and Tobago are foreign bases just off our northern coast and as such a threat to us. We must seize them for our own safety.;;;;;;;;;;;;;
Greater_LUX_title;Undo the Partitions;;;;;;;;;;;;;
Greater_LUX_desc;§RGain 3 infamy§! For two hundred years, Luxembourg has been partitioned again and again by foreign powers to fulfill their desires and compromises, reducing our already small size even further. We say no more! Let the world know that we, mighty Luxembourg, will no longer abide by their malicious treaties and that we are going to reclaim what is rightfully ours!;;;;;;;;;;;;;
Claim_LIE_title;Claim Bregenz;;;;;;;;;;;;;
Claim_LIE_desc;If we want to accomplish anything we must annex land to increase our population!;;;;;;;;;;;;;
Claim_AOM_title;Claim Great Vlachia;;;;;;;;;;;;;
Claim_AOM_desc;It is time for us to reclaim the land of our ancestors!;;;;;;;;;;;;;
Claim_Ionia_title;Claim some islands;;;;;;;;;;;;;
Claim_Ionia_desc;If we are to restore Christian rule to the holy land we must gain forward operating bases!;;;;;;;;;;;;;
Claim_Italian_title;Claim Sardinia, Corsica and Sicily;;;;;;;;;;;;;
Claim_Italian_desc;If we are to restore Christian rule to the holy land we must gain population centers to build an army!;;;;;;;;;;;;;
Claim_Greek_title;Claim Crete, Cyprus and Aegean;;;;;;;;;;;;;
Claim_Greek_desc;If we are to restore Christian rule to the Holy Land, we must gain the islands closest to the Holy Land and prepare for an invasion!;;;;;;;;;;;;;
Claim_MAD_title;Claim Indian Ocean Islands;;;;;;;;;;;;;
Claim_MAD_desc;§RGain 4 infamy§! We must claim islands in the Indian ocean to make sure that colonizers don't use them to attack us.;;;;;;;;;;;;;
Claim_Siberia_title;Unite Siberia;;;;;;;;;;;;;
Claim_Siberia_desc;§RGain 10 infamy§! We must unify the Siberian region if we wish to expand!;;;;;;;;;;;;;
Claim_MSQ_title;Claim the Mosquito Coast;;;;;;;;;;;;;
Claim_MSQ_desc;§RGain 2 infamy§! With our status as the successor to the Viceroyalty of New Granada, who administered the Mosquito Coast as a basis for our claim, we can now officially begin a territorial dispute on who is the rightful owner of it.;;;;;;;;;;;;;
Claim_ARM_title;Greater Armenia;;;;;;;;;;;;;
Claim_ARM_desc;§RGain 14 infamy§! Now that we have secured our core lands, we must strive to achieve a truly noble vision: All Armenians must be united in a Greater Armenian state.;;;;;;;;;;;;;
Claim_AZB_title;Greater Azerbaijan;;;;;;;;;;;;;
Claim_AZB_desc;§RGain 10 infamy§! Now that we have secured our core lands, we must strive to achieve a truly noble vision: All Azerbaijanis must be united in a Greater Azerbaijani state.;;;;;;;;;;;;;
Accept_Georgians_title;Accept the Georgians;;;;;;;;;;;;;
Accept_Georgians_desc;Despite differences in language and religion, the Georgians are not so different from us - their old royal dynasty, the Bagratids, even has Armenian origins. It would bring stability to our lands if we accepted them as citizens, though it will hurt our prestige to accept another culture.;;;;;;;;;;;;;
Claim_KDS_title;Greater Kurdistan;;;;;;;;;;;;;
Claim_KDS_desc;§RGain 14 infamy§! Now that we have secured our core lands we must strive to achieve a truly noble vision: All Kurds must be united in a greater Kurdish state.;;;;;;;;;;;;;
Claim_URU_title;Greater Uruguay;;;;;;;;;;;;;
Claim_URU_desc;§RGain 10 infamy§! To achieve true power we must expand. The provinces of Corrientes, Entre Rios, Rio Grande do Sul and Santa Catarina have expressed a desire to leave their respective countries and join a greater Uruguayan state.;;;;;;;;;;;;;
Claim_YEM_title;Claim Dhofar;;;;;;;;;;;;;
Claim_YEM_desc;§RGain 1 infamy§! Dhofar is currently part of Muscat-Oman, yet it has the same people as our country. Why shouldn't we claim it?;;;;;;;;;;;;;
Claim_OMA_title;Claim Trucial Oman;;;;;;;;;;;;;
Claim_OMA_desc;§RGain 5 infamy§! The Trucial States, also known as Trucial Oman, are an integral part of our nation that we unfortunately lost our hold over. The time has come to reclaim our rightful land once and for all! Trucial Oman shall soon be called just Oman once more.;;;;;;;;;;;;;
Claim_Gulf_title;Claim the Gulf;;;;;;;;;;;;;
Claim_Gulf_desc;§RGain 4 infamy§! We must secure the Gulf to assert our position as a power to be reckoned with.;;;;;;;;;;;;;
Claim_IDC_title;Claim southwestern China;;;;;;;;;;;;;
Claim_IDC_desc;The people of southwestern China are, for the most part, not Mandarin-speaking Han people, but rather ethnic minorities oppressed by Peking. They are, conversely, closely linguistically related to the languages of Indochina. The Zhuang of Guangxi, for instance, speak a Kra-Dai language related to Thai, whilst the Mien of Guizhou speak a Miao-Yao language close to that of the Hmong of Laos. It is, accordingly, our responsibility to rescue our brethren from the Chinese yoke and bring them into the Indochinese fold.;;;;;;;;;;;;;
disarm_albania_title;Disarm Albania;;;;;;;;;;;;;
disarm_albania_desc;The rebellious Albanians have proven themselves a nuisance time and again. Vizier Omer Pasha Vrioni of Yanina has proposed that we disarm the troublesome Albanians, preventing them from revolting again anytime soon. This would certainly, in and of itself, result in a massive uprising, as the fiercely independent Albanians would never voluntarily give up their weapons.;;;;;;;;;;;;;
integrating_mexico_title;Integrate Mexico;;;;;;;;;;;;;
integrating_mexico_desc;§RGain 15 infamy§! After many years under our control, the land once known as Mexico has been slowly elevated from its previous condition. Infrastructure has been developed, industry has been built, the English language has spread, American units have been introduced, et cetera. Now, the time has finally come for the lands of Mexico to become proper US states. Sinaloa, Morelia and Coahuila will be no different than Oregon, Pennsylvania and Kentucky.;;;;;;;;;;;;;
tarfaya_purchase_title;The Treaty of Cape Juby;;;;;;;;;;;;;
tarfaya_purchase_desc;The Port of Tarfaya, located near Cape Juby on the west coast of the Sahara desert, was occupied and taken over by as part of the Scramble for Africa. It was turned into an exchange center of commerce in order to trade with commercial caravans coming from Timbuktu and heading to Wadi Noun. Now that the scramble has drawn to a close, however, the port has proven unprofitable to maintain, and the local garrison has had trouble with local nomads. As we control Tarfaya's hinterland, it is likely that its current proprietors would be willing to sell it to us.;;;;;;;;;;;;;
TINYROMANIANSTRIP;\n\nThe region of southern Bessarabia was ceded to Moldavia by Russia at the end of the Crimean War as part of the Treaty of Paris. Now, however, we find ourselves in a strange situation: Reduced to only the southern Bessarabian strip and neighboring a unified Romania, what is the purpose of our continued existance? Should we unite with the Romanian state or remain separate?;;;;;;;;;;;;;
CAPEJUBYTREATY;\n\n$FROMCOUNTRY$ has sent us an offer to purchase the port of Tarfaya. Businessman Donald Mackenzie purchased the coastal strip from a local sheikh against the will of the sultan. He then founded the British North West Africa Company to do commerce with the trading caravans coming from the Sahara. The company has, however, not been particularly successful, and the port has been attacked by natives from the hinterland numerous times, hoping to reclaim it for the sultan. It might be best to simply rid ourselves of this pestersome possession.;;;;;;;;;;;;;
TARFAYASIEZED;\n\nEnglishman Donald Mackenzie, head of the British North West African Company, has persuaded Sheikh Mohamed Bayruk of Guelmim to cede him a strip of land, two miles wide and eight miles long at Tarfaya. There he has built a factory, called Port Victoria, at the entrance of Cape Juby. The Sultan has protested, denying that Sheikh Bayruk has any right to cede our land, but the British government has refused to even acknowledge the dispute. The aim of the British North West African Company is to make money by diverting Saharan trade directed to Essaouira towards Río de Oro. In effect, the Brits are stealing our trade revenues.;;;;;;;;;;;;;
Claim_MGL_title;Revive the Mongol Empire;;;;;;;;;;;;;
Claim_MGL_desc;§RGain 10 infamy§! Founded by Genghis Khan in 1206, the Mongol Empire once stretched from the Pacific to the Mediterranean and from the Persian Gulf to the Barents Sea, forming the largest contiguous land empire in history. The Mongol Empire soon crumbled and collapsed into the Ilkhanate, the Golden Horde, the Yuan Dynasty and the Chagatai Khanate, leaving a heavy mark on the land. Perhaps if we once again regained such immense tracts of land, we could keep them together and create a timeless empire. However, until then, we should honor our past and show our might by officially donning the mantle of the 2nd Mongol Empire.;;;;;;;;;;;;;
become_zanzibar_title;Become Zanzibar;;;;;;;;;;;;;
become_zanzibar_desc;Our capital of Muscat has been lost! We must flee to Africa and assume the title of Sultan of Zanzibar.;;;;;;;;;;;;;
Mongolia_Claim_title;Supreme Mongolia;;;;;;;;;;;;;
Mongolia_Claim_desc;We can't be stopped! We must expand!;;;;;;;;;;;;;
baluchistan_goldsmid_arbitration_title;Goldsmid's Baluchistan arbitration;;;;;;;;;;;;;
baluchistan_goldsmid_arbitration_desc;Let's have Goldsmid arbitrate Baluchistan.;;;;;;;;;;;;;
aachen_reforms_francia_title;Reform Francia as Aachen;;;;;;;;;;;;;
aachen_reforms_francia_desc;Let us reform Francia.;;;;;;;;;;;;;
Claim_POM_title;Claim Mecklenburg-Vorpommern;;;;;;;;;;;;;
Claim_POM_desc;§RGain 2 infamy§! We must expand our regional influence, now that we are no longer in Prussia's sphere.;;;;;;;;;;;;;
Claim_BSQ_title;Claim the islands of Saint Pierre and Miquelon;;;;;;;;;;;;;
Claim_BSQ_desc;§RGain 1 infamy§! Many people of our culture live on the islands of Saint Pierre and Miquelon. We should use this as a basis to claim them as part of our territory.;;;;;;;;;;;;;
Celtic_Union_title;Form the Celtic Union;;;;;;;;;;;;;
Celtic_Union_desc;For many centuries Celts have been oppressed by the British in Wales, Scotland and Ireland. Now that we have achieved independence from them, the time has come for us to create a new union of Celtic peoples, free from foreign oppression.;;;;;;;;;;;;;
Claim_BRT_title;Claim Brittany for the Celtic Union;;;;;;;;;;;;;
Claim_BRT_desc;The Breton people have Celtic roots. We must therefore liberate them from their French oppressors and admit them into our union of all Celts.;;;;;;;;;;;;;
Claim_GLC_title;Claim Galicia for the Celtic Union;;;;;;;;;;;;;
Claim_GLC_desc;The Galician people have Celtic roots. We must therefore liberate them from their Spanish oppressors and admit them into our union of all Celts.;;;;;;;;;;;;;
Claim_NWG_title;Claims in Germany;;;;;;;;;;;;;
Claim_NWG_desc;§RGain 8 infamy§! Not only do many of our people live in the other side of the border with Germany, but there are also some lands of Wallonia and Luxemburg that are now under German occupation. We must claim these lands to unify our nation and protect our people from German rule.;;;;;;;;;;;;;
Claim_AMZ_title;Claim the entirety of the Amazon;;;;;;;;;;;;;
Claim_AMZ_desc;§RGain 9 infamy§! To unify all Amazonians under a single state, we must cement our territorial claims to the Amazon itself.;;;;;;;;;;;;;
claim_Lugano_title;Seize Lugano from the Swiss;;;;;;;;;;;;;
Claim_Oceania_title;Claim Australasia;;;;;;;;;;;;;
Claim_Oceania_desc;§RGain 10 infamy§! The inhabitants of New Zealand and Australia are similar in culture, location and language. It is time for us to use that fact to lay claim to the other land across the Tasman Sea.;;;;;;;;;;;;;
Reclaim_Kuldscha_title;Reclaim Ili;;;;;;;;;;;;;
Reclaim_Kuldscha_desc;The filthy Russians took our land while we were fighting in the Taiping rebellion. Now it is time for us to demand it back under the threat of war.;;;;;;;;;;;;;
Claim_VLG_title;Claim Novy Uzen;;;;;;;;;;;;;
Claim_VLG_desc;§RGain 1 infamy§! We must claim Novy Uzen and free its German population from Russian rule.;;;;;;;;;;;;;
Claim_Hessen_title;Claim Hessen;;;;;;;;;;;;;
Claim_Hessen_desc;§RGain 7 infamy§! The region of Hessen is divided between Hesse-Darmstadt, Hesse-Kassel, Frankfurt am Main, Waldeck-Pyrmont, Nassau and the Prussian city of Wetzlar, yet many inhabitants of Hessen still have a local identity. We can call on this regional patriotism to claim sovereignty over all of Hessen.;;;;;;;;;;;;;
found_niger_company_title;Found the Niger Company;;;;;;;;;;;;;
found_niger_company_desc;Let's form the Niger Company and lay claim to Nigeria for colonial exploitation.;;;;;;;;;;;;;
Claim_DOM_title;Retake the Dominican Republic;;;;;;;;;;;;;
Claim_DOM_desc;§RGain 5 infamy§! Now that the Dominican Republic is independent from Haiti and the USA is unable to enforce the Monroe doctrine due to their civil war, we can seize the opportunity to retake the Dominican Republic.;;;;;;;;;;;;;
Become_SER_title;Reunite with Serbia;;;;;;;;;;;;;
Become_SER_desc;Now that we have won the revolt against the Ottoman empire, it is time to rejoin the motherland.;;;;;;;;;;;;;
Become_SIC_title;Reunite the Two Sicilies;;;;;;;;;;;;;
Become_SIC_desc;Now that we control the lands of Sicily and Naples, we can assume the title of the Two Sicilies to legitimize our ownership of these lands.;;;;;;;;;;;;;
Become_SWH_title;Reunite Schleswig-Holstein;;;;;;;;;;;;;
Become_SWH_desc;Now that we control the lands of Schleswig and Holstein we can assume the title of Schleswig-Holstein to legitimize our ownership of these lands.;;;;;;;;;;;;;
Become_RHI_title;Unite the Rhineland;;;;;;;;;;;;;
Become_RHI_desc;Now that we have conquered enough land in the Rhineland we can claim to represent its entirety to legitimize more conquest.;;;;;;;;;;;;;
unite_moldavia_wallachia_sw_title;Unite Wallachia and Moldavia SW version;;;;;;;;;;;;;
unite_moldavia_wallachia_sw_desc;This is a change to the decision to form Romania for the SW submod.;;;;;;;;;;;;;
claim_UIL_title;Assume leadership of the US;;;;;;;;;;;;;
claim_UIL_desc;Now that Washington D.C. and New York are under our control, we can claim to be the legitimate US government and claim the same lands as the US.;;;;;;;;;;;;;
