key;english;;;;;;;;;;;;;
EVTDESC16051966;\n\nTsar Nicholas I has accepted our request for intervention in our war with Egypt. With this newfound backing, we can pressure the Egyptians into signing a peace treaty.;;;;;;;;;;;;;
EVTDESC16051967;\n\nTsar Nicholas I has declined to intervene in our war with Egypt. We will have to fight with what little power we have left.;;;;;;;;;;;;;
EVTDESC16051970;\n\nMuhammed Ali of Egypt has rejected our proposed peace treaty. Egypt is unafraid to face the Russian intervention.;;;;;;;;;;;;;
EVTDESC16051969;\n\nMuhammed Ali of Egypt has accepted our proposed peace treaty. Egypt is clearly afraid to face the Russian intervention and has backed down in submission.;;;;;;;;;;;;;
EVTDESC16051971;\n\nMuhammed Ali of Egypt has accepted a peace treaty from the Ottomans due to our intervention. Egypt is clearly afraid to face us and has backed down in submission.;;;;;;;;;;;;;
EVTDESC34336466;\n\nOur allies in Asir have risen up against the Zaydi to establish a kingdom in the.;;;;;;;;;;;;;
EVTDESC16425;\n\nIn a cruel twist of fate, as Lieutenant George Armstrong Custer was pursuing the Sioux indians with the 7th cavalry regiment, he was ambushed by them and his forces were decimated in a historic defeat for the US army.;;;;;;;;;;;;;
EVTDESC372406969;\n\nAfter our great victory against the French, we can now reclaim what's ours!;;;;;;;;;;;;;
EVTDESC97144;\n\nThe $FROMCOUNTRY_ADJ$ government has agreed to our proposal, and we can now proceed with the arbitration.;;;;;;;;;;;;;
EVTDESC97145;\n\nThe $FROMCOUNTRY_ADJ$ government has rejected our proposal to arbitrate the Puna de Atacama dispute. Now, the only way to settle our differences is war.;;;;;;;;;;;;;
EVTDESC97146;\n\nDue to an ongoing dispute between Chile and Argentina over the Puna de Atacama, United States minister William Buchanan has been called upon to mediate and hopefully resolve the territorial dispute.;;;;;;;;;;;;;
EVTDESC97147;\n\nThe Buchanan arbitration has decided against our claims, and we are forced to abandon them.;;;;;;;;;;;;;
EVTDESC97148;\n\nThe Buchanan arbitration has rightfully sided with our claims, awarding the entire Puna de Atacama to us.;;;;;;;;;;;;;
EVTDESC97149;\n\nThe Buchanan arbitration has concluded on a compromise, awarding Chile a small part of the Puna and giving the rest to Argentina;;;;;;;;;;;;;
EVTDESC971551;\n\nThe government of $FROMCOUNTRY$ has agreed to work to put an end to our current territorial disputes and to establish a friendship between $FROMCOUNTRY$ and $COUNTRY$.;;;;;;;;;;;;;
EVTDESC971561;\n\nThe $COUNTRY_ADJ$ government has refused our proposal to fix our territorial disputes, citing that 'There is no need for such an agreement'.;;;;;;;;;;;;;
EVTDESC97157;\n\nFollowing cooperation between Argentina and $COUNTRY$, it is now finally time we solve our border dispute in Patagonia. To ensure a fair result, the arbitration will be done by the United Kingdom.;;;;;;;;;;;;;
EVTDESC97158;\n\nAfter agreeing to the May Pacts, $COUNTRY_ADJ$ and $FROMCOUNTRY$ diplomats have gathered to finally decide on the boundaries between $COUNTRY$ and $FROMCOUNTRY$, with British arbitration;;;;;;;;;;;;;
EVTDESC971601;\n\nOur theory regarding the borders of $COUNTRY$ in Patagonia has been entirely favoured, granting us the entire disputed area.;;;;;;;;;;;;;
EVTDESC971611;\n\nThe arbitration has decided against our rightful claims, and we are forced to abandon the entire region.;;;;;;;;;;;;;
EVTDESC97162;\n\nThe arbitration concluded on establishing a compromise between both theories, granting roughly half of the land to both parties.;;;;;;;;;;;;;
EVTDESC97098;\n\nDue to the recent decline in the wool market, rural workers from the Argentine Regional Worker's Federation in Rio Gallegos decided to go on strike, and a large quantity of them were killed during said strike's repression.;;;;;;;;;;;;;
EVTDESC97106;\n\nNow that we have established a united Platinean nation, it is time to decide a proper capital. A few proposals for it have come forward for suitable cities, now it's only a matter of choosing one.;;;;;;;;;;;;;
EVTDESC97107;\n\nIn August 27, a group of young $COUNTRY_ADJ$ entrepreneurs began the world's first regular radio broadcasting with a live performance of Richard Wagner's opera Parsifal in downtown Buenos Aires, setting the precedent for many more radio programs to come.;;;;;;;;;;;;;
EVTDESC629;\n\nVienna has ordered our army disbanded, effectively ending the National Council.;;;;;;;;;;;;;
EVTDESC630;\n\nVienna has decided to keep us autonomous... for now.;;;;;;;;;;;;;
EVTDESC736472;\n\nThe Austrians have accepted our demands.;;;;;;;;;;;;;
EVTDESC736473;\n\nThe Austrians have rejected our demands.;;;;;;;;;;;;;
EVTDESC736482;\n\nThe Austrians have accepted our demands.;;;;;;;;;;;;;
EVTDESC736483;\n\nThe Austrians have rejected our demands.;;;;;;;;;;;;;
EVTDESC736492;\n\nThe Austrians have accepted our demands.;;;;;;;;;;;;;
EVTDESC736493;\n\nThe Austrians have rejected our demands.;;;;;;;;;;;;;
EVTDESC93759275;\n\nThe entire world is engulfed in an eternal war.;;;;;;;;;;;;;
EVTDESC93759278;\n\nIgnore this event.;;;;;;;;;;;;;
EVTDESC93759279;\n\nWith global war looming on the horizon, it is time to say goodbye to our alliances.;;;;;;;;;;;;;
EVTDESC123661;\n\nIt's a collection of stories set in a forest in India by the English author Rudyard Kipling. Most of the characters are animals such as Shere Khan the tiger and Baloo the bear, except the boy or 'man-cub' Mowgli, raised in the jungle by wolves.;;;;;;;;;;;;;
EVTDESC187912;\n\nThe Brazilians have denied the Aberdeen Act, and are strictly refusing British ships access to their waters.;;;;;;;;;;;;;
EVTDESC4949670;\n\nThe Brazilian government has agreed to reforms and elections are on course to take place. Another victory for American diplomacy.;;;;;;;;;;;;;
EVTDESC69003;\n\nAfter the devastating earthquake that almost completely destroyed San Francisco, the city's rebuilding efforts are now quickly progressing.;;;;;;;;;;;;;
EVTDESC97350;\n\nAnnual dividends received from ownership of the Panama Canal.;;;;;;;;;;;;;
EVTDESC97355;\n\nWe have assumed control over the Panama Canal.;;;;;;;;;;;;;
EVTDESC97250;\n\nAnnual dividends received from control over the Suez Canal.;;;;;;;;;;;;;
EVTDESC97255;\n\nWe have assumed control over the Suez Canal.;;;;;;;;;;;;;
EVTDESC97200;\n\nAnnual dividends received from control over the Kiel Canal.;;;;;;;;;;;;;
EVTDESC97205;\n\nWe have assumed control over the Kiel Canal.;;;;;;;;;;;;;
EVTDESC80005;\n\nPress the button below.;;;;;;;;;;;;;
EVTDESC80004;\n\nPress the button below.;;;;;;;;;;;;;
EVTDESC80003;\n\nPress the button below.;;;;;;;;;;;;;
EVTDESC80006;\n\nPress the button below.;;;;;;;;;;;;;
EVTDESC80007;\n\nPress the button below.;;;;;;;;;;;;;
EVTDESC801041;\n\nFollowing France's victory over the Brits, they have been forced out of India, leaving us free.;;;;;;;;;;;;;
EVTDESC123457;\n\nThe Dungans have revolted in Xinjiang to try to gain independance while the Qing are preoccupied with the Taiping rebellion. We can use this opportunity to annex the lands in western Xinjiang under the pretext of protecting Russian interests there.;;;;;;;;;;;;;
EVTDESC123458;\n\nDuring the Dungan revolt we took land in western Xinjiang from China under the pretext of protecting Russian interests. Now that peace has been restored the Chinese are demanding we return the land.;;;;;;;;;;;;;
EVTDESC123459;\n\nRussia has given back our rightful land as per our demand.;;;;;;;;;;;;;
EVTDESC123460;\n\nAfter we demanded to receive our rightful lands in Xinjiang back, Russia decided to return Kultscha but not the rest of the area.;;;;;;;;;;;;;
EVTDESC123461;\n\nAfter we demanded to receive our rightful lands in Xinjiang back, Russia refused to return the entirety of the area.;;;;;;;;;;;;;
EVTDESC123462;\n\nAfter China demanded to have our lands in Xinjiang returned to them, and we refused to give them the entirety of it, they decided not to escalate the conflict and instead leave the borders as they are.;;;;;;;;;;;;;
EVTDESC123463;\n\nAfter we refused to return our occupation zone in Xinjiang back the Chinese, they decided to attempt to conquer it back. This means war!;;;;;;;;;;;;;
EVTDESC123464;\n\nAfter the struggle against the Russian oppressors, Xinjiang finally rests in our hands once more.;;;;;;;;;;;;;
EVTDESC203922;\n\nThe Willow Palisade has prevented Han migration into Manchuria for generations, and although old and falling apart, it still manages to stop the boats.;;;;;;;;;;;;;
EVTDESC60131;\n\n$FROM$ has decided we are not $FROMCOUNTRY_ADJ$ enough to join their state, not that we really wanted to anyway...;;;;;;;;;;;;;
EVTDESC60132;\n\n$FROM$ can reconsider unification;;;;;;;;;;;;;
EVTDESC60168162;\n\nCarlos V and his heirs rarely ascend to the throne of Spain. Do you like Carlist Spain more than regular Spain?;;;;;;;;;;;;;
EVTDESC60168163;\n\nThe Oriental Crisis usually ends in Egypt losing control over the Middle East. Would you prefer a compromise?;;;;;;;;;;;;;
EVTDESC60168164;\n\nBecause the concept is far-fetched at best, the Scandinavian War is set to never be triggered by AI. Would you, however, like to have it in your game?;;;;;;;;;;;;;
EVTDESC60168165;\n\nMexico usually gets steamrolled by the American invasion. While the outcome of the war isn't determinable, do you want Mexico to hand the land over peacefully or for the the US to just leave them alone?;;;;;;;;;;;;;
EVTDESC60168166;\n\nThe Iranian attempt to besiege Herat is usually foiled by British intervention. Do you prefer the UK leaving Iran alone?;;;;;;;;;;;;;
EVTDESC60168167;\n\nWhen Hungary revolts in 1848, they rarely survive the war with Austria. Do you wish to prevent that war altogether or force Hungary to fight it out?;;;;;;;;;;;;;
EVTDESC60168168;\n\nThe Oregon Dispute can end in a war, two compromises or one of the conflicting parties receiving all of the territory peacefully. How do you want it to go?;;;;;;;;;;;;;
EVTDESC1412204;\n\nAs the country no longer exists, the war has ceased.;;;;;;;;;;;;;
EVTDESC95672;\n\nCleaning up GER cores.;;;;;;;;;;;;;
EVTDESC4778821;\n\nThis decision for AI. If you got this...something is wrong.;;;;;;;;;;;;;
EVTDESC6016828;\n\nThat rebels shall not exist in this timeline;;;;;;;;;;;;;
EVTDESC184812321;\n\nThat war shall not exist in this timeline;;;;;;;;;;;;;
EVTDESC184812322;\n\nThat war shall not exist in this timeline;;;;;;;;;;;;;
EVTDESC6016829;\n\nthe voices don't go away;;;;;;;;;;;;;
EVTDESC97137;\n\n$FROMCOUNTRY$ are proposing that we delegate our dispute in Palmas to a foreign mediator: the current president of the USA, Stephen Grover Cleveland.;;;;;;;;;;;;;
EVTDESC97138;\n\nThe government of $FROMCOUNTRY$ has agreed to solve the Palmas Question.;;;;;;;;;;;;;
EVTDESC97139;\n\n$FROMCOUNTRY$ has rejected our proposal to solve the current border dispute in Palmas.;;;;;;;;;;;;;
EVTDESC97140;\n\nAs a consequence of a dispute between Argentina and Brazil known as the Palmas Question, the Brazilian government has called for US president Stephen Grover Cleveland to mediate the conflict.;;;;;;;;;;;;;
EVTDESC97141;\n\nAmerican president Stephen Grover Cleveland has awarded the land to $COUNTRY$, finally resolving our dispute;;;;;;;;;;;;;
EVTDESC97142;\n\nThe arbitration of American president Stephen Grover Cleveland has decided that we are not the rightful owners of Palmas, and are forced to abandon our claims on it.;;;;;;;;;;;;;
EVTDESC123663;\n\nMonasteries in Pasto have been closed and dedicated to public education in the province by Congress. The devotedly Catholic population locals have revolted against these measures.;;;;;;;;;;;;;
EVTDESC123665;\n\nNow that the government has been defeated, we can take over.;;;;;;;;;;;;;
EVTDESC123666;\n\nNow that the rebel scum have been defeated, rebel sentiment is squelched.;;;;;;;;;;;;;
EVTDESC123667;\n\nLandowners have revolted against liberal reforms, such as the enforcement of the abolition of slavery.;;;;;;;;;;;;;
EVTDESC123668;\n\nAfter losing the elections, general Jos© Mar­a Melo has staged a radical coup against the government, beginning a civil war backed by the artisans of Bogot¡.;;;;;;;;;;;;;
EVTDESC123669;\n\nThe conservative government of Mariano Ospina Rodr­guez has centralized our country, however liberal agitation to restore provincial sovereignty has boiled over into a rebellion.;;;;;;;;;;;;;
EVTDESC123670;\n\nRecent secularization measures to the education system of president Aquileo Parra have led to an uprising among conservatives in Antioquia, Cauca and Tolima supported by the local clergy.;;;;;;;;;;;;;
EVTDESC123674;\n\nThe radicals of Santander accused President Rafael Narváez of interfering in the internal affairs of the States and began a revolt which has spread to a national level.;;;;;;;;;;;;;
EVTDESC123675;\n\nRecent conservative laws drafted by president Miguel Antonio Caro have exacerbated tensions with the liberals, who, led by General Siervo Sarmiento, have revolted to depose the government.;;;;;;;;;;;;;
EVTDESC97133;\n\nThe governor of the Argentine province of Corrientes, soon planning a rebellion against the regime of Juan Manuel de Rosas, has proposed an alliance with us;;;;;;;;;;;;;
EVTDESC97134;\n\nThe farrapos have agreed to sign an alliance and mutual aid treaty with us in secret, greatly improving our relations and commerce.;;;;;;;;;;;;;
EVTDESC97135;\n\nThe farrapos have rejected to sign the alliance and mutual aid treaty with us!;;;;;;;;;;;;;
EVTDESC97136;\n\nAfter the defeat of the rebellion in Rio Grande do Sul, several rebels moved to the other side of the Uruguay river, transporting tobacco, paper and clothes with them.;;;;;;;;;;;;;
EVTDESC184000;\n\nThe ships from Africa have come in, and we've received more slaves for our nation!;;;;;;;;;;;;;
EVTDESC187941;\n\nThe British HMS Trent, with two Confederate diplomats on board, has been seized by Union forces.;;;;;;;;;;;;;
EVTDESC187945;\n\nThe Union has given in to the British, and has released our diplomats, evading war.;;;;;;;;;;;;;
EVTDESC21370001;\n\nDiplomats from Poland have approached our goverment today with a proposition to buy the Caribbean islands of Trinidad and Tobago for a good price to retake back their once existing colonies. What will be our answer?;;;;;;;;;;;;;
EVTDESC21370002;\n\nThe British have accepted our offer to buy the islands of Trinidad and Tobago!;;;;;;;;;;;;;
EVTDESC21370003;\n\nThe British goverment has declined our offer to buy Trinidad and Tobago;;;;;;;;;;;;;
EVTDESC21371001;\n\nThe Polish goverment sent us an offer to buy The Gambia colony for a good price, the colony once was theirs and they would like to buy it.;;;;;;;;;;;;;
EVTDESC21371002;\n\nThe British goverment has accepted our offer to buy The Gambia colony!;;;;;;;;;;;;;
EVTDESC21371003;\n\nThe British goverment has refused to sell us The Gambia colony.;;;;;;;;;;;;;
EVTDESC4778719;\n\nSouth Africa is lost. With it goes our influence in the countries in the region.;;;;;;;;;;;;;
EVTDESC4778720;\n\nThe British have been driven from South Africa, we are no longer influenced by them.;;;;;;;;;;;;;
EVTDESC4778721;\n\nThe British have been driven from South Africa, we must seize their land!;;;;;;;;;;;;;
EVTDESC123865;\n\nIt began at roughly 15:00, by accident at a small house of refugees in the Mevlane district when a spark from the kitchen fire fell in a pile of straw and ignited it. It destroyed one third of the city, leaving 74.000 homeless.;;;;;;;;;;;;;
EVTDESC99954;\n\n$FROMCOUNTRY$ declared war!;;;;;;;;;;;;;
EVTDESC99959;\n\n$FROMCOUNTRY$ has established a protectorate over our nation;;;;;;;;;;;;;
EVTDESC123689;\n\nOur puppet ruler, Shah Nawaz Khan has been deposed by Mir Nasir Khan II, throwing the country into turmoil. The already tenuously controlled vassal rulers in Las Bela, Makran and Dozdab have broken free while Kharan has gained much autonomy.;;;;;;;;;;;;;
EVTDESC123692;\n\nAmir Alam has successfully conquered much land from us.;;;;;;;;;;;;;
EVTDESC123693;\n\nThe Afghans have invaded their erstwhile vassals in Kandahar, who are now begging for us to intervene on their behalf.;;;;;;;;;;;;;
EVTDESC123695;\n\nThe UK has intervened to end our conflict with the Afghans with an arbitration. If we don't accept, they may join the war on the Afghan side.;;;;;;;;;;;;;
EVTDESC123696;\n\nPersia has agreed to end their war with the Afghans. Now we must finish our arbitration as to their borders.;;;;;;;;;;;;;
EVTDESC123697;\n\nPersia has declined to end their war with the Afghans. Will we militarily intervene?;;;;;;;;;;;;;
EVTDESC123698;\n\nThe Brits have forced us into a treaty to clearly define our borders. We must accept.;;;;;;;;;;;;;
EVTDESC99206;\n\nThe Brits have forced us into a treaty to clearly define our borders. We must accept.;;;;;;;;;;;;;
EVTDESC123700;\n\nWithout Great Britain's support, we have been left with no choice but to hand Herat to the attacking Persians.;;;;;;;;;;;;;
EVTDESC123702;\n\nBritain's treaty recognizes us as overlords of the regions of Kandahar, Herat, Farrah, Kabul and Jalalabad in return for relinquishing claims on Peshawar.;;;;;;;;;;;;;
EVTDESC123703;\n\nA revolt has emerged in Khorasan lead by Salar to promote Bahman Mirza and his claim to power. Many local Turkmens and Kurds joined the revolt out of anger against our rule.;;;;;;;;;;;;;
EVTDESC123704;\n\nSalar has taken the opportunity of Mohammad Shah Qajar's death to head a revolt in Khorasan once more, this time gaining Mashhad and Sabzevar with Kurdish and Turkmen support.;;;;;;;;;;;;;
EVTDESC123705;\n\nRussia has sent us an uninvited diplomatic mission. Accepting it may please them, but will anger the Brits.;;;;;;;;;;;;;
EVTDESC123706;\n\nEmir Sher Ali Khan of Afghanistan has warmly welcomed our uninvited diplomatic mission.;;;;;;;;;;;;;
EVTDESC123707;\n\nEmir Sher Ali Khan of Afghanistan has coldly expelled our diplomatic mission.;;;;;;;;;;;;;
EVTDESC123708;\n\nEmir Sher Ali Khan of Afghanistan has warmly welcomed an uninvited diplomatic mission from Russia.;;;;;;;;;;;;;
EVTDESC123709;\n\nBritain has sent us an uninvited diplomatic mission. Accepting it will please them, but refusing may well confirm fears over Russian influence and lead to war.;;;;;;;;;;;;;
EVTDESC123710;\n\nEmir Sher Ali Khan of Afghanistan has warmly welcomed our uninvited diplomatic mission.;;;;;;;;;;;;;
EVTDESC123711;\n\nEmir Sher Ali Khan of Afghanistan coldly expelled our diplomats, yet they welcomed the Russians'. This is a grave setback in the Great Game. If we don't intervene, they will be a Russian ally.;;;;;;;;;;;;;
EVTDESC123712;\n\nMohammad Yaqub Khan has been deposed by his brother, Ghazi Mohammad Ayub Khan, who has massacred our mission in Kabul, reigniting conflict.;;;;;;;;;;;;;
EVTDESC123713;\n\nDiscontent among the Hazara against our leadership has spiked, leading militia to slaughter them en masse, making them revolt.;;;;;;;;;;;;;
EVTDESC123714;\n\nAbdur Rahman Khan's son Habibullah died, starting a power struggle between his brothers Amanullah and Nasrullah. The former came out on top. To distract from internal conflict, Amanullah has attacked to reclaim old lands.;;;;;;;;;;;;;
EVTDESC123718;\n\nOur offer of Herat and Kandahar in return for several concessions to us that we sent to the Persians has been wholeheartedly accepted.;;;;;;;;;;;;;
EVTDESC123719;\n\nOur offer of Herat and Kandahar in return for several concessions to us that we sent to the Persians has been coldly refused.;;;;;;;;;;;;;
EVTDESC123720;\n\nPersia has refused our proposal, instead insisting on an unconditional handover of Herat and Kandahar.;;;;;;;;;;;;;
EVTDESC123721;\n\nUpon our demand of an unconditional handover of Herat and Kandahar, Britain was not open to compromise.;;;;;;;;;;;;;
EVTDESC123722;\n\nUpon our demand of an unconditional handover of Herat and Kandahar, Britain was open to compromise.;;;;;;;;;;;;;
EVTDESC123723;\n\nBritain has concluded a treaty with Persia to give away Kandahar, Herat and Sistan them. There is nothing we can do but agree.;;;;;;;;;;;;;
EVTDESC123724;\n\nIn the heat of the Anglo-Afghan War, Britain decided to cede half of Afghanistan to our former ally Persia in exchange for influence there. Should we allow this?;;;;;;;;;;;;;
EVTDESC123725;\n\nWith the Afghan annexation of Herat, we are forced to abandon Ghoryan.;;;;;;;;;;;;;
EVTDESC123727;\n\nOur joint boundary comission has finished the demarcation of our southern border to Afghanistan.;;;;;;;;;;;;;
EVTDESC123728;\n\nThe Anglo-Russian Boundary Comission has decided on our northern frontier.;;;;;;;;;;;;;
EVTDESC123729;\n\nPanjdeh is a sad protrusion of our border to the West, surrounded and indefensible. Our garrison has finally abandoned it.;;;;;;;;;;;;;
EVTDESC123730;\n\nSire! The Russians are attacking Panjdeh North of Herat! If we do not intervene, they will be occupying Herat by the end of the week! We must act now!;;;;;;;;;;;;;
EVTDESC123733;\n\nBritain has fully backed down, in fact they have sent tacit approval to an invasion of Herat!;;;;;;;;;;;;;
EVTDESC123734;\n\nAfter Russia seized Panjdeh, Britain fully abandoned us, in fact they let the Russians invade Herat! There is nothing we can do to stop them.;;;;;;;;;;;;;
EVTDESC123735;\n\nAfter Russia seized Panjdeh, Britain fully abandoned us, in fact they tacitly ok-ed a Russian invasion of Herat. Russia, however, has left us be.;;;;;;;;;;;;;
EVTDESC123732;\n\nBritain has informed us we may keep Panjdeh, but that they will intervene if we seize Herat.;;;;;;;;;;;;;
EVTDESC123736;\n\nAfter Russia seized Panjdeh, Britain has tacitly ok-ed Russian ownership of Panjdeh but threatened intervention if they invaded Herat.;;;;;;;;;;;;;
EVTDESC123731;\n\nBritain has informed us that we have 24 hours to evacuate Panjdeh, otherwise they will march to the aid of Afghanistan.;;;;;;;;;;;;;
EVTDESC123737;\n\nDespite our best efforts, the Russian invasion was a rousing success. Now we must sign a humiliating treaty ceding much of the North to the Russian menace.;;;;;;;;;;;;;
EVTDESC123738;\n\nAs per the Goldsmid Arbitration, we must relinquish our ownership of Pishukan to Makran.;;;;;;;;;;;;;
EVTDESC123739;\n\nThe Ottomans have issued an edict concerning their administration of vassals. Our continued existence is in danger!;;;;;;;;;;;;;
EVTDESC4458135;\n\nAfter much deliberation, General Fahrettin Altay has assigned the Lash Wa Juwayn region to the Afghans.;;;;;;;;;;;;;
EVTDESC4458136;\n\nAfter much deliberation, General Fahrettin Altay has assigned the Lash Wa Juwayn region to us.;;;;;;;;;;;;;
EVTDESC4458137;\n\nThe perfidious Iranians have rejected the proposition to have Turkish General Fahrettin Altay lead an arbitration to settle our border dispute.;;;;;;;;;;;;;
EVTDESC4458141;\n\nAfter much deliberation, General Fahrettin Altay has assigned the Lash Wa Juwayn region to us.;;;;;;;;;;;;;
EVTDESC4458142;\n\nAfter much deliberation, General Fahrettin Altay has assigned the Lash Wa Juwayn region to the Iranians.;;;;;;;;;;;;;
EVTDESC9899810;\n\nWe have won the war against Prussia, now it's time to present our demands.;;;;;;;;;;;;;
EVTDESC4778799;\n\nThe Ottoman Empire has refused to sign a treaty proposed by the United Kingdom and Russia which would formalize our borders. This will likely mean war...;;;;;;;;;;;;;
EVTDESC4778800;\n\nPersia has refused to sign the treaty proposed by the United Kingdom and Russia which would formalize our borders. This will likely mean war...;;;;;;;;;;;;;
EVTDESC999456;\n\nWith Ali Pasha having defeated us resulting in the loss of the Levant, the Iraqi people are rallying around Dawud Pasha in an attempt to gain freedom.;;;;;;;;;;;;;
EVTDESC999457;\n\nThe Iraqi people have beaten us, and we have lost our claim to their provinces.;;;;;;;;;;;;;
EVTDESC99923;\n\nOur debts from the military supplies, arms and advisors incurred during the war must now be paid off.;;;;;;;;;;;;;
EVTDESC99924;\n\nThe War is over and our Great Power 'ally' did not aid us in our time of need. We can either hope to turn to another great power who will help us, or perhaps we have no choice to remain aligned and maintain the status quo?;;;;;;;;;;;;;
EVTDESC47083;\n\n$FROMCOUNTRY$ is proposing a navigation treaty to delimit our borders and establish river transport regulations. While this would please Brazil, we would thereby give up our claims on a lot of land.;;;;;;;;;;;;;
EVTDESC47086;\n\n$FROMCOUNTRY$ has accepted our proposal and they do not claim the the east of Tabatinga anymore!;;;;;;;;;;;;;
EVTDESC47087;\n\n$FROMCOUNTRY$ has refused our proposal and continue to claim the the east of Tabatinga!;;;;;;;;;;;;;
EVTDESC47118;\n\nWithout a land connection to Ariari, the owners of Casanare have taken it over.;;;;;;;;;;;;;
EVTDESC47117;\n\nWithout a land connection to Ariari, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC47119;\n\nWithout a land connection to Isana, the owners of Obando have taken it over.;;;;;;;;;;;;;
EVTDESC47120;\n\nWithout a land connection to Isana, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
EVTDESC47121;\n\nWithout a land connection to In­rida, the owners of Puerto Carre±o have taken it over.;;;;;;;;;;;;;
EVTDESC47122;\n\nWithout a land connection to In­rida, its owners can no longer defend it. We will therefore take it over.;;;;;;;;;;;;;
