;;;;;;;;;;;;x;
JAP_1665;Shikoku;;;;;;;;;;;;x
JAP_1660;Kyushu;;;;;;;;;;;;x
JAP_1672;Tohoku;;;;;;;;;;;;x
JAP_1675;Chubu;;;;;;;;;;;;x
PROV1679;Amami;;;;;;;;;;;;x
MOR_1693;Marrakesh;;;;;;;;;;;;x
MOR_1694;Agadir;;;;;;;;;;;;x
ALD_1704;Oran;;;;;;;;;;;;x
ALD_1708;Constantine;;;;;;;;;;;;x
PROV1709;Bône;;;;;;;;;;;;x
ALD_1713;North Central Sahara;;;;;;;;;;;;x
TRI_1731;Tripolitania;;;;;;;;;;;;x
TRI_1735;Cyrenaica;;;;;;;;;;;;x
TRI_1740;Fezzan;;;;;;;;;;;;x
EGY_1745;Cairo;;;;;;;;;;;;x
EGY_1751;Alexandria;;;;;;;;;;;;x
EGY_1753;Qattara;;;;;;;;;;;;x
EGY_1755;Sinai;;;;;;;;;;;;x
ENG_1844;Sudd;;;;;;;;;;;;x
ETH_1852;Begemder;;;;;;;;;;;;x
ETH_1853;Tigray;;;;;;;;;;;;x
ETH_1859;Shewa;;;;;;;;;;;;x
ETH_1862;Gibe;;;;;;;;;;;;x
ETH_1865;Hararghe;;;;;;;;;;;;x
PROV1860;Hawassa;;;;;;;;;;;;x
PROV1863;Jimma;;;;;;;;;;;;x
PROV1864;Sidamo;;;;;;;;;;;;x
PROV1866;Bale;;;;;;;;;;;;x
PROV1867;Ogaden;;;;;;;;;;;;x
SOM_1868;South Somaliland;;;;;;;;;;;;x
SOM_1872;North Somaliland;;;;;;;;;;;;x
FRA_1878;Lower Guinea;;;;;;;;;;;;x
FRA_1883;Upper Guinea;;;;;;;;;;;;x
ASH_1909;Gold Coast;;;;;;;;;;;;x
FRA_1919;Dahomey;;;;;;;;;;;;x
SOK_1934;Biafra;;;;;;;;;;;;x
SOK_1937;Tukari;;;;;;;;;;;;x
SOK_1945;Kano;;;;;;;;;;;;x
SPA_1955;Equatorial Guinea;;;;;;;;;;;;x
ENG_1956;Cameroon;;;;;;;;;;;;x
SOK_1963;Adamawa;;;;;;;;;;;;x
FRA_1970;Bangassou;;;;;;;;;;;;x
BEL_1990;Kivu;;;;;;;;;;;;x
BEL_1996;Congo Orientale;;;;;;;;;;;;x
BEL_2034;Ruanda-Urundi;;;;;;;;;;;;x
ENG_2036;Zanzibar;;;;;;;;;;;;x
ENG_2044;Tanganyika;;;;;;;;;;;;x
ENG_2048;Zanzibar;;;;;;;;;;;;x
POR_2054;Tete;;;;;;;;;;;;x
ENG_2067;Nyasaland;;;;;;;;;;;;x
ENG_2068;Mashonaland;;;;;;;;;;;;x
ENG_2071;Matabeleland;;;;;;;;;;;;x
ENG_2074;Bechuanaland;;;;;;;;;;;;x
ENG_2094;Kimberley;;;;;;;;;;;;x
PROV2124;Maore;;;;;;;;;;;;x
MEX_2181;Chiapas;;;;;;;;;;;;x
UCA_2191;El Salvador;;;;;;;;;;;;x
UCA_2193;Honduras;;;;;;;;;;;;x
CHI_2221;South Jiangsu;;;;;;;;;;;;x
NET_2235;Leeward Antilles;;;;;;;;;;;;x
PEU_2308;Arica;;;;;;;;;;;;x
BOL_2309;Antofagasta;;;;;;;;;;;;x
ARG_2360;Entre Rios;;;;;;;;;;;;x
PROV2367;Xolotas;;;;;;;;;;;;x
ARG_2374;Catamarca;;;;;;;;;;;;x
BRZ_2421;Goiás;;;;;;;;;;;;x
AST_2454;Fiji;;;;;;;;;;;;x
BRZ_2461;Santa Catarina;;;;;;;;;;;;x
SPA_2517;Mariana Islands;;;;;;;;;;;;x
AST_2534;Solomon Islands;;;;;;;;;;;;x
AST_2535;Melanesian Islands;;;;;;;;;;;;x
AUS_2538;Vojvodina;;;;;;;;;;;;x
TON_2540;Tonga;;;;;;;;;;;;x
USA_2543;Samoa;;;;;;;;;;;;x
PROV2554;Misiones;;;;;;;;;;;;x
HES_2560;Hessen;;;;;;;;;;;;x
RUS_2587;Kola;;;;;;;;;;;;x
CHI_2678;Outer Mongolia;;;;;;;;;;;;x
PROV2834;Bay of Ayan;;;;;;;;;;;;x
PROV2836;Coast of Kamchatka;;;;;;;;;;;;x
PROV2837;Sea of Okhotsk;;;;;;;;;;;;x
PROV2838;Coast of Sakhalin;;;;;;;;;;;;x
PROV2843;Seto Inland Sea;;;;;;;;;;;;x
PROV3126;Coast of Minami;;;;;;;;;;;;x
