
famine;Provincial Famine;;;;;;;;;;;;;
DIM_cultuurstelsel_event_desc;\n\nReplacing the old Landrente-tax, which required farmers to pay 2/5th of their harvest as tax, the Cultuurstelsel requires farmers to use 1/5th of their land to grow cash crops, mainly coffee, tea, sugar and indigo. Farmers who cannot grow these crops on their land are required to provide the Herendienst: 60 days of free labor per year to work on government plantations. Should the value of crops exceed the previously paid Landrente, the farmer is compensated accordingly by the Plantloon. To reduce the financial burden on the colonial administration, a system of local middleman, mainly Chinese, has been set up to handle the system. Furthermore, to tie local Heads to our administration, they are awarded a certain percentage of the crops called the Cultuurprocenten. To stimulate production, the Cultuurprocenten goes up the more is produce.;;;;;;;;;;;;;
EVTOPTA211400;What an imaginative scheme.;;;;;;;;;;;;;
DIM_cultuurstelsel_extended_title;Extend the Cultuurstelsel to Sumatra;;;;;;;;;;;;;
DIM_cultuurstelsel_extended_desc;§RGain 3.5 infamy§! As the Cultuurstelsel is a very resource intensive method of running our colony, expanding it beyond our core territories on Java and Madura has not been proven feasible. However the Outer Islands, especially Sumatra, do seem to have the potential for the plantation system of the Cultuurstelsel. Expending there is certainly an option, if you are willing to bear the costs.;;;;;;;;;;;;;
DIM_landverhuurstelsel_title;Institute the Landverhuurstelsel;;;;;;;;;;;;;
DIM_landverhuurstelsel_desc;Now that the Dutch have established a full plantation system on Java, they are pressuring us to institute a plantation economy as well. More specifically, they are asking us to open up our lands to European exploitation. The plan as proposed will see us lease our lands to European planters, who will run, finance and organize the plantations, in exchange we will receive a share of the proceeds.;;;;;;;;;;;;;
DIM_landverhuurstelsel_aban_title;Abandon the Landverhuurstelsel;;;;;;;;;;;;;
DIM_landverhuurstelsel_aban_desc;Now we've freed ourselves from Dutch yoke, we should reconsider our economic relations with them as well. As the Landverhuurstelsel was imposed on us, and is highly unpopular among the populace, we should start there.;;;;;;;;;;;;;
DIM_cultuurstelsel_newconquered_title;Cultuurstelsel expands;;;;;;;;;;;;;
DIM_cultuurstelsel_newconquered_desc;\n\nThe $COUNTRY_ADJ$ rule in the East Indies has expanded, our colonial officials are integrating $PROVINCENAME$ into our colonial system, the Cultuurstelsel is also being implemented.;;;;;;;;;;;;;
DIM_regeringsregelement_title;Indisch Regeringsregelement;;;;;;;;;;;;;
DIM_regeringsregelement_desc;§GLose 1 infamy§! The East Indies was been long ruled as a de facto absolute monarchy with the Governor-General as acting as a 'King.' This has long been a point of contention for liberals. \n\nThe Regeringsregelement aims to bring the government of the East Indies under parliamentary scrutiny. Furthermore it reforms and limits the spread of the Cultuurstelsel (to ease the suffering of the inlanders), puts a limit on the Herendienst, offers freedom of religion, settles issues of race and promises to end slavery in the East.;;;;;;;;;;;;;
DIM_koelie_contracten_title;Koelie Contracten;;;;;;;;;;;;;
DIM_koelie_contracten_desc;While the alluvial lowlands might provide some extremely fertile soil for our cash crops, they have never attracted a large population to settle there. Even today, the plentiful employment opportunities fail to attract sufficient laborers, hampering economic development in the region. Importing contract laborers, coolies, from Java, China and India might help alleviate the labor shortages, and strengthen our economic development there. Our colony in Guyana might also benefit from such an arrangement.;;;;;;;;;;;;;
DIM_abandon_spices_title;End the Spice Monopoly;;;;;;;;;;;;;
DIM_abandon_spices_desc;§GLose 1 infamy§! A remand of the VOC period, the islanders on the Moluccans are required to deliver a predefined amount of spices (nutmeg and cloves in particular) each year, and are not allowed to trade with outside powers. Like the Cultuurstelsel, the Liberals consider it a distortion of the free market and a form of colonial oppression. Abandoning it will satisfy them.;;;;;;;;;;;;;
DIM_cultuurstelsel_abuse_title;Herendienst in $PROVINCENAME$;;;;;;;;;;;;;
DIM_cultuurstelsel_abuse_desc;\n\nUnder the Cultuurstelsel, farmers who cannot grow cash crops are required to provide 60 days of free labor to the colonial government. Originally intended to provide labor to government plantations, the system is now widely used for other purposes. As it happens the region around $PROVINCENAME$ has been suffering from a lack of investment, leaving the roads dilapidated, hampering local trade. Furthermore, the fortress at $PROVINCENAME$ has not seen any major work done in years. Lastly the local regent has complained his residence is no longer representative of a man of his position. We could divert the labors away from the plantations to remedy one of these issues.;;;;;;;;;;;;;
EVTOPTA211401;Send them to work on the plantations.;;;;;;;;;;;;;
EVTOPTB211401;The Resident's garden is looking a bit iffy.;;;;;;;;;;;;;
DIM_cultuurstelsel_famine_title;Famine in $PROVINCENAME$;;;;;;;;;;;;;
DIM_cultuurstelsel_famine_desc;\n\n'To those who blame the Cultuurstelsel for the famine in $PROVINCENAME$ we say: When Jacob sent his sons to Egypt to buy grain, it was due to famine. And yet history does not record the existence of a Cultuurstelsel in Israel. When the prophet Nathan threatened David with the disaster, he threatened him with famine, yet we do not read that the prophet threatened to inflict the Cultuurstelsel on David's kingdom. Europe too was ravished by famine before the potato, and British India still is. The famine strikes the Indies cannot be blamed on the Cultuurstelsel, which if applied wisely, spreads prosperity, not famine. We must blame the famine in $PROVINCENAME$ on local misrule. On local Heads who extract to much tax, and do not pay the dessa occupants their due Plantloon.';;;;;;;;;;;;;
EVTOPTA211402;It is none of our concern.;;;;;;;;;;;;;
DIM_javanese_famine_title;The Great Javanese Famine;;;;;;;;;;;;;
DIM_javanese_famine_desc;\n\nWhile famines are not an unusual sight in that part of the world, the severity of the famine on Java has begun to be noticed. Questions have been raised whether or not perhaps the Cultuurstelsel lies at the heart of the problem. Our investigation has revealed multiple issues at play which may have contributed to the famine: While the official instruction is that leeway has to be given for the production of food, this is often ignored by $COUNTRY_ADJ$ colonial officials. \n\nEnticed by the Cultuurprocenten, their share of the proceeds, local administrators and Heads often push farmers to work the plantations instead of their own rice paddies. Farmers are often required to use their most productive lands to grow cash crops, and lastly, it would that in some instances farmers are even forced to set aside more than the 1/5th of their land required under the Cultuurstelsel to cash crops. These factors, combined with natural forces are the likely causes the current famine in the region.;;;;;;;;;;;;;
DIM_cultuurstelsel_multatuli1_title;Overzealous Colonial Officer;;;;;;;;;;;;;
DIM_cultuurstelsel_multatuli1_desc;\n\nOne of our lower colonial officers - Eduard Douwes Dekker, an assistant-resident in West Java, has taken a very zealous approach to his job. Disturbed by the abuses of the Cultuurstelsel and Herendienst he found in his regency, he accused the local Head of severe abuse of power and bondage of his subjects. While his position of course requires him to reign in local excesses and protect the populace, his primary concern should be the protection of our interests! Currently, the authority of the Head is sacred and unquestionable to the populace. Bringing him to court might cause severe social upheaval. As such, the Resident has called the Assistent-Resident to order and stopped the prosecution of the Head. This did not deter the Assistent-Resident. The case has now reached the Governor-General who has to decided to continue the prosecution, and risk rebellion, or put a stop to it.;;;;;;;;;;;;;
EVTOPTA211403;Side with the Resident: Order & Stability are of the utmost importance;;;;;;;;;;;;;
EVTOPTB211403;Side with the Assistent-Resident: Justice & Freedom are of the utmost importance;;;;;;;;;;;;;
DIM_cultuurstelsel_multatuli2_title;Disgruntled Colonial Officer;;;;;;;;;;;;;
DIM_cultuurstelsel_multatuli2_desc;\n\nA former colonial officer who left the service after an altercation with a local Regent, has now written a letter complaining about the treatment he has received. A fervent liberal and proponent of inlander rights, he claims to have written a book detailing abuses committed by both the colonial government and local Heads under the Cultuurstelsel. Having been reduced to poverty by his treatment, he is threatening to publish this book unless he is fully rehabilitated, which in this case means: a position of Regent on Java, full restoration of his pension, a large advance and, most preposterously, a decoration for his 'service.';;;;;;;;;;;;;
EVTOPTA211404;We will not be blackmailed.;;;;;;;;;;;;;
EVTOPTB211404;Perhaps it is best to hush things up.;;;;;;;;;;;;;
DIM_max_havelaar_title;Multatuli;;;;;;;;;;;;;
DIM_max_havelaar_desc;\n\n'I am broker in coffee, and live on the Lauriersgracht No. 37.'\nWith these words begins the novel Max Havelaar. It describes the consequences of the Cultuurstelsel in Java, in which government and local Heads cooperated to enrich themselves at the expense of the people. In the example of the body of a Javanese, murdered on the orders of the regent, floating down the river as a present from the sharks of the interior to the sharks in the sea, after that poor wretch had complained about the Regent, the 'humdrum' story of a buffalo of Saidjah's father, the village in Lampung set ablaze by Dutch forces. Cumulating in the majestic, almost terrifying, final chord in which Multatuli exposed Holland as a 'pirate state', and conjured the king not to tolerate any longer that more than 30 million Javanese are maltreated and exploited in his name in the 'glorious realm of Insulinde, that coiled round the Equator like a girdle of emerald.';;;;;;;;;;;;;
EVTOPTA211405;Maybe he has a point. §RGain 2 infamy§!;;;;;;;;;;;;;
DIM_java_run_colony_title;Java, or How to Manage a Colony;;;;;;;;;;;;;
DIM_java_run_colony_desc;\n\nLong has our colony on Java been the envy of the world. The vast wealth provided by the Cultuurstelsel has propelled our nation forwards, and this has not gone unnoticed abroad. In a recently published book, called 'Java, or How to Manage a Colony,' the aptly named Englishman James Money described our colonial administration of Java, the Cultuurstelsel in particular, as the example of how a colony should be run. He writes that a similar system would solve many of the problems facing British India today.;;;;;;;;;;;;;
EVTOPTA211409;Good man.;;;;;;;;;;;;;
DIM_belgium_java_run_colony_desc;\n\nIn a recent book called 'Java, or How to Manage a Colony,' the aptly named Englishman John Money offers an insight into the Dutch colonial system on Java: the Cultuurstelsel. The plantations of coffee, sugar, tobacco and indigo have provided vast wealth to both the King and country. Virtually every venture the Dutch have undertaken over the past 30 years, from the canals and railroads of Holland, to the colonial wars in the east, has been paid for by the wealth extracted from Java. Despite relying heavily on forced labor, the author seems to be of the opinion that the natives do not mind as long as they are included in the march of civilization. Combining these factors, he is of the opinion that the Cultuurstelsel is the best way to run a colony.;;;;;;;;;;;;;
EVTOPTA210449;Perhaps we should also get into this colonial game.;;;;;;;;;;;;;
DIM_pangka_title;Colonial Contract up for Tender;;;;;;;;;;;;;
DIM_pangka_desc;\n\nUnder the Cultuurstelsel private contracts are signed for the refining of the sugar. Now one of the most lucrative contracts on Java has expired and is up for tender again. We've been approached by close associates of us who ask to forgo the normal tender procedure, and award the contract directly to them. Such a arrangement will pose no legal hurdles. More worrisome, however, is that they have requested a governmental credit line to bridge the gap between the awarding of the contract and the actual operating of the refinery. Due to the distance between the Motherland and the Indies, such requests are not unreasonable. The more liberal elements of society might not take kindly to such governmental interference in the market though.;;;;;;;;;;;;;
DIM_pangka_affair_title;The Pangka Affair;;;;;;;;;;;;;
DIM_pangka_affair_desc;\n\nUnder the Cultuurstelsel private contracts are signed for the refining of the sugar. As these contracts are some of the most lucrative colonial contracts, there is always a lot of interest when they are up for tender. Shady dealings revolving around the awarding of the highly lucrative Pangka contract has now evolved into a public scandal. Under pressure from the monarchy, the contract was awarded without tender to a royal associate, and a governmental line of credit extended. The contracting party then promptly sold their contract for a sum vastly greater than they had originally paid for it, duping the treasury. Worse still is that, due to legal problems resulting from this, the refinery has not been able to operate for some time, leaving valuable loads of sugar unprocessed.\n\nParliament has long since been fed up with the corruption surrounding the awarding of the sugar contracts. The Pangka Affair has now given the Dutch Parliament the impetus to demand reform.;;;;;;;;;;;;;
EVTOPTA211412;Award the contract to our associates.;;;;;;;;;;;;;
EVTOPTB211412;Send out an open tender.;;;;;;;;;;;;;
EVTOPTA211413;And reform it is.;;;;;;;;;;;;;
EVTOPTB211413;We will not budge.;;;;;;;;;;;;;
DIM_regeringsregelement_zending_title;Missions in the East Indies?;;;;;;;;;;;;;
DIM_regeringsregelement_zending_desc;\n\nThere have been few limits imposed on Christian mission in the East Indies. In the past, this often lead to friction between the various denominations, especially when operating in the same region. The Christianization of the East has been hampered by this. The missions also have tendencies to chose more sensitive area's as basis of operation, greatly upsetting the local populace. The Regeringsregelement attempts to remedy these issues. Special permission has to be requested from the Governor-General before new missions can be started, and no two different missions may operate in the same region. The Regeringsregelement also allows for the Governor-General to declare some regions off-limits to missions, thus reducing unrest under the inlanders. The only question remains is which denomination we will favor. Will it be the Calvinists, our traditional religion, or shall we favor the Catholics, a historically repressed religion?;;;;;;;;;;;;;
EVTOPTA211414;Grant equal rights.;;;;;;;;;;;;;
EVTOPTB211414;Favor the Calvinists.;;;;;;;;;;;;;
EVTOPTC211414;Favor the Catholics.;;;;;;;;;;;;;
EVTOPTD211414;Ban missions altogether.;;;;;;;;;;;;;
DIM_cultuurstelsel_landverhuur_title;Landverhuurstelsel in $PROVINCENAME$;;;;;;;;;;;;;
DIM_cultuurstelsel_landverhuur_desc;\n\nOur citizens in $PROVINCENAME$ have been enjoying extraterritorial rights to run plantations, in exchange for part of the proceeds. As we now have taken full control of $PROVINCENAME$, this system has become superfluous. We should replace this system with our current economic policy.;;;;;;;;;;;;;
DIM_cultuurstelsel_escape_title;Emigration from $PROVINCENAME$;;;;;;;;;;;;;
DIM_cultuurstelsel_escape_desc;\n\nOne of the strengths of the Cultuurstelsel is its ability to be adapted to the local polity. By including the Heads in the system, by offering the Cultuurprocenten, their interests align with ours. Their influence and coordinating abilities are thus fully employed to make the Cultuurstelsel a success. This also means the system can, in broad lines, be applied to any region, with the local Heads adapting it to their specific circumstance. Some local variation in the system thus exists. The Cultuurstelsel in  $PROVINCENAME$ is a particular efficient variety. However the local populace disagrees, and has started leaving $PROVINCENAME$ looking for a more liberal implementation.;;;;;;;;;;;;;
EVTOPTA211418;Can we really blame them?;;;;;;;;;;;;;
DIM_koelie_ordonnantie_title;The Koelie Ordonnantie;;;;;;;;;;;;;
DIM_koelie_ordonnantie_desc;\n\nFor years we have been importing coolies, contract laborers, to work the plantations around Medan. However the local planters have not been satisfied with the laborers, claiming them to be lazy and unmotivated.\n\nFurthermore, the coolies do not seem to grasp the obligations placed on them by the contract. They will often leave the plantations without permission for unspecified amounts of time, sometimes never to return.The planters are asking us to reform the judicial system, granting them extensive rights to discipline their laborers, and combat any perceived offense, in any way they deem fit.;;;;;;;;;;;;;
EVTOPTA211450;Sometimes the natives just a bit of roughing up;;;;;;;;;;;;;
EVTOPTB211450;Judicial punishment is, and will remain, the monopoly of the state;;;;;;;;;;;;;
EVTOPTC211450;These coolie contracts are starting to sound an awful lot like slavery...;;;;;;;;;;;;;
koelie_contracten;Koelie Contracten;;;;;;;;;;;;;
koelie_contracten_desc;This province profits from contract labor.;;;;;;;;;;;;;
DIM_suikerwet_title;The Suikerwet;;;;;;;;;;;;;
DIM_suikerwet_desc;\n\nThe Agrarische Wet has been the first step in abolishing the Cultuurstelsel. However due its economic importance, the sugar industry had been exempted from the Agrarische Wet. This never set well with the liberal elements of society, and they have always pushed to end the governmental monopoly on sugar. \n\nA bill has now been brought to a vote in parliament to this effect. Under the Suikerwet the government relinquishes its monopoly on sugar, and opens the sugar market to private capital, provided the sugar is refined in Dutch refineries.;;;;;;;;;;;;;
EVTOPTA211440;It is a step in the right direction (removes Cultuurstelsel modifiers);;;;;;;;;;;;;
EVTOPTB211440;Later...maybe...;;;;;;;;;;;;;
DIM_koffiewet_title;The Koffiewet;;;;;;;;;;;;;
DIM_koffiewet_desc;\n\nWhile in the days of the VOC spices such nutmeg and cloves might have been the economic motor of the Indies, since the late 18th century coffee has been the cork keeping our economy afloat. Therefore, when the Agrarische Wet was passed, the coffee cultures were specifically exempted. This never set right with the liberals and other proponents of a liberal economy. A bill has now been brought to a vote in parliament to finally bring an end to Cultuurstelsel, and the governmental monopoly on the coffee.;;;;;;;;;;;;;
EVTOPTA211445;A true land of opportunity;;;;;;;;;;;;;
DIM_private_plantation_title;Plantations Flourish in $PROVINCENAME$;;;;;;;;;;;;;
DIM_private_plantation_desc;\n\nThe Agrarische Wet has opened up the East to private capital. The success of companies such as the Deli Maatschappij or Malabar Plantation has inspired a whole generation to set of and find their fortunes here. The plantations in $PROVINCENAME$ have flourished under the inflow of talent and capital, and while perhaps not surpassing their goals, they have had a significant impact on the local and national economy.;;;;;;;;;;;;;
private_plantation;Private Plantations;;;;;;;;;;;;;
poenale_sanctie;Poenale Sanctie;;;;;;;;;;;;;
poenale_sanctie_desc;Planters in this province have been granted extensive judicial rights to discipline their works;;;;;;;;;;;;;
DIM_unciv_deli_maatschappij_title;The Deli Maatschappij;;;;;;;;;;;;;
DIM_unciv_deli_maatschappij_desc;We've been approached by a group of western investors who want to invest in the Medan area. The rich alluvial lowland plains along the north east coast of Sumatra, fed by volcanic run off from the highlands, are eminently suitable to the plantation of tobacco. The investors are seeking a long-term land concession to start a tobacco plantation. They will finance, operate and organize the entire operation, all they ask from us is a signature.;;;;;;;;;;;;;
DIM_cultuurgebied_oost_sumatra_title;The Deli Maatschappij;;;;;;;;;;;;;
DIM_cultuurgebied_oost_sumatra_desc;The Deli Company (Deli Maatschappij) is a trading and distribution company in the timber, construction product and tobacco industries. It began as large tobacco plantation and production operation established in 1869 by the Dutch in Sumatra. It was granted a land concession by the Sultanate of Deli. The company relied on immigrant coolie labor. Publicly traded on the Amsterdam stock market, it was the first modern company to pay large annual stock dividends.;;;;;;;;;;;;;
DIM_zilveren_verbond_title;The Silver Alliance;;;;;;;;;;;;;
DIM_zilveren_verbond_desc;Long have we been suffering under the domination of the Dutch. It is time to form alliances and evict the Dutch from Celebes.;;;;;;;;;;;;;
DIM_end_hadj_tax_title;End the Hajj Tax;;;;;;;;;;;;;
DIM_end_hadj_tax_desc;The Hajj is the Islamic pilgrimage to Mecca. It is considered the religious duty of every able-bodied Muslim, who can afford to do so, to attend the Hajj at least once in his life. Every Hajji is treated with the uttermost respect and is granted the right to wear a turban and Arabic clothing. Such is the respect for the Hajji that other Muslims will gladly take over their Herendienst. Most Hajjis become spiritual leaders, and try to educate the populace. \n\nWherein exactly the problem lies. As the Padri Wars showed, Hajjis can come back with dangerous new ideas and cause severe social unrest. To limit the number of Hajji's a steep tax was introduced. So steep in fact, that only 70 new Hajjis registered last year. As the Regeringsregelement provides for freedom of religion, some hold the Hajj Tax to be in violation of that principle and argue it should be abolished.;;;;;;;;;;;;;
DIM_end_eastern_slavery_title;End Slavery in the East;;;;;;;;;;;;;
DIM_end_eastern_slavery_desc;Slavery in the East is not of the same style as slavery in the Americas. Slaves in the East are not primarily used on plantations, but instead are employed in the private households. Still a slavery is slavery, no matter the form. The Regeringsregelement has promised to abolish slavery in the East, and this is promise we shall fulfill.;;;;;;;;;;;;;
DIM_NET_etna_expedition_title;The Etna Expedition;;;;;;;;;;;;;
DIM_NET_etna_expedition_desc;Aside from the small presence at Fort du Bus, we've had no real presence on New Guinea, and the islands remains virtually unknown to us. Scientist have long been pushing for a naturalist expedition to this unknown land. \n\nWe should sent an expedition to explore the coastal regions, which might also give us insight into future locations for colonial outposts. The expedition is expected to last approximately 8 months.;;;;;;;;;;;;;
DIM_kina_aanplant_title;Import the Cinchona Tree;;;;;;;;;;;;;
DIM_kina_aanplant_desc;§RGain 1 infamy§! The bark of the Cinchona tree contains quinine, an important ingredient in malaria medicine. This makes the Cinchona tree invaluable to any nation pursuing an tropical venture. Currently, the tree only grows in Peru, and they guard their monopoly jealously. \n\nIncreased demand over the years has led the tree to be overexploited, and the supply of this vital medicine can no longer be guaranteed. With some planning, we might be able to smuggle some plants out of Peru, and see if the plant will grow in the Indies. If it does, it will be of immense value to us.;;;;;;;;;;;;;
DIM_NET_new_bungai_treaty_title;The Bungaij Treaty;;;;;;;;;;;;;
DIM_NET_new_bungai_treaty_desc;§RGain 2 infamy§! Our relations with the Kings of Boni are based on a treaty signed by the VOC in 1667. After defeating the Makassar Empire, the VOC elevated the Bone Sultanate to foremost kingdom on Celebes. \n\nUninterested in developing the lands, or even the trade, in as much as the VOC was interested in keeping others out. They did not obstruct the Boni from extending their suzerainty over the other Buginese states, as long as they submitted to the VOC monopoly. This has left the economic potential of the region untouched, so perhaps it is time to resolve this situation in our favor.;;;;;;;;;;;;;
DIM_BAJ_oranje_nassau_event_title;A $FROMCOUNTRY_ADJ$ Mining Concession?;;;;;;;;;;;;;
DIM_BAJ_oranje_nassau_event_desc;\n\nA Dutch geological expedition sent to our lands has discovered extensive coal reserves near Bandjarmasim. On further examination these reserves have proven to be economically viable. Batavia has now approached us with the request for a concession to operate the mine.;;;;;;;;;;;;;
EVTOPTA211250;And we'll name it the Oranje-Nassau Mine.;;;;;;;;;;;;;
EVTOPTB211250;This is not in our interests.;;;;;;;;;;;;;
DIM_BAJ_oranje_nassau_title;Mining Concessions in Banjar;;;;;;;;;;;;;
DIM_BAJ_oranje_nassau_desc;A Dutch geological expedition in the Sultanate of Banjar has discovered extensive coal reserves near Bandjarmasim. On further examination these reserves have proven to be economically viable. We should approach the Sultan for a mining concession as soon as possible to establish a mine in the province.;;;;;;;;;;;;;
DIM_BAJ_heir_dies_title;The Death of Prince Abdurrahaman;;;;;;;;;;;;;
DIM_BAJ_heir_dies_desc;\n\nHeir to the throne and our own son has died today! As it came completely unexpectedly, the new succession has not been arranged yet. The candidates are:\nPrince Hidayatullah, a highly moral man and devout Muslim loved by the people and clergy alike.\nPrince Tamjidillah, a great lover of everything Dutch and western. However also of Chinese descent and a drunkard, and therefore disliked by aristocrats and clergy.\nPrince Prabu Anom, of foreign descent and hard to predict. He is subject to bouts of extravagance.\n\nHowever, we are bound by treaty to out forth all candidates for succession to the Dutch, and they will have to confirm the candidate.;;;;;;;;;;;;;
DIM_BAJ_heir_dies_NET_desc;\n\nPrince Abdurrahaman, heir-apparent to the Sultanate of Banjar, has recently died. As our treaty of protection with the sultan requires our consent in all matters of succession, we should use this opportunity to our advantage. The Sultan has proposed his grandson Prince Hidayatullah as his successor, the most popular of all candidates. He is a devout Muslim of great moral character. His strict interpretation of Islam makes him very popular among the general populace and the clergy. Another candidate is Prince Tamjidillah, the eldest son of prince Abdurrahaman. He is enamored by the western style of life, especially alcohol, and shows a preference for our rule. However, his lax interpretation of Islam makes him unpopular among the clergy, and his Chinese mother upsets the aristocrats. The last candidate is Prince Praby Anom, stemming from an influential faction at court. He is however difficult to predict, and he is subject to bouts of extravagance.;;;;;;;;;;;;;
EVTOPTA211251;Things are the way they are.;;;;;;;;;;;;;
EVTOPTA211252;Confirm prince Hidayatullah.;;;;;;;;;;;;;
EVTOPTB211252;Confirm prince Tamjidillah.;;;;;;;;;;;;;
EVTOPTC211252;Confirm prince Prabu Anom.;;;;;;;;;;;;;
EVTOPTA211253;May he rest in peace;;;;;;;;;;;;;
DIM_BAJ_sultan_dies_title;Sultan Adam dies!;;;;;;;;;;;;;
DIM_BAJ_sultan_dies_desc;\n\nSultan Adam fell seriously ill yesterday, and sadly the illness had taken its toll on the Sultan and he has passed away this morning. He had been of ill health for some time now, and has spent the last few months putting his affairs in order.;;;;;;;;;;;;;
DIM_BAJ_sultan_dies_NET_title;The Sultan of Bandjar dies!;;;;;;;;;;;;;
DIM_BAJ_sultan_dies_NET_desc;\n\nSultan Adam of Bandjar has died recently due to illness. He had been of ill health for some time now, and has spent the last few months putting his affairs in order.\n\nIt is time to confirm our candidate for succession.;;;;;;;;;;;;;
EVTOPTA211254;Confirm our candidate as Sultan.;;;;;;;;;;;;;
EVTOPTB211254;Confirm prince Hidayatullah instead.;;;;;;;;;;;;;
DIM_BAJ_unrest_title;Unrest in Bandjar;;;;;;;;;;;;;
DIM_BAJ_unrest_desc;\n\nThe Dutch intervention in the succession has long been unpopular with the populace. The unrest is mainly focused at us. However, a group of Imams and their followers are preparing to attacked the Dutch mines and posts. Perhaps it would be wise to direct the anger outwards to the Dutch?;;;;;;;;;;;;;
EVTOPTA211255;Direct their anger outwards.;;;;;;;;;;;;;
DIM_BAJ_unrest_NET_title;Unrest in Bandjar;;;;;;;;;;;;;
DIM_BAJ_unrest_NET_desc;\n\nOur choice as successor in the Sultanate of Bandjar has long been unpopular with the populace. While the unrest was originally directed against the new sultan, the anger has now turned against our presence in the Sultanate. A group of Imams and their followers have attacked our mines in Bandjar, and killed all Europeans there. Afterwards the group moved on to one of our outposts, and has now laid siege to it.;;;;;;;;;;;;;
EVTOPTA211256;Reinforce the outpost;;;;;;;;;;;;;
EVTOPTB211256;Leave them to their fate.;;;;;;;;;;;;;
DIM_BAJ_onrust_NET_title;The Onrust;;;;;;;;;;;;;
DIM_BAJ_onrust_NET_desc;\n\nThe paddle steamer 'Onrust' had been recently sent up the Barito river to asses the rebellious tendencies there, and bring the local heads to our cause. The delegation was received most graciously, although this would appear to have been a ruse de guerre. After receiving the delegation the local head and his entourage quickly attacked them with klewangs (a local type of sword). Alerted by the commotion caused by this, the Onrust was quickly swamped by prauws (piragua) who embarked hundreds of rebels on the ship. \n\nAll those aboard were slaughtered - even those who jumped overboard and fled into the jungle were hunted down and slaughtered. Only the negotiator Hajji Mohamed Taib survived the affair, who managed to report the event to us.;;;;;;;;;;;;;
EVTOPTA211262;This is an debt which will be repaid in blood. §RGain 2 infamy§!;;;;;;;;;;;;;
EVTOPTB211262;Withdraw from the region.;;;;;;;;;;;;;
EVTOPTA211290;We shall restore $COUNTRY_ADJ$ hegemony in the region. §RGain 4 infamy§!;;;;;;;;;;;;;
EVTOPTB211290;Our priorities lie elsewhere.;;;;;;;;;;;;;
