PAG_conservative;Adats;;;;;;;;;;;;;
EVTDESC211300;The Dutch have sent an embassy intend on settling some territorial issues in the East Indies. Throughout history we've fought many wars for control over Flores and Timor, and have now more or less settled on the Dutch controlling western Flores and Timor and us controlling eastern Flores and Timor. The Dutch have since greatly expanded their control over the archipelago, and are extracting vast wealth from the region. Our territories on the other hand are greatly impoverished, and our control over them is limited. Selling them would not be a great loss to us, were it not for the fact that we would lose all influence in the region. Perhaps we can find a different settlement beneficial to both countries?;;;;;;;;;;;;;
EVTNAME211301;Portuguese reject our offer;;;;;;;;;;;;;
EVTDESC211301;After long negotiations, the Portuguese have decided to decline our generous offer. Although intrigued by the offer, the influence provided by their possessions outweigh our offer. Though not all is lost, our diplomatic correspondence indicate Lisbon is willing to better delineate our sphere's of influence.;;;;;;;;;;;;;
EVTNAME211302;Portuguese accept our offer;;;;;;;;;;;;;
EVTDESC211302;After long negotiations, the Portuguese have decided to propose a more limited sale: They are willing to part with their territories on Flores and Alor [Larantoeka], but insist on keeping Dili and eastern Timor. Our diplomats indicate there is nothing we can realistically offer to change their mind.;;;;;;;;;;;;;
EVTNAME211303;Portuguese Counteroffer;;;;;;;;;;;;;
EVTDESC211303;Intrigued by our interest in Timor and Flores, the Portuguese have made a counter proposal. They propose to transfer their possessions on Flores and the Alor archipelago [Larantoeka] in exchange for Koepang and our influence on Timor. This would, they argue, provide a clear division of power in the region. With us on Flores, and them on Timor, there would be no future conflict in the region.;;;;;;;;;;;;;
EVTNAME211304;Portuguese Counteroffer;;;;;;;;;;;;;
EVTDESC211304;Intrigued by our interest in Timor and Flores, the Portuguese have made a counter proposal: They agree the East Indies are peripheral to their interests, and have indicated they are willing to sell their posts there. Their price is our forts along the Goldcoast. They argue these forts are as peripheral to our interests as Timor is to theirs, and it would make sense to swap these territories: a mutually beneficial exchange.;;;;;;;;;;;;;
EVTNAME211305;Dutch accept our counteroffer;;;;;;;;;;;;;
EVTDESC211305;The Dutch were intrigued by our counteroffer, and have accepted after not so long deliberations.;;;;;;;;;;;;;
EVTNAME211306;Dutch reject our counteroffer;;;;;;;;;;;;;
EVTDESC211306;The Dutch, while intrigued by our counteroffer, the Dutch have, after long deliberation, decided to decline our offer.;;;;;;;;;;;;;
EVTNAME211310;The Sandalwood trade;;;;;;;;;;;;;
EVTDESC211310;Sandalwood is a heavy, yellow, fine-grained hardwood, which -unlike other aromatic woods- maintains its fragrance for decades: A highly priced wood which had formed the basis of the $PROVINCENAME$ economy for centuries. Had, as this slow growing wood is now starting to run out, potentially ruining the local economy. The local climate and terrain is suitable for the cultivation of coffee, and it might offer a way out.;;;;;;;;;;;;;
EVTNAME211311;Backroom Politics;;;;;;;;;;;;;
EVTDESC211311;Economic power waxes and wanes, and nowhere is this more true than the East Indies. Once the Portuguese reigned supreme in the region, but over the centuries we have surpassed them in every regard in the region. And now, with the depletion of Sandalwood -the pillar of the economy- on their islands, even their last outposts have fallen on hard times. So much so that the Portuguese governor of Dilli has approached us with an offer to sell the Portuguese possessions on Flores [Larantoeka] to us. It is clear that his offer is not sanctioned by Lisbon, but that does not have to matter...;;;;;;;;;;;;;
EVTNAME211312;The Sale of Flores;;;;;;;;;;;;;
EVTDESC211312;Our governor at Dilli has, on his own initiative, sold our possessions of Larantoeka on Flores and the Alor islands to the Dutch! Faced with limited means at his disposal to govern the islands, confounded by the decline in the sandalwood trade, his administration had fallen on hard times. Faced with severe financial problems, he apparently felt the Dutch were his best chance of salvation. The Dutch have by now taken possession of the islands, and the whole affair is a fait accompli.;;;;;;;;;;;;;
EVTNAME211313;Colonial Disobedience;;;;;;;;;;;;;
EVTDESC211313;Our governor at Dili has, on his own initiative, tried to sell our possessions on Flores and the Alor islands to the Dutch. Faced with limited means at his disposal to govern the islands, confounded by the decline in the sandalwood trade on the islands, his administration had fallen on hard times. Faced with severe financial problems, he apparently felt the Dutch were his best chance of salvation. The Dutch, apparently unwilling to jeopardize our relationship, have declared that they will only deal with our national government and declined the offer.;;;;;;;;;;;;;
EVTNEWS211300_title;A Shift of Power in the East Indies?;;;;;;;;;;;;;
EVTNEWS211300_long;Word has reached this newspaper that secret negations have started between the Portuguese and Dutch governments concerning the future of their respective territories in the East-Indies. Officials could not be reached for comment, and exact details are unknown to us at this time. But rest assured, we are on to it!;;;;;;;;;;;;;
EVTNEWS211300_medium;Word has reached this newspaper that secret negations have started between the Portuguese and Dutch governments concerning the future of their respective territories in the East-Indies. Exact details are unknown to us at this time, but rest assured, we are on to it.;;;;;;;;;;;;;
EVTNEWS211300_short;Rumors have reached this newspaper that the Portuguese government is involved in secret negotiations to transfer their East-Indian possessions to the Dutch.;;;;;;;;;;;;;
