first_treaty_of_fort_laramie_initiated;Treaty of Fort Laramie;;;;;;;;;;;;;
EVTDESC16314;In a ruling delivered today, the Supreme Court has decided that the slaves involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, are, in light of the outlawing of the trans-Atlantic slave trade, slaves nor property, but, as the mutiny occurred on a Spanish ships in Spanish waters resulting in the death of Spanish nationals, the Court has no standing to judge this matter and they have to be returned to Spain to stand trial.;;;;;;;;;;;;;
EVTNAME16320;Civil Discourse;;;;;;;;;;;;;
EVTDESC16320;'Mr. Sumner, I have read your speech twice over carefully. It is a libel on South Carolina, and Mr. Butler, who is a relative of mine.'-Representative Preston Brooks\n\nA brutal onslaught took place on the House floor today, as Southern representative Brooks pulled out his cane and proceeded to beat abolitionist Sumner senseless over an inflammatory and offensive speech made earlier. Caught by surprise, Sumner had no defense and no help, as any intercession was blocked by Brook's associates. Not even the breaking of the cane or Sumner's collapse to the ground halted the assault, only the arrival of the Sergeant at Arms did. Sumner lives, but is expected to suffer lasting damage from his ordeal.\nAnd yet, while this may be the most prominent example to date, this is not an isolated incident, as the battle lines over the issue of slavery are increasingly clear in our society.;;;;;;;;;;;;;
EVTNAME16326;Prigg v. Pennsylvania;;;;;;;;;;;;;
EVTDESC16326;A man by the name of Edward Prigg was convicted some time ago under Pennsylvania law on grounds of abduction and assault for trying to return a -virtually free, but never legally emancipated- slave to her legal owners. As such action is legal under the Constitution and federal law, Prigg has brought suit against the state of Pennsylvania on the grounds that Pennsylvania law violates the Constitution and federal law.\n\nThe Supreme Court, having heard the arguments, has ruled that the Pennsylvania law is unconstitutional as a denial of slaveholder right's to recover their property under the Constitution and federal law. However, the ruling included the caveat that, if state law so prohibits, state officials cannot be compelled to enforce these rights. In effect, this ruling relieves state officials from their duty to enforce the return of fugitive slaves and makes it a fully federal matter, only enforceable by federal officials.;;;;;;;;;;;;;
EVTDESC16327;A man by the name of Edward Prigg was convicted some time ago under Pennsylvania law on grounds of abduction and assault for trying to return a -virtually free, but never legally emancipated- slave to her legal owners. As such action is legal under the Constitution and federal law, Prigg has brought suit against the state of Pennsylvania on the grounds that Pennsylvania law violates the Constitution and federal law.\n\nThe Supreme Court, having heard the arguments, has ruled that the Pennsylvania law is unconstitutional as a denial of slaveholder right's to recover their property under the Constitution and federal law. Adding that state officials are compelled to uphold the constitutional rights of slaveholders, failure to do so resulting in penalties.;;;;;;;;;;;;;
EVTNAME650020;The Great Intrusion;;;;;;;;;;;;;
EVTDESC650020;Gold! Gold! I have found Gold! A mountain of Gold! To the White Man, gold is the object of ultimate desire. And in their pursuit of it, nothing is sacred to them. Forests, mountains, settlements, treaties, all that stands between the White Man and his gold will be destroyed. Now the news of gold in our territory is spreading into White Man's lands, and this is sure to cause many to come to our lands in search of it.;;;;;;;;;;;;;
EVTNAME650021;Golden Georgia;;;;;;;;;;;;;
EVTDESC650021;A man returned to $PROVINCENAME$ from the North Georgia mountains today, carrying with him a rock with a distinctive hue, a very distinctive hue. It does not take long for it to be confirmed what the man already knew...\n\nIt seem that, this year, it isn't just the trees turning golden in Georgia.;;;;;;;;;;;;;
EVTNAME650022;Golden Georgia!;;;;;;;;;;;;;
EVTDESC650022;A dried up old traveler has returned from the mountains. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!'\n\nHoping to pay his tap with a nugget, the barkeep informs him that what he thought of as gold is in fact worthless pyrite: fool's gold...;;;;;;;;;;;;;
EVTNAME650025;Worcester v. Georgia;;;;;;;;;;;;;
EVTDESC650025;'The relationship between the Indian Nations and the United States is that of nations. ... The Federal Government inherited the sole right to deal with the Indian Nations from Great Britain.'\n\nThe Supreme Court has issued a ruling today, vacating the conviction of Samuel Worcester who was caught on Indian lands without a license. A requirement under Georgian state law, the Supreme Court ruled that the Indian Tribes are sovereign nations and state law is not applicable on their lands.\n\nA major setback for Georgia, which had been pursuing Indian removal in its own right, as well as advocates of states rights, as it reinforces federal supremacy.;;;;;;;;;;;;;
EVTNAME660015;American Encroachment;;;;;;;;;;;;;
EVTDESC660015;The Americans are ever encroaching on our territory, causing a rise in tensions. If we do not agree to some land cessions, we might lose it all!;;;;;;;;;;;;;
EVTNAME660016;The Treaties of $PROVINCENAME$;;;;;;;;;;;;;
EVTDESC660016;As our nation grows and ever expands westwards, tensions between our settlers and the Indians, and amongst the Indians themselves is a growing cause for concern: violence is never far on the frontier.\n\nTo protect our settlers we've been entering into treaties with the $STATENAME$ Indian tribes to open lands for settlement, as well as stabilize inter-tribal relations.;;;;;;;;;;;;;
EVTNAME660025;Disaster!;;;;;;;;;;;;;
EVTDESC660025;All of Illinois is in turmoil as news of the disaster our forces suffered spreads... An advanced detachment harrying the British Band broke and ran when their encampment set upon by, what was perhaps, 1/6th their number of Indians. An utter and complete disgrace, which has thoroughly shaken, perhaps destroyed, the faith our people have in the armed forces...;;;;;;;;;;;;;
EVTDESC660030;When the Americans killed a group sent to negotiate under a flag of truce, Black Hawk decided it was war! From now he engaged on a campaign of raiding American settlements and spreading wanton destruction.;;;;;;;;;;;;;
EVTNAME660031;Refugees!;;;;;;;;;;;;;
EVTDESC660031;'Bloodthirsty Warriors... Sweeping northern Illinois with the bosom of destruction...!'\n\n$PROVINCENAME$ is swamped with refugees from Northern Illinois and Southern Wisconsin, fleeing raiding by the British Band and its leader Black Hawk.\n\n[You lost a province to the Indian Tribes.];;;;;;;;;;;;;
EVTNAME660032;Refugees!;;;;;;;;;;;;;
EVTDESC660032;$PROVINCENAME$ is swamped with refugees from Northern Illinois and Southern Wisconsin, who left their homes after news of that the British Band has arrived in their region spread, yet the army did not show up to protect them.\n\n[You lost a province to the Indian Tribes.];;;;;;;;;;;;;
EVTNAME660033;Raids!;;;;;;;;;;;;;
EVTDESC660033;Various Indian nations would join in Black Hawk's war. If not to support Black Hawk, then certainly to settle some score or another.;;;;;;;;;;;;;
EVTNAME660040;The Bad Axe Massacre;;;;;;;;;;;;;
EVTDESC660040;Trapped on three sides by the army, on the fourth by a gunboat on the river, there was no escape for Black Hawk's British Band. Those managing to escape across the river, were mercilessly hunted down by Sioux allies.\n\nThe British Band has been decimated and is unlikely to bother us again soon.;;;;;;;;;;;;;
EVTNAME660042;The Black Hawk Purchase;;;;;;;;;;;;;
EVTDESC660042;Our victory over Black Hawk, his British Band and his allies, has given us grounds to acquire $PROVINCENAME$ for our own settlement.;;;;;;;;;;;;;
EVTNAME660043;A Humiliating Defeat;;;;;;;;;;;;;
EVTDESC660043;Sunday soldiers they are, these militia men, more interested in earning glory and having a jolly good time than winning battles. Faced with Black Hawk's fearless Band, committed to their cause, they faltered and showed their true colors. Once more they ran.\n\nThe people and state of Illinois have decided that they prefer to leave the North Illinois to Indians...;;;;;;;;;;;;;
EVTNAME660051;A meeting at Fort Lamarie;;;;;;;;;;;;;
EVTDESC660051;The Great Father has called a meeting of all the Plains Nations, no doubt to force the cession of our lands...;;;;;;;;;;;;;
EVTDESC660052;The Great Father has called a meeting of all the Plains Nations, at Fort Lamarie. This is located within Sioux territory: our nemesis!;;;;;;;;;;;;;
EVTNAME660055;The Treaty of Fort Laramie;;;;;;;;;;;;;
EVTDESC660055;The $FROMCOUNTRY_ADJ$ have agreed to our proposals.;;;;;;;;;;;;;
EVTDESC660056;The $FROMCOUNTRY_ADJ$ have rejected our proposals.;;;;;;;;;;;;;
EVTDESC660057;The $FROMCOUNTRY_ADJ$ have sent word that they do not intend to participate to answer our call for a conference, stating that Fort Laramie is within Sioux territory, their enemies.;;;;;;;;;;;;;
EVTNAME680106;The York Factory Express;;;;;;;;;;;;;
EVTDESC680106;New settlers have arrived in the Oregon Territory. Traveling west via the York Factory Express, these are British settlers.;;;;;;;;;;;;;
EVTNAME680103;New Lands!;;;;;;;;;;;;;
EVTDESC680103;The rapid inflow of migrants means most easily accessible lands have been settled. New arrivals, looking for better territories, have decided to settle new lands!;;;;;;;;;;;;;
EVTNAME675010;Canadian Settlement Act;;;;;;;;;;;;;
EVTDESC675010;The growing population of Canada is pushing people west, into the wood and onto the prairie.;;;;;;;;;;;;;
EVTNAME675031;Gold!;;;;;;;;;;;;;
EVTDESC675031;'Gold! Gold! Gold from the $COUNTRY_ADJ$ River!'\n\nA man, as if possessed, runs through the streets of $PROVINCENAME$, raising a vial of gold in one hand, flapping his hat in the other, frantically proclaim the discovery of gold in the mountains of California.\n\nEarlier this day, that very same man opened the only store in prospecting equipment in the region...;;;;;;;;;;;;;
EVTNAME675032;Gold!;;;;;;;;;;;;;
EVTDESC675032;A dried up old traveler has returned from the wilderness. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!'\n\nHoping to pay his tap with a nugget, the barkeep informs him that what he thought of as gold is in fact worthless pyrite: fool's gold...;;;;;;;;;;;;;
EVTNAME675035;The Forty-Niners;;;;;;;;;;;;;
EVTDESC675035;'It was a driving, vigorous, restless population... It was a curious population. It was the only population of the kind the world has ever seen gathered together, and it is not likely the world will ever see its like again. For, observe, it was an assemblage of two hundred thousand young men -not simpering, dainty, kid-gloved weaklings, but stalwart, muscular, dauntless young braves, brimful of push and energy, royally endowed with every attribute that goes to make up a peerless and magnificent manhood- the very pick and choice of the world's glorious ones... The strangest population, the finest population, the most gallant host that ever trooped down the startled solitudes of an unpopulated land.' -Mark Twain\n\nThey come from all walks of life, these 49ers, setting out for a new new life, hoping to strike it rich in the mountains of California.;;;;;;;;;;;;;
EVTNAME675036;The Forty-Niners;;;;;;;;;;;;;
EVTDESC675036;As news of the gold finds of California spreads around the world, men of all walks of life are descending on the state, hoping to find instant wealth in the mountains.\n\nThe people of Oregon, being closest to the action, are among the first to participate in this mass movement of people, and in doing so are opening up new territories for settlement.;;;;;;;;;;;;;
EVTNAME675041;Gold!;;;;;;;;;;;;;
EVTDESC675041;A dried up old traveler has returned from the wilderness. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!';;;;;;;;;;;;;
EVTNAME675042;Gold!;;;;;;;;;;;;;
EVTDESC675042;A dried up old traveler has returned from the wilderness. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!'\n\nHoping to pay his tap with a nugget, the barkeep informs him that what he thought of as gold is in fact worthless pyrite: fool's gold...;;;;;;;;;;;;;
EVTNEWS16310_long;In a landmark ruling delivered today, the U.S. Supreme Court has decided that the slaves involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, were merely, in light of the outlawing of the trans-Atlantic slave trade, acting in defense of their personal liberty. They are therefore, to the joy of the abolitionists, to be set free.;;;;;;;;;;;;;
EVTNEWS16310_medium;The U.S. Supreme Court issued a ruling today that the slaves involved in the violent rebellion aboard the Amistad were merely, in light of the outlaw of the trans-Atlantic slave trade, acting in defense of their personal liberty, and are therefore to be set free.;;;;;;;;;;;;;
EVTNEWS16310_short;The U.S. Supreme Court issued a ruling today that the slaves rebelling aboard the Amistad were merely acting in defense of their personal liberty, and are therefore to be set free.;;;;;;;;;;;;;
EVTNEWS16314_long;In a ruling sure to please few, the U.S. Supreme Court has decided that those involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, are, in light of the outlawing of the trans-Atlantic slave trade, not legally slaves, but U.S. law requires their extradition to Spain to stand trial for their involvement in the mutiny and death of the crew.;;;;;;;;;;;;;
EVTNEWS16314_medium;The U.S. Supreme Court issued a ruling today that those involved in the violent rebellion aboard the Amistad are property nor slaves, but are, in accordance with U.S. law, to be extradited to the Spanish to stand trial for their involvement in the death of the crew.;;;;;;;;;;;;;
EVTNEWS16314_short;The U.S. Supreme Court has ruled that those involved in the rebellion aboard the Amistad are not slaves, but still have to be extradited to Spain to stand trial for the death of the crew.;;;;;;;;;;;;;
EVTNEWS16320_long;A brutal beating took place on the floor of the U.S. House of Representatives when the Southern assaulted the abolitionist Sumner with his cane, till the cane broke and his victim collapsed. Sumner, who is badly injured and expected to suffer lasting damage from his ordeal, had earlier made an inflammatory speech condemning slavery and the Kansas-Nebraska Act, and was particularly offensive to one of its authors: Senator Butler, uncle to Brooks.;;;;;;;;;;;;;
EVTNEWS16320_medium;The heated atmosphere surrounding the issue of slavery has let one Southern representative to assault and beat senseless an abolitionist representative after he made inflammatory and derogatory remarks concerning slaveholders and the South.;;;;;;;;;;;;;
EVTNEWS16320_short;A brutal beating took place on the floor of the U.S. House of Representatives, as a Southern representative assaulted an abolitionist after he made inflammatory and offensive remarks.;;;;;;;;;;;;;
EVTNEWS675036_TITLE;Californian Gold;;;;;;;;;;;;;
indian_removal_act_NEWS_LONG;An act passed by the U.S. Congress has authorized the President to enter into negotiations with Indian tribes with the aim of securing their removal from their traditional homelands to new lands west of the Mississippi. An act of mercy, the U.S. President argues, as their homelands are encroached upon by settlers. Under this march of progress, the Indians are sure to disappear anyway. West of the Mississippi, away from civilization, they can at least preserve their way of life and maintain self-determination.;;;;;;;;;;;;;
indian_removal_act_NEWS_MEDIUM;Under a newly passed Act of Congress, the U.S. President has been authorized to negotiate with Indian tribes for their removal to federal territory west of the Mississippi. An act of mercy, the U.S. President argues, as under the march of progress they would face extinction.;;;;;;;;;;;;;
indian_removal_act_NEWS_SHORT;Today the U.S. Congress passed an act authorizing the President to negotiate with Indian tribes for their removal to federal territories west of the Mississippi.;;;;;;;;;;;;;
