YEM_reactionary;Zaidiyyah Council;;;;;;;;;;;;;
OMA_conservative;Al-Said;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
DAI_conservative;Nhà Nguyen;;;;;;;;;;;;;
DAI_liberal;Nhà Nguyen;;;;;;;;;;;;;
ATJ_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
BAL_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
BRU_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
JAV_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
JOH_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
AZH;Anazzah;;;;;;;;;;;;;
AZH_ADJ;Ruwallah;;;;;;;;;;;;;
ZFN_ADJ;Za'faranlu;;;;;;;;;;;;;
ZFN;Za'faranlu;;;;;;;;;;;;;
LAS;Las Bela;;;;;;;;;;;;;
LAS_ADJ;Balochi;;;;;;;;;;;;;
KUN;Kunduz;;;;;;;;;;;;;
KUN_ADJ;Kunduz;;;;;;;;;;;;;
RIA;Riau-Lingga;;;;;;;;;;;;;
RIA_ADJ;Riau;;;;;;;;;;;;;
MTN;Matan;;;;;;;;;;;;;
MTN_ADJ;Matan;;;;;;;;;;;;;
SBS;Sambas;;;;;;;;;;;;;
SBS_ADJ;Sambas;;;;;;;;;;;;;
PTK;Pontianak;;;;;;;;;;;;;
PTK_ADJ;Pontianak;;;;;;;;;;;;;
BGN_ADJ;Bulungan;;;;;;;;;;;;;
BGN;Bulungan;;;;;;;;;;;;;
STG_ADJ;Sintang;;;;;;;;;;;;;
STG;Sintang;;;;;;;;;;;;;
SHA_absolute_monarchy;Chiang Mai;;;;;;;;;;;;;
YEM_dominion;The Aden Protectorate;;;;;;;;;;;;;
MRU_dominion;The Maritime Dominion;;;;;;;;;;;;;
BOS_dominion;Bosnien-Herzegowina;;;;;;;;;;;;;
MLI_dominion;French Soudan;;;;;;;;;;;;;
OMA_absolute_monarchy;Muscat-Oman;;;;;;;;;;;;;
OMA_absolute_empire;The Omani Empire;;;;;;;;;;;;;
OMA_prussian_constitutionalism;Muscat-Oman;;;;;;;;;;;;;
OMA_hms_government;Muscat-Oman;;;;;;;;;;;;;
SAR_absolute_monarchy;Sardinia-Piedmont;;;;;;;;;;;;;
SAR_prussian_constitutionalism;Sardinia-Piedmont;;;;;;;;;;;;;
SAR_hms_government;Sardinia-Piedmont;;;;;;;;;;;;;
BUN_dominion;The Central India Agency;;;;;;;;;;;;;
BLC_dominion;The Baluchistan Agency;;;;;;;;;;;;;
MEW_dominion;The Rajputana Agency;;;;;;;;;;;;;
MIG_ADJ;Mingrelian;;;;;;;;;;;;;
MIG;Mingrelia;;;;;;;;;;;;;
SVA_ADJ;Svan;;;;;;;;;;;;;
SVA;Svaneti;;;;;;;;;;;;;
SLS_dominion;Schlesien;;;;;;;;;;;;;
POL_dominion;Generalgouvernement;;;;;;;;;;;;;
BOH_dominion;Böhmen-Mähren;;;;;;;;;;;;;
SCH_dominion;Slesvig;;;;;;;;;;;;;
HOL_dominion;Holsten;;;;;;;;;;;;;
SWH_dominion;Slesvig-Holsten;;;;;;;;;;;;;
AUS_conservative;Metternich-Fraktion;Faction de Metternich;Metternich-Fraktion;;Facción de Metternich;;;;;;;;;
AUS_conservative_2;Kolovrat-Fraktion;Faction de Kolovrat;Kolovrat-Fraktion;;Facción de Kolovrat;;;;;;;;;
AUS_reactionary;Neo-Absolutisten;Nè-absolutistes;Neo-Absolutisten;;Neoabsolutistas;;;;;;;;;
AUS_socialist;Radikale;RadicauxRadikale;;Radicales;;;;;;;;;;
AUS_liberal;Verfassungspartei;Facialistes;Föderalisten;;Federalistas;;;;;;;;;
AUS_conservative_3;Bach Fraktion;Faction de Bach;Bach's Faction;;Facción de Bach;;;;;;;;;
AUS_conservative_4;Der Eiserne Ring;Iron Ring;The Iron Ring;;El Anillo de Hierro;;;;;;;;;
AUS_socialist_2;Sozialdemokratische Partei Österreichs;Socialistes;Socialists;;Socialistas;;;;;;;;;
AUS_reactionary_2;Deutsch-Radikale;Radicaux allemands;German Radicals;;Radicales alemanes;;;;;;;;;
AUS_conservative_5;Christlichsoziale Partei;Conservateurs;Conservatives;;Conservadores;;;;;;;;;
AUS_liberal_2;Föderalistische Großgrundbesitzer;Grands propriétaires fédéralistes;Federalist Great Proprietors;;Grandes Proprietarios Federalistas;;;;;;;;;
MLW_dominion;Nyasaland;;;;;;;;;;;;;
NAL_dominion;Natal;;;;;;;;;;;;;
ZAM_dominion;Northern Rhodesia;;;;;;;;;;;;;
ITA_theocracy;The Papal Kingdom;;;;;;;;;;;;;
ITA_theocracy_ADJ;Papal;;;;;;;;;;;;;
ITA_radical_republic;Italian United Provinces;;;;;;;;;;;;;
SGP_liberal;Labour Front;;;;;;;;;;;;;
SGP_conservative;People's Action Party;;;;;;;;;;;;;
SGP_socialist;Barisan Sosialis;;;;;;;;;;;;;
SGP_reactionary;Progressive Party;;;;;;;;;;;;;
SGP_radical;National Union for Democracy and Progress;;;;;;;;;;;;;
SGP_communist;Singapore Communist Party;;;;;;;;;;;;;
SGP_fascist;Singapore Fascist Party;;;;;;;;;;;;;
MLY_dominon;The Malayan Union;;;;;;;;;;;;;
MUG_dominon;The Dominion of India;;;;;;;;;;;;;
NEW_dominion;The Dominion of Newfoundland;;;;;;;;;;;;;
AST_dominion;The Dominion of Australia;;;;;;;;;;;;;
AST_absolute_monarchy;The Dominion of Australia;;;;;;;;;;;;;
AST_prussian_constitutionalism;The Dominion of Australia;;;;;;;;;;;;;
AST_hms_government;The Dominion of Australia;;;;;;;;;;;;;
NZL_dominion;The Dominion of New Zealand;;;;;;;;;;;;;
NZL_absolute_monarchy;The Dominion of New Zealand;;;;;;;;;;;;;
NZL_prussian_constitutionalism;The Dominion of New Zealand;;;;;;;;;;;;;
NZL_hms_government;The Dominion of New Zealand;;;;;;;;;;;;;
CAN_dominion;The Dominion of Canada;;;;;;;;;;;;;
CAN_absolute_monarchy;The Dominion of Canada;;;;;;;;;;;;;
CAN_prussian_constitutionalism;The Dominion of Canada;;;;;;;;;;;;;
CAN_hms_government;The Dominion of Canada;;;;;;;;;;;;;
VTU_dominion;New Hebrides;;;;;;;;;;;;;
MAU_liberal;Mauritius People's Progressive Front ;;;;;;;;;;;;;
MAU_conservative;Mauritius Democratic Party;;;;;;;;;;;;;
MAU_socialist;Mauritius People's United Party;;;;;;;;;;;;;
MAU_reactionary;Taxpayers Association;;;;;;;;;;;;;
MAU_radical;National Union for Democracy and Progress;;;;;;;;;;;;;
MAU_communist;Communist Party of Mauritius;;;;;;;;;;;;;
MAU_fascist;Mauritius Patriotic Front;;;;;;;;;;;;;
SEY_liberal;Seychelles People's Progressive Front ;;;;;;;;;;;;;
SEY_conservative;Seychelles Democratic Party;;;;;;;;;;;;;
SEY_socialist;Seychelles People's United Party;;;;;;;;;;;;;
SEY_reactionary;Taxpayers Association;;;;;;;;;;;;;
SEY_radical;National Union for Democracy and Progress;;;;;;;;;;;;;
SEY_communist;Communist Party of Seychelles;;;;;;;;;;;;;
SEY_fascist;Seychelles Patriotic Front;;;;;;;;;;;;;
BEL_dominion;Flandern-Wallonien;;;;;;;;;;;;;
ION;The Ionian Islands;;;;;;;;;;;;;
ION_democracy;The Septinsular Republic;;;;;;;;;;;;;
HGL_ADJ;German;;;;;;;;;;;;;
HGL;Heligoland;;;;;;;;;;;;;
MSK_absolute_monarchy;The Mosquito Kingdom;;;;;;;;;;;;;
MSK_prussian_constitutionalism;The Mosquito Kingdom;;;;;;;;;;;;;
MSK_hms_government;The Mosquito Kingdom;;;;;;;;;;;;;
MSK_dominion;Reserva Mosquitia;;;;;;;;;;;;;
BLZ_dominion;British Honduras;;;;;;;;;;;;;
MGL_theocracy;Bogd Khanate;;;;;;;;;;;;;
MGL_proletarian_dictatorship;Mongolian People's Republic;;;;;;;;;;;;;
ALS_dominion;Elsass-Lothringen;;;;;;;;;;;;;
MCK_absolute_empire;The Empire of Manchuria;;;;;;;;;;;;;
MCK_semi_constitutional_empire;The Empire of Manchuria;;;;;;;;;;;;;
MCK_constitutional_empire;The Empire of Manchuria;;;;;;;;;;;;;
MCK_liberal_2;Dongsansheng Zongdu;;;;;;;;;;;;;
MCK_conservative_2;Dongsansheng Zongdu;;;;;;;;;;;;;
MCK_reactionary_2;Dongsansheng Zongdu;;;;;;;;;;;;;
LOM_dominion;Lombardo-Venetien;;;;;;;;;;;;;
HQJ_ADJ;Black Flag;;;;;;;;;;;;;
HQJ;Hei Qi Jun;;;;;;;;;;;;;
HQJ_conservative;Liu Yongfu;;;;;;;;;;;;;
BUR_conservative;Konbaung Dynasty;;;;;;;;;;;;;
SIA_reactionary;Kong Thap Bok Thai;;;;;;;;;;;;;
SIA_fascist;Khana Ratsadon;;;;;;;;;;;;;
SIA_communist;Communist Party of Thailand;;;;;;;;;;;;;
SIA_conservative;Ratchawong Chakkri;;;;;;;;;;;;;
SIA_liberal;Ratchawong Chakkri;;;;;;;;;;;;;
SPA_democracy;The Spanish Republic;;;;;;;;;;;;;
SPA_proletarian_dictatorship;The Spanish Republic;;;;;;;;;;;;;
SPA_presidential_dictatorship;The Spanish State;;;;;;;;;;;;;
SPA_fascist_dictatorship;The Spanish State;;;;;;;;;;;;;
BOR;France;;;;;;;;;;;;;
BOR_absolute_monarchy;The Kingdom of France;;;;;;;;;;;;;
BOR_prussian_constitutionalism;The Kingdom of France;;;;;;;;;;;;;
BOR_hms_government;The Kingdom of France;;;;;;;;;;;;;
BOR_ADJ;French;French;French;;French;;;;;;;;;
EGY_absolute_monarchy;The Sultanate of Egypt;;;;;;;;;;;;;
EGY_prussian_constitutionalism;The Egyptian Kingdom;;;;;;;;;;;;;
EGY_hms_government;The Egyptian Kingdom;;;;;;;;;;;;;
SYR_dominion;Grand Liban;;;;;;;;;;;;;
HDJ_dominion;The Sharifate of Mecca;;;;;;;;;;;;;
HDJ_colonial_company_2;The Sharifate of Mecca;;;;;;;;;;;;;
HDJ_absolute_monarchy;Hashemite Kingdom of Hejaz;;;;;;;;;;;;;
HDJ_prussian_constitutionalism;Hashemite Kingdom of Hejaz;;;;;;;;;;;;;
HDJ_hms_government;Hashemite Kingdom of Hejaz;;;;;;;;;;;;;
CAL;The California Republic;;;;;;;;;;;;;
BAN_dominion;Freistaat Banat;;;;;;;;;;;;;
SIE_dominion;Siebenburgen;;;;;;;;;;;;;
SIE_dominion_ADJ;Siebenbürger;;;;;;;;;;;;;
SIE_reactionary;Sachsen Landtag;;;;;;;;;;;;;
SIE_conservative;Unio Trium Nationum;;;;;;;;;;;;;
ETH_absolute_empire;Abyssinia;;;;;;;;;;;;;
ETH_semi_constitutional_empire;Abyssinia;;;;;;;;;;;;;
ETH_constitutional_empire;Abyssinia;;;;;;;;;;;;;
IVC_dominion;Cote d'Ivoire;;;;;;;;;;;;;
VLK_dominion;Zuidafrika;;;;;;;;;;;;;
KOR_dominion;Chosen;;;;;;;;;;;;;
TAI_dominion;Takasago;;;;;;;;;;;;;
SAF_hms_government;The Union of South Africa;;;;;;;;;;;;;
SAF_dominon;The Union of South Africa;;;;;;;;;;;;;
KNY_dominion;The Dominion of East Africa;;;;;;;;;;;;;
NGR_dominion;West Africa;;;;;;;;;;;;;
IRE_fascist_dictatorship;Eire;;;;;;;;;;;;;
IRE_dominion;The Irish Free State;;;;;;;;;;;;;
UBD_dominion;Liflyandskaya Guberniya;;;;;;;;;;;;;
UBD_dominion_ADJ;Livonian;;;;;;;;;;;;;
LIT_dominion;Kurlyandskaya Guberniya;;;;;;;;;;;;;
LIT_dominion_ADJ;Curonian;;;;;;;;;;;;;
EST_dominion;Estlyandskaya Guberniya;;;;;;;;;;;;;
HND_dominon;The Dominion of India;;;;;;;;;;;;;
LSK_dominion;Alyaska;;;;;;;;;;;;;
ALD_dominion;Algeria;;;;;;;;;;;;;
COL_hms_government;The Dominion of Columbia;;;;;;;;;;;;;
NMB_dominon;Sudwestafrika;;;;;;;;;;;;;
TNZ_dominion;Ostafrika;;;;;;;;;;;;;
AUS_absolute_empire;The Austrian Empire;;;;;;;;;;;;;
AUS_semi_constitutional_empire;The Austrian Empire;;;;;;;;;;;;;
AUS_constitutional_empire;The Austrian Empire;;;;;;;;;;;;;
MRU_conservative;The Maritimes Conservatives;;;;;;;;;;;;;
MRU_socialist;Socialist Party of the Maritimes;;;;;;;;;;;;;
MRU_reactionary;Maritimes Tories;;;;;;;;;;;;;
NET;The Netherlands;Pays-Bas;Niederlande;;Holanda;;;;;;;;;
SMR_fascist;Partito Fascista Sammarinese;;;;;;;;;;;;;
MON_theocracy;The Prince-Bishopric of Montenegro;;;;;;;;;;;;;
VLG_fascist;Volga Fascist Union;;;;;;;;;;;;;
VLG_communist;Volga German Workers' Party;;;;;;;;;;;;;
VLG_socialist;Union of Volga Workers and Socialists;;;;;;;;;;;;;
VLG_socialist_2;Volga Labor Party;;;;;;;;;;;;;
VLG_radicals;Radical Party;;;;;;;;;;;;;
VLG_liberal_2;The All-German Landtag;;;;;;;;;;;;;
VLG_reactionary;Royalist Faction;;;;;;;;;;;;;
RUS_hms_government;The Russian Empire;;;;;;;;;;;;;
RUS_absolute_empire;The Russian Empire;;;;;;;;;;;;;
RUS_semi_constitutional_empire;The Russian Empire;;;;;;;;;;;;;
RUS_constitutional_empire;The Russian Empire;;;;;;;;;;;;;
RUS_democracy;The Russian Federative Republic;;;;;;;;;;;;;
ITA_prussian_constitutionalism;The Kingdom of Italy;;;;;;;;;;;;;
ITA_hms_government;The Kingdom of Italy;;;;;;;;;;;;;
LOM_prov_gov_liberal;Milan;;;;;;;;;;;;;
LOM_prov_gov_liberal_ADJ;Milanese;Milanese;Milanese;;;;;;;;;;;
FRA_presidential_dictatorship;The French Republic;;;;;;;;;;;;;
FRA_parliamentary_republic;The French Republic;;;;;;;;;;;;;
FRA_fascist_dictatorship;The French State;;;;;;;;;;;;;
FRA_absolute_empire;The French Empire;;;;;;;;;;;;;
FRA_semi_constitutional_empire;The French Empire;;;;;;;;;;;;;
FRA_constitutional_empire;The French Empire;;;;;;;;;;;;;
FRA_absolute_monarchy;The Kingdom of France;;;;;;;;;;;;;
FRA_prussian_constitutionalism;The Kingdom of France;;;;;;;;;;;;;
FRA_hms_government;The Kingdom of France;;;;;;;;;;;;;
GER_absolute_empire;The German Empire;;;;;;;;;;;;;
GER_semi_constitutional_empire;The German Empire;;;;;;;;;;;;;
GER_constitutional_empire;The German Empire;;;;;;;;;;;;;
GER_hms_government;The German Empire;;;;;;;;;;;;;
NCT_prov_gov_conservative;The Sonderbund;;;;;;;;;;;;;
NCT_prov_gov_conservative_ADJ;Sonderbund;;;;;;;;;;;;;
NIA;Henan;;;;;;;;;;;;;
NIA_ADJ;Henanese;;;;;;;;;;;;;
NIA_presidential_dictatorship;Guominjun;;;;;;;;;;;;;
NIA_presidential_dictatorship_ADJ;Guominjun;;;;;;;;;;;;;
NIA_absolute_monarchy;Nianjun;;;;;;;;;;;;;
NIA_absolute_monarchy_ADJ;Nian;;;;;;;;;;;;;
NIA_prussian_constitutionalism;Nianjun;;;;;;;;;;;;;
NIA_prussian_constitutionalism_ADJ;Nian;;;;;;;;;;;;;
NIA_hms_government;Nianjun;;;;;;;;;;;;;
NIA_hms_government_ADJ;Nian;;;;;;;;;;;;;
NIA_conservative;Zhang Lexing Faction;;;;;;;;;;;;;
IMG_liberal_2;Amban's Faction;Parti libéral;Liberale Partei;;;;;;;;;;;
IMG_conservative_2;Amban's Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
IMG_reactionary_2;Amban's Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
MGL_liberal;Amban's Faction;Parti libéral;Liberale Partei;;;;;;;;;;;
MGL_conservative;Amban's Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
MGL_reactionary;Amban's Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
MIT;Mittelafrika;;;;;;;;;;;;;
MIT_ADJ;German;;;;;;;;;;;;;
MIT_dominion;Freistaat Mittelafrika;;;;;;;;;;;;;
MIT_republic;The Central African Federation;;;;;;;;;;;;;
MIT_absolute_monarchy;Freistaat Mittelafrika;;;;;;;;;;;;;
MIT_prussian_constitutionalism;Freistaat Mittelafrika;;;;;;;;;;;;;
MIT_hms_government;Freistaat Mittelafrika;;;;;;;;;;;;;
GIZ;Guizhou;;;;;;;;;;;;;
GIZ_ADJ;Guizhou;;;;;;;;;;;;;
GIZ_proletarian_dictatorship;Guizhou Soviet;;;;;;;;;;;;;
GIZ_republic;Guizhou Republic;;;;;;;;;;;;;
GIZ_presidential_dictatorship;Guizhou Clique;;;;;;;;;;;;;
KEB;Kebbi;;;;;;;;;;;;;
KEB_ADJ;Kebbi;;;;;;;;;;;;;
MNC_conservative_92;House of Grimaldi;Conservatives;Conservatives;;;;;;;;;;;
MNC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;
MNC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;
MNC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;
MNC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;
MNC_reactionary_84;House of Grimaldi;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;
MNC_radical_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;
MNC_communist_86;Communists;Communists;Communists;;;;;;;;;;;
MNC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;
SCL;Schaumburg-Lippe;;;;;;;;;;;;;
SCL_ADJ;Schaumburgen;;;;;;;;;;;;;
REU;Reuss;;;;;;;;;;;;;
REU_ADJ;Reussian;;;;;;;;;;;;;
SWG;Schwarzburg;;;;;;;;;;;;;
SWG_ADJ;Schwarzburgen;;;;;;;;;;;;;
WLD;Waldeck-Pyrmont;;;;;;;;;;;;;
WLD_ADJ;Waldeck;;;;;;;;;;;;;
RUM;Eastern Rumelia;;;;;;;;;;;;;
RUM_ADJ;Eastern Rumelian;;;;;;;;;;;;;
GCF_absolute_monarchy;The German Confederation;;;;;;;;;;;;;
GCF_prussian_constitutionalism;The German Confederation;;;;;;;;;;;;;
GCF_hms_government;The German Confederation;;;;;;;;;;;;;
GCF_absolute_empire;The Holy Roman Empire;;;;;;;;;;;;;
GCF_semi_constitutional_empire;The Empire of Germany;;;;;;;;;;;;;
GCF_constitutional_empire;The Empire of Germany;;;;;;;;;;;;;
GCF_democracy;Germany;;;;;;;;;;;;;
