#;;;;;;;;;;;;;;x,,,
switch_to_unity_equality_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;x,,
switch_to_unity_order_title;Embrace the Ideal of Unity;;;;;;;;;;;;;x,,,
switch_to_unity_order_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;x,,
switch_to_prosperity_equality_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;x,,,
switch_to_prosperity_equality_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;x,,,
switch_to_prosperity_liberty_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;x,,,
switch_to_prosperity_liberty_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;x,,,
switch_to_glory_liberty_title;Embrace the Ideal of Glory;;;;;;;;;;;;;x,,,
switch_to_glory_liberty_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;x,
switch_to_glory_might_title;Embrace the Ideal of Glory;;;;;;;;;;;;;x,,,
switch_to_glory_might_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;x,
switch_to_dominion_might_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;x,,,
switch_to_dominion_might_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;x,
switch_to_dominion_order_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;x,,,
switch_to_dominion_order_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;x,
switch_to_fraternity_title;Embrace the ideal of Fraternity;;;;;;;;;;;;x,,,
switch_to_fraternity_desc;In our country, all men are created equal. It is time we fully embrace that maxim and throw off the shackles of iniquity.;;;;;;;;;;;;x,,
switch_to_freedom_title;Embrace the Ideal of Freedom;;;;;;;;;;;;;x,,,
switch_to_freedom_desc;Ours is a nation where all men are free to do as they wish, to advance their lot in life and achieve the greatness they were born to. This is our highest virtue, and the source of our nation's strength.;;;;;;;;;;;;;x,
switch_to_supremacy_title;Embrace the ideal of Supremacy;;;;;;;;;;;;x,,,
switch_to_supremacy_desc;Our culture is astounding. Our military might is unparalleled. Our industry is dazzling. Soon the rest of the world will know of our might, and shake as we step onto the wider stage.;;;;;;;;;;;;x,,
switch_to_productivity_title;Embrace the Ideal of Productivity;;;;;;;;;;;;x,,,
switch_to_productivity_desc;Ours is a wealthy nation filled with industrious, driven people. Each man pushes himself to do better, for the betterment of all.;;;;;;;;;;;;x,
switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;x,,,
switch_to_order_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of law and order above all else.;;;;;;;;;;;;x,,
switch_to_might_title;Embrace the Ideal of Might;;;;;;;;;;;;x,,,
switch_to_might_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of force and military power above all else.;;;;;;;;;;;;x,,
switch_to_liberty_title;Embrace the Ideal of Liberty;;;;;;;;;;;;x,,,
switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of liberty and personal freedom above all else.;;;;;;;;;;;;x,,
switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;x,,,
switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.;;;;;;;;;;;;x,,
heavy_industry_focus;Heavy Industry;;;;;;;;;;;;;x,,,
consumer_goods_focus;Consumer Goods;;;;;;;;;;;;;x,,,
military_goods_focus;Military Industry;;;;;;;;;;;;;x,,,
immigration_colonization_focus;Immigration & Colonization;;;;;;;;;;;;;x,,,
mechanical_industry_focus;Encourage Mechanical Industry;;;;;;;;;;;;;x,,,
oil_focus;Encourage Oil Industry;;;;;;;;;;;;;x,,,
electricity_focus;Encourage Electrical Power;;;;;;;;;;;;;x,,,
furniture_focus;Encourage Furniture Industry;;;;;;;;;;;;;x,,,
food_focus;Encourage Food Industry;;;;;;;;;;;;;x,,,
bottling_focus;Encourage Bottling Industry;;;;;;;;;;;;;x,,,
leather_focus;Encourage Leather Industry;;;;;;;;;;;;;x,,,
tobacco_focus;Encourage Tobacco Industry;;;;;;;;;;;;;x,,,
pharmaceuticals_focus;Encourage Pharmaceutical Industry;;;;;;;;;;;;;x,,,
munitions_focus;Encourage Munitions Industry;;;;;;;;;;;;;x,,,
cavalry_focus;Encourage Cavalry;;;;;;;;;;;;;x,,,
TRIGMOD_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi1zany z okre?lonym wydarzeniem wp3ywa na twoje panstwo (np. c3o narzucone przez panstwo trzecie);$head_of_government$ informa de;Quando subisci l'influenza di un modificatore condizionato (ad es. il Pedaggio sullo Stretto);Mikor valami esemény módosulása van rád hatással (korábbi hang-vám);Kdy? jste subjektem trojnásobného modifikátoru;;;;;;x,,
TRIGMODLOST_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi1zany z okre?lonym wydarzeniem przestaje oddzia3ywaa na twoje panstwo (np. c3o narzucone przez panstwo trzecie);$head_of_government$ informa de;Quando l'effetto di un modificatore condizionato (ad es. il Pedaggio sullo Stretto) cessa;Mikor egy módosítást okozó esemény befejezodik (korábbi hang-vám);Kdy? jste subjektem trojnásobného modifikátoru.;;;;;;x,,
TRIGGER_CIV_PROGRESS_LESS;Civilization progress: §Y50§W%;;;;;;;;;;;;x,,,
had_liberal_revolution;Liberal Revolution has ended;;;;;;;;;;;;x,,,
proletarian_dictatorship;Proletarian Dictatorship;Dictature prolétaire;Proletarische Diktatur;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
has_siege;Under Siege;;;;;;;;;;;;x,,,
separatist_rebels_title;Patriot;;;;;;;;;;;;x,,,
separatist_rebels_name;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;x,,
separatist_rebels_army;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
patriot_uprising;Patriot Uprising;;;;;;;;;;;;x,,,
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_title;Turkish Nationalist;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_name;Turkish Nationalists;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_desc;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;x,,
turkish_nationalist_rebels_army;Turkish Nationalists;;;;;;;;;;;;x,,,
socialist_rebels_title;Militant Socialist;;;;;;;;;;;;x,,,
socialist_rebels_name;Militant Socialists;;;;;;;;;;;;x,,,
socialist_rebels_desc;In a democracy, militant conservatives will seek to enforce a socialist government. In any other country, they will seek to establish a democracy with a socialist government.;;;;;;;;;;;;x,
socialist_rebels_army;Militant Socialists;;;;;;;;;;;;x,,,
indian_nationalists_title;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;x,,
indian_nationalists_army;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
christino_rebels_title;Christino;;;;;;;;;;;;x,,,
christino_rebels_name;Christinos;;;;;;;;;;;;x,,,
christino_rebels_desc;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;x,
christino_rebels_army;Christinos;;;;;;;;;;;;x,,,
independence_rebels_title;Independence;;;;;;;;;;;;x,,,
independence_rebels_name;Independence Rebels;;;;;;;;;;;;x,,,
independence_rebels_desc;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;x,,,
independence_rebels_army;Independence Rebels;;;;;;;;;;;;x,,,
native_rebels_title;Anti-Colonial;;;;;;;;;;;;x,,,
native_rebels_name;Anti-Colonial Rebels;;;;;;;;;;;;x,,,
native_rebels_desc;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;x,,,
native_rebels_army;Anti-Colonial Rebels;;;;;;;;;;;;x,,,
liberal_rebels_desc;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;;;;;;;;;;;;;x,
NOT_STRONGER_ARMY_THAN;Does not have a stronger military than ;;;;;;;;;;;;x,,,
STRONGER_ARMY_THAN;Has a stronger military than ;;;;;;;;;;;;x,,,
russian_tech_school;Russian Imperial Academy;;;;;;;;;;;;x,,,
japanese_tech_school;Fukoku Kyohei;;;;;;;;;;;;x,,,
unciv_tech_school;Ucivilized Advancement;;;;;;;;;;;;x,,,
regular;Regular;;;;;;;;;;;;x,,,
regular_short;Reg;;;;;;;;;;;;x,,,
horse_artillery;Mobile Artillery;;;;;;;;;;;;x,,,
horse_artillery_short;M-art;;;;;;;;;;;;x,,,
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
active_p;Active;Actif;Aktiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
apathetic;Apathetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
able;Able;Capable;Fähig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aggressive;Aggressive;Agressif;Aggressiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
balanced_p;Balanced;Pondéré;Ausgewogen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brutish;Brutish;Brutal;Brutal;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bold;Bold;Téméraire;Mutig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brash;Brash;Impudent;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bastard;Bastard;Goujat;Bastard;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cautious;Cautious;Prudent;Vorsichtig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
chickenhearted;Chickenhearted;Poltron;Ängstlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
craven;Craven;Veule;Mutlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
competent;Competent;Compétent;Kompetent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
clever;Clever;Adroit;Clever;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
careless;Careless;Négligent;Achtlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
calm;Calm;Calme;Ruhig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cool_minded;Coolminded;Serein;Bedachtsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cruel;Cruel;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
choleric;Choleric;Colérique;Cholerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
chivalrous;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
confident;Confident;Confiant;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
defiant;Defiant;Provocateur;Trotzig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disciplined;Disciplined;Discipliné;Diszipliniert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diligent;Diligent;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
daring;Daring;Hardi;Draufgängerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
decisive;Decisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
dumb;Dumb;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
deeply_religious;Deeply Religious;Tres croyant;Tief religiös;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
expert;Expert;Expert;Experte;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
energetic;Energetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
efficient;Efficient;Efficace;Effizient;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
emotional;Emotional;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
fearless;Fearless;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
forgiving;Forgiving;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
fanatic;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gallant;Gallant;Courageux;Galant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
glory_hound;Glory Hound;Ambitieux;Ruhmsüchtig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
genius;Genius;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gutsy;Gutsy;Brave;Waghalsig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
harsh;Harsh;Dur;Harsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
hellbent;Hellbent;Acharné;Draufgänger;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
heroic;Heroic;Héroique;Heroisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irresponsible;Irresponsible;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
imaginative;Imaginative;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indecisive;Indecisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inspiring;Inspiring;Stimulant;Inspirierend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
impetuous;Impetuous;Impétueux;Ungestüm;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
implacable;Implacable;Implacable;Unerbittlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
imperious;Imperious;Autoritaire;Herrisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irate;Irate;Furieux;Aufbrausend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intuitive;Intuitive;Intuitif;Intuitiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
impulsive;Impulsive;Impulsif;Impulsiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
incapable;Incapable;Incapable;Unfähig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indifferent;Indifferent;Indifférent;Gleichgültig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intelligent;Intelligent;Intelligent;Intelligent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inept;Inept;Inepte;Untauglich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inefficient;Inefficient;Inefficace;Ineffizient;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
keen;Keen;Enthousiaste;Gewitzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
lilylivered;Lilylivered;Froussard;Feige;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
lackluster;Lackluster;Terne;Lustlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
merciless;Merciless;Impitoyable;Gnadenlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
meticulous;Meticulous;Méticuleux;Genau;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
manful;Manful;Ardent;Männlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
madman;Madman;Fou;Irrer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
mediocre;Mediocre;Médiocre;Mittelmäßig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
maladroit;Maladroit;Maladroit;Unbeholfen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
openminded;Openminded;Ouvert d'esprit;Offen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
persistant;Persistant;Persévérant;Hartnäckig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pompous;Pompous;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
paranoid;Paranoid;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
polite;Polite;Poli;Höflich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pusillanimous;Pusillanimous;Pusillanime;Verzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pisspoor;Pisspoor;Pitoyable;Arm;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
perverse;Perverse;Enteté;Pervers;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
resourceful;Resourceful;Ingénieux;Findig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
respectful;Respectful;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
romantic;Romantic;Romantique;Romantisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
relentless;Relentless;Implacable;Unbarmherzig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
reserved;Reserved;Réservé;Reserviert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
resolute;Resolute;Résolu;Resolut;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ruthless;Ruthless;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
rebellious;Rebellious;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
skilled;Skilled;Talentueux;Geschickt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
secretive;Secretive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
shrinking_violet;Shrinking Violet;Timoré;Mauerblümchen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sinner;Sinner;;;;;;;;;;;;x,,,
strange;Strange;Étrange;Merkwürdig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
stout;Stout;Solide;Beherzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
soldierly;Soldierly;Militaire;Soldatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
spirited;Spirited;Fougueux;Sprühend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
stalwart;Stalwart;Robuste;Robust;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
soft;Soft;Indolent;Weich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
spineless;Spineless;Mou;Rückgratlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
stouthearted;Stouthearted;Intrépide;Beherzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
steadfast;Steadfast;Inébranlable;Solide;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
scared;Scared;Craintif;Verängstigt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
shirker;Shirker;Tire-au-flanc;Drückeberger;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
smart_p;Smart;Habile;Schlau;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
sharp;Sharp;Malin;Klug;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
timid;Timid;Timide;Furchtsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
tactful;Tactful;Délicat;Taktvoll;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unflinching;Unflinching;Opiniâtre;Entschlossen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unruly;Unruly;Insoumis;Widerborstig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
undisciplined;Undisciplined;Indiscipliné;Undiszipliniert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unforgiving;Unforgiving;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unmanly;Unmanly;Lâche;Unmännlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
unsound;Unsound;Dangereux;Unzuverlässig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
vainglorious;Vainglorious;Vaniteux;Prahlerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
vicious;Vicious;Violent;Bösartig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
wrathful;Wrathful;Courroucé;Zornerfüllt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
wretched;Wretched;Misérable;Jämmerlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
yellow;Yellow;Trouillard;Memme;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
no_background;No Background;Aucun(e);Nichts;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ambitious_careerist;Ambitious Careerist;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
architect;Architect;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
armchair_general;Armchair General;Général de façade;Sesselgeneral;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
artillerist;Artillerist;Artilleur;Artillerist;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
amateur;Amateur;Amateur;Amateur;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aristocrat;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
adventurer;Adventurer;Aventurier;Abenteurer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
butcher;Butcher;Boucher;Schlächter;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
