EVTDESC1000204;We have proven in battle that we are truly worth the title we were fighting for. The Russian Empire will have to agree to our demands and our position in the Eastern Christendom will be restored.;;;;;;;;;;;;x;
EVTNAME1000205;The War is Lost!;;;;;;;;;;;;;x
EVTDESC1000205;We have lost the war and forever lost the right to call ourselves the Protectors of Eastern Christendom. The new title owners have proven themselves to be more suitable for this role and we'll have to set our sights elsewhere.;;;;;;;;;;;;x;
EVTNAME1000300;Proposition for a new capital;;;;;;;;;;;;;x
EVTDESC1000300;With our kingdom united once again suggestions started appearing about changing our capital to better suit the united country. Should we change it to a more suitable place or keep things as they are?;;;;;;;;;;;;x;
byzantine_anatolia_title;Byzantine Anatolia;;;;;;;;;;;;;x
byzantine_anatolia_desc;We should restore the proper names of Anatolian provinces.;;;;;;;;;;;;x;
restore_anatolia_title;Restore Anatolia;;;;;;;;;;;;;x
restore_anatolia_desc;We returned Anatolia under Turkish rule and should return the respective names for its provinces.;;;;;;;;;;;;x;
byzantine_armenia_title;Byzantine Armenia;;;;;;;;;;;;;x
byzantine_armenia_desc;The return of Armenian lands should be accompanied with the restoration of their proper names.;;;;;;;;;;;;x;
restore_armenia_not_TUR_title;Restore Armenia;;;;;;;;;;;;;x
restore_armenia_not_TUR_desc;We should restore the Armenian names to the reclaimed provinces.;;;;;;;;;;;;x;
restore_armenia_TUR_title;Restore Armenia;;;;;;;;;;;;;x
restore_armenia_TUR_desc;We returned our Armenian lands and should restore their proper names.;;;;;;;;;;;;x;
byzantine_levant_title;Byzantine Levant;;;;;;;;;;;;;x
byzantine_levant_desc;Levant is ours and its province names should be restored to respective old names.;;;;;;;;;;;;x;
restore_levant_title;Restore Levant;;;;;;;;;;;;;x
restore_levant_desc;Levant is returned and the names of its provinces should be restored.;;;;;;;;;;;;x;
byzantine_egypt_title;Byzanine Egypt;;;;;;;;;;;;;x
byzantine_egypt_desc;Aegyptus has been returned and should be assigned proper province names of old.;;;;;;;;;;;;x;
byzantine_cyrenaica_title;Byzantine Cyrenaica;;;;;;;;;;;;;x
byzantine_cyrenaica_desc;While we advance West we could restore the original names of the provinces of Cyrenaica.;;;;;;;;;;;;x;
byzantine_tripolitania_title;Byzantine Tripolitania;;;;;;;;;;;;;x
byzantine_tripolitania_desc;The Province of Tripolitania should be assigned its proper name as well as its cities.;;;;;;;;;;;;x;
byzantine_tunis_title;Byzantine Tunisia;;;;;;;;;;;;;x
byzantine_tunis_desc;The lands of Carthage is ours, and as a symbol of our victory we should assign proper Roman names to its cities.;;;;;;;;;;;;x;
accept_armenians_title;Accept the Armenians;;;;;;;;;;;;;x
accept_armenians_desc;Armenians proved themselves to be trustworthy allies against our enemies. It would be only better if we accepted them as equals in our realm.;;;;;;;;;;;;x;
declare_lusotropicalism_title;Declare Lusotropicalism;;;;;;;;;;;;;x
declare_lusotropicalism_desc;Lusotropicalism was first used by a Brazilian sociologist Gilberto Freyre to describe the distinctive character of Portuguese imperialism overseas, proposing that the Portuguese were better colonizers than other European nations. It was believed that because of Portugal's warmer climate, and having been inhabited by Celts, Romans, Visigoths, Moors and several other peoples in pre-modern times, the Portuguese were more humane, friendly, and adaptable to other climates and cultures.;;;;;;;;;;;;x;
integrate_pueblo_title;Integrate Pueblo Indians;;;;;;;;;;;;;x
integrate_pueblo_desc;The time has come to integrate the Pueblos in the north into the fabric of our country.;;;;;;;;;;;;x;
integrate_texans_title;Integrate the Texans;;;;;;;;;;;;;x
integrate_texans_desc;The Texans have a similar culture to us and share history with us and now that the Americans have shown that they can't protect them the Texans will have to call their state Tejas and realize that they are infact Mexicans as well.;;;;;;;;;;;;x;
integrate_afro_caribeno_title;Integrate Afro Caribenos;;;;;;;;;;;;;x
integrate_afro_caribeno_desc;The Caribenos have been an integral part of our country for a long time, but their toiling brothers from Africa have yet to be considered such. We will give them the same rights as the Caribenos, even though large parts of the country do not view them as equals.;;;;;;;;;;;;x;
integrate_cherokee_title;Integrate Cherokee;;;;;;;;;;;;;x
integrate_cherokee_desc;Since our independence, the Cherokee that live within our borders have played an integral role in ensuring our northeastern frontiers remain firmly under our control. Now that we have secured our northern borders and their need as a buffer is gone, we can reward by fully integrating them into the fabric of our country.;;;;;;;;;;;;x;
expel_the_cherokee_title;Expel the Cherokee;;;;;;;;;;;;;x
expel_the_cherokee_desc;During our war of independence, the Cherokee decided to stay neutral. However, there exists the concern they may conspire behind our backs with the local Tejanos to help Mexico place us under their control again. In addition, they occupy land which we could use to invite more settlers from the United States. They've already dealt with their own native populations by confining them in reservations, which happened to be across our northern border. We should do the same with our own, and send them there as well. They will oppose this, naturally, and even fight us. However, we are confident we will have no problem forcing them to move.;;;;;;;;;;;;;x
the_port_of_novorossiysk_title;The Port of Novorossiysk;;;;;;;;;;;;;x
the_port_of_novorossiysk_desc;After our conquest of Sudjuk-Kale, an Ottoman port, we've been thinking of rebuilding it to suit our needs an change the name to something more Russian. We'll have to redirect all our naval building efforts in the region towards it.;;;;;;;;;;;;x;
aim_of_byzantine_conquest;Aim of Byzantine conquest;;;;;;;;;;;;;
aim_of_byzantine_conquest_desc;This province is the current target of the Byzantine expansion;;;;;;;;;;;;;
RGO_education_1;Local Education 10%;;;;;;;;;;;;;
RGO_education_2;Local Education 20%;;;;;;;;;;;;;
RGO_education_3;Local Education 30%;;;;;;;;;;;;;
RGO_education_4;Local Education 40%;;;;;;;;;;;;;
RGO_education_5;Local Education 50%;;;;;;;;;;;;;
RGO_education_6;Local Education 60%;;;;;;;;;;;;;
RGO_education_7;Local Education 70%;;;;;;;;;;;;;
RGO_education_8;Local Education 80%;;;;;;;;;;;;;
RGO_education_9;Local Education 90%;;;;;;;;;;;;;
RGO_education_10;Local Education 100%;;;;;;;;;;;;;
RGO_education_0;Local Education 0%;;;;;;;;;;;;;
settlement_colony;Settlement Colony;;;;;;;;;;;;;
exploitation_colony;Exploitation Colony;;;;;;;;;;;;;
southern_plantations;Southern Plantations;;;;;;;;;;;;;
ziemia_obiecana_title;Ziemia Obiecana;;;;;;;;;;;;x
ziemia_obiecana_desc;"Ziemia Obiecana" ("Promised Land") was popular term for the city of Lodz - center of polish industrial revolution which population grew from 1000 in 1827 to 500 000 in 1914.;;;;;;;;;;;;;x
ziemia_obiecana;Ziemia Obiecana;;;;;;;;;;;;;
constitution_suspended_title;The Ordinances of Saint-Cloud;;;;;;;;;;;;;
constitution_suspended_desc;The Ordinances of Saint-Cloud suspended the liberty of the press, dissolved the newly elected Chamber of Deputies and excluded the commercial middle-class from future elections. It is a great step to restore the power of the Bourbons !;;;;;;;;;;;;;
abolishment_of_serfdom_title;Abolishment of Serfdom;;;;;;;;;;;;;
abolishment_of_serfdom_desc;Today is the day to abolish backward institution of serfdom and take the first step towards modern agriculture.;;;;;;;;;;;;;
land_purchase_initiative_title;Land Purchase Initiative;;;;;;;;;;;;;
land_purchase_initiative_desc;Although our agriculture is no longer bound by the serfdom, feudal relations are still common in the countryside, ironically to embrace true capitalism we need state inspired stimulation to brake centuries old privileges.;;;;;;;;;;;;;
partition_of_land_title;Partition of Land;;;;;;;;;;;;;
partition_of_land_desc;Capitalism isn't just, numerous land reforms caused great suffering to the smallfolk, and now we have to ease this suffering by just partition of land.;;;;;;;;;;;;;
collectivization_of_agriculture_title;Collectivization of Agriculture;;;;;;;;;;;;;
collectivization_of_agriculture_desc;Only the state-led agriculture may pave our way to utopia, to truly industrial and equal society.;;;;;;;;;;;;;
HND;India;India;India;;;;;;;;;;;x;
HND_fascist_dictatorship;Hindustan;Hindustan;Hindustan;;;;;;;;;;;x;
HND_absolute_monarchy;Hindustani Empire;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_absolute_monarchy2;East Indian Company;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_absolute_monarchy3;Raj;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_prussian_constitutionalism;Hindustani Empire;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_prussian_constitutionalism2;East Indian Company;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_prussian_constitutionalism3;Raj;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_hms_government;Hindustani Empire;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_hms_government2;East Indian Company;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
HND_hms_government3;Raj;Hindustani Empire;Hindustani Empire;;;;;;;;;;;x;
suspend_political_powers_title;Political Rights Suspended;;;;;;;;;;;x;
suspend_political_powers_desc;In the light of the recent events our Executive Head has decided to suspend political rights. We can only hope that the situation will return to normality as soon as possible...;;;;;;;;;;;x;
germans_of_the_east_title;Germans of the East;;;;;;;;;;;x;
germans_of_the_east_desc;Over the time the fate led some of our fellow Germans to seek the fortune and better life on the east, now as a conscious nation we can hope that one day the reunion with our eastern brothers will be possible.;;;;;;;;;;;x;
EVTDESC99902;The Barrackpore mutiny was a rising of native Indian sepoys against their British officers in Barrackpore in November 1824. The incident occurred when the British East India Company was fighting the First Anglo-Burmese War (1824–26) under the leadership of the governor-general of India William Amherst, 1st Earl Amherst. The mutiny had its roots in British insensitivity towards Indian cultural sentiments, combined with negligence and poor supply arrangements, which caused growing resentment amongst the sepoys of several regiments of the Bengal Native Infantry after a long march from Mathura to Barrackpore. The lack of transport for personal effects and cultural concerns about being transported by sea caused apprehension and when troops from the 47th Native Infantry appeared on parade, the troops refused to march towards Chittagong, unless their grievances were remedied. Attempts to resolve the dispute failed and dissent spread to elements of the 26th and 62nd Regiments. The Commander-in-Chief, India, General Sir Edward Paget, ordered the troops to lay down their arms before considering their requests for redress. When the sepoys refused, their camp was surrounded by loyal soldiers from the 26th and 62nd Regiments and two British regiments. After a final ultimatum, the camp was attacked with artillery and infantry and around 180 sepoys were killed, as were a number of civilian bystanders. ;;;;;;;;;;;;;x
