;;;;;;;;;;;;x
PROV1407;Tapaktoean;;;;;;;;;;;;x
PROV1408;Padang;;;;;;;;;;;;x
PROV1409;Siboga;;;;;;;;;;;;x
PROV1410;Bencoolen;Benkoeloe;;;;;;;;;;;x
PROV1411;Nias;;;;;;;;;;;;x
PROV1413;Batavia;;;;;;;;;;;;x
PROV1414;Preanger;;;;;;;;;;;;x
PROV1415;Tjeribon;;;;;;;;;;;;x
PROV1416;Djokjakarta;;;;;;;;;;;;x
PROV1417;Semarang;;;;;;;;;;;;x
PROV1418;Soerabaja;;;;;;;;;;;;x
PROV1419;Soerakarta;;;;;;;;;;;;x
PROV1420;Probolinggo;;;;;;;;;;;;x
PROV1421;Madoera;;;;;;;;;;;;x
PROV1422;Moeraleve;;;;;;;;;;;;x
PROV1423;Matrapoera;;;;;;;;;;;;x
PROV1424;Pasir;;;;;;;;;;;;x
PROV1425;Tarakan;;;;;;;;;;;;x
PROV1426;Pontianak;;;;;;;;;;;;x
PROV1427;Kota Waringin;;;;;;;;;;;;x
PROV1428;Kapoea;;;;;;;;;;;;x
PROV1429;Samarinda;;;;;;;;;;;;x
PROV1430;Makassar;;;;;;;;;;;;x
PROV1432;Mamoedjoe;;;;;;;;;;;;x
PROV1433;Menado;;;;;;;;;;;;x
PROV1434;Gorontalo;;;;;;;;;;;;x
PROV1435;Masamba;;;;;;;;;;;;x
PROV1436;Palopo;;;;;;;;;;;;x
PROV1437;Bulon;;;;;;;;;;;;x
PROV1438;Karangasam;;;;;;;;;;;;x
PROV1439;Roeteng;;;;;;;;;;;;x
PROV1440;Soembawa;;;;;;;;;;;;x
PROV1441;Soemba;;;;;;;;;;;;x
PROV1442;Lombok;;;;;;;;;;;;x
PROV1443;Koepang;;;;;;;;;;;;x
PROV1444;Larantoeka;;;;;;;;;;;;x
PROV1445;Sorbian;;;;;;;;;;;;x
PROV1446;Dili;;;;;;;;;;;;x
PROV1447;Batjan;;;;;;;;;;;;x
PROV1448;Tidore;;;;;;;;;;;;x
PROV1449;Ambon;;;;;;;;;;;;x
PROV1450;Ternate;;;;;;;;;;;;x
PROV1451;Aroe;;;;;;;;;;;;x
PROV1452;Soekadana;;;;;;;;;;;;x
PROV1453;Viqueque;;;;;;;;;;;;x
PROV1454;Central Papua;;;;;;;;;;;;x
PROV1560;Coast of Papua Guinea;;;;;;;;;;;;x
PROV1594;Kashgar;;;;;;;;;;;;x
PROV1716;Banjoemas & Bagelen;;;;;;;;;;;;x
PROV1717;Mangkoenegara;;;;;;;;;;;;x
PROV1718;Pematang Siantar;;;;;;;;;;;;x
PROV1719;Billiton;;;;;;;;;;;;x
PROV1720;Sitioeng;;;;;;;;;;;;x
PROV1721;Madras;;;;;;;;;;;;x
PROV1722;Gajo-Alas;;;;;;;;;;;;x
PROV1724;Bantam;;;;;;;;;;;;x
PROV1739;Western Libyan Desert;;;;;;;;;;;;x
PROV1740;Bonjol;;;;;;;;;;;;x
PROV1758;Eastern Libyan Desert;;;;;;;;;;;;x
PROV1774;Bangkinang;;;;;;;;;;;;x
PROV1779;Langkat;;;;;;;;;;;;x
PROV1782;Asahan;;;;;;;;;;;;x
PROV1801;El Hodh;;;;;;;;;;;;x
PROV1804;Hamdallahi;;;;;;;;;;;;x
PROV1807;Ogan;;;;;;;;;;;;x
PROV1808;Dosso;;;;;;;;;;;;x
PROV1809;Lulama;;;;;;;;;;Temp, don't actually know where Lulama is;;x
PROV1810;Say;;;;;;;;;;Temp, till something better is found;;x
PROV1812;Djambi;;;;;;;;;;;;x
PROV1813;Trankebar;;;;;;;;;;;;x
PROV1814;Bilma;;;;;;;;;;;;x
PROV1817;Pulicat;;;;;;;;;;;;x
PROV1972;Mpongwe;;;;;;;;;;;;x
PROV2244;Christmas & Cocos Islands;;;;;;;;;;;;x
PROV2406;Kerguelen;;;;;;;;;;;;x
PROV2564;Southern Libyan Desert;;;;;;;;;;;;x
PROV2585;Saint Barthelemy;;;;;;;;;;;;x
PROV2586;Rub'al Khali;;;;;;;;;;;;x
PROV2599;Sintang;;;;;;;;;;;;x
PROV2607;Taklimakan;;;;;;;;;;;;x
PROV2609;Bima;;;;;;;;;;;;x
PROV2619;Kunduz;;;;;;;;;;;;x
PROV2629;Sambalioeng;;;;;;;;;;;;x
PROV2622;Soppeng;;;;;;;;;;;x
PROV2637;San Kuew Jong;;;;;;;;;;;;x
PROV2640;Bandjarmasin;;;;;;;;;;;;x
PROV2649;Wadjo;;;;;;;;;;;;x
PROV2654;Chardzhou;;;;;;;;;;;;x
PROV2664;Oskemen;;;;;;;;;;;;x
PROV2666;Sambas;;;;;;;;;;;x
PROV2667;Igdir;;;;;;;;;;;;x
PROV2668;Kussurkund;;;;;;;;;;;;x
PROV2673;Kyzylkum Desert;;;;;;;;;;;;x
PROV2680;Balikpapan;;;;;;;;;;;;x
PROV2802;Coast of Atjeh;;;;;;;;;;;;x
PROV2803;Billiton Strait;;;;;;;;;;;;x
PROV2807;Flores Sea;;;;;;;;;;;;x
PROV2810;Savoe Sea;;;;;;;;;;;;x
PROV2811;Biak Bay;;;;;;;;;;;;x
PROV2813;Celebes Sea;;;;;;;;;;;;x
PROV2814;Karimata Strait;;;;;;;;;;;;x
PROV2852;Molucca Sea;;;;;;;;;;;;x
PROV2853;Palau;;;;;;;;;;;;x
PROV2856;Java Sea;;;;;;;;;;;;x
PROV2857;Coast of New Guinea;;;;;;;;;;;;x
PROV2862;Java Trench;;;;;;;;;;;;x
PROV3077;Arafure Sea;;;;;;;;;;;;x
