DEFINE_GENERAL_EFFECT;Gain the service of §YGeneral $NAME$§W ($PER$ $BAC$).\n;Obtenir les services du §Ygénéral $NAME$§W ($PER$ $BAC$).\n;§YGeneral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Ygeneral $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;x
DO_NOT_HAVE_TECH_TRI;Have NOT invented §Y$TECH$§W.\n;N'ont pas inventé §Y$TECH$§W\n;Noch NICHT erfunden: §Y$TECH$§W.\n;;NO ha inventado §Y$TECH$§W.\n;;;;;;;;;x
HAVE_TECH_TRI;Have invented §Y$TECH$§W.\n;Ont inventé §Y$TECH$§W\n;Erfunden: §Y$TECH$§W.\n;;Ha inventado §Y$TECH$§W.\n;;;;;;;;;x
NO_RAIL_YET;We can not encourage rail road building when we do not know how to build them yet.;Nous ne pouvons pas encourager la construction de chemins de fer si nous ne savons pas comment nous y prendre.;Wir können keinen Eisenbahnstreckenbau fördern, da wir noch nicht wissen, wie man sie baut.;;No podemos fomentar la construcción del ferrocarril cuando todavía no sabemos cómo construirlo.;;;;;;;;;x
NOT_DISC_THESE_YET;We can not encourage industries that have not yet been invented.;Nous ne pouvons pas encourager les industries qui n'ont pas encore été inventées.;Wir können keine Industrien fördern, die noch nicht erfunden wurden.;;No podemos fomentar industrias que todavía no se han inventado.;;;;;;;;;x
WAR_WE_ACCEPT_HEADER;The Foreign Minister reports;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_1;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_2;$MONARCHTITLE$, $BADWORD$ in;$MONARCHTITLE$, $BADWORD$ de;$MONARCHTITLE$;$BADWORD$ z;$MONARCHTITLE$, $BADWORD$ en;$MONARCHTITLE$, $BADWORD$ di;Vezérünk, ;$MONARCHTITLE$, $BADWORD$ v;;;;;;x
WAR_WE_ACCEPT_3;$AGRESSOR$ declared war;$AGRESSOR$ nous ont déclaré la;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiadaj¹ nam wojnê!;$AGRESSOR$ ha declarado la guerra;$AGRESSOR$ ci hanno dichiarato;$AGRESSOR$ nemzete hadat üzent nekünk!;$AGRESSOR$ vyhlásil válku;;;;;;x,,,,,,;
WAR_WE_ACCEPT_4;upon us! Prepare for battle...;Guerre !\nPréparons-nous au combat...;Bereiten Sie sich auf den Kampf vor ...;Gotujmy siê do bitwy...;contra nosotros! Preparad la batalla...;guerra! Preparati a combattere...;Fel kell készülnünk a háborúra…;nám! Pøipravte se na boj...;;;;;;x,,,,,,;
WAR_WE_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_LOG;$AGRESSOR$ declared war on us!;$AGRESSOR$ nous a déclaré la guerre !;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiada nam wojnê!;¡$AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ci ha dichiarato guerra!;$AGRESSOR$ hadat üzent nekünk!;$AGRESSOR$ nám vyhlásil válku!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN3;Go to;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x,,,,,,;
WAR_WE_ACCEPT_MAP;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_SETUP;When a nation declares war on another nation;Si une nation déclare la guerre à une autre;Wenn ein Land einem anderen Land den Krieg erklärt;Kiedy jakiœ kraj wypowiada wojnê innemu pañstwu;Cuando una nación declare la guerra a otra nación;Quando una nazione dichiara guerra a un'altra nazione;Mikor egy nemzet hadat üzen egy másik nemzetnek;Když národ vyhlásí válku jinému národu;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_HEADER;The Foreign Minister reports;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_1;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_2;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $BADWORD$;Vezérünk, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;;;;;;x
WAR_OTHER_ACCEPT_3;declared war;a déclaré la guerre;hat ihrem neuen Feind;wypowiedzia³ wojnê.;ha declarado la guerra;hanno dichiarato guerra;hadat üzent;vyhlásil válku;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_4;on their new enemy;à ses nouveaux ennemis;$DEFENDER$;Jego nowym wrogiem jest:;a su nuevo enemigo;al loro nuovo nemico;és így új ellenfelet szerzett a következõ személyében:;svým nepøátelùm;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_5;$DEFENDER$;$DEFENDER$.; den Krieg erklärt.;$DEFENDER$.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_LOG;$AGRESSOR$ declared war on $DEFENDER$.;$AGRESSOR$ a déclaré la guerre à $DEFENDER$.;$AGRESSOR$ hat $DEFENDER$ den Krieg erklärt.;Pañstwo $AGRESSOR$ wypowiedzia³o wojnê pañstwu $DEFENDER$.;¡$AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ha dichiarato guerra a $DEFENDER$.;$AGRESSOR$ hadat üzent a következõnek: $DEFENDER$.;$AGRESSOR$ vyhlásil válku $DEFENDER$.;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_BTN3;Go to;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
DECLWAR_LIMITED;This war is a limited war.;Cette guerre est un conflit limité.;Dies ist ein eingeschränkter Krieg.;;Esta es una guerra limitada.;;;;;;;;;x
WAR_THEY_ACCEPT_SETUP;When we declare war on another nation;Si nous déclarons la guerre à une autre nation;Wenn wir einem anderen Land den Krieg erklären;Kiedy wypowiadamy wojnê innemu pañstwu;Cuando declaramos la guerra a otra nación;Quando noi dichiariamo guerra a un'altra nazione;Mikor mi üzenünk hadat egy másik nemzetnek;Když my vyhlásíme válku jinému národu;;;;;;x
WAR_THEY_ACCEPT_HEADER;The Foreign Minister reports;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x
WAR_THEY_ACCEPT_1;We declared war on;Nous avons déclaré la guerre à;Wir haben $DEFENDER$;$AGRESSOR$;Declaramos la guerra a ;Abbiamo dichiarato guerra a;Hadat üzentünk a következõnek:;Vyhlásili jsme válku;;;;;;x
WAR_THEY_ACCEPT_2;$DEFENDER$;$DEFENDER$.;den Krieg erklärt.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x
WAR_THEY_ACCEPT_3;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_THEY_ACCEPT_4;*;*;*;*;*;*;*;;;;;;;x
WAR_THEY_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x
WAR_THEY_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x
WAR_THEY_ACCEPT_LOG;We declared war on $DEFENDER$.;Nous avons déclaré la guerre à $DEFENDER$.;Wir haben $DEFENDER$ den Krieg erklärt.;Wypowiedzieliœmy wojnê $DEFENDER$.;¡$AGRESSOR$ nos ha declarado la guerra!;Abbiamo dichiarato guerra a $DEFENDER$.;Hadad üzentünk a következõnek: $DEFENDER$.;Vyhlásili jsme válku $DEFENDER$.;;;;;;x
WAR_THEY_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WAR_THEY_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WAR_THEY_ACCEPT_BTN3;Go to;Voir;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
WAR_THEY_ACCEPT_MAP;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
LOSE_CORE_EFFECT_2;$WHO$ lose core on $LOSE$.\n;$WHO$ perd le contrôle de $LOSE$.\n;$WHO$ verliert Kernprovinzanspruch auf $LOSE$.\n;;$WHO$ ha perdido un núcleo en $LOSE$.\n;;;;;;;;;x
INFRA_LEVEL_HERE;Infrastructure at §Y$VAL$%§W.;Infrastructure à §Y$VAL$%§W.;Infrastruktur in §Y$VAL$%§W.;;Infraestructuras en §Y$VAL$%§W.;;;;;;;;;x
fascist_group;Fascist parties;Partis fascistes;faschistischen Parteien;;Partidos fascistas;;;;;;;;;x
conservative_group;Conservative & Reactionary parties;Partis conservateurs & réactionnaires;konservativen & reaktionären Parteien;;Partidos conservadores y reaccionarios;;;;;;;;;x
socialist_group;Socialist & Communist parties;Partis socialistes & communistes;sozialistischen & kommunistischen Parteien;;Partidos socialistas y comunistas;;;;;;;;;x
liberal_group;Liberal & Anarcho-Liberal parties;Partis libéraux & libéraux-anarchistes;liberalen & anarcho-liberalen Parteien;;Partidos liberales y anarcoliberales;;;;;;;;;x
COALITION_WIN;A coalition of §Y$IDE$§W got $VAL$% of the vote, and will form the basis of the government.;Une coalition de §Y$IDE$§W a obtenu $VAL$% du scrutin et formera la base du gouvernement.;Eine Koalition von §Y$IDE$§W erhielt $VAL$% der Stimmen und wird die Regierungsbasis bilden.;;Una coalición de §Y$IDE$§W ha obtenido el $VAL$% de los sufragios y formará la base del gobierno.;;;;;;;;;x
COLONY_SUCCESS_SETUP;When we succeed with the colonization of a province.;Si nous réussissons à coloniser une province.;Wenn Erfolg mit der Kolonisation einer Provinz haben.;;Cuando conseguimos la colonización de una provincia;;;;;;;;;x
COLONY_FAIL_SETUP;When we fail to colonize a province.;Si nous ne réussissons pas à coloniser une province.;Wenn wir mit der Kolonisation einer Provinz scheitern.;;Cuando no conseguimos colonizar una provincia;;;;;;;;;x
TOPBAR_INC_SPEED;Increase Speed;Augmenter la vitesse;Geschwindigkeit erhöhen;;Aumentar la velocidad;;;;;;;;;x
REMOVE_TOPBAR_DEC_SPEED;Increase Speed;Augmenter la vitesse;Geschwindigkeit erhöhen;;Aumentar la velocidad;;;;;;;;;x
TOPBAR_CLOSE_OUTLINER;Close Outliner;Fermer l'aperçu;Outliner schließen;;Cerrar Outliner;;;;;;;;;x
TOPBAR_OPEN_OUTLINER;Open Outliner;Ouvrir l'aperçu;Outliner öffnen;;Abrir Outliner;;;;;;;;;x
SLOWEST_SPEED;Slowest Speed;Vitesse la plus lente;langsamster Geschwindigkeit;;Velocidad mínima;;;;;;;;;x
SLOW_SPEED;Slow Speed;Vitesse lente;langsamer Geschwindigkeit;;Velocidad lenta;;;;;;;;;x
NORMAL_SPEED;Normal Speed;Vitesse normale;normaler Geschwindigkeit;;Velocidad normal;;;;;;;;;x
FAST_SPEED;Fast Speed;Vitesse rapide;schneller Geschwindigkeit;;Velocidad rápida;;;;;;;;;x
FASTEST_SPEED;Fastest Speed;Vitesse la plus rapide;schnellster Geschwindigkeit;;Velocidad máxima;;;;;;;;;x
TOPBAR_DATE;This is the current date.\n(click to pause);Il s'agit de la date du jour.\n(cliquer pour mettre en pause);Dies ist das aktuelle Datum.\n(zum Pausieren klicken);;Esta es la fecha actual.\n(Haz clic para detener);;;;;;;;;x
TOPBAR_DATE_IS_PAUSED;This is the current date.\n(click to unpause);Il s'agit de la date du jour.\n(cliquer pour continuer);Dies ist das aktuelle Datum.\n(zum Weiterspielen klicken);;Esta es la fecha actual.\n(haz clic para reanudar partida);;;;;;;;;x
TOPBAR_PAUSE_INDICATOR;The game is currently paused.;La partie est actuellement mise en pause.;Das Spiel ist momentan pausiert.;;La partida está actualmente detenida.;;;;;;;;;x
TOPBAR_SPEED_INDICATOR;The game is running at §Y$SPEED$§W.;La partie évolue à §Y$SPEED$§W.;Das Spiel läuft mit §Y$SPEED$§W.;;La partida va a §Y$SPEED$§W.;;;;;;;;;x
PLAYER_COUNTRY_TOPBAR_RANK;$NAME$ is a §Y$RANK$§W.;$NAME$ est une §Y$RANK$§W.;$NAME$ ist ein §Y$RANK$§W.;;$NAME$ es un §Y$RANK$§W.;;;;;;;;;x
HAS_TECH_SCHOOL;Currently §Y$TECH$§W.\n;Actuellement, §Y$TECH$§W.\n;Derzeit §Y$TECH$§W.\n;;Actualmente §$TECH$§W.\n;;;;;;;;;x
HAS_NOT_TECH_SCHOOL;Not embracing §Y$TECH$§W.\n;Ne pas opter pour §Y$TECH$§W.\n;Folgt nicht: §Y$TECH$§W.\n;;No apoya §Y$TECH$§W.\n;;;;;;;;;x
NEW_CORE_EFFECT_TAG;$TAG$ will gain §Yall§W as core.\n;$TAG$ obtient un nouveau territoire clé.\n;$TAG$ erhält §Yall§W als Kernprovinz.\n;;$TAG$ ganará §Ytodo§W como núcleo.\n;;;;;;;;;x
ANY_OWNED_LIMITED;For Any province that is\n;Pour toute province qui est\n;Für jede Provinz, die\n;;Para cualquier provincia que esté\n;;;;;;;;;x
TECH_MINE_SIZE;Mine Size;Taille de la mine;Minengröße;;Tamaño de la mina;;;;;;;;;x
TECH_FARM_SIZE;Farm Size;Taille de la ferme;Farmgröße;;Tamaño de la granja;;;;;;;;;x
USA_absolute_monarchy;Kingdom of America;Royaume d'Amérique;Kingdom of America;;Reino de América;;;;;;;;;x
USA_absolute_monarchy_ADJ;American;Américain;Amerikanisch;;americana;;;;;;;;;x
USA_hms_government;Kingdom of America;Royaume d'Amérique;Kingdom of America;;Reino de América;;;;;;;;;x
USA_hms_government_ADJ;American;Américain;Amerikanisch;;americana;;;;;;;;;x
USA_proletarian_dictatorship;American People's Republic;République populaire d'Amérique;American People's Republic;;República del Pueblo Americano;;;;;;;;;x
USA_proletarian_dictatorship_ADJ;American;Américain;Amerikanisch;;americana;;;;;;;;;x
ENG_proletarian_dictatorship;The Worker's Commonwealth;Commonwealth des ouvriers;The Worker's Commonwealth;;La Commonwealth de los Trabajadores;;;;;;;;;x
ENG_proletarian_dictatorship_ADJ;British;Britannique;Britisch;;de Gran Bretaña;;;;;;;;;x
BOH_democracy;Czech Republic;République tchèque;Tschechische Republik;;República Checa;;;;;;;;;x
BOH_democracy_ADJ;Czech;Tchèque;Tschechisch;;checa;;;;;;;;;x
TUR_democracy;Turkey;Turquie;Türkei;;Turquía;;;;;;;;;x
TUR_democracy_ADJ;Turkish;Turc;Türkisch;;turca;;;;;;;;;x
KUK_democracy;The Danubian Confederation;Confédération du Danube;Die Donau-Konföderation;;La Confederación del Danubio;;;;;;;;;x
KUK_democracy_ADJ;Danubian;Danubien;Donau-;;danubiana;;;;;;;;;x
BAV_proletarian_dictatorship;Bavarian Räterepublik;Räterepublik bavaroise;Bayerische Räterepublik;;República Autogestionada de Baviera;;;;;;;;;x
RUS_proletarian_dictatorship;Soviet Union;Union Soviétique;Sowjetunion;;Unión Soviética;;;;;;;;;x
RUS_proletarian_dictatorship_ADJ;Soviet;Soviétique;Sowjetisch;;soviética;;;;;;;;;x
NO_TECH_SELECTED;None Selected;Pas de sélection;Keine ausgewählt;;Nada seleccionado;;;;;;;;;x
IS_CIVILIZED;is civilized.;est civilisé.;ist zivilisiert.;;es civilizada.;;;;;;;;;x
IS_NOT_CIVILIZED;is NOT civilized.;n'est PAS civilisé.;ist NICHT zivilisiert.;;NO es civilizada.;;;;;;;;;x
IS_INDEP;is NOT under foreign influence.;n'est PAS sous influence étrangère.;steht NICHT unter ausländischem Einfluss.;;NO está bajo influencia extranjera.;;;;;;;;;x
IS_NOT_INDEP;is under foreign influence.;est sous influence étrangère.;steht unter ausländischem Einfluss.;;está bajo influencia extranjera.;;;;;;;;;x
ELECTION_INFO_IN_GOV;Election Campaign in Progress;Campagne électorale en cours;Wahlkampf im Verlauf;;Campaña electoral en marcha;;;;;;;;;x
REGIMENT_POP_NAME;$NUM$$ORDER$ $POP$ $TYPE$;$NUM$$ORDER$ $POP$ $TYPE$;$NUM$$ORDER$ $POP$ $TYPE$;;$NUM$$ORDER$ $POP$ $TYPE$;;;;;;;;;x
REGIMENT_HOME_NAME;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;;$NUM$$ORDER$ $HOME$ $TYPE$;;;;;;;;;x
SUBUNIT_POP;§Y$CULTURE$§W $TYPE$ from §Y$LOCATION$§W.;$TYPE$ §Y$CULTURE$§W provenant de §Y$LOCATION$§W.;§Y$CULTURE$§W $TYPE$ von §Y$LOCATION$§W.;;$TYPE$ §Y$CULTURE$§W de §Y$LOCATION$§W.;;;;;;;;;x
army_tech_research_bonus;Army Tech Research;Recherche en technologie militaire;Militärtechnologieforschung;;Investigación de tecnología del ejército;;;;;;;;;x
commerce_tech_research_bonus;Commerce Tech Research;Recherche en technologie commerciale;Handelstechnologieforschung;;Investigación de tecnología de comercio;;;;;;;;;x
culture_tech_research_bonus;Culture Tech Research;Recherche en technologie culturelle;Kulturtechnologieforschung;;Investigación de tecnología de cultura;;;;;;;;;x
industry_tech_research_bonus;Industry Tech Research;Recherche en technologie industrielle;Industrietechnologieforschung;;Investigación de tecnología de la industria;;;;;;;;;x
navy_tech_research_bonus;Navy Tech Research;Recherche en technologie navale;Marinetechnologieforschung;;Investigación de tecnología de la armada;;;;;;;;;x
THERE_ARE_BACKING;§Y$VAL$§W of the population want this reform.;§Y$VAL$§W de la population veut cette réforme.;§Y$VAL$§W der Bevölkerung will diese Reform.;;El §Y$VAL$§W de la población quiere esta reforma.;;;;;;;;;x
ORG_EXPLANATION_TT;The higher this percentage is, the stronger the rebel uprising will become.;Plus ce pourcentage est élevé, plus le soulèvement rebelle se renforce.;Je höher dieser Prozentwert ist, desto stärker wird der Rebellenaufstand.;;Cuanto mayor sea este porcentaje, más virulenta será la rebelión.;;;;;;;;;x
COLONIAL_MIGRATION_TECH;Colonial Migration;Migration coloniale;Kolonialabwanderung;;Emigración colonial;;;;;;;;;x
COMBAT_WIDTH_TECH;Combat Width;Aire de combat;Gefechtsbreite;;Anchura del combate;;;;;;;;;x
PLURALITY_EXPLANATION;Plurality is the shared level of consciousness in our country. The memories of the past victories and defeats in the name of liberty remind our people of what could be.;La pluralité correspond au niveau partagé de conscience nationale. Les souvenirs des victoires et défaites passées au nom de la liberté rappellent à notre peuple ce qui aurait pu arriver.;Die Pluralität ist das allgemeine Bewusstseinsniveau in Ihrem Land. Die Erinnerungen an vergangene Siege und Niederlagen im Namen der Freiheit erinnern Ihre Bevölkerung daran, was möglich sein könnte.;;La pluralidad es el nivel de conciencia compartida en nuestro país. Los recuerdos de las victorias y derrotas pasadas en nombre de la libertad recuerdan a nuestro pueblo lo que podría ser.;;;;;;;;;x
REMOVE_REVANCHISM_EXPLANATION;From the French word revenge, Revanchism is the yearning for the return for our rightful land. Our people are ready to make greater sacrifices for their return.;Dérivé du terme revanche, le revanchisme correspond au désir de retrouver notre terre légitime. Notre peuple est prêt à de grands sacrifices pour y parvenir.;Revanchismus ist von dem französischen Wort für Rache abgeleitet und steht für das Verlangen nach der Rückkehr unseres rechtmäßigen Territoriums. Unser Volk ist bereit, dafür große Opfer zu bringen.;;Originario de la palabra francesa 'revenge', el revanchismo es el anhelo por recuperar la tierra que nos corresponde por derecho. Nuestra gente está dispuesta a hacer grandes sacrificios para recuperarla.;;;;;;;;;x
GAIN_PROVINCE;Gain §Y$WHERE$§W from §Y$WHO$§W.\n;Obtention de §Y$WHERE$§W de §Y$WHO$§W.\n;§Y$WHERE$§W muss §Y$WHO$§W abgerungen werden.\n;;Gana §Y$WHERE$§W de §Y$WHO$§W.\n;;;;;;;;;x
build_kiel_canal_title;Build the Kiel Canal;Construire le canal de Kiel;Nord-Ostsee-Kanal bauen;;Construir el Canal de Kiel;;;;;;;;;x
build_kiel_canal_desc;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel.;La construction d'un canal entre la Baltique et la mer du Nord apporterait un essor considérable à notre flotte et nous sommes en mesure de construire un tel canal à Kiel.;Der Bau eines Kanals zwischen der Ost- und Nordsee könnte eine Wohltat für unsere Schifffahrt sein. Wir sind nun in der Lage, von Kiel aus so einen Kanal zu bauen.;;La construcción de un canal entre el Báltico y el Mar del Norte supondría una gran ventaja para nuestra navegación. En estos momentos, podemos construir uno en Kiel.;;;;;;;;;x
build_suez_canal_title;Build the Suez Canal;Construire le canal de Suez;Suezkanal bauen;;Construir el Canal de Suez;;;;;;;;;x
build_suez_canal_desc;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering.;Les routes commerciales entre l'Extrême-Orient et l'Inde ont toujours été handicapées par la nécessité de contourner le Cap. En construisant le canal de Suez, nous raccourcirons de plusieurs jours les voyages à destination de l'Asie et réaliserons par là même une belle prouesse d'ingénierie moderne.;Die Notwendigkeit der Umschiffung der Südspitze Afrikas ist eines der ältesten Probleme für den Schiffsverkehr nach Fernost und Indien. Durch den Bau eines Kanals durch den Isthmus von Suez könnten wir die Fahrzeit nach Asien um mehrere Tage verkürzen und zudem eine glanzvolle Ingenieursleistung vollbringen.;;Uno de los antiguos problemas para el comercio naval en el Extremo Oriente y la India ha sido siempre la necesidad de tener que rodear el Cabo de Buena Esperanza para poder llegar allí. Estableciendo un canal a través de Suez, reduciremos el viaje hasta Asia en varios días, además de llevar a cabo una maravillosa proeza de ingeniería moderna.;;;;;;;;;x
build_panama_canal_title;Build Panama Canal;Construire le canal de Panama;Panamakanal bauen;;Construir el Canal de Panamá;;;;;;;;;x
