#############################################;;;;;;;;;;;;;;x
#State Localisations - Africa;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ALD_1700;Algiers;;;;;;;;;;;;;x;;
ALD_1708;Constantine;;;;;;;;;;;;;x;;
TRI_1734;Cyrenaica;;;;;;;;;;;;;x;;
TRI_1731;Tripolitania;;;;;;;;;;;;;x;;
TRI_1738;Libya;;;;;;;;;;;;;x;;
EGY_1752;Western Desert;;;;;;;;;;;;;x;;
EGY_1745;Lower Egypt;;;;;;;;;;;;;x;;
EGY_1756;Sinai;;;;;;;;;;;;;x;;
EGY_1765;Middle Egypt;;;;;;;;;;;;;x;;
EGY_1770;Red Sea Coast;;;;;;;;;;;;;x;;
EGY_1767;Upper Egypt;;;;;;;;;;;;;x;;
EGY_1835;Dongola;;;;;;;;;;;;;x;;
EGY_1827;Sudan;;;;;;;;;;;;;x;;
MAD_2115;Merina;;;;;;;;;;;;;x;;
MAD_2119;Betsimisaraka;;;;;;;;;;;;;x;;
MAD_2122;Sakalava;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Ottoman Empire and Middle East;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
TUR_805;Macedonia;;;;;;;;;;;;;x;;
TUR_876;Ankara;;;;;;;;;;;;;x;;
TUR_873;Adana;;;;;;;;;;;;;x;;
TUR_887;Erzerum;;;;;;;;;;;;;x;;
TUR_889;Diyarbakir;;;;;;;;;;;;;x;;
TUR_913;Levantine Coast;;;;;;;;;;;;;x;;
TUR_902;Syria;;;;;;;;;;;;;x;;
EGY_1757;Suez;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Arabia;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
YEM_1173;Hadramaut;;;;;;;;;;;;;x;;
YEM_1178;Yemen;;;;;;;;;;;;;x;;
YEM_1412;Aden;;;;;;;;;;;;;x;;
NEJ_1160;Jabal Shammar;;;;;;;;;;;;;x;;
NEJ_1157;Nejd;;;;;;;;;;;;;x;;
NEJ_1164;Al Hasa;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Pacific;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
HAW_658;Hawaiian Islands;;;;;;;;;;;;;x;;
NET_1454;Western New Guinea;;;;;;;;;;;;;x;;
USA_2623;Midway;;;;;;;;;;;;;x;;
USA_2524;Wake Island;;;;;;;;;;;;;x;;
SPA_2518;Marianas Islands;;;;;;;;;;;;;x;;
GER_2519;Caroline Islands;;;;;;;;;;;;;x;;
ENG_2522;Marshall and Gilbert Islands;;;;;;;;;;;;;x;;
GER_2537;Bismarck Archipelago;;;;;;;;;;;;;x;;
ENG_2534;Solomon Islands;;;;;;;;;;;;;x;;
FRA_1097;New Caledonia;;;;;;;;;;;;;x;;
ENG_2454;Fiji;;;;;;;;;;;;;x;;
ENG_2540;Tonga;;;;;;;;;;;;;x;;
USA_2543;Samoa;;;;;;;;;;;;;x;;
ENG_2541;Western Polynesia;;;;;;;;;;;;;x;;
ENG_2545;Central Polynesia;;;;;;;;;;;;;x;;
FRA_801;Eastern Polynesia;;;;;;;;;;;;;x;;
ENG_2552;Pitcairn Island;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - East Indies;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ATJ_1405;Banda Aceh;;;;;;;;;;;;;x;;
NET_1398;Jambi;;;;;;;;;;;;;x;;
NET_1399;Palembang;;;;;;;;;;;;;x;;
NET_1426;Pontianak;;;;;;;;;;;;;x;;
NET_1423;Banjarmasin;;;;;;;;;;;;;x;;
NET_1414;West Java;;;;;;;;;;;;;x;;
NET_1417;East Java;;;;;;;;;;;;;x;;
NET_1430;Sulawesi;;;;;;;;;;;;;x;;
BAL_1438;Lesser Sundas;;;;;;;;;;;;;x;;
POR_1446;Timor;;;;;;;;;;;;;x;;
NET_1449;Moluccas;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Europe;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ENG_854;Malta;;;;;;;;;;;;;x;;
ENG_264;Leinster;;;;;;;;;;;;;x;;
ENG_258;Connacht;;;;;;;;;;;;;x;;
ENG_301;Kent;;;;;;;;;;;;;x;;
ENG_517;Gibraltar;;;;;;;;;;;;;x;;
BEL_394;West Wallonie;;;;;;;;;;;;;x;;
BEL_395;East Wallonie;;;;;;;;;;;;;x;;
NET_386;Utrecht;;;;;;;;;;;;;x;;
FRA_473;Corsica;;;;;;;;;;;;;x;;
BEL_390;Brabant;;;;;;;;;;;;;x;;
NET_379;Zeeland;;;;;;;;;;;;;x;;
AUS_2538;Vojvodina;;;;;;;;;;;;;x;;
AUS_736;Friuli;Frioul;Friaul;;Friuli;;;;;;;;;x;;;;
AUS_778;Istria;Istrie;Istrien;;Istria;;;;;;;;;x;;;;
AUS_781;North Dalmatia;La Dalmatie du Nord;Nord-Dalmatien;;Dalmacia del norte;;;;;;;;;x;;;;
AUS_780;South Dalmatia;Dalmatie du Sud;Süd-Dalmatien;;Dalmacia del sur;;;;;;;;;x;;;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Italy;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
SIC_756;Apulia-Calabria;;;;;;;;;;;;;x;;
ITA_753;Abruzzo-Marche;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Germany;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
HAN_538;East Friesland;;;;;;;;;;;;;x;;
HAN_536;Hannover-Brunswick;;;;;;;;;;;;;x;;
HAM_528;Lower Elbe;;;;;;;;;;;;;x;;
SCH_370;Schleswig;;;;;;;;;;;;;x;;
HOL_369;Holstein;;;;;;;;;;;;;x;;
GER_533;Heligoland;;;;;;;;;;;;;x;;
MEC_545;Mecklenburg;;;;;;;;;;;;;x;;
PRU_679;Hinterpommern;Poméranie plus loin;Hinterpommern;;Más adelante Pomerania;;;;;;;;;x;;;;
PRU_578;Mittelrhein;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Russia;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
RUS_2622;Chukotka;;;;;;;;;;;;;x;;
RUS_2647;Indigirka;;;;;;;;;;;;;x;;
RUS_2673;Olenyok;;;;;;;;;;;;;x;;
RUS_2621;Kolyma;;;;;;;;;;;;;x;;
RUS_2680;Evenkia;;;;;;;;;;;;;x;;
RUS_2614;Yamalia;;;;;;;;;;;;;x;;
RUS_1066;Tobolsk;;;;;;;;;;;;;x;;
RUS_1077;Krasnoyarsk;;;;;;;;;;;;;x;;
RUS_2683;Yugra;;;;;;;;;;;;;x;;
RUS_2648;Yakutsk;;;;;;;;;;;;;x;;
RUS_1074;Kamchatka;;;;;;;;;;;;;x;;
RUS_1075;Irkutsk;;;;;;;;;;;;;x;;
RUS_1063;Tomsk;;;;;;;;;;;;;x;;
RUS_1058;Ural;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Scandinavia;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
SWE_313;Sør-Norge;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - China;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
CHI_1481;Port Arthur;;;;;;;;;;;;;x;;
CHI_1569;Weihaiwei;;;;;;;;;;;;;x;;
CHI_1566;Qingdao;;;;;;;;;;;;;x;;
CHI_1538;Shanghai;;;;;;;;;;;;;x;;
CHI_1606;Jiaxing;;;;;;;;;;;;;x;;
CHI_1608;Ningbo;;;;;;;;;;;;;x;;
CHI_1501;Hainan;;;;;;;;;;;;;x;;
CHI_3249;Guangzhouwan;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Japan;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
JAP_1638;Chugoku;;;;;;;;;;;;;x;;
JAP_1665;Shikoku;;;;;;;;;;;;;x;;
JAP_1645;Hokuriku;;;;;;;;;;;;;x;;
JAP_1678;Okinawa;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - North America;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ENG_71;Maritimes;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Central America;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
UCA_2192;San Salvador;;;;;;;;;;;;;x;;
CLM_1724;Balboa;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - South America;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
BRZ_2422;Goiás;;;;;;;;;;;;;x;;
BRZ_2427;Piaui;;;;;;;;;;;;;x;;
PEU_2295;Lima;;;;;;;;;;;;;x;;
PEU_2302;Ucayali y Cusco;;;;;;;;;;;;;x;;
#############################################;;;;;;;;;;;;;;x
#State Localisations - Mexico;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
MEX_2137;Sonora y Baja;;;;;;;;;;;;;x;;
MEX_2166;Sinaloa y Jalisco;;;;;;;;;;;;;x;;
MEX_2158;Zacatecas;;;;;;;;;;;;;x;;
MEX_2159;San Luis Potosi;;;;;;;;;;;;;x;;
MEX_2151;Coahuila y Nuevo León;;;;;;;;;;;;;x;;
MEX_2153;Durango;;;;;;;;;;;;;x;;
MEX_2150;Veracruz y Tamaulipas;;;;;;;;;;;;;x;;
MEX_2179;Guerrero y Michoacán;;;;;;;;;;;;;x;;
MEX_2172;México y Puebla;;;;;;;;;;;;;x;;
MEX_2177;Oaxaca y Chiapas;;;;;;;;;;;;;x;;
