WEGAINCB_LOG;We gained the '$CASUS$' Casus Belli against $ENEMY$.;Nous avons obtenu un casus belli "$CASUS$" contre $ENEMY$.;Wir erhielten den Kriegsgrund '$CASUS$' gegen $ENEMY$.;;Tenemos un Casus belli '$CASUS$' contra $ENEMY$.;;;;;;;;;x;
WEGAINCB_BTN1;OK;D'accord;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEGAINCB_BTN2;OK;D'accord;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEGAINCB_BTN3;Goto;Voir;Goto;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
WEGAINCB_MAP;*;*;*;*;*;*;*;;;;;;;x;
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Freedom;$ORDER$$FIRST$ guerre de libération $COUNTRY_ADJ$;$ORDER$$FIRST$-$COUNTRY_ADJ$er Freiheitskrieg;;$ORDER$ Guerra $FIRST$ de liberación $COUNTRY_ADJ$;;;;;;;;;x;
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$ War of Propping up $COUNTRY$;$ORDER$$FIRST$ guerre de soutien à $COUNTRY$;$ORDER$$FIRST$er Krieg zur Absicherung von $COUNTRY$;;$ORDER$ Guerra $FIRST$ de apoyo a $COUNTRY$;;;;;;;;;x;
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial Conquest of $STATE$;$ORDER$$FIRST$ conquête coloniale de $STATE$;$ORDER$$FIRST$e Kolonialeroberung von $STATE$;;$ORDER$ Conquista colonial $FIRST$ de $STATE$;;;;;;;;;x;
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial War for $STATE$;$ORDER$$FIRST$ guerre coloniale pour $STATE$;$ORDER$$FIRST$er Kolonialkrieg um $STATE$;;$ORDER$ Guerra colonial $FIRST$ por $STATE$;;;;;;;;;x;
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST$ Conquest of $STATE$;$ORDER$$FIRST$ conquête de $STATE$;$ORDER$$FIRST$e Eroberung von $STATE$;;$ORDER$ Conquista $FIRST$ de $STATE$;;;;;;;;;x;
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$ War of $STATE$;$ORDER$$FIRST$ guerre pour $STATE$;$ORDER$$FIRST$er Krieg um $STATE$;;$ORDER$ Guerra $FIRST$ de $STATE$;;;;;;;;;x;
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Liberation of $STATE$;$ORDER$$FIRST$ libération de $STATE$;$ORDER$$FIRST$e Befreiung von $STATE$;;$ORDER$ Liberación $FIRST$ de $STATE$;;;;;;;;;x;
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Aggression for $STATE$;$ORDER$$FIRST$ aggression pour $STATE$;$ORDER$$FIRST$e Aggression gegen $STATE$;;$ORDER$ Agresión $FIRST$ por $STATE$;;;;;;;;;x;
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$$COUNTRY$ War;$ORDER$ guerre de $COUNTRY$;$ORDER$$COUNTRY$-Feldzug;;$ORDER$ Guerra de $COUNTRY$;;;;;;;;;x;
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$$FIRST$-$SECOND$ War over $COUNTRY$;$ORDER$ guerre $FIRST$-$SECOND$ pour $COUNTRY$;$ORDER$$FIRST$-$SECOND$er Krieg um $COUNTRY$;;$ORDER$ Guerra $FIRST$-$SECOND$ sobre $COUNTRY$;;;;;;;;;x;
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$War of $SECOND$ Submission;$ORDER$ guerre de soumission $SECOND$;$ORDER$Krieg zur $SECOND$en Unterwerfung;;$ORDER$ Guerra de sumisión $SECOND$;;;;;;;;;x;
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$War of $SECOND$ Subjugation;$ORDER$ guerre de subjugation $SECOND$;$ORDER$Krieg zur $SECOND$en Unterjochung;;$ORDER$ Guerra de subyugación $SECOND$;;;;;;;;;x;
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x;
NORMAL_WAR_CONQUEST_NAME;$ORDER$Conquest of $SECOND$ War;$ORDER$$FIRST$ conquête de la $SECOND_COUNTRY$ guerre;$ORDER$Eroberung von $SECOND$em Land;;$ORDER$ Guerra de Conquista $SECOND$;;;;;;;;;x;
AGRESSION_WAR_CONQUEST_NAME;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$;$ORDER$ guerre d'aggression $FIRST$ sur $SECOND_COUNTRY$;$ORDER$$FIRST$er Aggressionskrieg gegen $SECOND$e Gebiete;;$ORDER$ Guerra de Agresión $FIRST$ contra $SECOND_COUNTRY$;;;;;;;;;x;
ADJ_FORT_EXTRA_ATTR;And §R+$VAL$%§W from hostile adjacent forts.;Et §R+$VAL$%§W des forts adjacents ennemis.;Und §R+$VAL$%§W von feindlichen Forts in der Nähe.;;Y §R+$VAL$%§W de fuertes hostiles adyacentes.;;;;;;;;;x;
IS_NOT_ACCEPTED_CULTURE_POP;does not belong to an accepted culture.\n;n'appartient pas à une culture acceptée.\n;gehört nicht zu einer akzeptierten Kultur.\n;;no pertenece a una cultura aceptada.\n;;;;;;;;;x;
IS_ACCEPTED_CULTURE_POP;belong to an accepted culture.\n;appartient à une culture acceptée.\n;gehört zu einer akzeptierten Kultur.\n;;pertenece a una cultura aceptada.\n;;;;;;;;;x;
IS_NOT_PRIMARY_CULTURE_POP;Is not §Y$NAME$§W\n;N'est pas §Y$NAME$§W\n;Ist nicht §Y$NAME$§W\n;;No es §Y$NAME$§W\n;;;;;;;;;x;
IS_PRIMARY_CULTURE_POP;Is §Y$NAME$§W\n;Est §Y$NAME$§W\n;Ist §Y$NAME$§W\n;;Es §Y$NAME$§W\n;;;;;;;;;x;
NEW_CORE_EFFECT_TAG2;$TAG$ will gain §Y$NEW$§W as core.\n;$TAG$ Obtiendra §Y$NEW$§W comme territoire clé.\n;$TAG$ erhält §Y$NEW$§W als Kernprovinz.\n;;$TAG$ obtendrá §Y$NEW$§W como núcleo.\n;;;;;;;;;x;
digin;Dig-In;Retranchement;Eingraben;;Atrincherar;;;;;;;;;x;
terrain;Terrain;Terrain;Gelände;;Terreno;;;;;;;;;x;
crossing;Crossing;Passage;Brücke;;Paso;;;;;;;;;x;
total_occupation;Occupied Home Provinces;Provinces nationales occupées;Besetzte Heimatprovinzen;;Provincias nacionales ocupadas;;;;;;;;;x;
total_blockaded;Blockaded Home Ports;Ports nationaux sous blocus;Blockierte Heimathäfen;;Puertos nacionales bloqueados;;;;;;;;;x;
PW_SLAVE_STATE;Slave State;État esclavagiste;Sklavenstaat;;Estado esclavista;;;;;;;;;x;
CURR_REL_TT;Our current relations.;Nos relations actuelles.;Unsere aktuellen Beziehungen.;;Nuestras relaciones actuales.;;;;;;;;;x;
great_power;Great Power;Grande Puissance;Großmacht;;Gran potencia;;;;;;;;;x;
second_power;Secondary Power;Puissance secondaire;Sekundärmacht;;Potencia menor;;;;;;;;;x;
civ_nation;Civilized Nation;Nation civilisée;Zivilisierte Nation;;Nación civilizada;;;;;;;;;x;
unciv_nation;Uncivilized Nation;Nation non civilisée;Unzivilisierte Nation;;Nación sin civilizar;;;;;;;;;x;
REB_TYPE_SIZE;§YRebel Support§W;§YSoutien rebelle§W;§YRebellenunterstützung§W;;§YApoyo rebelde§W;;;;;;;;;x;
REB_TYPE_POWER;§YRebel Power§W;§YPuissance rebelle§W;§YRebellenmacht§W;;§YPotencia rebelde§W;;;;;;;;;x;
PRODUCTION_MUST_PORT_ONLY;Only produced in ports.\n;Production dans les ports uniquement.\n;Wird nur in Häfen produziert.\n;;Solo se puede producir en puertos.\n;;;;;;;;;x;
POPULATION_CHANGED_BY;Population changed by;Évolution démographique :;Bevölkerung geändert um;;La población ha cambiado en;;;;;;;;;x;
COMBAT_LEADER_MOD;Leader;Chef;Anführer;;Líder;;;;;;;;;x;
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;It is not possible to switch ruling parties in the middle of an election.;Il est impossible de changer de parti dirigeant en cours d'élection.;Während einer Wahl ist es unmöglich, die Regierungspartei zu wechseln.;;No se puede cambiar el partido gobernante durante unas elecciones.;;;;;;;;;x;
IS_NOT_OVERSEAS;Is NOT overseas;n'est PAS outremer;ist KEINE Übersee-Provinz.;;NO está en el extranjero;;;;;;;;;x;
IS_OVERSEAS;Is overseas;est outremer;ist Übersee-Provinz.;;está en el extranjero;;;;;;;;;x;
SHIP_SUB_NAME;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$s $TYPE$;;$NUM$$ORDER$ $HOME$ $TYPE$;;;;;;;;;x;
FOLLOWING_HAVE_CLAIMS;The following countries have claims here.;Les pays suivants revendiquent cet endroit :;Die folgenden Länder haben hier Ansprüche:;;Aquí tienen pretensiones los siguientes países:;;;;;;;;;x;
COUNTRY_IS_NOT_CULTURE;Primary Culture is NOT;La culture principale n'est PAS;Primärkultur ist NICHT;;La cultura principal NO es;;;;;;;;;x;
COUNTRY_IS_CULTURE;Primary Culture is;La culture principale est;Primärkultur ist;;La cultura principal es;;;;;;;;;x;
NO_ASSIM_NOW;No Current Assimilation;Pas d'assimilation pour le moment;Momentan keine Assimilierung;;Sin asimilar;;;;;;;;;x;
MODIFIER_LOCAL_REPAIR;Ship Repair Speed;Vitesse de réparation des navires;Schiffsreparaturgeschwindigkeit;;Velocidad de reparación de nave;;;;;;;;;x;
BADBOY_DRO_1;Monthly Infamy Change:\n;Infamie - Évolution mensuelle :\n;Monatliche Infamie-Veränderung:\n;;Cambio de infamia mensual:\n;;;;;;;;;x;
REGIMENT_SIZE;Current Size: §Y$SIZE$§W\n;Taille actuelle : §Y$SIZE$§W\n;Aktuelle Größe: §Y$SIZE$§W\n;;Tamaño actual: §Y$SIZE$§W\n;;;;;;;;;x;
CURRENT_MORALE;Organisation: §Y$SIZE$§W of $MAX$.\n;Organisation : §Y$SIZE$§W sur $MAX$.\n;Organisation: §Y$SIZE$§W von $MAX$.\n;;Organización: §Y$SIZE$§W of $MAX$.\n;;;;;;;;;x;
SUPPLY_COST;Supply Costs;Frais d'approvisionnement;Versorgungskosten;;Costes de abastecimiento;;;;;;;;;x;
ALL_CORE_PROVINCE_THAT;For all core provinces ;Pour tous les territoires clés ;Für alle Kernprovinzen;;Para todas las provincias núcleo ;;;;;;;;;x;
BREAKCOUNTRY_SETUP;When a rebel faction enforces its demands in our nation;Si une faction rebelle impose ses revendications à notre nation;Wenn eine Rebellenfraktion ihre Forderungen in unserer Nation erzwingt.;;Cuando una facción rebelde impone sus demandas en nuestra nación;;;;;;;;;x;
BREAKCOUNTRY_HEADER;Report from $CAPITAL$;Rapport en provenance de $CAPITAL$;Bericht aus $CAPITAL$:;;Informe desde $CAPITAL$;;;;;;;;;x;
BREAKCOUNTRY_1;$FACTION$ Win!;$FACTION$ l'emportent !;$FACTION$ haben gesiegt!;;¡Victoria de los $FACTION$!;;;;;;;;;x;
BREAKCOUNTRY_2;$MONARCHTITLE$, the $FACTION$ have enforced their demands!;$MONARCHTITLE$, $FACTION$ ont imposé leurs revendications !;$FACTION$ haben gesiegt!;;¡$MONARCHTITLE$, los $FACTION$ han impuesto sus demandas!;;;;;;;;;x;
BREAKCOUNTRY_3;*;*;*;*;*;*;*;;;;;;;x;
BREAKCOUNTRY_4;$EFFECTS$;$EFFECTS$;$EFFECTS$;;$EFFECTS$;;;;;;;;;x;
BREAKCOUNTRY_5;*;*;*;*;*;*;*;;;;;;;x;
BREAKCOUNTRY_6;*;*;*;*;*;*;*;;;;;;;x;
BREAKCOUNTRY_LOG;$FACTION$ enforce their demands!;$FACTION$ imposent leurs revendications !;$FACTION$ haben gesiegt!;;¡Los $FACTION$ imponen sus demandas!;;;;;;;;;x;
BREAKCOUNTRY_BTN1;Horror!;Horreur !;Oh Graus!;To straszne!;¡Qué horror!;Orrore!;Rettegés!;Hrùza!;;;;;;x;
BREAKCOUNTRY_BTN2;Horror!;Horreur !;Oh Graus!;To straszne!;¡Qué horror!;Orrore!;Rettegés!;Hrùza!;;;;;;x;
BREAKCOUNTRY_BTN3;Goto;Voir;Goto;IdŸ do;Ir allí;Andare;Menj ide;Pøejít na;;;;;;x;
BREAKCOUNTRY_MAP;*;*;*;*;*;*;*;;;;;;;x;
BREAKCOUNTRYOTHER_SETUP;When a rebel faction enforces its demands in another nation;Si une faction rebelle impose ses revendications à une autre nation;Wenn eine Rebellenfraktion ihre Forderungen in einer anderen Nation erzwingt.;;Cuando una facción rebelde impone sus demandas en otra nación;;;;;;;;;x;
BREAKCOUNTRYOTHER_HEADER;Ambassador from;Ambassadeur de;Botschafter aus;;Embajador de;;;;;;;;;x;
BREAKCOUNTRYOTHER_1;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;;;;;;x;
BREAKCOUNTRYOTHER_2;$FACTION$ have enforced their demands in;$FACTION$ ont imposé leurs revendications en;$FACTION$ haben den Sieg errungen!;;Los $FACTION$ han impuesto sus demandas en;;;;;;;;;x;
BREAKCOUNTRYOTHER_3;$OTHER$;$OTHER$;$OTHER$ ist kollabiert.;;$OTHER$;;;;;;;;;x;
BREAKCOUNTRYOTHER_4;$EFFECTS$;$EFFECTS$;$EFFECTS$;;$EFFECTS$;;;;;;;;;x;
BREAKCOUNTRYOTHER_5;*;*;*;*;*;*;*;;;;;;;x;
BREAKCOUNTRYOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
BREAKCOUNTRYOTHER_LOG;$FACTION$ enforce their demands in $OTHER$!;$FACTION$ imposent ses revendications en $OTHER$ !;$FACTION$ siegten in $OTHER$!!;;¡Los $FACTION$ imponen sus demandas en $OTHER$!;;;;;;;;;x;
BREAKCOUNTRYOTHER_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
BREAKCOUNTRYOTHER_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
BREAKCOUNTRYOTHER_BTN3;Goto;Voir;Goto;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
BREAKCOUNTRYOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
INVENTION_SETUP;When you have gained an invention.;Si vous obtenez une invention;Wenn Sie eine Erfindung erhalten haben.;;Cuando consigas hacer un invento;Quando acquisisci un'invenzione;;;;;;x;;;
INVENTION_HEADER;Reports on;Rapports sur;Bericht über eine;;Informe sobre;;;;;;;;;x;
INVENTION_1;Major Discovery;Découverte majeure;Große Entdeckung;;Descubrimiento importante;Grande scoperta;;;;;;x;;;
INVENTION_2;Scientists in our country have discovered;Les scientifiques de notre pays ont découvert;Wissenschaftlicher unseres Landes entdeckten;;Los científicos de nuestro país han descubierto;;;;;;;;;x;
INVENTION_3;$INVENTION$;$INVENTION$;$INVENTION$;;$INVENTION$;$INVENTION$;;;;;;x;;;
INVENTION_4;$DESC$;$DESC$;$DESC$;;$DESC$;$DESC$;;;;;;x;;;
INVENTION_5;EFFECT:;EFFETS :;Das hat folgende Effekte:;;EFECTO:;EFFETTO:;;;;;;x;;;
INVENTION_6;$EFFECT$;$EFFECT$;$EFFECT$;;$EFFECT$;$EFFECT$;;;;;;x;;;
INVENTION_LOG;We have discovered how $INVENTION$ works.;Nous avons découvert : $INVENTION$.;Wir haben herausgefunden, was $INVENTION$ ermöglicht.;;Hemos descubierto cómo funciona el invento siguiente: $INVENTION$.;Abbiamo scoperto il funzionamento di: $INVENTION$.;;;;;;x;;;
INVENTION_BTN1;OK;D'accord;OK;OK;;Aceptar;OK;;;;;;x;;
INVENTION_BTN2;OK;D'accord;OK;OK;;Aceptar;OK;;;;;;x;;
INVENTION_BTN3;Details;Détails;Details;;Detalles;Dettagli;;;;;;x;;;
INVENTION_MAP;*;*;*;;*;*;;;;;;x;;;
revanchism;Revanchism;Revanchisme;Revanchismus;;Revanchismo;;;;;;;;;x;
plurality;Plurality;Pluralité;Pluralität;;Pluralidad;;;;;;;;;x;
TOPBAR_LEADERSHIP_GAIN_TOOLTIP;We gain §Y$CURR$§W leadership from our officers each month.;Nos officiers nous permettent de gagner §Y$CURR$§W points de commandement par mois.;Wir erhalten von unseren Offizieren monatlich §Y$CURR$§W Anführerschaft.;;Obtenemos §Y$CURR$§W de liderazgo de nuestros oficiales cada mes.;;;;;;;;;x;
UW_AASIGN;Autoassign Leaders;Attribution automatique des officiers;Anführer autom. zuteilen;;Asignación automática de líderes;;;;;;;;;x;
ATTR_SAFE_RANGE;A Fleet in range of supply ships, and near a coast will not take any attrition.;Une flotte à portée de navires ravitailleurs et à proximité d'une côte, ne subit aucune attrition.;Eine Flotte innerhalb der Reichweite von Versorgungsschiffen und nahe einer Küste erleidet keine Verluste.;;Una flota dentro del alcance de los barcos de suministro y cerca de una costa no sufrirá desgaste alguno.;;;;;;;;;x;
TECHNOLOGYVIEW_HAVE_NOT_YEAR;It is not possible to start researching this before §Y$YEAR$§W.;Il est impossible d'entamer ces travaux avant §Y$YEAR$§W.;Die Erforschung hiervon ist nicht vor dem Jahr §Y$YEAR$§W möglich.;;Esto no se puede empezar a investigar antes de §Y$YEAR$§W.;;;;;;;;;x;
ENCOURAGEMENT_FOR;Encouragement for ;Encouragement pour ;Ermutigung zu ;;Fomento de ;;;;;;;;;x;
IS_NOT_PRIMARY_CULTURE;§Y$NAME$§W is NOT primary culture.\n;§Y$NAME$§W n'est PAS une culture principale.\n;§Y$NAME$§W ist NICHT Primärkultur.\n;;La §Y$NAME$§W NO es una cultura principal.\n;;;;;;;;;x;
IS_PRIMARY_CULTURE;§Y$NAME$§W is primary culture.\n;§Y$NAME$§W est une culture principale.\n;§Y$NAME$§W ist Primärkultur.\n;;La §Y$NAME$§W es una cultura principal.\n;;;;;;;;;x;
IS_NOT_ACCEPTED_CULTURE2;§Y$NAME$§W is NOT an accepted culture.\n;§Y$NAME$§W n'est PAS une culture acceptée.\n;§Y$NAME$§W ist KEINE akzeptierte Kultur.\n;;La §Y$NAME$§W NO es una cultura aceptada.\n;;;;;;;;;x;
IS_ACCEPTED_CULTURE2;§Y$NAME$§W is an accepted culture.\n;§Y$NAME$§W est une culture acceptée.\n;§Y$NAME$§W ist eine akzeptierte Kultur.\n;;La §Y$NAME$§W es una cultura aceptada.\n;;;;;;;;;x;
ALL_COUNTRIES_EFF;All countries;Tous les pays;Alle Länder;;Todos los países;;;;;;;;;x;
ALL_COUNTRIES_THAT_EFF;All countries that;Tout pays qui;Alle Länder, die;;Todos los países que;;;;;;;;;x;
GETTING_ONLY_NEEDS;Getting only $NEED$: §Y$VAL$%§W;Recevant à peine '$NEED$' : §Y$VAL$%§W;Decken lediglich $NEED$: §Y$VAL$%§W;;Solo consigue $NEED$: §Y$VAL$%§W;;;;;;;;;x;
tutorial_chapter_introduction;End of Introduction.;Fin de l'introduction.;Ende der Einleitung.;;Fin de la introducción;;;;;;;;;x;
tutorial_end_of_chapter;End of Tutorial Chapter;Fin du chapitre du didacticiel;Ende des Tutorialkapitels;;Fin del capítulo tutorial;;;;;;;;;x;
ISSUE_MOVE_EFFECT;§Y$PERCENTAGE$%§W of pops move from §YFROM§W to §YTO§W;§Y$PERCENTAGE$%§W des POP émigrent de §YFROM§W vers §YTO§W;§Y$PERCENTAGE$%§W der Bevs ziehen von §YFROM§W nach §YTO§W um.;;Un §Y$PERCENTAGE$%§W de las POB se desplaza de §YFROM§W a §YTO§W;;;;;;;;;x;
ADD_WARGOAL_EFFECT;When we add this war goal, we will gain:;Si objectif de guerre ajouté, nous aurons :;Wenn wir dieses Kriegsziel hinzufügen, erhalten wir:;;Al añadir este objetivo bélico, obtendremos:;;;;;;;;;x;
ADD_WARGOAL_SUCCESS;If we achive this war goal, we will gain:;Si objectif de guerre atteint, nous aurons :;Wenn wir dieses Kriegsziel erreichen, erhalten wir:;;Si logramos este objetivo bélico, obtendremos:;;;;;;;;;x;
ADD_WARGOAL_FAILURE;If we fail to achive this war goal, we will gain:;Si objectif de guerre manqué, nous aurons :;Wenn wir dieses Kriegsziel nicht erreichen, erhalten wir:;;Si fracasamos en este objetivo bélico:;;;;;;;;;x;
WARDIALOG_TRUCE;Truce: ;Trêve : ;Waffenruhe:;;Tregua: ;;;;;;;;;x;
WARDIALOG_NOCB;No casus belli: ;Pas de casus belli : ;Kein Kriegsgrund:;;Sin ‘casus belli’: ;;;;;;;;;x;
DIPLOMACY_INFAMY2;Infamy: $VALUE$;Infamie : $VALUE$;Infamie: $VALUE$;;Infamia: $VALUE$;;;;;;;;;x;
DIPLOMACY_PRESTIGE2;Prestige: $VALUE$;Prestige : $VALUE$;Prestige: $VALUE$;;Prestigio: $VALUE$;;;;;;;;;x;
DIPLOMACY_MILITANCY2;Militancy: $VALUE$;Militantisme : $VALUE$;Militanz: $VALUE$;;Militancia: $VALUE$;;;;;;;;;x;
REMOVE_DIPLOMACY_WARDIALOG_ALLIES;§Y$COUNTRY$§W has the following allies:;§Y$COUNTRY$§W a les alliés suivants :;§Y$COUNTRY$§W hat folgende Verbündete:;;§Y$COUNTRY$§W cuenta con los siguientes aliados:;;;;;;;;;x;
REMOVE_DIPLOMACY_WARDIALOG_NUM_ALLIES;§Y$COUNTRY$§W has §Y$NUM$§W allies;§Y$COUNTRY$§W a §Y$NUM$§W alliés;§Y$COUNTRY$§W hat §Y$NUM$§W Verbündete.;;§Y$COUNTRY$§W tiene §Y$NUM$§W aliados;;;;;;;;;x;
