BYZ_proletarian_dictatorship;Roman Worker's Republic;;;;;;;;;;;;x
BYZ_democracy;Roman Republic;;;;;;;;;;;;x
BYZ_fascist_dictatorship;Greater Roman Empire;;;;;;;;;;;;x
BYZ_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;x
BYZ_fascist_dictatorship_ADJ;Roman;;;;;;;;;;;;x
BAB;Babylon;Babylone;Babylon;;Babilonia;;;;;;;;;x
BAB_ADJ;Babylonian;babylonien;Babylonisch;;Babilónica;;;;;;;;;x
BAB_conservative;The Code of Laws Party;Le parti du code des lois;Die Gesetzbuchpartei;;El Partido del Código Legal;;;;;;;;;x
BAB_liberal;The Hanging Garden Party;Le parti des jardins (suspendus);Die (Hängende) Gartenpartei;;El Partido de los Jardines (Colgantes);;;;;;;;;x
BAB_reactionary;Hammurabi's Helpful;Parti hammourabien;Hammurabis Helfer;;Los Seguidores de Hammurabi;;;;;;;;;x
BAB_communist;The Ziggurat Faction;La faction ziggourat (marxiste-léniniste);Die Ziggurat-Fraktion (marxistisch-leninistisch);;La Facción Ziggurat (marxista-leninista);;;;;;;;;x
BAB_anarcho_liberal;Ama-gi Popular Front;Front populaire Ama-gi;Ama-gi-Volksfront;;Frente Popular Ama-gi;;;;;;;;;x
BAB_socialist;The Tower Builders;Les bâtisseurs de tours;Die Turmbauer;;Los Constructores de Torres;;;;;;;;;x
BAB_fascist;Babylon Zoo;Le Zoo de Babylone;Babylon Zoo;;El Zoo Babilónico;;;;;;;;;x
build_the_tower_of_babylon_title;The Tower of Babel;La tour de Babel;Der Turm von Babylon;;La Torre de Babel;;;;;;;;;x
build_the_tower_of_babylon_desc;Very little progress has been made in the past few thousand years on that greatest of all building projects initiated by our proud ancestors. With Iraq's recent ascent to power and standing in the world, there is some talk... though all talk has been strangely hard to understand lately... of starting the project back up again! With modern technology, who knows what wonders could be accomplished?;Au cours des derniers millénaires, très peu de progrès ont été faits sur le plus grand projet de construction initié par nos illustres ancêtres. Avec la montée en puissance récente et la nouvelle place dans le concert des nation de l'Iraq, on parle… même si récemment, le discourt s’est fait incompréhensible… de relancer le projet ! Avec la technologie moderne, qui sait quelles merveilles pourraient être accomplies ?;Im Laufe der letzten Jahrtausende wurden beim größten aller Bauprojekte, begonnen von unseren stolzen Vorfahren, kaum noch Fortschritte erzielt. Durch den kürzlichen Aufstieg des Iraks zu Macht und Ansehen in der Welt gibt es Gespräche ... die in letzter Zeit merkwürdigerweise nur schwer zu verstehen waren ... das Projekt wieder aufzunehmen! Welche Wunder wohl durch den Einsatz moderner Technologie möglich wären?;;En los últimos milenios apenas se han hecho progresos en el mayor de los proyectos de construcción iniciado por nuestros orgullosos antepasados. ¡Con el reciente ascenso de Irak en el concierto de las naciones, cada vez más voces (aunque cada vez más confusas, también es cierto) hablan de reiniciar el proyecto! Con la tecnología moderna, ¿quién sabe qué maravillas se podrían alcanzar?;;;;;;;;;x
BAB_absolute_monarchy;Babylonian Empire;;;;;;;;;;;;x
BAB_hms_government;Babylonian Empire;;;;;;;;;;;;x
BAB_prussian_constitutionalism;Babylonian Empire;;;;;;;;;;;;x
BAB_democracy;Republic of Babylonia;;;;;;;;;;;;x
BAB_fascist_dictatorship;Great Babylon;;;;;;;;;;;;x
BAB_proletarian_dictatorship;Worker's Republic of Euphrates;;;;;;;;;;;;x
reclaim_anatolia_title;Reclaim the Anatolian Themes;;;;;;;;;;;;x
reclaim_anatolia_desc;The Purple Phoenix rises in the East! Having reestablished itself amongst the empires of the West, the Byzantine Empire must work to recover its lands viciously taken from them by the Saracen and Slavic hordes over the centuries since its fall from its role as Hegemon of the East. Anatolia was the second jewel in the Byzantine Crown holding many of its finest cities and the majority of its landmass. However, since the early 15th Century, this proud land has been under the control of the Ottoman Empire. This trespass cannot stand! We shall liberate Anatolia for the Emperor and the Greco-Roman people!;;;;;;;;;;;;x
anatolia_retaken_title;Triumph for Anatolia!;;;;;;;;;;;;x
anatolia_retaken_desc;Anatolia is Roman once more! Byzantine forces have raised the Imperial Banner in every corner of Anatolia and its liberation from the Turkish cowards is nearly complete. However, centuries of Saracen domination has left this once proud Roman stronghold without strong connections to its once proud Greco-Roman heritage. This can hopefully be reversed in the coming years if we take steps to undo the "damage". Our first step should be to restore these lands their proper Greek names and encourage the rebuilding of old Greek settlements and fortresses. However, this move will likely draw the ire of the lands current Turkic and Caucasian people although they have done the same in the past to the Greek people, so we should not worry too much.;;;;;;;;;;;;x
french_cultural_unity;Cultural Assimilation;;;;;;;;;;;;x
liberate_balkan_themes_title;Liberate the Balkan Themes;;;;;;;;;;;;x
balkan_themes_retaken_title;Triumph for the Balkans!;;;;;;;;;;;;x
balkan_themes_retaken_desc;We have reestablished ourselves once again at the edge of the Danube where the Eastern and Western Roman Empire once met. Of course, it has been many centuries since either of the once proud Roman states has held a firm grip on the region. Since then, many Slavic peoples have taken up residence in the area and fiercely resist any efforts to be controlled by any outside great empire, including ours. But, we have proven our resolve before and we will bring this unruly territory under our dominion. In keeping parity with our actions in Anatolia we shall rename these territories in an effort to Romanize them and start to foster a sense of unity in the territories. But, as many of the conquered people have no other land to call home this will greatly outrage them but fortune has always favored the bold, and we are no exception. ;;;;;;;;;;;;x
romanization_edict_title;Romanization Edict;;;;;;;;;;;;x
romanization_edict_desc;Constantinople now stands as the undisputed master of the Asia Minor and the majority of the Balkans once again. However, we are a nation of many disparate nationalities, religions, and regional ties. Loyalty to the Basileus and to the Roman state is tenuous outside of Greek majority areas and there are worries in the Imperial Court that these areas could try to break away in order to reclaim their independence. There are steps that need to be taken in order to bring these cultures into the Roman fold and make them loyal citizens. Following the old model of Romanization, we need to first and foremost teach these new citizens the language of their Emperor: Greek. By issuing an edict mandating that primary schools and places of higher learning only operate in Greek and classical Latin we can ensure that our educated citizens will speak the imperial tongue and not the Slavic and Turkic languages of their ancestors and will go a long way over time in unifying the empire.;;;;;;;;;;;;x
liberate_balkan_themes_desc;Now that Anatolia is firmly in our grasp, it is time to turn our attention northwards to territories that have not been under Roman control for many centuries: The Balkan Themes. Largely lost to us after the “Sklavenoi” incursion lead by the First Bulgarian Empire in the 7th Century, these Slavic peoples had been a grave rival to Roman hegemony, even threatening Constantinople at points throughout our history. Fortunately, the rising power of the Austrians and the previous occupation of much of this land by the Turkish invaders has degraded the Slavs’ power in the region greatly, thus giving as the perfect opportunity to liberate it for Rome once more.  However, this will cause great dissent amongst the Slavic populations already present in our domain so we must tread carefully as not to create an all-out insurrection amongst them.
