EVTDESC16313;In a ruling delivered today, the Supreme Court has decided that the slaves involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, are legal property of their Spanish owners and should be returned to their possession as soon as possible in accordance with the Pinckney's Treaty. The court has no standing to question the legality of their status of slaves under Spanish law, and would be a mute point, as the slaves would -under U.S. law- have to be returned to Spain to stand trial for their involvement in the mutiny and death of the crew. This ruling is viewed as a landmark victory for property rights, and by extension slave power.;;;;;;;;;;;;;x
EVTDESC16314;In a ruling delivered today, the Supreme Court has decided that the slaves involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, are, in light of the outlawing of the trans-atlantic slave trade, slaves nor property, but, as the mutiny occured on a Spanish ships in Spanish waters resulting in the death of Spanish nationals, the Court has no standing to judge this matter and they have to be returned to Spain to stand trial.;;;;;;;;;;;;;x
EVTNAME16320;Civil Discourse;;;;;;;;;;;;;x;;;;
EVTDESC16320;'Mr. Sumner, I have read your speech twice over carefully. It is a libel on South Carolina, and Mr. Butler, who is a relative of mine.'-Representative Preston Brooks\n\nA brutal onslaught took place on the House floor today, as Southern representative Brooks pulled out his cane and proceeded to beat abolitionist Sumner senseless over an inflamatory and offensive speech made earlier. Caught by suprise, Sumner had no defense and no help, as any intercession was blocked by Brook's associates. Not even the breaking of the cane or Sumner's collapse to the ground halted the assault, only the arrival of the Sergeant at Arms did. Sumner lives, but is expected to suffer lasting damage from his ordeal.\nAnd yet, while this may be the most prominent example to date, this is not an isolated incident, as the battle lines over the issue of slavery are increasingly clear in our society.;;;;;;;;;;;;;x;;;;
EVTNAME16326;Prigg v. Pennsylvania;;;;;;;;;;;;;x
EVTDESC16326;A man by the name of Edward Prigg was convicted some time ago under Pennsylvania law on grounds of abduction and assault for trying to return a -virtually free, but never legally emancipated- slave to her legal owners. As such action is legal under the Constitution and federal law, Prigg has brought suit against the state of Pennsylvania on the grounds that Pennsylvania law violates the Constitution and federal law.\n\nThe Supreme Court, having heard the arguments, has ruled that the Pennsylvania law is unconstitutional as a denial of slaveholder right's to recover their property under the Constitution and federal law. However, the rulling included the caveat that, if state law so prohibits, state officials cannot be compelled to enforce these rights. In effect, this rulling relieves state officials from their duty to enforce the return of fugitive slaves and makes it a fully federal matter, only enforcable by federal officials.;;;;;;;;;;;;;x
EVTDESC16327;A man by the name of Edward Prigg was convicted some time ago under Pennsylvania law on grounds of abduction and assault for trying to return a -virtually free, but never legally emancipated- slave to her legal owners. As such action is legal under the Constitution and federal law, Prigg has brought suit against the state of Pennsylvania on the grounds that Pennsylvania law violates the Constitution and federal law.\n\nThe Supreme Court, having heard the arguments, has ruled that the Pennsylvania law is unconstitutional as a denial of slaveholder right's to recover their property under the Constitution and federal law. Adding that state officials are compelled to uphold the constitutional rights of slaveholders, failure to do so resulting in penalties.;;;;;;;;;;;;;x
EVTNAME650010;The Trail of Tears;;;;;;;;;;;;;x;;;;
EVTDESC650010;The U.S. Congress has enacted the Indian Removal Act, which authorises the U.S. President to enter into negotiations with us to swap our territory east of the Mississippi for new lands west of the river.\n\nThey have now come to force us of our land, and we dear not refuse.;;;;;;;;;;;;;x;;;;
EVTNAME650011;Treaty of Dancing Rabbit Creek;;;;;;;;;;;;;x;;;;
EVTDESC650011;'In the whole scene there was an air of ruin and destruction, something which betrayed a final and irrevocable adieu. ... I asked one why they were leaving their country. "To be free," he answered, could never get any other reason out of him. We... watched the expulsion... of one of the most celebrated and ancient American peoples.' -Alexander de Tocqueville, Democracy in America.\n\nUnder the terms of the Indian Removal Act, we have agreed to a landswap with the Choctaw Nation. They are now marching West, to settle in a new home, away from the bones of their ancestors.;;;;;;;;;;;;;x;;;;
EVTNAME650012;Treaty of Cusseta;;;;;;;;;;;;;x;;;;
EVTDESC650012;'Your Father has provided a country large enough for all of you, and he advises you to remove to it. There your white brothers will not trouble you: They will have no claim to the land, and you can live upon it you and all your children, as long as the grass grows or the water runs, in peace and plenty. It will be yours forever.' -President Andrew Jackson\n\nUnder the terms of the Indian Removal Act, we have agreed to a landswap with the Creek Nation. They are now marching West, to settle in a new home, away from the bones of their ancestors.;;;;;;;;;;;;;x;;;;
EVTNAME650013;Treaty of New Echota;;;;;;;;;;;;;x;;;;
EVTDESC650013;'I saw the helpless Cherokees arrested and dragged from their homes, driven at the bayonet point into the stockade. In the chill of a drizzling rain, I saw them loaded like cattle or sheep into wagons and started toward the west... We encountered a terrific sleet and snow storm with freezing temperatures, from that day until we reach the end of the fateful journey, the sufferings of Cherokees were awful. The trail of the exiles was a trail of death. They had to sleep in the wagons and on the ground without fire. And I've known as many as twenty-two of them to die in one night of pneumonia due to ill treatment, cold and exposure...' -Private John G. Burnett\n\nUnder the terms of the Indian Removal Act, we have agreed to a landswap with the Cherokee Nation. They are now marching West, to settle in a new home, away from the bones of their ancestors.;;;;;;;;;;;;;x;;;;
EVTNAME650015;Treaty of Payne's Landing;;;;;;;;;;;;;x;;;;
EVTDESC650015;Under the terms of the Indian Removal Act, we have agreed to a landswap with the Seminole Nation. However they claim -not completely unjustified- that the treaty was signed under duress and the new lands unsuitable for their needs. They are therefor refusing to go.;;;;;;;;;;;;;x;;;;
EVTNAME650020;The Great Intrusion;;;;;;;;;;;;;x;;;;
EVTDESC650020;"Gold! Gold! I have found Gold! A mountain of Gold!" To the White Man, gold is the object of ultimate desire. And in their persuit of it, nothing is sacred to them. Forests, mountains, settlements, treaties, all that stands between the White Man and his gold will be destroyed. Now the news of gold in our territory is spreading into White Man's lands, and this is sure to cause many to come to our lands in search of it.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;;;;
EVTNAME650021;Golden Georgia;;;;;;;;;;;;;x;;;;
EVTDESC650021;A man returned to $PROVINCENAME$ from the North Georgia mountains today, carrying with him a rock with a distinctive hue, a very distinctive hue. It does not take long for it to be confirmed what the man already knew...\n\nIt seem that, this year, it isn't just the trees turning golden in Georgia.;;;;;;;;;;;;;x;;;;
EVTNAME650022;Golden Georgia!;;;;;;;;;;;;;x
EVTDESC650022;A dried up old traveller has returned from the mountains. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!'\n\nHoping to pay his tap with a nugget, the barkeep informs him that what he thought of as gold is in fact worthless pyrite: fool's gold...;;;;;;;;;;;;;x
EVTNAME650025;Worcester v. Georgia;;;;;;;;;;;;;x;;;;
EVTDESC650025;'The relationship between the Indian Nations and the United States is that of nations. ... The Federal Government inhereted the sole right to deal with the Indian Nations from Great Britain.'\n\nThe Supreme Court has issued a ruling today, vacating the conviction of Samuel Worcester who was caught on Indian lands without a license. A requirement under Georgian state law, the Supreme Court ruled that the Indian Tribes are sovereign nations and state law is not applicable on their lands.\n\nA major setback for Georgia, which had been pursuing Indian removal in its own right, as well as advocates of states rights, as it reinforces federal supremacy.;;;;;;;;;;;;;x;;;;
EVTNAME660015;American Encroachment;;;;;;;;;;;;;x;;;;
EVTDESC660015;The Americans are ever encroaching on our territory, causing a rise in tensions. If we do not agree to some land cessions, we might loose it all!;;;;;;;;;;;;;x;;;;
EVTNAME660016;The Treaties of $PROVINCENAME$;;;;;;;;;;;;;x;;;;
EVTDESC660016;As our nation grows and ever expands westwards, tensions between our settlers and the Indians, and amongst the Indians themselves is a growing cause for concern: violence is never far on the frontier.\n\nTo protect our settlers we've been entering into treaties with the $STATENAME$ Indian tribes to open lands for settlement, as well as stabilise inter-tribal relations.;;;;;;;;;;;;;x;;;;
EVTNAME660020;The Black Hawk War;;;;;;;;;;;;;x;;;;
EVTDESC660020;In 1832 Black Hawk and a band of his followers -the British Band- crossed the Mississippi east to his home village, however the territory it occupied was ceded to US previously, and now occupied by squaters awaiting the possibility to buy it. While he may have had peaceful intentions, it was interpreted as a hostile move by the American authorities, who attacked him leading to the subsequen Black Hawk War.\n\nThis event will repeat as it triggers various other events.;;;;;;;;;;;;;x;;;;
EVTNAME660021;Frontier Life;;;;;;;;;;;;;x;;;;
EVTDESC660021;Frontiersmen are rough men, used to rough ways. They have to be. Away from the cities and civilisation, they live a harsh life of hard work and self reliance. Yet it also holds its own rewards. It is a life of adventure, it is a life of independence, it is a life of freedom. Nowhere can a man better prove himself than on the frontier.\n\nA group of $PROVINCENAME$ frontiersmen got a taste of the real frontier today, when their encampment was set upon by a group of wild Indians. Apparently, the Indians used to call it home... ;;;;;;;;;;;;;x;;;;
EVTNAME660022;The Marching Band;;;;;;;;;;;;;x;;;;
EVTDESC660022;Under a British flag they march, these Indians. A banner woven of the finest silk, granted to them for their support of the British in the War of 1812. Now, once more, this British Band marches against us...\n\nTheir intentions may not be stated, but thousands of heavily armed Indians, they do not march for no reason...!;;;;;;;;;;;;;x;;;;
EVTNAME660023;And They Keep Marching On...;;;;;;;;;;;;;x;;;;
EVTDESC660023;The Indian band marching through Illinois is proving to be an elusive force, their silk banner appearing in $PROVINCENAME$, while reports place them somewhere completely else. They are yet to open full hostilities, but the people of Illinois are getting ever more anxious on what this might mean...;;;;;;;;;;;;;x;;;;
EVTNAME660025;Disaster!;;;;;;;;;;;;;x;;;;
EVTDESC660025;All of Illinois is in turmoil as news of the disaster our forces suffered spreads... An advanced detachment harrying the British Band broke and ran when their encampment set upon by, what was perhaps, 1/6th their number of Indians. An utter and complete disgrace, which has thoroughly shaken, perhaps destroyed, the faith our people have in the armed forces...;;;;;;;;;;;;;x;;;;
EVTDESC660030;When the Americans killed a group sent to negotiate under a flag of truce, Black Hawk decided it was war! From now he engaged on a campaign of raiding American settlements and spreading wanton destruction.;;;;;;;;;;;;;x;;;;
EVTNAME660031;Refugees!;;;;;;;;;;;;;x;;;;
EVTDESC660031;'Bloodthirsty Warriors... Sweeping northern Illinois with the bosom of destruction...!'\n\n$PROVINCENAME$ is swamped with refugees from Northern Illinois and Southern Wisconson, fleeing raiding by the British Band and its leader Black Hawk.\n\n[You lost a province to the Indian Tribes.];;;;;;;;;;;;;x;;;;
EVTNAME660032;Refugees!;;;;;;;;;;;;;x;;;;
EVTDESC660032;$PROVINCENAME$ is swamped with refugees from Northern Illinois and Southern Wisconson, who left their homes after news of that the British Band has arrived in their region spread, yet the army did not show up to protect them.\n\n[You lost a province to the Indian Tribes.];;;;;;;;;;;;;x;;;;
EVTNAME660033;Raids!;;;;;;;;;;;;;x;;;;
EVTDESC660033;Various Indian nations would join in Black Hawk's war. If not to support Black Hawk, then certainly to settle some score or another.;;;;;;;;;;;;;x;;;;
EVTNAME660040;The Bad Axe Massacre;;;;;;;;;;;;;x;;;;
EVTDESC660040;Trapped on three sides by the army, on the fourth by a gunboat on the river, there was no escape for Black Hawk's British Band. Those managing to escape across the river, were mercilessly hunted down by Sioux allies.\n\nThe British Band has been decimated and is unlikely to bother us again soon.;;;;;;;;;;;;;x;;;;
EVTNAME660042;The Black Hawk Purchase;;;;;;;;;;;;;x;;;;
EVTDESC660042;Our victory over Black Hawk, his British Band and his allies, has given us grounds to acquire $PROVINCENAME$ for our own settlement.;;;;;;;;;;;;;x;;;;
EVTNAME660043;A Humiliating Defeat;;;;;;;;;;;;;x;;;;
EVTDESC660043;Sunday soldiers they are, these militia men, more interested in earning glory and having a jolly good time than winning battles. Faced with Black Hawk's fearless Band, committed to their cause, they faltered and showed their true colours. Once more they ran.\n\nThe people and state of Illinois have decided that they prefer to leave the North Illinois to Indians...;;;;;;;;;;;;;x;;;;
EVTNAME660051;A meeting at Fort Lamarie;;;;;;;;;;;;;x;;;;
EVTDESC660051;The Great Father has called a meeting of all the Plains Nations, no doubt to force the cession of our lands...;;;;;;;;;;;;;x;;;;
EVTDESC660052;The Great Father has called a meeting of all the Plains Nations, at Fort Lamarie. This is located within Sioux territory: our nemesis!;;;;;;;;;;;;;x;;;;
EVTNAME660055;The Treaty of Fort Laramie;;;;;;;;;;;;;x;;;;
EVTDESC660055;The $FROMCOUNTRY_ADJ$ have agreed to our proposals.;;;;;;;;;;;;;x;;;;
EVTDESC660056;The $FROMCOUNTRY_ADJ$ have rejected our proposals.;;;;;;;;;;;;;x;;;;
EVTDESC660057;The $FROMCOUNTRY_ADJ$ have sent word that they do not intent to participate to answer our call for a conference, stating that Fort Laramie is within Sioux territory, their enemies.;;;;;;;;;;;;;x;;;;
EVTNAME680100;The Oregon Trail;;;;;;;;;;;;;x;;;;
EVTDESC680100;[Placeholder];;;;;;;;;;;;;x;;;;
EVTNAME680101;The York Factory Express;;;;;;;;;;;;;x;;;;
EVTDESC680101;[Placeholder];;;;;;;;;;;;;x;;;;
EVTNAME680102;The Great Trek of $YEAR$;;;;;;;;;;;;;x;;;;
EVTDESC680102;[Placeholder];;;;;;;;;;;;;x;;;;
EVTNAME680105;The Oregon Trail;;;;;;;;;;;;;x;;;;
EVTDESC680105;New settlers have arrived in the Oregon Territory. Traveling west over the Oregon Trail, these are American settlers.;;;;;;;;;;;;;x;;;;
EVTNAME680106;The York Factory Express;;;;;;;;;;;;;x;;;;
EVTDESC680106;New settlers have arrived in the Oregon Territory. Traveling west via the York Factory Express, these are British settlers.;;;;;;;;;;;;;x;;;;
EVTNAME680103;New Lands!;;;;;;;;;;;;;x;;;;
EVTDESC680103;The rapid inflow of migrants means most easily accessible lands have been settled. New arrivals, looking for better territories, have decided to settle new lands!;;;;;;;;;;;;;x;;;;
EVTNAME675000;Into the Wild;;;;;;;;;;;;;x;;;;
EVTDESC675000;Moving through the wilderness along ancient Indian paths, when suddenly the atmosphere changes: The wood are starting to thin and the narrow path becomes what could almost be considered a road. Tree stumps indicate someone recently logged these woods, then, there, in the distance, smoke! Coming from what appears to be a log cabin!\n\nSlowly, as the population along the coast increases, people are pushing back the frontier in search of new and fertile lands to settle.\n\n[You gained $PROVINCENAME$];;;;;;;;;;;;;x;;;;
EVTNAME675001;Into the West;;;;;;;;;;;;;x;;;;
EVTDESC675001;[Placeholder]\n\n[You gained $PROVINCENAME$];;;;;;;;;;;;;x;;;;
EVTNAME675002;The Numbered Treaties;;;;;;;;;;;;;x;;;;
EVTDESC675002;[Placeholder]\n\n[You gained $PROVINCENAME$];;;;;;;;;;;;;x;;;;
EVTNAME675003;Along the $STATENAME$ Coast;;;;;;;;;;;;;x;;;;
EVTDESC675003;Maps you say? Maps?! Sure, they show the coast and currents well enough, but human settlements? No... Things change too rapidly here to keep up to date maps on such matters.\nAs the ship enters the bay it becomes clear that the reports of settlement had been greatly exeggerated. Somebody is living here, but not enough to make this a profitable venture... But it matters not, if not here, then a few miles up the coast there will be more people. And so the ship pushes further northward, ever northwards... \n\n[You gained $PROVINCENAME$];;;;;;;;;;;;;x;;;;
EVTNAME675010;Canadian Settlement Act;;;;;;;;;;;;;x;;;;
EVTDESC675010;The growing population of Canada is pushing people west, into the wood and onto the priarie.;;;;;;;;;;;;;x;;;;
EVTNAME675031;Gold!;;;;;;;;;;;;;x
EVTDESC675031;'Gold! Gold! Gold from the $COUNTRY_ADJ$ River!'\n\nA man, as if possessed, runs through the streets of $PROVINCENAME$, raising a vial of gold in one hand, flapping his hat in the other, franticly proclaim the discovery of gold in the mountains of California.\n\nEarlier this day, that very same man opened the only store in prospecting equipment in the region...;;;;;;;;;;;;;x
EVTNAME675032;Gold!;;;;;;;;;;;;;x
EVTDESC675032;A dried up old traveller has returned from the wilderness. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!'\n\nHoping to pay his tap with a nugget, the barkeep informs him that what he thought of as gold is in fact worthless pyrite: fool's gold...;;;;;;;;;;;;;x
EVTNAME675035;The Forty-Niners;;;;;;;;;;;;;x
EVTDESC675035;'It was a driving, vigorous, restless population... It was a curious population. It was the only population of the kind the world has ever seen gathered together, and it is not likely the world will ever see its like again. For, observe, it was an assemblage of two hundred thousand young men -not simpering, dainty, kid-gloved weaklings, but stalwart, muscular, dauntless young braves, brimful of push and energy, royally endowed with every attribute that goes to make up a peerless and magnificent manhood- the very pick and choice of the world's glorious ones... The stranges population, the finest population, the most gallant host that ever trooped down the startled solitudes of an unpopulated land.' -Mark Twain\n\nThey come from all walks of life, these 49ers, setting out for a new new life, hoping to strike it rich in the mountains of California.;;;;;;;;;;;;x
EVTNAME675036;The Forty-Niners;;;;;;;;;;;;;x
EVTDESC675036;As news of the gold finds of California spreads around the world, men of all walks of life are descending on the state, hoping to find instand wealth in the mountains.\n\nThe people of Oregon, being closest to the action, are among the first to participate in this mass movement of people, and in doing so are opening up new territories for settlement.;;;;;;;;;;;;;x
EVTNAME675041;Gold!;;;;;;;;;;;;;x
EVTDESC675041;A dried up old traveller has returned from the wilderness. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!';;;;;;;;;;;;;x
EVTNAME675042;Gold!;;;;;;;;;;;;;x
EVTDESC675042;A dried up old traveller has returned from the wilderness. When given a whiskey he says with a hoarse voice 'Gold! I have found Gold! A mountain of Gold!'\n\nHoping to pay his tap with a nugget, the barkeep informs him that what he thought of as gold is in fact worthless pyrite: fool's gold...;;;;;;;;;;;;;x
EVTNEWS16310_long;In a landmark ruling delivered today, the U.S. Supreme Court has decided that the slaves involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, were merely, in light of the outlawing of the trans-atlantic slave trade, acting in defense of their personal liberty. They are therefore, to the joy of the abolitionists, to be set free.;;;;;;;;;;;;;x
EVTNEWS16310_medium;The U.S. Supreme Court issued a ruling today that the slaves involved in the violent rebellion aboard the Amistad were merely, in light of the outlaw of the trans-atlantic slave trade, acting in defense of their personal liberty, and are therefore to be set free.;;;;;;;;;;;;;x
EVTNEWS16310_short;The U.S. Supreme Court issued a ruling today that the slaves rebelling aboard the Amistad were merely acting in defense of their personal liberty, and are therefore to be set free.;;;;;;;;;;;;;x
EVTNEWS16313_long;In a landmark ruling delivered today, the U.S. Supreme Court has decided that the slaves involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, are legally the property of their Spanish owners, and are therefore, in accordance with Pinckney's Treaty, to be returned to their Spanish owners at the earliest convenience. Further nothing that they would -under U.S. law- have to be extradited to Spain to stand trial for their involvement in the mutiny and murder of the crew in any case.;;;;;;;;;;;;;x
EVTNEWS16313_medium;The U.S. Supreme Court issued a ruling today that the slaves involved in the violent rebellion aboard the Amistad are legally property and are therefore, in accordance with Pinckney's Treaty, to be returned to their Spanish owners at the earliest convenience.;;;;;;;;;;;;;x
EVTNEWS16313_short;The U.S. Supreme Court issued a ruling today that the slaves rebelling aboard the Amistad are property and are therefore to be returned to their Spanish owners at the earliest convenience.;;;;;;;;;;;;;x
EVTNEWS16314_long;In a ruling sure to please few, the U.S. Supreme Court has decided that those involved in the violent rebellion aboard the Spanish schooner 'Amistad' of 1839, later apprehended near Long Island, New York, are, in light of the outlawing of the trans-atlantic slave trade, not legally slaves, but U.S. law requires their extradition to Spain to stand trial for their involvement in the mutiny and death of the crew.;;;;;;;;;;;;;x
EVTNEWS16314_medium;The U.S. Supreme Court issued a ruling today that those involved in the violent rebellion aboard the Amistad are property nor slaves, but are, in accordance with U.S. law, to be extradited to the Spanish to stand trial for their involvement in the death of the crew.;;;;;;;;;;;;;x
EVTNEWS16314_short;The U.S. Supreme Court has ruled that those involved in the rebellion aboard the Amistad are not slaves, but still have to be extradited to Spain to stand trial for the death of the crew.;;;;;;;;;;;;;x
EVTNEWS16320_long;A brutal beating took place on the floor of the U.S. House of Representatives when the Southern assaulted the abolitionist Sumner with his cane, till the cane broke and his victim collapsed. Sumner, who is badly injured and expected to suffer lasting damage from his ordeal, had earlier made an inflamatory speech condemning slavery and the Kansas-Nebraska Act, and was particularly offensive to one of its authors: Senator Butler, uncle to Brooks.;;;;;;;;;;;;;x;;;;
EVTNEWS16320_medium;The heathed atmosphere surrounding the issue of slavery has let one Southern representative to assault and beat senseless an abolitionist representative after he made inflamatory and degratory remarks concerning slaveholders and the South.;;;;;;;;;;;;;x;;;;
EVTNEWS16320_short;A brutal beating took place on the floor of the U.S. House of Representatives, as a Southern representative assaulted an abolitionist after he made inflamatory and offensive remarks.;;;;;;;;;;;;;x;;;;
