color = { 204 28 44 }
graphical_culture = PolishGC
         Lietuva Mindaugas "Vytautas Didysis" Jogailaitis Zemaitija Kaunas Moletai Vilnius Siauliai Plunge Palanga Silute Taurage Jurbarkas Alytus Trakai Druskininkai Dzkas Slis Skalvis

        Donets Sevastopol Kyiv Odessa Kharkiv
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
    manowar = {

        Krym Zaporiz'ka Khersonshchyna Mykolaiv Dnipropetrovsk
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
    cruiser = {
        "Józef Pilsudski" "Józef Chlopicki" "Michal Gedeon Radziwill" Miedzymorze "Adam Czartoryski" "Wladyslaw Czartoryski" "Aleksander Waszkowski" "Konstanty Kalinowski"
        Lietuva Mindaugas "Vytautas Didysis" Jogailaitis Zemaitija Kaunas Moletai Vilnius Siauliai Plunge Palanga Silute Taurage Jurbarkas Alytus Trakai Druskininkai Dzkas Slis Skalvis

        Kyi Schek Khoryv Bravlin Oleg
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
    frigate = {
        Mindaugas Butigeidis Vytenis Gediminas Algirdas Kestutis Jogaila "Vytautas Didysis" "Zygimantas Kestutaitis"
        Lietuva "Vytautas Didysis" Jogailaitis Zemaitija Kaunas Moletai Vilnius Siauliai Plunge Palanga Silute Taurage Jurbarkas Alytus Trakai Druskininkai Dzkas Slis Skalvis

        Dniester Dnipro Desna Prypiat Prut
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
    monitor = {
        "Anna Jagiellonka" "Tadeusz Kosciuszko"
        Lietuva Mindaugas "Vytautas Didysis" Jogailaitis Zemaitija Kaunas Moletai Vilnius Siauliai Plunge Palanga Silute Taurage Jurbarkas Alytus Trakai Druskininkai Dzkas Slis Skalvis

        Sofyivsky "Pechers’ka lavra" "Kam’ianets’-Podil’s’kyi" Khotyn Khortyts'a
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
    clipper_transport = {

    }
    steam_transport = {

    }
    commerce_raider = {
         Wisla Odra Windawa Bartów Neman Dniprer Prypec
         Lietuva Mindaugas "Vytautas Didysis" Jogailaitis Zemaitija Kaunas Moletai Vilnius Siauliai Plunge Palanga Silute Taurage Jurbarkas Alytus Trakai Druskininkai Dzkas Slis Skalvis

        Oksana Oleksandra Yulia Nadiya Mariya
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
}
