;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10221;A massive demonstration by the Chartists has taken place in Kennington Common, with liberals demanding that the People's Charter be implemented immediately-- giving equal votes to all men, rich or poor, as well as secret ballots and a fair distribution of constituencies. Many in the government are suggesting that such public gatherings should be made illegal, and that at best the British government should make empty promises to these rabble-rousers. Others fear that refusing their demands will lead to the monarchy being toppled by rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10222;The French Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10222;Angry crowds have flooded the streets of Paris, shouting cries of 'Down with the King!' and 'Long live the Reform!'. They have erected barricades in the streets and fighting has broken out with the Parisian municipal guards. With the city having been completely closed off from outside help, these crowds have begun to march on the royal palace. Our king has had no choice but to abdicate and flee the country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10223;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10223;Facing the prospect of losing the presidential election, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10224;Emperor Napoleon Deposed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10224;Angered by the inability of France to prevent the formation of Germany, as well as the humiliating loss of Alsace-Lorraine, the government has deposed Emperor Napoleon. We must choose what form our new government is to take.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian Diet has grown increasingly independent of Austrian rule in recent years. Field Marshall Count Franz Philipp von Lamberg was sent to Hungary to take personal control over their armies, but was attacked upon his arrival. In response, the Austrian government ordered the Hungarian Diet dissolved and the Ban of Croatia installed in Lamberg's place. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the empire.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10226;Freedom At Last!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10226;We have won our freedom from Austrian rule! The people have gathered in $CAPITAL$ in jubilation!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10227;The Hungarian Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10227;Hungarian lands rightfully belong to us. With their new-found freedom, we are left with the decision whether we should pursue our claim to their lands or instead try to reconcile with the Hungarian government. If they remain hostile, after all, and we are unable to defeat them, they will become a very dangerous enemy on our border. Admitting their loss, however, might be a blow to our prestige we will never recover from.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME10228;Constitutional Reform;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10228;With the entire nation ready to overthrow the monarchy, ministers have approached the King with advice on reforming the constitution before it's too late. The loss of Belgium has made a revision necessary already. Including provisions that permitted the direct election of the lower house as well as numerous freedoms the Dutch do not already enjoy might pacify the liberals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME10229;The $COUNTRY_ADJ$ Uprising;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10229;With the people seemingly ready to break down our doors, demanding constitutional reform, perhaps we should consider giving it to them? Some moderate reforms, allowing the masses their vote but retaining ultimate power for the $COUNTRY_ADJ$ aristocracy and the Kaiser, should please them enough to dispel this rabble... for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10400;The French Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10400;The unrest in France hit its height recently, with crowds streaming through the streets of Paris and erecting barricades. In what was widely regarded as an accident, a French guardsmen fired his musket on the citizens and set off a massacre. The resulting conflagaration has swept the city, with crowds chanting 'Long live the Reform!' and 'Down with the King!'. Despite assurances that everything is under control, the king has abdicated and fled the country… leaving a provisional government to step in and declare the Second Republic.\n\nNow we have the task of building this new government, starting with a presidential election to determine its new Head of State. Considering the popularity of Louis-Napoléon Bonaparte among the masses, and the granting of universal voting rights, some are concerned that he may in fact take the leadership. If he does, who knows what this may mean for France?;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10401;The Presidential Election;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10401;While it was expected that Louis-Napoléon Bonaparte would do well in the French presidential election, no one could have counted on the fact that he has done as well as this. Despite his autocratic leanings and lack of allies in Paris, he has managed to be something to everyone… even gaining the sponsorship of the Orleanists. The provisional government's candidate, Louis-Eugène Cavaignac, led the effort to quell an uprising in the city-- leading to resentment among the masses which has translated into Napoleon's landslide. Many fear the man takes too much after his infamous uncle, and thus the idea has arisen of fixing the elections to ensure Cavaignac's victory. This would require us to restrict universal sufferage, as well as muffle the newspapers and political opponents. Either way, the ideals of the Second Republic seem at risk of compromise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
EVTNAME10402;Napoleon Wins Election!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10402;Louis-Napoléon Bonaparte has swept into power as France's new Head of State. The man carries with him the legacy of his infamous uncle, and with it the support of the masses. He has no friends in Paris, however, almost all of whom are nervous of the possibility that he might decide to follow in his uncle's footsteps.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10405;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10405;Unable to force the Upper House to repeal its prohibition against presidential re-election and facing removal from power, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10410;Emperor Napoleon Deposed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10410;The popularity of Louis-Napoleon has waned. Where once it was expected that his ascension would return France to the greatness it experienced during the reign of his uncle, instead France sees itself being eclipsed by its neighbours. The Emperor has cultivated many enemies among the liberals in Paris, and now they have chosen their moment to strike. Napoleon has been deposed, and the only question remains as to what form France shall now take. Shall we restore the Bourbon dynasty under the Count of Chambord, elect for a Bourbon constitutional monarchy under the Comte de Paris, or instead opt to create the Third Republic?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME10411;The Death of Napoleon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10411;Louis-Napoleon has grown ill in recent months, slowly surrendering more and more ground to the Upper House. Thus his death comes with no surprise to many. Mourned by the entire nation, and by his beloved Empress Eugénie, the question now turns to who will follow him. His son and heir would be Napoleon IV… but he is still a young man, eager to live up to the legacy left him. Others favor the popular Bourbon Count of Paris. Still more, however, claim this is the perfect moment to restore the republic and end the monarchy once and for all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME11100_NEW;The Unification of $CULTURE_GROUP_UNION$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11100_NEW;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME11108;Slavic Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11108;The call has gone out for the Slavic nations of the Balkans to finally unite under a common banner, to resist the encroachment of the Austrians and Turks as well as other European powers. Yugoslavia, it is said, will be a power to rival even its most powerful neighbours. Whether this new nation would succeed in holding together a people divided by centuries of bitter warfare is best left for speculation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME11109;The Creation of Greater Finland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11109;The call has gone out for the Ugric nations of Greater Finland to finally unite under a common banner, to resist the encroachment of the Russians as well as other European powers. This new nation, it is said, will be a power to rival even its most powerful neighbours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME11110;A North German Union?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11110;An open discussion amongst liberals in $COUNTRY$ has been occurring regarding the formation of a confederation of North German states. Conditions have never been right for it in the past, but many believe such a union is needed if the Germans are ever to have true security and take their place among the powers of the world. A $COUNTRY_ADJ$-led movement to create such a confederation might go over well with our neighbours, if we made the attempt to create it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME11115;The Greater Slavic Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11115;Many within $COUNTRY$ have always considered it a dream to form a greater union of the Slavic peoples, one spanning all of the Balkans and uniting them under a common flag. Such a nation would be far better suited at resisting the encroachment of foreign powers into the region. Now seems like the perfect opportunity for $COUNTRY$ to form such a union. Do we proceed with the creation of Yugoslavia, or let the dream die here?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME11120;Slavic Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11120;The call has come to $COUNTRY$ to unite with Yugoslavia, a union of Slavic countries interested in protecting the Balkans from the encroachment of other European powers. Whether a union of cultures which have before now often been at war, and indeed still have considerable enmity for each other, will be difficult to say.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC19006;Our independence is gradually being undercut and more and more becoming something that only exists on paper, as several foreign Great Powers vie for control over our political institutions. Recently, tensions have erupted between several great powers each vying for dominance over our government. If any of them attempts to assert themselves in $COUNTRY$, it will mean conflict with our government, the other great powers, and possibly even war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
