CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
marseille;Farmlands;;;;;;;;x
bordeaux;Farmlands;;;;;;;;x
toulouse;Grassland Hills;;;;;;;;x
bilbao;Grassland Hills;;;;;;;;x
milan;Farmlands;;;;;;;;x
luxemburg;Forest;;;;;;;;x
#liechtenstein;Montane Grassland;;;;;;;;x
venice;Farmlands;;;;;;;;x
zagreb;Grassland Hills;;;;;;;;x
#salonika;Grassland Hills;;;;;;;;x
ankara;Grassland Hills;;;;;;;;x
tblisi;Montane Grassland;;;;;;;;x
erivan;Grassland Hills;;;;;;;;x
baku;Montane Grassland;;;;;;;;x
jerusalem;Grassland;;;;;;;;x
baghdad;Grassland;;;;;;;;x
damascus;Semidesert;;;;;;;;x
lvov;Forest;;;;;;;;x
krakow;Grassland;;;;;;;;x
karlsruhe;Grassland;;;;;;;;x
stuttgart;Grassland;;;;;;;;x
konigsberg;Farmlands;;;;;;;;x
dusseldorf;Farmlands;;;;;;;;x
dortmund;Grassland;;;;;;;;x
magdeburg;Grassland;;;;;;;;x
kiel;Grassland;;;;;;;;x
stettin;Farmlands;;;;;;;;x
frankfurt;Farmlands;;;;;;;;x
nuremberg;Grassland;;;;;;;;x
leipzig;Grassland;;;;;;;;x
breslau;Grassland;;;;;;;;x
#andorra;Montane Grassland;;;;;;;;x
seville;Grassland;;;;;;;;x
fez;Montane Grassland;;;;;;;;x
gibraltar;The Rock;;;;;;;;x
ceuta;Urban;;;;;;;;x
#melilla;Urban;;;;;;;;x
tangier;Grassland;;;;;;;;x
algiers;Grassland;;;;;;;;x
zurich;Montane Grassland;;;;;;;;x
strasburg;Forest;;;;;;;;x
liverpool;Grassland;;;;;;;;x
manchester;Farmlands;;;;;;;;x
cardiff;Farmlands;;;;;;;;x
birmingham;Farmlands;;;;;;;;x
glasgow;Grassland Hills;;;;;;;;x
southampton;Farmlands;;;;;;;;x
newcastle;Grassland;;;;;;;;x
sheffield;Grassland Hills;;;;;;;;x
leeds;Farmlands;;;;;;;;x
bristol;Farmlands;;;;;;;;x
belfast;Farmlands;;;;;;;;x
goteborg;Grassland Hills;;;;;;;;x
vilnius;Forest;;;;;;;;x
reval;Marsh;;;;;;;;x
montreal;Farmlands;;;;;;;;x
ottawa;Grassland;;;;;;;;x
vancouver;Montane Grassland;;;;;;;;x
losangeles;Grassland Hills;;;;;;;;x
atlanta;Montane Grassland;;;;;;;;x
philadelphia;Farmlands;;;;;;;;x
cleveland;Forest;;;;;;;;x
detroit;Forest;;;;;;;;x
pittsburgh;Grassland Hills;;;;;;;;x
richmond;Farmlands;;;;;;;;x
neworleans;Grassland;;;;;;;;x
austin;Grassland;;;;;;;;x
caen;Grassland;;;;;;;;x
lille;Farmlands;;;;;;;;x
toronto;Grassland;;;;;;;;x
bogota;Grassland;;;;;;;;x
caracas;Farmlands;;;;;;;;x
rio;Grassland Hills;;;;;;;;x
saopaulo;Grassland Hills;;;;;;;;x
montevideo;Farmlands;;;;;;;;x
buenosaires;Farmlands;;;;;;;;x
santiago;Montane Grassland;;;;;;;;x
#asuncion;Urban;;;;;;;;x
#lima;Grassland Hills;;;;;;;;x
quito;Montane Grassland;;;;;;;;x
#guantanamo;Montane Grassland;;;;;;;;x
lapaz;Montane Grassland;;;;;;;;x
havana;Grassland Hills;;;;;;;;x
capetown;Grassland Hills;;;;;;;;x
zanzibar;Grassland;;;;;;;;x
calcutta;Farmlands;;;;;;;;x
pondicherry;Grassland;;;;;;;;x
bombay;Farmlands;;;;;;;;x
delhi;Forest;;;;;;;;x
madras;Grassland Hills;;;;;;;;x
goa;Grassland;;;;;;;;x
lahore;Grassland;;;;;;;;x
bangkok;Jungle;;;;;;;;x
saigon;Grassland Hills;;;;;;;;x
hue;Grassland;;;;;;;;x
singapore;Grassland;;;;;;;;x
batavia;Grassland;;;;;;;;x
sydney;Grassland Hills;;;;;;;;x
melbourne;Farmlands;;;;;;;;x
perth;Forest;;;;;;;;x
auckland;Forest;;;;;;;;x
manila;Jungle;;;;;;;;x
kwangchowan;Grassland;;;;;;;;x
hainan;Grassland;;;;;;;;x
ningbo;Grassland;;;;;;;;x
qingdao;Grassland;;;;;;;;x
weihaiwei;Grassland;;;;;;;;x
oldtianjin;Grassland;;;;;;;;x
portarthur;Grassland;;;;;;;;x
kyoto;Grassland Hills;;;;;;;;x
tashkent;Grassland;;;;;;;;x
samarkand;Dry Grassland Hills;;;;;;;;x
isfahan;Montane Grassland;;;;;;;;x
alexandria;Farmlands;;;;;;;;x
tirana;Grassland Hills;;;;;;;;x
ljubljana;Grassland Hills;;;;;;;;x
bratislava;Grassland Hills;;;;;;;;x
#cluj;Urban;;;;;;;;x
#cetinje;Urban;;;;;;;;x
malta;Island;;;;;;;;x
tunis;Grassland;;;;;;;;x
florence;Grassland;;;;;;;;x
danzig;Farmlands;;;;;;;;x
nanjing;Farmlands;;;;;;;;x
mukden;Grassland;;;;;;;;x
yokohama;Grassland;;;;;;;;x
kobe;Forest;;;;;;;;x
osaka;Grassland;;;;;;;;x
#wuchang;Urban;;;;;;;;x
xian;Forest;;;;;;;;x
pyongyang;Grassland;;;;;;;;x
pusan;Grassland;;;;;;;;x
mecca;Semidesert;;;;;;;;x
aden;Montane Grassland;;;;;;;;x
#muscat;Urban;;;;;;;;x
monaco;Urban;;;;;;;;x
lodz;Forest;;;;;;;;x
genoa;Grassland Hills;;;;;;;;x
odessa;Farmlands;;;;;;;;x
rostov;Steppe;;;;;;;;x
vladivostok;Grassland Hills;;;;;;;;x
sevastopol;Montane Grassland;;;;;;;;x
nikolaev;Grassland;;;;;;;;x
kerch;Montane Grassland;;;;;;;;x
kharkov;Grassland;;;;;;;;x
saratov;Steppe;;;;;;;;x
#chisinau;Urban;;;;;;;;x
kazan;Forest;;;;;;;;x
antwerp;Farmlands;;;;;;;;x
ekaterinburg;Forest;;;;;;;;x
irkutsk;Forest;;;;;;;;x
omsk;Forest;;;;;;;;x
sarajevo;Grassland Hills;;;;;;;;x
timbuktu;Semidesert;;;;;;;;x
palermo;Grassland Hills;;;;;;;;x
lhasa;Grassland;;;;;;;;x
#xining;Urban;;;;;;;;x
kashgar;Desert;;;;;;;;x
agra;Forest;;;;;;;;x
katmandu;Montane Grassland;;;;;;;;x
colombo;Grassland;;;;;;;;x
gonder;Grassland Hills;;;;;;;;x
capecoast;Grassland;;;;;;;;x
grandbassam;Grassland;;;;;;;;x
monrovia;Grassland;;;;;;;;x
stlouis;Forest;;;;;;;;x
#bissau;Grassland;;;;;;;;x
#lagos;Grassland;;;;;;;;x
suez;Semidesert;;;;;;;;x
valencia;Grassland;;;;;;;;x
rotterdam;Marsh;;;;;;;;x
hyderabad;Grassland Hills;;;;;;;;x
nagpur;Grassland;;;;;;;;x
jaipur;Grassland;;;;;;;;x
karachi;Grassland Hills;;;;;;;;x
hanoi;Grassland Hills;;;;;;;;x
dunkirk;Grassland;;;;;;;;x
brest;Grassland;;;;;;;;x
toulon;Grassland;;;;;;;;x
larochelle;Grassland;;;;;;;;x
hanoi;Grassland Hills;;;;;;;;x
trieste;Grassland;;;;;;;;x
pola;Grassland Hills;;;;;;;;x
wilhelmshaven;Grassland;;;;;;;;x
nice;Grassland Hills;;;;;;;;x
quebec;Forest;;;;;;;;x
fort_william;Urban;;;;;;;;x
panama;Grassland Hills;;;;;;;;x
tripoli;Grassland;;;;;;;;x
essen;Farmlands;;;;;;;;x
zadar;Grassland;;;;;;;;x
dubrovnik;Grassland;;;;;;;;x
sanmarino;Grassland Hills;;;;;;;;x
plymouth;Farmlands;;;;;;;;x
portsmouth;Farmlands;;;;;;;;x
liege;Farmlands;;;;;;;;x
namur;Farmlands;;;;;;;;x
