associationism;Thermodynamics;;
winery_i_desc;Wine is a luxury beverage produced by fermenting fruit. It is consumed by the rich, and by lower classes should they obtain the means to do so.;;
whisky_distillery_i;Whisky Distillery;;
whisky_distillery_i_desc;Whisky is liquor produced by fermenting grain and distilling the result. The outcome is a luxury good consumed by wealthy consumers.;;
palm_oil_lubricant_factory_i;Palm Oil Product Factory;;
palm_oil_lubricant_factory_i_desc;The industrial age created a whole new need for reliable lubrication of machines, and palm oil is particularly well suited for the purpose. This factory turns palm oil into lubricant.;;
whale_oil_lubricant_factory_i;Whale Oil Product Factory;;
whale_oil_lubricant_factory_i_desc;The industrial age created a whole new need for reliable lubrication of machines, and the oil of sperm whales is particularly well suited for the purpose. This factory turns fish into lubricant.;;
chemical_factory_i;Chemical Plant;;
chemical_factory_i_desc;A chemical industry produces a wide range of products, such as paints, dyes, soda, lye and nitroglycerin. The chemical plant turns raw chemical minerals into refined chemicals, an input of many other factories.;;
pharmaceutical_factory_i;Pharmaceutical Factory;;
pharmaceutical_factory_i_desc;This factory produces pharmaceuticals for the medical needs of the population. Everyone falls ill from time to time, though whether they can afford medication is another matter.;;
germ_theory_of_disease;Germ Theory of Disease;;
germ_theory_of_disease_desc;Microscopy and empirical epidemology lent support to the notion that diseases are transmitted by tiny lifeforms, rather than by miasma as used to be the prevailing view. The implications for public policy regarding sanitation and disease prevention are significant.;;
the_origin_of_species;The Origin of Species;;
the_origin_of_species_desc;;;
vacuum_distillation;Vacuum Distillation;;
vacuum_distillation_desc;Vacuum distillation is distillation where the liquid is brought to boiling point not by heating it, but rather by bringing down the boiling point itself by reducing pressure. It allowed for the refining of high-quality lubricant from crude petroleum.;;
experimental_psychology;Electricity;;
synthetic_oil;Synthetic Oil;;
synthetic_oil_desc;Using coal, the synthetic oil factory produces oil. Vital for nations that do not have ready access to oil but still need it badly.;;
national_radio_networks;Radio;;
national_radio_networks_desc;A radio allows instantaneous wireless communication over long distances, and effortless reception of the same transmission by many. It is thus a whole new medium of mass communication, and a major consumer good. This factory makes radios out of electric gear.;;
carnot_cycle;Carnot Cycle;;
carnot_cycle_desc;The Carnot Cycle is a theoretical description of the operation of a heat engine, showing how the energy efficiency of the engine depends on the temperature, volume and pressure of the working fluid at different points in the engine cycle. Such understanding is important for efforts to improve engine power and efficiency.;;
statistical_mechanics;Statistical Mechanics;;
statistical_mechanics_desc;Statistical mechanics is a field of physics dealing with how the macroscopic properties of systems are determined by the microscopic behaviour of their constituent subunits. It provides a theoretical foundation for thermodynamics.;;
electric_locomotives;Electric Locomotives;;
electric_locomotives_desc;Electric motors allow for locomotives to operate using electrically transmitted power, rather than needing to produce their own. This provides several situational advantages, particularly in that it enables the use of powered rail transportation in places where firing engines and producing smoke is unacceptable, such as confined spaces and population centres.;;
introspectionism;Newtonian Physics;;
phenomenalism;Biology & Medicine;;
psychoanalysis;Structure of Matter;;
behaviorism;Modern Physics;;
psychology;Natural Science;;
electricity;Agronomy;;
no_standard;Precious Metal Coinage;;
standardized_rail_gauge;Standardised Rail Gauge;;
standardized_rail_gauge_desc;By enforcing adherence to one or a few railroad track widths (gauges), interconnectivity between different railway lines can be improved. Gauge standardisation is thus a first step towards integrating disparate, local railway lines operated by different companies into a nationwide network.;;
rail_consolidation;Rail Consolidation;;
rail_consolidation_desc;Rail development was originally often local, resulting over time in ownership distributed over a myriad companies of various sizes, all operating to maximize their own profits without regard for the rest of the network, many having been rendered barely viable due to economic developments since their original construction. By governmental consolidation of rail lines, either through promotion of mergers or outright nationalization, viability was improved as development could be done with regard to the whole, rather than the narrow interests of owners of small parts of it.;;
theory_of_relativity;Theory of Relativity;;
theory_of_relativity_desc;The theory of relativity postulates that the speed of light and the laws of physics are the same regardless of choice of frame of reference. From these seemingly modest postulates, all kinds of conclusions follow that violate certain assumptions that classical physics has so far considered self-evident. The foremost among them being that space and the passage of time are not constant and unchangeable, but can be dilated, warped and compressed.;;
social_thought;Social Thought and Policy;;
pedagogy;Pedagogy;;
pedagogy_desc;The early 19th century saw the proliferation of thought on the subject of education, not only regarding how to effectively transmit knowledge but also regarding what objectives education should have and what social purposes it should fulfil. The work of pioneering educators such as Pestalozzi, Herbart and Diesterweg not only improved the efficiency of education but also left a lasting social impact.  ;;
independent_civil_service;Independent Civil Service;;
independent_civil_service_desc;The efficiency of the civil service is significantly improved by making it largely independent of the acting government. Appointment and promotion can be based on merit rather than favoritism, and the ability of the government to use the civil service as a tool against its domestic political rivals is reduced.;;
vital_statistics;Vital Statistics;;
vital_statistics_desc;Keeping records of births, deaths and places of residency enables more efficient government, both as a tool for policy planning and execution, whether it's for taxing them, hauling their children to school, or drafting them for war.;;
deweyan_pedagogy;Deweyan Pedagogy;;
deweyan_pedagogy_desc;Deweyan pedagogy emphasized the importance of interaction and hands-on experience of the subject being taught. Originating around the turn of the 19th to 20th century, it was the most significant contribution of its time to the field of pedagogy.;;
state_n_government;Nationalism;;
nationalism_n_imperialism;Imperialism;;
total_war;Total War;;
total_war_desc;Total war is the concept of full mobilization and complete commitment of a country's human and material resources towards a war effort. More often than not, it goes along with the notion that any means necessary should be employed towards achieving victory, including unrestricted destruction of civilian targets in order to impair the ability of the enemy to continue to wage war. It is premised on a view of war as not only a means towards specific political ends, but as a national struggle of life and death where no price can be too high to achieve victory.;;
mass_media_propaganda;Mass Media Propaganda;;
mass_media_propaganda_desc;The advent of mass media in the form of radio and film did not only serve to expand popular consciousness. Governments that had sufficiently tight control over the new forms of media could use them to disseminate their own propaganda more effectively than before.;;
structure_of_the_atom;Structure of the Atom;;
structure_of_the_atom_desc;The idea that matter consists of indivisible elementary particles called atoms has existed since antiquity. In the 19th century, chemists had largely concluded that to be the case, as that postulate explained the mass ratios of reagents and products of chemical reactions. However, experiments carried out at the beginning of the 20th century showed that the atom might not be elementary after all, but actually consist of electrically charged constituent parts. The first model was the plum pudding model, depicting the atom as a continuous positively charged medium with smaller negatively charged electrons as discrete particles embedded in it. Other experiments suggested the concentration of positive charge to a nucleus. A development of that idea was the planetary model of the atom, wherein negative electrons orbited the nucleus like planets around the Sun. While this latter model enjoyed more empirical support, it raised the question of why the electrons do not lose energy by emitting radiation, as charged particles were known to do when being accelerated. It was the first indication that the microscopic world of elementary particles worked according to entirely different laws than the macroscopic, paving the way for the development of quantum mechanics.;;
mechanical_band_saw;Mechanical Band Saw;;
mechanical_band_saw_desc;Band saws offer an advantage over circular saws both in being able to make curved cuts and in having a smaller cut width, wasting less wood as sawdust.;;
industrial_coffee_roasting;Industrial Coffee Roasting;;
industrial_coffee_roasting_desc;Coffee roasting was traditionally done by the consumer at home. By industrializing the roasting process, coffee could be sold pre-roasted, offering higher consumer value to those who would rather not spend time doing it themselves.;;
crop_rotation;Crop Rotation;;
crop_rotation_desc;Rotation of common food crops had been known for ages, but cotton and tobacco presented unique challenges in soil management. Finally, in the latter part of the 19th century, crop rotation schemes were finally developed for these crops, mainly using peas, peanuts and sweet potatoes for soil replenishment.;;
heart_of_darkness;Heart of Darkness;;
heart_of_darkness_desc;;;
rubber_plantations;Rubber Plantations;;
rubber_plantations_desc;With the explosion in demand for rubber caused by the emergence of the automobile industry, harvesting of rubber from trees in the wild was no longer sufficient to meet demand. Commercial rubber farming was faced with great difficulty initially, in large part due to the planting of Amazonian rubber trees in very different environments on the other side of the world. In a few decades, however, commercial rubber farming had become the norm, and collection of wild rubber increasingly uneconomical.;;
continuous_process_control;Continuous Process Control;;
continuous_process_control_desc;By continuously adding inputs, extracting final products and regulating and adjusting the process in real-time, a chemical manufacturing process can be made much more efficient than what could be achieved using batch methods.;;
pasteurization;Pasteurization;;
pasteurization_desc;Pasteurization is a heat treatment that kills bacteria and breaks down enzymes that are key to the process of food spoilage. It extends the shelf life of products thus treated with only a slight effect on food taste, composition and nutritional value, and thus a useful method of food preservation.;;
catalytic_cracking;Catalytic Cracking;;
catalytic_cracking_desc;Cracking is the breaking of large hydrocarbons into smaller parts. It allows for heavy, thick, ungainly oils to be turned into more fluid ones, increasing the fraction of crude oil that is turned into valuable fuel usable for combustion engines. Catalytic cracking is the use of chemical catalysts for the purpose, and it generally achieves a higher quality of the resulting fuel at lower energy cost than previously used thermal methods.;;
colburn_sheet_roller;Colburn Sheet Roller;;
colburn_sheet_roller_desc;This was a machine that mechanically rolled molten glass into flat panes, allowing for efficient mass production of windows.;;
owens_bottle_machine;Owens Bottle Machine;;
owens_bottle_machine_desc;Mechanization of the act of glassblowing itself increased the output of the glassware industry tremendously.;;
pneumatic_tires;Pneumatic Tires;;
pneumatic_tires_desc;Offering a good combination of grip, friction and smoothness of ride, the pneumatic tire quickly became the standard for wheeled vehicles and by far the most significant rubber product.;;
solway_process;Solvay Process;;
solway_process_desc;This was a process for producing calcium carbonate from limestone and saltwater, using ammonia and carbon dioxide as catalysts. It replaced the previously used, more expensive and more polluting Leblanc process that required sulphuric acid and produced calcium sulphate as a byproduct.;;
dow_process;Electrolysis;;
dow_process_desc;Electrolysis is the separation of ions in a solution through the application of an electric field and current. It can be the most economical way of extracting substances that are scarcely found in mineral deposits but abundantly dissolved in water. ;;
portland_cement;Portland Cement;;
portland_cement_desc;By using calcium sulphate as the reactive ingredient, Portland cement yielded concrete that was both stronger and faster to settle than earlier formulas.;;
rotary_kiln;Rotary Kiln;;
rotary_kiln_desc;The rotary kiln allowed for cement to be heated with higher thermal efficiency than before, while simultaneously being mixed, with continuous feeding of raw material and removal of final cement. Its introduction increased both the quality and quantity of cement produced.;;
diesel_engine;Diesel Engine;;
diesel_engine_desc;A diesel engine uses the heat produced from compression of air to ignite fuel, rather than a spark plug. A high compression ratio and air-to-fuel ratio makes the diesel engine more fuel-efficient than a gasoline engine, though at the cost of engine power, being ideal for situations where fuel efficiency is important. Furthermore, as diesel fuel can and needs to be heavier than gasoline, using diesel engines as complementary to gasoline engines allows for a larger fraction of crude oil to be used as combustion engine fuel.;;
kraft_process;Kraft Process;;
kraft_process_desc;The Kraft process is a chemical process using sodium hydroxide and sulfide to break down wood into pulp. Contrary to earlier processes, it allows for most of the pulping chemicals to be recovered afterwards.;;
synthetic_detergents;Synthetic Detergents;;
synthetic_detergents_desc;Synthetic detergents can be used instead of soap for cleaning, and have several useful properties such as being less affected by hard water.;;
vinyl;Vinyl;;
vinyl_desc;Polyvinyl chloride, better known as PVC or vinyl, is a versatile synthetic plastic polymer that is useful for a very wide range of applications, as various additives can be used to precisely fine-tune its mechanical properties.;;
bonsack_cigarette_rolling_machine;Bonsack Cigarette Rolling Machine;;
bonsack_cigarette_rolling_machine_desc;This was the first machine that mechanized the actual rolling of cigarettes, enabling them to be cheaply mass-produced.;;
smokeless_powder;Smokeless Powder;;
smokeless_powder_desc;Smokeless powder is a projectile propellant that combusts almost completely, leaving neither ash to foul the barrel nor smoke to impair vision on the battlefield. Not having to clean the barrel between shots greatly increases potential rates of fire.;;
transistor;Transistor;;
transistor_desc;The transistor is a device with three terminals and two paths for electric current inside, with the current on one affecting the conductivity of the other. This makes it able to be used for switching and amplification, making it a key component in the developing field of electronics.;;
aspirin;Aspirin;;
aspirin_desc;Relatively cheap and easy to produce industrially, aspirin was one of the first mass-produced pharmaceutical products.;;
hydraulics;Hydraulics;;
hydraulics_desc;Hydraulics is the art of the transmission of force and mechanical power by using a pressurised fluid as a medium.;;
lithography;Lithography;;
lithography_desc;Lithography is a printing method where hydrophobic and hydrophilic chemicals are used to control which parts of a printing plate ink sticks to. In many production processes, it allows for higher efficiency and versatility than using movable type.;;
rotary_printing_press;Rotary Printing Press;;
rotary_printing_press_desc;A rotary printing press uses a rotating, cylindrical press-head to imprint images on paper. This allows for continuous paper feed and much more efficient printing than with a classical flat-surface press.;;
photostat;Photostat;;
photostat_desc;The photostat was the first optical copying machine. It allowed for efficient and reliable copying, replacing previously used chemical copying methods that were time-consuming and messy.;;
lockstitch_sewing_machine;Lockstitch Sewing Machine;;
lockstitch_sewing_machine_desc;A lockstitch seam is one consisting of two threads on opposite sides of the cloth, held in place by being entwined at each hole made by the needle. It is a simple but very neat and durable seam, and a machine capable of quickly producing one will improve the efficiency of clothing production.;;
knitting_machines;Knitting Machines;;
knitting_machines_desc;Mechanization of knitting allowed for industrial mass production of clothing made from wool yarn.;;
low_noise_signal_transmission;Low-Noise Signal Transmission;;
low_noise_signal_transmission_desc;Electromagnetic shielding, twisted pairs, differential transmission, and other methods of noise reduction can be used to allow for signal transmission over longer distances, and for more precise functionality in electric systems.;;
practical_aviation;Practical Aviation;;
practical_aviation_desc;The first planes were technological marvels with great symbolic but little to no practical value. Over time, however, planes developed to the point where they could reliably carry passengers and cargo, and thus commercial aviation was born.;;
steam_riverboats;Steam Riverboats;;
steam_riverboats_desc;Steam-powered boats were particularly useful for transportation along rivers and canals, where sailships lack the needed space to maneuver relative to the wind.;;
solid_chocolate;Solid Chocolate;;
solid_chocolate_desc;Chocolate was well established as a fashionable hot drink in European society at the start of the industrial age, but solid chocolate was a later invention. Hydraulic pressing enabled the removal of fat from roasted cocoa beans, leaving a powder that could be mixed with sugar and butter to create a mass that could be moldable into solid bars. Thus, a prominent product of the emerging confectionery industry was born.;;
romanticist_influence;Romanticist Influence;;
romanticist_influence_desc;Romanticism had a cultural and intellectual influence that reached far beyond art and aesthetics. Glorification of individualism stimulated demand for a freer, more liberal society, and romantic mythologization of the past contributed to the development of feelings of nationhood.;;
realist_influence;Realist Influence;;
realist_influence_desc;Through its depiction of the often grim and bleak realities of life in industrial society, realism served as a medium for social criticism and stimulated demand for social reform.;;
oil_palm_plantations;Oil Palm Plantations;;
oil_palm_plantations_desc;Increasing demand for palm oil for soap, lubrication and food led to the introduction of large-scale plantation economy in palm oil production, both in West Africa from where the palm oil originated and in Southeast Easa where it was transplanted and which would over time become the global epicenter of palm oil production.;;
pomology;Pomology;;
pomology_desc;Pomology is the field of botany concerned with the study of fruit and the cultivation of fruit-bearing plants. Advances in it in the mid to late 19th century saw the introduction of new breeds and the increase of orchard yields.;;
rubber_vulcanization;Rubber Goods Factory;;
rubber_vulcanization_desc;Vulcanization enabled rubber to be used to produce goods that are simultaneously elastic, waterproof and wear-resistant. This led to the appearance of a wide range of rubber goods, such as footwear, insulation, and tires. This factory turns rubber into rubber goods.;;
luxury_clothes_factory_i;Luxury Clothes Factory;;
luxury_clothes_factory_i_desc;Silk is the preferred luxury textile of the age. This factory uses silk and fabric to produce luxury clothing for wealthy customers.;;
cigarette_factory_i;Cigarette Factory;;
cigarette_factory_i_desc;Manufactured cigarettes are a cheap, convenient alternative for those who cannot afford proper cigars but who are willing to pay for not having to roll their own smokes. This factory makes cigarettes out of tobacco and paper.;;
whaling_company_i;Whaling Company;;
whaling_company_i_desc;The industrial age created a whole new need for reliable lubrication of machines. The oil of sperm whales was particularly well suited for the purpose, and prominently used until petroleum-based lubricants became widely available. This factory uses ships to catch and haul in whales for processing into lubricant.;;
electric_machinery;Forest Management;;
electric_machinery_desc;Through proper management, the present and future timber yield of forests can be improved. Forest management deals with matters such as choice of tree species, planned growth, culling and clear-cutting, and forest regeneration.;;
cracking;Fuel Refining;;
cracking_desc;Crude petroleum is a mixture of different hydrocarbons. Through distillation, they can be separated into lighter and heavier fractions. This yields different oils suitable for different purposes. One of these is gasoline, ideally suited for combustion engines.;;
bakelite;Plastics;;
bakelite_desc;Bakelite was the first synthetic plastic, produced by reacting phenol with formaldehyde. Easily moldable, chemically inert and electrically insulating, synthetic plastics quickly became widely used as a manufacturing material.;;
armoured_citadels;Armoured Citadels;;
armoured_citadels_desc;A citadel is an exceptionally armoured part of a ship, protecting its most vital parts such as engines and ammunition magazines. Through such an uneven armour layout, higher survivability for a given weight of armour could be achieved.;;
jiggs;Jigs;;
jiggs_desc;Jigs are frames and other structures whose purpose is to control the position and movement of machine tools, ensuring that products are built according to standards.;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;Erster Mähdrescher in $PROVINCENAME$
;;;'Mutter, warum haben wir noch keinen McCormick-Mähdrescher? Jeder andere hat schon einen!'\n\nIm frühen 19. Jahrhundert wurden diverse mechanische Werkzeuge für die Landwirtschaft entwickelt: zum säen, ernten, dreschen oder die Forstwirtschaft.
;;;Wir ernten, was wir säten
;;;
;;;Dampfmaschinen in $PROVINCENAME$
;;;'Mutter, hörst du das? Da ist ein neues Ding in der Mine, welches die Steine von ganz alleine bewegt.'\n\nEine der ersten Einsätze für Dampfmaschinen war der Transport des Erzes aus den Minen. Diese frühe Entwicklung der Industriellen Revolution hat nun Einzug gehalten in die Minen von $PROVINCENAME$.
;;;Auf gehts
;;;
;;;
;;;
;;;
;;;
;;;Lancashire Webstuhl
;;;This was the first semi-automatic loom. With a single operator action, it kept weaving until the shuttle ran out of thread. Consequently, a single worker could operate several looms simultaneously, increasing productivity.
;;;Einfachnaht-Nähmaschine
;;;A lockstitch seam is one consisting of two threads on opposite sides of the cloth, held in place by being entwined at each hole made by the needle. It is a simple but very neat and durable seam, and a machine capable of quickly producing one will improve the efficiency of clothing production.
;;;Einspannvorrichtungen
;;;Die Einführung von Einspannvorrichtungen steigerte die Effizienz aller Maschinen enorm, was wiederum die Produktion der meisten Industriegüter steigerte.
;;;Mechanische Bandsäge
;;;Band saws offer an advantage over circular saws both in being able to make curved cuts and in having a smaller cut width, wasting less wood as sawdust.
;;;Northrops Mechanischer Webstuhl
;;;This was the first fully automatic loom, improving on earlier semi-automatic looms by adding an automatic loading mechanism to replace empty shuttles without any operator action. It allowed a single worker to operate up to 16 looms at once.
;;;Doppelnaht
;;;The overlock pattern consists of two parallel seams connected by a crisscrossing third seam. It is a very durable pattern. Machines capable of producing such a pattern will efficiently produce clothing of high quality.
;;;Packautomaten
;;;The assembly line enhances many manufacturing processes, but particularly ones that consist of a sequence of mechanically simple actions, such as packaging.
;;;Colburn Glaswalze
;;;This was a machine that mechanically rolled molten glass into flat panes, allowing for efficient mass production of windows.
