grand_tactics;Grand Tactics;;
bolt_action_desc;The cylindrical rotating bolt had been used already on the first breech-loaded rifles to open and close the breech. The appearance of magazine-fed repeating rifles made bolt action increasingly relevant. The cylindrical bolt could be used to drive the entire mechanism for ejecting a spent cartridge and chambering a new one from the magazine. The magazine was inside the stock just ahead of the trigger, and could be ejected and refilled far more quickly than the tube magazine of a lever action rifle. ;;
modern_divisional_structure;Modern Infantry Weapons;;
light_machine_guns;Light Machine Guns;;
light_machine_guns_desc;The first machine guns were bulky and ill suited for fire and maneuver tactics, and consequently best suited for defense and positional warfare. The solution was the development of lighter machine guns that could be operated by teams of two men, keep pace with riflemen, be set up to fire quickly, and even be fired from the hip on the move. Furthermore, light machine guns were versatile enough to be closely integrated with the riflemen. At the end of the interwar period, the best equipped armies could have as much as one light machine gun per infantry squad.;;
submachine_guns;Submachine Guns;;
submachine_guns_desc;Advances in machine gun design and miniaturization allowed for the mechanism to be adapted to smaller weapons, one of which was the submachine gun. Combining fully automatic fire and being no heavier or less convenient to handle than a carbine, it was a devastating weapon at short ranges, though too short-ranged to be feasible as a general-purpose infantry weapon.;;
flamethrowers;Flamethrowers;;
flamethrowers_desc;The flamethrower was a specialized assault weapon projecting a stream of flaming liquid fuel. It was particularly useful against enemies in confined spaces such as bunkers and fortifications, as it could set entire areas on fire and either flush the enemy out of them or burn them alive. It also had an exceptional psychological shock effect on the enemy on the receiving end of it.;;
man_portable_mortars;Man-Portable Mortars;;
man_portable_mortars_desc;The increasing significance of indirect-fire weapons to deal with enemies behind cover, alongside the increasing subdivision of armies into smaller tactical subunits, led to the development and adoption of man-portable light mortars. Small enough to be carried by one man and operated by a few, they provided a versatile, closely integrated source of fire support for infantry.;;
hand_grenades;Hand Grenades;;
hand_grenades_desc;19th century military thinkers thought that as firefights were happening at ever-increasing ranges due to improvements in gun technology, the hand grenade had become obsolete. However, the proliferation of trenches and the increasing importance of battlefield cover made hand grenades relevant again as a close-range weapon, as they could be thrown at enemies behind cover without having a direct line of fire.;;
heavy_armament_dunno;Modern Artillery;;
clausewitzian_theory;Clausewitzian Theory;;
clausewitzian_theory_desc;This was a subjectivistic view of war in which there where a set of rules of the thumb governing warfare. Particular emphasis was put on dealing with uncertainties inherent in the nature of war, both due to the presence of a multitude of small causes that can make things go wrong (friction), and the incompleteness and unreliability of information available for decision-making (fog of war). The important thing was to break the will of the enemy, as war was considered a continuation of politics by other means, and politics ultimately is a conflict of wills.;;
jominian_theory;Jominian Theory;;
jominian_theory_desc;This was a view of war that essentially treated it as a geometric matter, using concepts such as bases, strategic lines and key points to describe the theatre of war, and considered victory to follow from bringing superior force to the decisive point. ;;
troop_density_studies;Troop Density Studies;;
troop_density_studies_desc;As increases in firepower caused armies to fight in a more dispersed way and open order became the norm even for common line infantry, the issue of proper troop density became a subject of scientific study. Higher troop density allowed for the concentration of force at the cost of increased losses from enemy fire, particularly from enemy artillery. One prominent view that developed was that attacks should be done with a very high temporary density to allow for swiftly overcoming the enemy, then disperse into a lower density before enemy artillery could respond and be brought to bear. ;;
universal_conscription;Universal Conscription;;
universal_conscription_desc;Conscription had been used in one form or the other since the Napoleonic Wars, but most states used it sparingly or selectively, stopping far short of universal male military service. There were concerns that mass conscript armies could turn against the government, swayed by the cause of revolution or ethnic separatism. There were also doubts about the efficiency of mass conscript armies made up of men with relatively little training, so quality of conscripts was largely preferred over quantity. The Franco-Prussian War of 1870-71 turned out to be a watershed moment, showing how capable mass conscript armies can be when properly led and organised. Universal male conscription was introduced in many countries in the following decades. While the concerns about conscript armies turning against the government remained, keeping up in the arms race between great powers was considered more important.;;
army_ordnance_department;Army Ordnance Department;;
army_ordnance_department_desc;For centuries, innovation and adaptation of new weapons had taken place largely in an ad hoc fashion. With the rapid development of weapons technology in the 19th century, this was no longer sufficient, and armies that kept on as before risked being surpassed by their rivals and getting a rude awakening on the battlefield. Instead, permanent agencies were formed for the purpose. Known as ordnance departments, weapons committees and similar terms depending on country, their task was to assess and choose the weapons used by the army. Such agencies helped the army procure weapons fit for purpose, as well as helped weapons inventors and manufacturers by letting them better know what the army wanted and was ready to pay for.;;
work_of_national_importance;Work of National Importance;;
work_of_national_importance_desc;Protracted major wars with mass conscript armies and the labour shortage they caused strained not only the civilian economy, but also the very war economy needed to keep that conscript army in the field. By classifying work into different categories of national importance depending on the needs of the war effort and by planning the manpower allocation for different industries, conscription could be carried out in a way that handled the tradeoff between military and industrial manpower in a more efficient way, allowing for an even larger fraction of the population to be conscripted.;;
infantry_squads;Infantry Squads;;
infantry_squads_desc;As soldiers fought increasingly dispersed and became increasingly reliant on individual initiative, old modes of command and control where entire companies or even battalions would act as single entities became unfit for purpose. The solution was to subdivide them into ever smaller subunits capable of independent action, all the way down to infantry squads consisting of about 7-10 men under the command of an NCO. This expanded the role of NCOs and made them more important than ever, as they now no longer merely served to transmit and enforce the orders of superior officers, but had actual leadership duties in their own right.;;
fire_and_movement;Fire and Movement;;
fire_and_movement_desc;Fire and Movement would develop into the main tactical paradigm of infantry on the battlefield. It was based on the premise that the way to win was to maneuver into positions where the enemy would be maximally exposed to your fire, and the way to do that was to use your own firepower to force the enemy to react and thus be prevented from interfering with your maneuvers. This typically meant having subunits of your force taking turns firing and moving, thus leapfrogging from position to position while keeping the enemy under constant fire. Particular significance was given to suppressive fire in providing cover for maneuver. Fire and movement tactics could be, and were meant to be, used all the way down to the level of the individual soldiers. The time of the traditional soldier drilled to be an unflinching, unthinking cog in the military machine who did nothing but execute specific orders was definitely over.;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;Erster Mähdrescher in $PROVINCENAME$
;;;'Mutter, warum haben wir noch keinen McCormick-Mähdrescher? Jeder andere hat schon einen!'\n\nIm frühen 19. Jahrhundert wurden diverse mechanische Werkzeuge für die Landwirtschaft entwickelt: zum säen, ernten, dreschen oder die Forstwirtschaft.
;;;Wir ernten, was wir säten
;;;
;;;Dampfmaschinen in $PROVINCENAME$
;;;'Mutter, hörst du das? Da ist ein neues Ding in der Mine, welches die Steine von ganz alleine bewegt.'\n\nEine der ersten Einsätze für Dampfmaschinen war der Transport des Erzes aus den Minen. Diese frühe Entwicklung der Industriellen Revolution hat nun Einzug gehalten in die Minen von $PROVINCENAME$.
;;;Auf gehts
;;;
;;;
;;;
;;;
;;;
;;;Lancashire Webstuhl
;;;This was the first semi-automatic loom. With a single operator action, it kept weaving until the shuttle ran out of thread. Consequently, a single worker could operate several looms simultaneously, increasing productivity.
;;;Einfachnaht-Nähmaschine
;;;A lockstitch seam is one consisting of two threads on opposite sides of the cloth, held in place by being entwined at each hole made by the needle. It is a simple but very neat and durable seam, and a machine capable of quickly producing one will improve the efficiency of clothing production.
;;;Einspannvorrichtungen
;;;Die Einführung von Einspannvorrichtungen steigerte die Effizienz aller Maschinen enorm, was wiederum die Produktion der meisten Industriegüter steigerte.
;;;Mechanische Bandsäge
;;;Band saws offer an advantage over circular saws both in being able to make curved cuts and in having a smaller cut width, wasting less wood as sawdust.
;;;Northrops Mechanischer Webstuhl
;;;This was the first fully automatic loom, improving on earlier semi-automatic looms by adding an automatic loading mechanism to replace empty shuttles without any operator action. It allowed a single worker to operate up to 16 looms at once.
;;;Doppelnaht
;;;The overlock pattern consists of two parallel seams connected by a crisscrossing third seam. It is a very durable pattern. Machines capable of producing such a pattern will efficiently produce clothing of high quality.
;;;Packautomaten
;;;The assembly line enhances many manufacturing processes, but particularly ones that consist of a sequence of mechanically simple actions, such as packaging.
;;;Colburn Glaswalze
;;;This was a machine that mechanically rolled molten glass into flat panes, allowing for efficient mass production of windows.
;;;Owens Glasblasautomat
;;;Mechanization of the act of glassblowing itself increased the output of the glassware industry tremendously.
;;;Drehrohröfen
;;;The rotary kiln allowed for cement to be heated with higher thermal efficiency than before, while simultaneously being mixed, with continuous feeding of raw material and removal of final cement. Its introduction increased both the quality and quantity of cement produced.
;;;Portland Zement
;;;By using calcium sulphate as the reactive ingredient, Portland cement yielded concrete that was both stronger and faster to settle than earlier formulas.
;;;Rauchfreier Sprengstoff
;;;Smokeless powder is gunpowder that combusts almost completely, leaving neither ash to foul the barrel nor smoke to impair vision on the battlefield. Not having to clean the barrel between shots greatly increases potential rates of fire.
;;;Kraft-Prozess
;;;The Kraft process is a chemical process using sodium hydroxide and sulfide to break down wood into pulp. Contrary to earlier processes, it allows for most of the pulping chemicals to be recovered afterwards. Simply put, our paper industry has developed a way to have its cake and eat it too!
;;;Aspirin
;;;Relatively cheap and easy to produce industrially, aspirin was one of the first mass-produced pharmaceutical products.
;;;Geräuscharme Signalübertragung
;;;Electromagnetic shielding, twisted pairs, differential transmission, and other methods of noise reduction can be used to allow for signal transmission over longer distances, and for more precise functionality in electric systems.
;;;Katalytisches Cracken
;;;Cracking is the breaking of large hydrocarbons into smaller parts. It allows for heavy, thick, ungainly oils to be turned into more fluid ones, improving the quality of refined fuel.
;;;Vakuumröhren
;;;A vacuum tube is a device where thermal emission is used to cause a controllable current. Different kinds of vacuum tubes can, in a fairly rudimentary way, fulfil the function of a diode or a transistor, allowing for actual electronics for the first time.
