Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;
HAS_GOODS;produces ;;;;;;;;;;;;;
shinto;Shinto;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
HAS_SIEGE;Under Siege;;;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;
active_p;Active;Actif;Aktiv;;;;;;;;;;;
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;
apathetic;Apathetic;;;;;;;;;;;;;
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;
able;Able;Capable;Fähig;;;;;;;;;;;
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;
charcoal_mill_management_10;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_10_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_11;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_11_desc; ;;;;;;;;;;;;;;
charcoal_mill_management_12;Charcoal Mills;;;;;;;;;;;;;;
charcoal_mill_management_12_desc; ;;;;;;;;;;;;;;
opium_farm_management_1;Opium Plantation;;;;;;;;;;;;;;
opium_farm_management_1_desc; ;;;;;;;;;;;;;;
charcoal_mill_ori;Charcoal Mill;;;;;;;;;;;;;;
charcoal_mill_ori_desc; ;;;;;;;;;;;;;;
charcoal_mill_tro;Tropical Charcoal Mill;;;;;;;;;;;;;;
charcoal_mill_tro_desc; ;;;;;;;;;;;;;;
precious_goods_1;Extra Food Redistribution;;;;;;;;;;;;;;
precious_goods_2;Colonial Goods Redistribution;;;;;;;;;;;;;;
precious_goods_3;Miscellaneous Goods Redistribution;;;;;;;;;;;;;;
precious_goods_4;Necessary Goods Redistribution;;;;;;;;;;;;;;
precious_goods_5;Luxury Goods Redistribution;;;;;;;;;;;;;;
pharmaceuticals;Pharmaceuticals;;;;;;;;;;;;;;
opium_farm_fb_inv;Organized Opium Plantations;;;;;;;;;;;;;;
opium_farm_fb_inv_desc; ;;;;;;;;;;;;;;
pharmaceutical_plant_inv;Medicine Production;;;;;;;;;;;;;;
pharmaceutical_plant_inv_desc; ;;;;;;;;;;;;;;
opium_farm_fb;Opium Plantation;;;;;;;;;;;;;;
opium_farm_fb_desc;Opium has been actively collected since ancient times. Opium is made up of the analgesic alkaloid morphine, which is processed to use as a medicine or to produce drugs.;;;;;;;;;;;;;;
pharmaceutical_plant;Pharmaceutical Plant;;;;;;;;;;;;
pharmaceutical_plant_desc;With the advancement of Medicine, comes the advancements of a new type production in industry. Plant manufactured Pharmaceuticals are pharmaceuticals derived from different plants used as therapeutic compounds.;;;;;;;;;;;;
boots;Boots;;;;;;;;;;;;;;
boots_factory;Boots Factory;;;;;;;;;;;;;;
boots_factory_desc;This factory turns leather and fabric into different boots for rich and poor alike. With the Industrial Revolution, even age-old industries such as shoemaking have to secure a foothold in these turbulent times through standardization and assembly lines.;;;;;;;;;;;;;;
wool_inv;Organized sheep ranches;;;;;;;;;;;;;;
wool_inv_desc; ;;;;;;;;;;;;;;
cattle_inv;Organized cattle ranches;;;;;;;;;;;;;;
cattle_inv_desc; ;;;;;;;;;;;;;;
boots_inv;Boots;;;;;;;;;;;;;;
boots_inv_desc; ;;;;;;;;;;;;;;
wool_ranch_management_1;Sheep Ranch;;;;;;;;;;;;;;
wool_ranch_management_1_desc; ;;;;;;;;;;;;;;
cattle_ranch_management_1;Cattle Ranch;;;;;;;;;;;;;;
cattle_ranch_management_1_desc; ;;;;;;;;;;;;;;
wool_ranch_management_2;Sheep Ranch;;;;;;;;;;;;;;
wool_ranch_management_2_desc; ;;;;;;;;;;;;;;
cattle_ranch_management_2;Cattle Ranch;;;;;;;;;;;;;;
cattle_ranch_management_2_desc; ;;;;;;;;;;;;;;
stables_inv;Horse Breeding;;;;;;;;;;;;
stables_inv_desc; ;;;;;;;;;;;;
forestry_inv;Forestry;;;;;;;;;;;
forestry_inv_desc; ;;;;;;;;;;;
forestry;Forestry;;;;;;;;;;;
forestry_desc;Forestry is the science and craft of creating, managing, using, conserving, and repairing forests, woodlands, and associated resources for human and environmental benefits. Wood is the most important renewable resource for the industry.;;;;;;;;;;;;;; 
fruit_farm_fb;Fruit Plantation;;;;;;;;;;;;;;
fruit_farm_fb_desc;A large-scale estate meant for farming different fruits to gain food and cash. Fertilizers will enhance the growth of plants.;;;;;;;;;;;;;;
grain_farm_fb;Grain Farm;;;;;;;;;;;;;;
grain_farm_fb_desc;A farm is an area of land that is devoted primarily agricultural processes with the primary objective of producing food and other crops. It is the basic facility in food production. New technological developments have sharply increased yields and farming profitability.;;;;;;;;;;;;;;
charcoal_mill_ori;Charcoal Mill;;;;;;;;;;;;;;
charcoal_mill_tro;Tropical Charcoal Mill;;;;;;;;;;;;;;
charcoal_mill_b;Charcoal Mill;;;;;;;;;;;;;;
cattle_fb;Cattle Ranch;;;;;;;;;;;;;;
cattle_fb_desc;A ranch is an area of land, including various structures, given primarily to the practice of ranching, the practice of raising grazing livestock such as cattle, which are raised for their meat and milk.;;;;;;;;;;;;;;
wool_fb;Sheep Ranch;;;;;;;;;;;;;;
wool_fb_desc;Sheep husbandry is the raising and breeding of domestic sheep. Sheep are mostly raised principally for their wool.;;;;;;;;;;;;;;
charcoal_mill_b_desc;Charcoal is a lightweight black carbon residue produced by removing water and other volatile constituents from animal and plant materials. Charcoal is usually produced by slow pyrolysis—the heating of wood or other organic materials in the absence of oxygen.;;;;;;;;;;;;;;
charcoal_mill_tr;Tropical Charcoal Mill;;;;;;;;;;;;;;
charcoal_mill_tr_desc;Charcoal is a lightweight black carbon residue produced by removing water and other volatile constituents from animal and plant materials. Charcoal is usually produced by slow pyrolysis—the heating of wood or other organic materials in the absence of oxygen.;;;;;;;;;;;;;;
wool_mill;Wool Mill;;;;;;;;;;;;;;
wool_mill_desc;Wool was the traditional source of fabric until cotton was discovered during the Age of Sail. Despite this, wool is still widely used by the textile industry.;;;;;;;;;;;;;;
financial_services;Financial Services;;;;;;;;;;;;;;
bank;Bank;;;;;;;;;;;;;;
bank_desc;Banking institutions are financial intermediaries that accept deposits and channel those deposits into lending activities, either directly or through capital markets.;;;;;;;;;;;;;;
stables;Stables;;;;;;;;;;;;
stables_desc;Cavalry remains the majority of any modern nation's army. Thus methods of raising horses that are capable of being used in war is of vital importance.;;;;;;;;;;;;
horses;Horses;;;;;;;;;;;;
gunpowder;Gunpowder;;;;;;;;;;;;
gunpowder_factory;Gunpowder Factory;;;;;;;;;;;;
gunpowder_factory_desc;A factory used to create gunpowder for use in firearms. The sulfur and charcoal act as fuels while the saltpeter is an oxidizer.;;;;;;;;;;;;
regular_activation;Regular;;;;;;;;;;;;
aggressive;Aggressive;Agressif;Aggressiv;;;;;;;;;;;
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;
balanced_p;Balanced;Pondéré;Ausgewogen;;;;;;;;;;;
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;
brutish;Brutish;Brutal;Brutal;;;;;;;;;;;
bold;Bold;Téméraire;Mutig;;;;;;;;;;;
brash;Brash;Impudent;Forsch;;;;;;;;;;;
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;
bastard;Bastard;Goujat;Bastard;;;;;;;;;;;
cautious;Cautious;Prudent;Vorsichtig;;;;;;;;;;;
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;
chickenhearted;Chickenhearted;Poltron;Ängstlich;;;;;;;;;;;
craven;Craven;Veule;Mutlos;;;;;;;;;;;
competent;Competent;Compétent;Kompetent;;;;;;;;;;;
clever;Clever;Adroit;Clever;;;;;;;;;;;
careless;Careless;Négligent;Achtlos;;;;;;;;;;;
calm;Calm;Calme;Ruhig;;;;;;;;;;;
cool_minded;Coolminded;Serein;Bedachtsam;;;;;;;;;;;
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;
cruel;Cruel;;;;;;;;;;;;;
choleric;Choleric;Colérique;Cholerisch;;;;;;;;;;;
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;
chivalrous;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;
confident;Confident;Confiant;Sicher;;;;;;;;;;;
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;
defiant;Defiant;Provocateur;Trotzig;;;;;;;;;;;
disciplined;Disciplined;Discipliné;Diszipliniert;;;;;;;;;;;
diligent;Diligent;;;;;;;;;;;;;
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;
daring;Daring;Hardi;Draufgängerisch;;;;;;;;;;;
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;
decisive;Decisive;;;;;;;;;;;;;
dumb;Dumb;;;;;;;;;;;;;
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;
deeply_religious;Deeply Religious;Très croyant;Tief religiös;;;;;;;;;;;
expert;Expert;Expert;Experte;;;;;;;;;;;
energetic;Energetic;;;;;;;;;;;;;
efficient;Efficient;Efficace;Effizient;;;;;;;;;;;
emotional;Emotional;;;;;;;;;;;;;
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;
fearless;Fearless;;;;;;;;;;;;;
forgiving;Forgiving;;;;;;;;;;;;;
fanatic;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;
gallant;Gallant;Courageux;Galant;;;;;;;;;;;
glory_hound;Glory Hound;Ambitieux;Ruhmsüchtig;;;;;;;;;;;
genius;Genius;;;;;;;;;;;;;
gutsy;Gutsy;Brave;Waghalsig;;;;;;;;;;;
harsh;Harsh;Dur;Harsch;;;;;;;;;;;
hellbent;Hellbent;Acharné;Draufgänger;;;;;;;;;;;
heroic;Heroic;Héroïque;Heroisch;;;;;;;;;;;
irresponsible;Irresponsible;;;;;;;;;;;;;
imaginative;Imaginative;;;;;;;;;;;;;
indecisive;Indecisive;;;;;;;;;;;;;
inspiring;Inspiring;Stimulant;Inspirierend;;;;;;;;;;;
impetuous;Impetuous;Impétueux;Ungestüm;;;;;;;;;;;
implacable;Implacable;Implacable;Unerbittlich;;;;;;;;;;;
imperious;Imperious;Autoritaire;Herrisch;;;;;;;;;;;
irate;Irate;Furieux;Aufbrausend;;;;;;;;;;;
intuitive;Intuitive;Intuitif;Intuitiv;;;;;;;;;;;
impulsive;Impulsive;Impulsif;Impulsiv;;;;;;;;;;;
incapable;Incapable;Incapable;Unfähig;;;;;;;;;;;
indifferent;Indifferent;Indifférent;Gleichgültig;;;;;;;;;;;
intelligent;Intelligent;Intelligent;Intelligent;;;;;;;;;;;
inept;Inept;Inepte;Untauglich;;;;;;;;;;;
inefficient;Inefficient;Inefficace;Ineffizient;;;;;;;;;;;
keen;Keen;Enthousiaste;Gewitzt;;;;;;;;;;;
lilylivered;Lilylivered;Froussard;Feige;;;;;;;;;;;
lackluster;Lackluster;Terne;Lustlos;;;;;;;;;;;
merciless;Merciless;Impitoyable;Gnadenlos;;;;;;;;;;;
meticulous;Meticulous;Méticuleux;Genau;;;;;;;;;;;
manful;Manful;Ardent;Männlich;;;;;;;;;;;
madman;Madman;Fou;Irrer;;;;;;;;;;;
mediocre;Mediocre;Médiocre;Mittelmäßig;;;;;;;;;;;
maladroit;Maladroit;Maladroit;Unbeholfen;;;;;;;;;;;
openminded;Openminded;Ouvert d'esprit;Offen;;;;;;;;;;;
persistant;Persistant;Persévérant;Hartnäckig;;;;;;;;;;;
pompous;Pompous;;;;;;;;;;;;;
paranoid;Paranoid;;;;;;;;;;;;;
polite;Polite;Poli;Höflich;;;;;;;;;;;
pusillanimous;Pusillanimous;Pusillanime;Verzagt;;;;;;;;;;;
pisspoor;Pisspoor;Pitoyable;Arm;;;;;;;;;;;
perverse;Perverse;Entêté;Pervers;;;;;;;;;;;
resourceful;Resourceful;Ingénieux;Findig;;;;;;;;;;;
respectful;Respectful;;;;;;;;;;;;;
romantic;Romantic;Romantique;Romantisch;;;;;;;;;;;
relentless;Relentless;Implacable;Unbarmherzig;;;;;;;;;;;
reserved;Reserved;Réservé;Reserviert;;;;;;;;;;;
resolute;Resolute;Résolu;Resolut;;;;;;;;;;;
ruthless;Ruthless;;;;;;;;;;;;;
rebellious;Rebellious;;;;;;;;;;;;;
skilled;Skilled;Talentueux;Geschickt;;;;;;;;;;;
secretive;Secretive;;;;;;;;;;;;;
shrinking_violet;Shrinking Violet;Timoré;Mauerblümchen;;;;;;;;;;;
sinner;Sinner;;;;;;;;;;;;;
strange;Strange;Étrange;Merkwürdig;;;;;;;;;;;
stout;Stout;Solide;Beherzt;;;;;;;;;;;
soldierly;Soldierly;Militaire;Soldatisch;;;;;;;;;;;
spirited;Spirited;Fougueux;Sprühend;;;;;;;;;;;
stalwart;Stalwart;Robuste;Robust;;;;;;;;;;;
soft;Soft;Indolent;Weich;;;;;;;;;;;
spineless;Spineless;Mou;Rückgratlos;;;;;;;;;;;
stouthearted;Stouthearted;Intrépide;Beherzt;;;;;;;;;;;
steadfast;Steadfast;Inébranlable;Solide;;;;;;;;;;;
scared;Scared;Craintif;Verängstigt;;;;;;;;;;;
shirker;Shirker;Tire-au-flanc;Drückeberger;;;;;;;;;;;
smart_p;Smart;Habile;Schlau;;;;;;;;;;;
sharp;Sharp;Malin;Klug;;;;;;;;;;;
timid;Timid;Timide;Furchtsam;;;;;;;;;;;
tactful;Tactful;Délicat;Taktvoll;;;;;;;;;;;
unflinching;Unflinching;Opiniâtre;Entschlossen;;;;;;;;;;;
unruly;Unruly;Insoumis;Widerborstig;;;;;;;;;;;
undisciplined;Undisciplined;Indiscipliné;Undiszipliniert;;;;;;;;;;;
unforgiving;Unforgiving;;;;;;;;;;;;;
unmanly;Unmanly;Lâche;Unmännlich;;;;;;;;;;;
unsound;Unsound;Dangereux;Unzuverlässig;;;;;;;;;;;
vainglorious;Vainglorious;Vaniteux;Prahlerisch;;;;;;;;;;;
vicious;Vicious;Violent;Bösartig;;;;;;;;;;;
wrathful;Wrathful;Courroucé;Zornerfüllt;;;;;;;;;;;
wretched;Wretched;Misérable;Jämmerlich;;;;;;;;;;;
yellow;Yellow;Trouillard;Memme;;;;;;;;;;;
no_background;No Background;Aucun(e);Nichts;;;;;;;;;;;
ambitious_careerist;Ambitious Careerist;;;;;;;;;;;;;
architect;Architect;;;;;;;;;;;;;
armchair_general;Armchair General;Général de façade;Sesselgeneral;;;;;;;;;;;
artillerist;Artillerist;Artilleur;Artillerist;;;;;;;;;;;
amateur;Amateur;Amateur;Amateur;;;;;;;;;;;
aristocrat;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;
adventurer;Adventurer;Aventurier;Abenteurer;;;;;;;;;;;
butcher;Butcher;Boucher;Schlächter;;;;;;;;;;;
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;
brownnoser;Brownnoser;Lèche-cul;Stiefellecker;;;;;;;;;;;
brilliant_strategist;Brilliant Strategist;;;;;;;;;;;;;
bootlicker;Bootlicker;Lèche-bottes;Speichellecker;;;;;;;;;;;
cavalry_school;Cavalry School;École de cavalerie;Kavallerieschule;;;;;;;;;;;
colonial_recruit;Colonial Recruit;;;;;;;;;;;;;
colonial_b;Colonial;Colonial;Kolonial;;;;;;;;;;;
cartographer;Cartographer;Cartographe;Kartograf;;;;;;;;;;;
cursed_luck;Cursed Luck;Malchanceux;Vom Pech verflucht;;;;;;;;;;;
corrupt;Corrupt;Corrompu;Korrupt;;;;;;;;;;;
clueless;Clueless;Ignorant;Ahnungslos;;;;;;;;;;;
debutante;Debutante;Débutant;Debütant;;;;;;;;;;;
disgraced;Disgraced;Déshonoré;In Ungnade Gefallener;;;;;;;;;;;
drillmaster;Drillmaster;Sergent instructeur;Zuchtmeister;;;;;;;;;;;
diplomat;Diplomat;Diplomate;Diplomat;;;;;;;;;;;
engineer;Engineer;Génie;Ingenieur;;;;;;;;;;;
entrepreneur;Entrepreneur;;;;;;;;;;;;;
exranker;Exranker;Ancien militaire;Ex-Gefreiter;;;;;;;;;;;
expert_raider;Expert Raider;Commando expérimenté;Überfallexperte;;;;;;;;;;;
eccentric_genius;Eccentric Genius;Génie excentrique;Exzentrisches Genie;;;;;;;;;;;
elder_statesmen;Elder Statesman;;;;;;;;;;;;;
elderly;Elderly;Âgé;Älter;;;;;;;;;;;
ethnic;Ethnic;;;;;;;;;;;;;
gifted_administrator;Gifted Administrator;Administrateur doué;Begabter Administrator;;;;;;;;;;;
generals_aide;General's Aide;Aide de camp;Generalsadjutant;;;;;;;;;;;
hated;Hated;Odieux;Gehasst;;;;;;;;;;;
innovative_tactician;Innovative Tactician;Tacticien novateur;Innovativer Taktiker;;;;;;;;;;;
immoral;Immoral;Immoral;Unmoralisch;;;;;;;;;;;
introverted_philosopher;Introverted Philosopher;;;;;;;;;;;;;
incompetent;Incompetent;Incompétent;Inkompetent;;;;;;;;;;;
intellectual;Intellectual;;;;;;;;;;;;;
military_theoretician;Military Theoretician;;;;;;;;;;;;;
megalomaniac;Megalomaniac;Mégalomane;Megalomane;;;;;;;;;;;
mercenary;Mercenary;;;;;;;;;;;;;
feeble;Feeble;;;;;;;;;;;;;
harsh_disciplinarian;Harsh Disciplinarian;;;;;;;;;;;;;
fearsome;Fearsome;;;;;;;;;;;;;
independent;Independent-Minded;;;;;;;;;;;;;
bureaucrat;Bureaucrat;;;;;;;;;;;;;
member_of_elite;Member of the Elite;;;;;;;;;;;;;
natural_born_leader;Natural Born Leader;Leader naturel;Geborener Anführer;;;;;;;;;;;
nationalist;Nationalist;;;;;;;;;;;;;
old_school;Old School;Vieille école;Alte Schule;;;;;;;;;;;
poet;Poet;Poète;Poet;;;;;;;;;;;
priest;Priest;Prêtre;Priester;;;;;;;;;;;
professor;Professor;Professeur;Professor;;;;;;;;;;;
powerful_friends;Powerful Friends;Amis puissants;Mächtige Freunde;;;;;;;;;;;
pawn;Pawn;Pion;Pfand;;;;;;;;;;;
questionable_loyalties;Questionable Loyalties;;;;;;;;;;;;;
renowned_adventurer;Renowned Adventurer;;;;;;;;;;;;;
politician;Politician;Politicien;Politiker;;;;;;;;;;;
rising_star;Rising Star;Étoile montante;Aufsteigender Stern;;;;;;;;;;;
religious_fanatic;Religious Fanatic;;;;;;;;;;;;;
religious_leader;Religious Leader;;;;;;;;;;;;;
railroad_man;Railroad Man;;;;;;;;;;;;;
rags_to_riches;Rags to Riches;;;;;;;;;;;;;
son_of_hero;Hero's Son;;;;;;;;;;;;;
spoiled;Spoiled;Gâté;Verwöhnt;;;;;;;;;;;
school_of_defense;School of Defense;École de défense;Schule der Verteidigung;;;;;;;;;;;
school_of_offense;School of Offense;École d'attaque;Schule der Offensive;;;;;;;;;;;
school_of_the_bayonet;School of the Bayonet;École de la baïonnette;Schule des Bajonetts;;;;;;;;;;;
school_of_firepower;School of Firepower;École de la puissance de feu;Schule der Feuerkraft;;;;;;;;;;;
sad_sack;Sad Sack;Raté;Trauriger Sack;;;;;;;;;;;
state_ideologue;State Ideologue;;;;;;;;;;;;;
sucker;Sucker;Gogo;Trottel;;;;;;;;;;;
sycophant;Sycophant;Flagorneur;Kriecher;;;;;;;;;;;
toady;Toady;Flatteur;Schleimer;;;;;;;;;;;
turncoat;Turncoat;;;;;;;;;;;;;
university_educated;University Educated;;;;;;;;;;;;;
uncommonly_young;Uncommonly Young;Singulièrement jeune;Ungewöhnlich jung;;;;;;;;;;;
unfit;Unfit;Inapte;Ungeeignet;;;;;;;;;;;
unqualified;Unqualified;Non qualifié;Unqualifiziert;;;;;;;;;;;
unfulfilled_potential;Unfulfilled Potential;;;;;;;;;;;;;
warmonger;Warmonger;Belliciste;Kriegstreiber;;;;;;;;;;;
war_college;War College;École militaire;Militärakademie;;;;;;;;;;;
wounded_veteran;Wounded Veteran;;;;;;;;;;;;;
womanizer;Womanizer;Coureur de jupons;Schürzenjäger;;;;;;;;;;;
yesman;Yesman;Béni-oui-oui;Jasager;;;;;;;;;;;
arab_revolt_ended;Arab Revolt Ended;;;;;;;;;;;;;
newly_released_nation;Newly-Formed Nation;;;;;;;;;;;;;
crop_rotation;Crop Rotation;;;;;;;;;;;;;
crop_rotation_desc;The practice of crop rotation is now being used in local farms.;;;;;;;;;;;;;
phosphates;Phosphates;;;;;;;;;;;;;
phosphates_desc;Phosphates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
nitrates;Nitrates;;;;;;;;;;;;;
nitrates_desc;Nitrates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
will_support_entre_rios;Pledged Support to Entre Rios;;;;;;;;;;;;;
shaft_mine;Shaft Mining;;;;;;;;;;;;;
shaft_mine_desc;Deep shaft mining has been developed in the province.;;;;;;;;;;;;;
pit_mine;Pit Mining;;;;;;;;;;;;;
pit_mine_desc;Pit mining has been developed in the province.;;;;;;;;;;;;;
strip_mine;Strip Mining;;;;;;;;;;;;;
strip_mine_desc;Strip mining has been developed in the province.;;;;;;;;;;;;;
tax_reforms;National Tax Reforms;;;;;;;;;;;;;
tax_reforms_desc;Recent reforms to tax laws have increased our tax efficiency… at least until those laws are repealed or loopholes found to evade them.;;;;;;;;;;;;;
intense_farming;Intensive Farming;;;;;;;;;;;;;
intense_farming_desc;Plantations have been started in this province to more efficiently and intensively farm it-- even though this comes with a risk of exhausting the farmland.;;;;;;;;;;;;;
exhausted_land;Exhausted Farmland;;;;;;;;;;;;;
exhausted_land_desc;The intensive farming of this province's farmland has exhausted the soil. Production will be low until the land recovers.;;;;;;;;;;;;;
irrigration_network;Irrigation Network;;;;;;;;;;;;;
irrigration_network_desc;An irrigation network has been built here, allowing the desert to be farmed more effectively.;;;;;;;;;;;;;
